tock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
GREEIN,GREENLAM INDUSTRIES LIMITED,INE544R01013,2,1143.30,880.00,- 1.80,2286.60,1760.00,0.00,-526.60,(23.03),
QUECOR,QUESS CORP LIMITED,INE615P01015,1,1036.23,691.60,- 1.21,1036.23,691.60,0.00,-344.63,(33.26),
TALLIF,TALWALKARS LIFESTYLES LIMITED,INE627Z01019,11,150.50,110.00,- 2.53,1655.50,1210.00,0.00,-445.50,(26.91),
TALWAL,TALWALKARS BETTER VALUE FITNES,INE502K01016,8,303.04,42.30,- 1.05,2424.32,338.40,0.00,-2085.92,(86.04),
TUBIN,TUBE INVESTMENTS OF INDIA LTD,INE974X01010,5,246.27,354.40,+ 1.37,1231.35,1772.00,0.00,540.65,43.91,
AKZNOB,AKZO NOBEL INDIA LIMITED,INE133A01011,2,1872.99,1788.95,+ 0.89,3745.98,3577.90,0.00,-168.08,(4.49),
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,9,1076.82,1373.75,+ 0.14,9691.38,12363.75,0.00,2672.37,27.57,
BERPAI,BERGER PAINTS INDIA LTD,INE463A01038,8,261.84,326.65,- 1.73,2094.72,2613.20,0.00,518.48,24.75,
KANNER,KANSAI NEROLAC PAINTS,INE531A01024,5,485.17,486.00,- 1.83,2425.85,2430.00,0.00,4.15,0.17,
ABBIND,ABBOTT INDIA LIMITED,INE358A01014,1,4130.35,7531.50,- 0.59,4130.35,7531.50,0.00,3401.15,82.35,
APOHOS,APOLLO HOSPITALS ENTERPRISES L,INE437A01024,7,1211.95,1267.30,+ 0.31,8483.65,8871.10,0.00,387.45,4.57,
AURPHA,AUROBINDO PHARMA LTD,INE406A01037,3,736.24,723.65,- 1.10,2208.72,2170.95,0.00,-37.77,(1.71),
BIOCON,BIOCON LIMITED,INE376G01013,2,626.57,623.45,- 0.38,1253.14,1246.90,0.00,-6.24,(0.50),
CADHEA,CADILA HEALTHCARE LIMITED,INE010B01027,5,436.29,346.20,- 1.00,2181.45,1731.00,0.00,-450.45,(20.65),
CIPLA,CIPLA LIMITED,INE059A01026,4,585.17,516.10,- 1.32,2340.68,2064.40,1347.93,-276.28,(11.80),
DRLAL,DR. LAL PATHLABS LIMITED,INE600L01024,2,888.61,901.95,- 2.55,1777.22,1803.90,0.00,26.68,1.50,
DRREDD,DR REDDYS LABORATORIES LTD,INE089A01023,2,2453.52,2591.00,- 0.76,4907.04,5182.00,493.65,274.96,5.60,
FORHEA,FORTIS HEALTHCARE LIMITED,INE061F01013,13,162.21,139.95,+ 0.07,2108.73,1819.35,0.00,-289.38,(13.72),
GLAPHA,GLAXOSMITHKLINE PHARMACEUTICAL,INE159A01016,2,1685.31,1497.00,+ 0.09,3370.62,2994.00,0.00,-376.62,(11.17),
GLEPHA,GLENMARK PHARMACEUTICALS LTD,INE935A01035,4,613.85,681.10,- 1.60,2455.40,2724.40,0.00,269.00,10.96,
LUPIN,LUPIN LIMITED,INE326A01037,7,1419.15,833.90,- 1.00,9934.05,5837.30,0.00,-4096.75,(41.24),
NARHRU,NARAYANA HRUDAYALAYA LIMITED,INE410P01011,7,323.50,192.00,+ 0.08,2264.50,1344.00,0.00,-920.50,(40.65),
PFIZER,PFIZER LTD,INE182A01018,1,1818.32,2820.00,- 1.57,1818.32,2820.00,(786.52),1001.68,55.09,
PIRENT,PIRAMAL ENTERPRISES LIMITED,INE140A01024,2,2741.20,2360.00,- 1.44,5482.40,4720.00,0.00,-762.40,(13.91),
SANOFI,SANOFI INDIA LTD,INE058A01010,1,4094.35,6295.50,- 0.50,4094.35,6295.50,0.00,2201.15,53.76,
SUNPHA,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,17,722.31,434.70,+ 0.37,12279.27,7389.90,0.00,-4889.37,(39.82),
ESSPRO,ESSEL PROPACK LIMITED,INE255A01020,14,121.08,111.35,+ 1.37,1695.12,1558.90,0.00,-136.22,(8.04),
HSILIM,HSIL LIMITED,INE415A01038,6,408.49,235.50,- 0.13,2450.94,1413.00,0.00,-1037.94,(42.35),
HUHPPL,HUHTAMAKI PPL LIMITED,INE275B01026,3,325.26,193.15,- 0.54,975.78,579.45,0.00,-396.33,(40.62),
JAIIRR,JAIN IRRIGATION SYSTEMS LTD,INE175A01038,24,94.01,67.60,- 2.10,2256.24,1622.40,0.00,-633.84,(28.09),
NILLIM,NILKAMAL LIMITED,INE310A01015,2,1815.04,1455.00,- 0.94,3630.08,2910.00,0.00,-720.08,(19.84),
SUPIND,SUPREME INDUSTRIES LTD,INE195A01028,2,1205.90,1132.05,- 1.98,2411.80,2264.10,0.00,-147.70,(6.12),
UFLLIM,UFLEX LIMITED,INE516A01017,8,292.07,280.10,- 0.28,2336.56,2240.80,0.00,-95.76,(4.10),
NHPC,NHPC LIMITED,INE848E01016,80,26.92,25.85,- 0.58,2153.60,2068.00,0.00,-85.60,(3.97),
NTPC,NTPC LIMITED,INE733E01010,49,151.17,146.90,- 0.94,7407.33,7198.10,(1038.88),-209.23,(2.82),
POWGRI,POWER GRID CORPORATION OF INDI,INE752E01010,35,191.93,195.00,- 2.45,6717.55,6825.00,238.70,107.45,1.60,
TATPOW,TATA POWER CO LTD,INE245A01021,25,84.92,75.15,- 2.02,2123.00,1878.75,(122.15),-244.25,(11.50),
ADAGAS,ADANI GAS LIMITED,INE399L01023,17,72.00,101.25,- 0.59,1224.00,1721.25,0.00,497.25,40.63,
BHAPET,BHARAT PETROLEUM CORPN LTD,INE029A01011,5,471.23,352.50,- 4.04,2356.15,1762.50,590.72,-593.65,(25.20),
CASIND,CASTROL INDIA LIMITED,INE172A01027,19,186.88,148.50,- 1.95,3550.72,2821.50,0.00,-729.22,(20.54),
GAIL,GAIL (INDIA) LIMITED,INE129A01019,6,355.90,353.65,- 2.36,2135.40,2121.90,(355.80),-13.50,(0.63),
HINPET,HINDUSTAN PETROLEUM CORP,INE094A01015,12,285.64,246.40,- 3.88,3427.68,2956.80,(1002.79),-470.88,(13.74),
INDGAS,INDRAPRASHTHA GAS LTD,INE203G01027,4,285.08,274.85,+ 1.18,1140.32,1099.40,0.00,-40.92,(3.59),
INDOIL,INDIAN OIL CORPORATION LIMITED,INE242A01010,12,203.08,135.60,- 1.53,2436.96,1627.20,249.72,-809.76,(33.23),
OILIND,OIL INDIA LIMITED,INE274J01014,10,226.03,173.90,- 1.02,2260.30,1739.00,0.00,-521.30,(23.06),
ONGC,OIL AND NATURAL GAS CORPORATIO,INE213A01029,32,189.45,147.50,- 0.97,6062.40,4720.00,1482.22,-1342.40,(22.14),
PETLNG,PETRONET LNG LIMITED,INE347G01014,9,233.24,229.50,+ 0.22,2099.16,2065.50,0.00,-33.66,(1.60),
RELIND,RELIANCE INDUSTRIES,INE002A01018,16,550.64,1110.60,- 0.96,8810.24,17769.60,486.74,8959.36,101.69,
AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,2,1368.09,1576.50,- 1.11,2736.18,3153.00,0.00,416.82,15.23,
BATIND,BATA INDIA LIMITED,INE176A01028,5,734.88,1115.45,- 1.06,3674.40,5577.25,0.00,1902.85,51.79,
FUTLIF,FUTURE LIFESTYLE FASHIONS LTD,INE452O01016,6,370.76,398.05,- 2.63,2224.56,2388.30,0.00,163.74,7.36,
FUTRE,FUTURE RETAIL LIMITED,INE752P01024,5,470.57,482.00,- 2.74,2352.85,2410.00,0.00,57.15,2.43,
RELFOO,RELAXO FOOTWEARS LIMITED,INE131B01039,4,592.01,738.45,+ 0.21,2368.04,2953.80,0.00,585.76,24.74,
SHOSTO,SHOPPERS STOP LIMITED,INE498B01024,5,423.67,520.95,- 2.22,2118.35,2604.75,0.00,486.40,22.96,
TRENT,TRENT LTD (LAKME LTD),INE849A01020,7,299.79,355.70,- 1.41,2098.53,2489.90,0.00,391.37,18.65,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,6,380.72,382.20,- 1.70,2284.32,2293.20,0.00,8.88,0.39,
AEGLOG,AEGIS LOGISTICS LTD,INE208C01025,4,275.92,201.85,- 1.01,1103.68,807.40,0.00,-296.28,(26.84),
ALLLOG,ALLCARGO LOGISTICS LTD,INE418H01029,5,195.35,108.60,+ 0.37,976.75,543.00,0.00,-433.75,(44.41),
BLUDAR,BLUE DART EXPRESS LTD,INE233B01017,2,3676.42,3353.00,- 1.95,7352.84,6706.00,0.00,-646.84,(8.80),
CONCOR,CONTAINER CORPORATION OF INDIA,INE111A01025,4,644.56,671.00,- 2.17,2578.24,2684.00,(2098.58),105.76,4.10,
FUTSUP,FUTURE SUPPLY CHAIN SOL LTD,INE935Q01015,2,691.85,654.00,+ 0.01,1383.70,1308.00,0.00,-75.70,(5.47),
MAHLO,MAHINDRA LOGISTICS LIMITED,INE766P01016,2,489.55,513.00,- 0.67,979.10,1026.00,0.00,46.90,4.79,
SCI,SHIPPING CORP OF INDIA LT,INE109A01011,27,81.77,47.20,- 1.87,2207.79,1274.40,0.00,-933.39,(42.28),
VRLLOG,VRL LOGISTICS LIMITED,INE366I01010,6,395.14,293.40,+ 0.22,2370.84,1760.40,0.00,-610.44,(25.75),
BALCHI,BALRAMPUR CHINI MILLS LTD,INE119A01028,8,164.20,103.30,+ 0.39,1313.60,826.40,0.00,-487.20,(37.09),
EIDPAR,EID PARRY (INDIA) LTD,INE126A01031,6,339.54,206.00,- 0.31,2037.24,1236.00,0.00,-801.24,(39.33),
RENSUG,SHREE RENUKA SUGARS LTD,INE087H01022,100,12.88,10.95,- 0.90,1288.00,1095.00,0.00,-193.00,(14.98),
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,31,361.83,311.90,- 2.39,11216.73,9668.90,215.19,-1547.83,(13.80),
BHAINF,BHARTI INFRATEL LIMITED,INE121J01017,7,338.08,260.10,- 0.88,2366.56,1820.70,0.00,-545.86,(23.07),
IDECEL,VODAFONE IDEA LIMITED,INE669E01016,69,59.56,37.40,- 0.93,4109.64,2580.60,(681.03),-1529.04,(37.21),
ADIFAS,ADITYA BIRLA FASHION & RTL LTD,INE647O01011,13,165.44,196.95,- 1.20,2150.72,2560.35,0.00,409.63,19.05,
ARVLIM,ARVIND LIMITED,INE034A01011,6,413.10,97.45,- 0.92,2478.60,584.70,0.00,-1893.90,(76.41),
