Sr. No.,Company name,ISIN,BSE Symbol,BSE avg,NSE Symbol,NSE avg,MSE Symbol,MSE,Avg,"Categorization",,
1165,GENERIC ENGINEERING CONSTRUCTION AND PROJECTS LIMITED,INE854S01014,GENCON, 423.78 ,,,,, 423.78 ,Small Cap,,
1166,EPC INDUSTRIE LTD,INE215D01010,EPCIN, 420.19 ,,,,, 420.19 ,Small Cap,,
1167,SPICE MOBILITY LIMITED,INE927C01020,SPICEMOBI, 430.10 ,SPICEMOBI, 409.44 ,,, 419.77 ,Small Cap,,
1168,TRIGYN TECHNOLOGIES LTD.,INE948A01012,TRIGYN, 419.15 ,TRIGYN, 418.95 ,,, 419.05 ,Small Cap,,
1169,KIRAN VYAPAR LIMITED,INE555P01013,KIRANVYPAR, 418.83 ,,,,, 418.83 ,Small Cap,,
1170,EMKAY GLOBAL FINANCIAL SERVICES LTD,INE296H01011,EMKAY, 418.69 ,EMKAY, 418.68 ,,, 418.69 ,Small Cap,,
1171,NEGOTIUM INTERNATIONAL TRADE LIMITED,INE339P01046,NEGOTIUM, 416.92 ,,,,, 416.92 ,Small Cap,,
1172,"HERCULES HOISTS LTD.,",INE688E01024,HERCULES, 416.92 ,HERCULES, 416.76 ,,, 416.84 ,Small Cap,,
1173,ALOK INDUSTRIES LTD.,INE270A01011,ALOKTEXT, 419.57 ,ALOKTEXT, 412.81 ,,, 416.19 ,Small Cap,,
1174,"ANUH PHARMA LTD.,",INE489G01022,ANUHPHR, 414.71 ,,,,, 414.71 ,Small Cap,,
1175,ORIENT BELL LIMITED,INE607D01018,ORIENTBELL, 414.22 ,ORIENTBELL, 414.16 ,,, 414.19 ,Small Cap,,
1176,CHEMBOND CHEMICALS LTD.,INE995D01025,CHEMBOND, 413.79 ,,,,, 413.79 ,Small Cap,,
1177,SPML INFRA LIMITED,INE937A01023,SUBHASHP, 411.07 ,SPMLINFRA, 410.46 ,,, 410.76 ,Small Cap,,
1178,BANNARI AMMAN SPINNING MILLS LTD,INE186H01014,BASML, 411.25 ,BASML, 409.83 ,,, 410.54 ,Small Cap,,
1179,"JAGATJIT INDUSTRIES LTD.,",INE574A01016,JAGAJITIND, 408.13 ,,,,, 408.13 ,Small Cap,,
1180,SHREE RAMA NEWSPRINT LIMITED,INE278B01020,RAMANEWSPR, 408.15 ,RAMANEWS, 407.68 ,,, 407.92 ,Small Cap,,
1181,SHIRPUR GOLD REFINERY LTD.,INE196B01016,SHIRPUR-G, 406.66 ,SHIRPUR-G, 406.17 ,,, 406.42 ,Small Cap,,
1182,ASAHI SONGWON COLORS LTD.,INE228I01012,ASAHISONG, 406.25 ,ASAHISONG, 406.05 ,,, 406.15 ,Small Cap,,
1183,RAVINDRA ENERGY LIMITED,INE206N01018,RELTD, 405.90 ,,,,, 405.90 ,Small Cap,,
1184,SAT INDUSTRIES LTD,INE065D01027,SATINDLTD, 403.80 ,,,,, 403.80 ,Small Cap,,
1185,GP PETROLEUMS LIMITED,INE586G01017,GULFPETRO, 403.34 ,GULFPETRO, 403.61 ,,, 403.48 ,Small Cap,,
1186,SWELECT ENERGY SYSTEMS LIMITED,INE409B01013,SWELECT, 402.69 ,SWELECTES, 402.94 ,,, 402.82 ,Small Cap,,
1187,RAM RATNA WIRES LTD.,INE207E01023,RAMRAT, 400.43 ,,,,, 400.43 ,Small Cap,,
1188,"BPL LTD.,",INE110A01019,BPL, 400.15 ,BPL, 400.56 ,,, 400.36 ,Small Cap,,
1189,ADITYA BIRLA  MONEY LTD,INE865C01022,BIRLAMONEY, 398.97 ,BIRLAMONEY, 398.05 ,,, 398.51 ,Small Cap,,
1190,CMI LIMITED,INE981B01011,CMI, 397.50 ,CMICABLES, 397.57 ,,, 397.53 ,Small Cap,,
1191,ARROW GREENTECH LIMITED,INE570D01018,ARROWGREEN, 396.77 ,ARROWGREEN, 396.60 ,,, 396.68 ,Small Cap,,
1192,GKW LTD.,INE528A01020,,,GKWLIMITED, 395.34 ,,, 395.34 ,Small Cap,,
1193,VARDHAMAN ACRYLICS LTD.,INE116G01013,,,VARDHACRLC, 394.70 ,,, 394.70 ,Small Cap,,
1194,GLOBUS SPIRITS LIMITED,INE615I01010,GLOBUSSPR, 394.00 ,GLOBUSSPR, 394.39 ,,, 394.19 ,Small Cap,,
1195,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,INE763I01026,TRIL, 390.17 ,TRIL, 390.19 ,,, 390.18 ,Small Cap,,
1196,KSK ENERGY VENTURES  LIMITED,INE143H01015,KSK, 385.59 ,KSK, 394.34 ,,, 389.97 ,Small Cap,,
1197,GARWARE POLYESTERS LTD,INE291A01017,GARWARPOLY, 388.69 ,,,,, 388.69 ,Small Cap,,
1198,VETO SWITCHGEARS AND CABLES LIMITED,INE918N01018,VETO, 388.24 ,VETO, 388.05 ,,, 388.14 ,Small Cap,,
1199,AGARWAL INDUSTRIAL CORPORATION LIMITED,INE204E01012,BBARODA, 388.48 ,AGARIND, 387.44 ,,, 387.96 ,Small Cap,,
1200,UTTAM SUGAR MILLS LTD,INE786F01031,UTTAMSUGAR, 386.99 ,UTTAMSUGAR, 387.17 ,,, 387.08 ,Small Cap,,
1201,MANAKSIA LIMITED,INE015D01022,MANAKSIA, 387.16 ,MANAKSIA, 386.82 ,,, 386.99 ,Small Cap,,
1202,MSP STEEL & POWER LTD.,INE752G01015,MSPL, 408.97 ,MSPL, 362.16 ,,, 385.56 ,Small Cap,,
1203,PREMIER EXPLOSIVES LTD.,INE863B01011,PREMEXPL, 385.09 ,PREMEXPLN, 385.29 ,,, 385.19 ,Small Cap,,
1204,HI-TECH PIPES LTD.,INE106T01017,,,HITECH, 385.10 ,,, 385.10 ,Small Cap,,
1205,N. B. I. INDUSTRIAL FINANCE COMPANY LTD.,INE365I01020,,,NBIFIN, 383.48 ,,, 383.48 ,Small Cap,,
1206,LANCO INFRATECH LTD.,INE785C01048,LITL, 383.85 ,LITL, 382.52 ,,, 383.18 ,Small Cap,,
1207,"ELDECO HOUSING & IND. LTD.,",INE668G01013,ELDEHSG, 381.16 ,,,,, 381.16 ,Small Cap,,
1208,TANLA SOLUTIONS LTD.,INE483C01032,TANLA, 378.64 ,TANLA, 383.25 ,,, 380.95 ,Small Cap,,
1209,KABRA EXTRUSION TECHNIK LTD,INE900B01029,KABRAEXTRU, 380.75 ,KABRAEXTRU, 380.90 ,,, 380.82 ,Small Cap,,
1210,NEWTIME INFRASTRUCTURE LIMITED,INE997D01021,INTRAINF, 377.32 ,,,,, 377.32 ,Small Cap,,
1211,AMINES & PLASTICIZERS LTD,INE275D01022,AMNPLST, 376.31 ,,,,, 376.31 ,Small Cap,,
1212,"DCM SHRIRAM INDUSTRIES LTD.,",INE843D01019,DCMSRMIND, 375.47 ,,,,, 375.47 ,Small Cap,,
1213,ARCOTECH LIMITED (FORMERLY SKS LTD),INE574I01035,ARCOTECH, 375.32 ,ARCOTECH, 375.10 ,,, 375.21 ,Small Cap,,
1214,D-LINK (INDIA) LTD,INE250K01012,DLINKINDIA, 374.27 ,DLINKINDIA, 373.86 ,,, 374.06 ,Small Cap,,
1215,UJAAS ENERGY LIMITED,INE899L01022,UJAAS, 374.02 ,UJAAS, 373.95 ,,, 373.99 ,Small Cap,,
1216,"SHREE DIGVIJAY CEMENT CO. LTD.,",INE232A01011,SHREDIGCEM, 373.66 ,,,,, 373.66 ,Small Cap,,
1217,STEELCAST LTD.,INE124E01020,STEELCAS, 372.87 ,,,,, 372.87 ,Small Cap,,
1218,SUKHJIT STARCH & CHEMICALS LTD.,INE450E01011,SUKHJITS, 371.24 ,,,,, 371.24 ,Small Cap,,
1219,VISHNU CHEMICALS LIMITED,INE270I01014,VISHNU, 371.17 ,VISHNU, 370.97 ,,, 371.07 ,Small Cap,,
1220,"TALBROS AUTOMOTIVE COMPONENTS LTD.,",INE187D01011,TALBROAUTO, 370.73 ,TALBROAUTO, 370.68 ,,, 370.71 ,Small Cap,,
1221,FIBERWEB (INDIA) LTD.,INE296C01020,FIBERWEB, 370.67 ,,,,, 370.67 ,Small Cap,,
1222,DECCAN GOLD MINES LTD.,INE945F01025,DECNGOLD, 370.16 ,,,,, 370.16 ,Small Cap,,
1223,LIBERTY SHOES LTD.,INE557B01019,LIBERTSHOE, 368.52 ,LIBERTSHOE, 368.54 ,,, 368.53 ,Small Cap,,
1224,VOITH PAPER FABRICS INDIA LTD,INE285C01015,VOITHPAPR, 367.99 ,,,,, 367.99 ,Small Cap,,
1225,LLOYDS METALS AND ENERGY LIMITED,INE281B01032,LLOYDSME, 365.95 ,,,LLOYDSME, 367.20 , 366.57 ,Small Cap,,
1226,CSL FINANCE LIMITED,INE718F01018,CSLFINANCE, 366.54 ,,,,, 366.54 ,Small Cap,,
1227,SRG HOUSING FINANCE LIMITED,INE559N01010,SRGHFL, 366.24 ,,,,, 366.24 ,Small Cap,,
1228,RUCHIRA PAPERS LTD,INE803H01014,RUCHIRA, 366.44 ,RUCHIRA, 365.94 ,,, 366.19 ,Small Cap,,
1229,KESAR PETROPRODUCTS LTD,INE133C01033,KESARPE, 364.39 ,,,,, 364.39 ,Small Cap,,
1230,GOKALDAS EXPORTS LTD,INE887G01027,GOKEX, 363.36 ,GOKEX, 360.46 ,,, 361.91 ,Small Cap,,
1231,SELAN EXPLORATION TECHNOLOGY LTD.,INE818A01017,SELAN, 365.27 ,SELAN, 356.35 ,,, 360.81 ,Small Cap,,
1232,ADHUNIK INDUSTRIES LIMITED,INE452L01012,ADHUNIKIND, 362.45 ,ADHUNIKIND, 358.86 ,,, 360.66 ,Small Cap,,
1233,"NAHAR SPINNING MILLS LTD.,",INE290A01027,NAHARSPING, 360.43 ,NAHARSPING, 360.39 ,,, 360.41 ,Small Cap,,
1234,ASHIMA LTD,INE440A01010,ASHIMASYN, 359.69 ,ASHIMASYN, 359.92 ,,, 359.81 ,Small Cap,,
1235,GALLANTT METAL LIMITED,INE297H01019,GALLANTT, 359.83 ,GALLANTT, 358.99 ,,, 359.41 ,Small Cap,,
1236,ROSSELL INDIA LIMITED,INE847C01020,ROSSELLIND, 359.02 ,ROSSELLIND, 358.87 ,,, 358.95 ,Small Cap,,
1237,"RASOI LTD.,",INE349E01023,RASOI, 357.40 ,,,,, 357.40 ,Small Cap,,
1238,SUYOG TELEMATICS LIMITED,INE442P01014,SUYOG, 354.69 ,,,,, 354.69 ,Small Cap,,
1239,VAARAD VENTURES LTD,INE418B01048,VAARAD, 352.14 ,,,,, 352.14 ,Small Cap,,
1240,ASIAN HOTELS (EAST) LIMITED,INE926K01017,AHLEAST, 352.01 ,AHLEAST, 352.01 ,,, 352.01 ,Small Cap,,
1241,MORGANITE CRUCIBLE (INDIA) LIMITED,INE599F01012,MORGANITE, 351.37 ,,,,, 351.37 ,Small Cap,,
1242,ZODIAC CLOTHING CO. LTD.,INE206B01013,ZODIACLOTH, 352.07 ,ZODIACLOTH, 350.33 ,,, 351.20 ,Small Cap,,
1243,VIAAN INDUSTRIES LIMITED,INE324N01027,VIAANINDUS, 350.76 ,,,,, 350.76 ,Small Cap,,
1244,RANE ENGINE VALVE LIMITED,INE222J01013,RANEENGINE, 351.18 ,RANEENGINE, 350.10 ,,, 350.64 ,Small Cap,,
1245,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,INE436A01026,ANSALAPI, 346.29 ,ANSALAPI, 346.46 ,,, 346.37 ,Small Cap,,
1246,STAR PAPER MILLS LTD.,INE733A01018,STARPAPER, 344.86 ,STARPAPER, 344.92 ,,, 344.89 ,Small Cap,,
1247,EAST INDIA SECURITIES LIMITED,INE482Z01019,EIS, 344.19 ,,,,, 344.19 ,Small Cap,,
1248,GULSHAN POLYOLS LTD.,INE255D01024,GULPOLY, 343.70 ,GULPOLY, 343.54 ,,, 343.62 ,Small Cap,,
1249,PTL ENTERPRISES LTD,INE034D01031,PTL, 342.78 ,PTL, 342.17 ,,, 342.47 ,Small Cap,,
1250,"OMAX AUTOS LTD.,",INE090B01011,OMAXAUTO, 339.25 ,OMAXAUTO, 339.10 ,,, 339.18 ,Small Cap,,
1251,SIL INVESTMENTS LTD,INE923A01015,SILINV, 406.89 ,SILINV, 271.13 ,,, 339.01 ,Small Cap,,
1252,SASTASUNDAR VENTURES LIMITED,INE019J01013,SASTASUNDR, 339.36 ,SASTASUNDR, 338.34 ,,, 338.85 ,Small Cap,,
1253,KANORIA CHEMICALS & INDUSTRIES LTD.,INE138C01024,KANORICHEM, 338.51 ,KANORICHEM, 338.50 ,,, 338.51 ,Small Cap,,
1254,MOHOTA INDUSTRIES LIMITED,INE313D01013,MOHOTAIND, 337.35 ,MOHOTAIND, 337.42 ,,, 337.39 ,Small Cap,,
1255,SHALIMAR PAINTS LTD.,INE849C01026,SHALPAINTS, 323.24 ,SHALPAINTS, 351.48 ,,, 337.36 ,Small Cap,,
1256,TPL PLASTECH LIMITED,INE413G01014,TPLPLAST, 337.58 ,TPLPLASTEH, 336.50 ,,, 337.04 ,Small Cap,,
1257,DWITIYA TRADING LIMITED,INE222P01028, DWITIYA, 336.31 ,,,,, 336.31 ,Small Cap,,
1258,VALIANT ORGANICS LIMITED,INE565V01010,VALIANTORG, 334.67 ,,,,, 334.67 ,Small Cap,,
1259,KMC SPECIALITY HOSPITALS INDIA LIMITED,INE879K01018,KMCSHIL, 334.42 ,,,,, 334.42 ,Small Cap,,
1260,RUBFILA INTERNATIONAL LTD.,INE642C01025,RUBFILA, 333.81 ,,,,, 333.81 ,Small Cap,,
1261,ASIAN HOTELS (WEST) LTD,INE915K01010,AHLWEST, 333.92 ,AHLWEST, 333.14 ,,, 333.53 ,Small Cap,,
1262,AGC NETWORKS LIMITED,INE676A01019,AGCNET, 333.16 ,AGCNET, 332.78 ,,, 332.97 ,Small Cap,,
1263,RAMA STEEL TUBES LIMITED,INE230R01027,RAMASTEEL, 333.15 ,RAMASTEEL, 332.40 ,,, 332.78 ,Small Cap,,
1264,VIRINCHI LIMITED,INE539B01017,VIRINCHI, 332.21 ,,,,, 332.21 ,Small Cap,,
1265,MAPRO INDUSTRIES LTD,INE848M01019,MAPROIN, 332.12 ,,,,, 332.12 ,Small Cap,,
1266,KKALPANA INDUSTRIES (INDIA) LTD,INE301C01028,KKALPANAIND, 330.69 ,,,,, 330.69 ,Small Cap,,
1267,MT EDUCARE LIMITED,INE472M01018,MTEDUCARE, 333.06 ,MTEDUCARE, 324.15 ,,, 328.60 ,Small Cap,,
1268,NAHAR INDUSTRIAL ENTERPRISES LTD,INE289A01011,NAHARINDUS, 327.82 ,NAHARINDUS, 327.82 ,,, 327.82 ,Small Cap,,
1269,"INDIAN TONERS & DEVELOPERS LTD.,",INE826B01018,INDTONER, 327.27 ,,,,, 327.27 ,Small Cap,,
1270,SAKUMA EXPORTS LTD.,INE190H01016,SAKUMA, 342.04 ,SAKUMA, 309.75 ,,, 325.89 ,Small Cap,,
1271,SHIVALIK RASAYAN LTD.,INE788J01021,SHIVALIK, 325.40 ,,,,, 325.40 ,Small Cap,,
1272,MIDLAND POLYMERS LTD.,INE046M01028,MIDPOLY, 324.74 ,,,,, 324.74 ,Small Cap,,
1273,GENUS PAPER & BOARDS LIMITED,INE949P01018,GENUSPAPER, 324.58 ,GENUSPAPER, 324.24 ,,, 324.41 ,Small Cap,,
1274,"ANDHRA CEMENT LTD.,",INE666E01012,ANDHRACEMT, 323.85 ,ANDHRACEMT, 324.15 ,,, 324.00 ,Small Cap,,
1275,EMMBI INDUSTRIES LIMITED,INE753K01015,EMMBI, 323.25 ,EMMBI, 323.02 ,,, 323.14 ,Small Cap,,
1276,MCNALLY BHARAT ENGINEERING COMPANY LIMITED,INE748A01016,MBECL, 322.04 ,MBECL, 322.01 ,,, 322.02 ,Small Cap,,
1277,GUJARAT APOLLO INDUSTRIES LTD.,INE826C01016,GUJAPOLLO, 353.91 ,GUJAPOLLO, 288.45 ,,, 321.18 ,Small Cap,,
1278,SUNIL HITECH ENGINEERS LIMITED,INE305H01028,SUNILHITEC, 332.44 ,SUNILHITEC, 304.84 ,,, 318.64 ,Small Cap,,
1279,BINANI INDUSTRIES LIMITED,INE071A01013,BINANIIND, 318.08 ,BINANIIND, 318.13 ,,, 318.10 ,Small Cap,,
1280,INDO NATIONAL LIMITED,INE567A01010,NIPPOBATRY, 318.17 ,NIPPOBATRY, 317.94 ,,, 318.05 ,Small Cap,,
1281,HOV SERVICES LIMITED,INE596H01014,HOVS, 317.45 ,HOVS, 317.66 ,,, 317.56 ,Small Cap,,
1282,GEECEE VENTURES LIMITED,INE916G01016,GEECEE, 317.87 ,GEECEE, 317.06 ,,, 317.46 ,Small Cap,,
1283,U P ELECTRICALS LIMITED,INE922R01011,,,,,UPELECT, 316.57 , 316.57 ,Small Cap,,
1284,CUPID LIMITED,INE509F01011,CUPID, 315.46 ,CUPID, 315.56 ,,, 315.51 ,Small Cap,,
1285,PIL ITALICA LIFESTYLE LIMITED,INE600A01035,PILITA, 313.63 ,PILITA, 313.33 ,,, 313.48 ,Small Cap,,
1286,IND-SWIFT LABORATORIES LTD.,INE915B01019,INDSWFTLAB, 313.36 ,INDSWFTLAB, 313.39 ,,, 313.37 ,Small Cap,,
1287,INDO AMINES LTD.,INE760F01010,INDOAMIN, 313.20 ,,,,, 313.20 ,Small Cap,,
1288,DAI-ICHI KARKARIA LTD.,INE928C01010,DAICHI, 309.84 ,,,,, 309.84 ,Small Cap,,
1289,RAJOO ENGINEERS LTD.,INE535F01024,RAJOOENG, 309.52 ,,,,, 309.52 ,Small Cap,,
1290,CL EDUCATE LIMITED,INE201M01011,CLEDUCATE, 309.10 ,CLEDUCATE, 309.81 ,,, 309.45 ,Small Cap,,
1291,ASPINWALL AND COMPANY LTD.,INE991I01015,,,ASPINWALL, 308.67 ,,, 308.67 ,Small Cap,,
1292,VLS FINANCE LIMITED,INE709A01018,VLSFINANCE, 307.04 ,VLSFINANCE, 303.04 ,,, 305.04 ,Small Cap,,
1293,JENBURKT PHARMACEUTICALS LTD.,INE354A01013,JENBURPH, 305.02 ,,,,, 305.02 ,Small Cap,,
1294,BEST STEEL LOGISTICS LIMITED,INE919P01029,BESTSTEEL, 304.83 ,,,,, 304.83 ,Small Cap,,
1295,PIONEER DISTILLERIES LTD.,INE889E01010,PIONDIST, 304.44 ,PIONDIST, 303.63 ,,, 304.03 ,Small Cap,,
1296,LOYAL TEXTILES MILLS LTD,INE970D01010,LOYALTEX, 300.93 ,,,,, 300.93 ,Small Cap,,
1297,PODDAR PIGMENTS LTD.,INE371C01013,PODARPIG, 299.88 ,PODDARMENT, 299.75 ,,, 299.81 ,Small Cap,,
1298,ARTSON ENGINEERING LTD,INE133D01023,ARTSONEN, 297.92 ,,,,, 297.92 ,Small Cap,,
1299,"SALZER ELECTRONICS LTD.,",INE457F01013,SALZER, 297.89 ,SALZERELEC, 295.21 ,,, 296.55 ,Small Cap,,
1300,DONEAR INDUSTRIES LTD,INE668D01028,DONEAR, 295.65 ,DONEAR, 294.88 ,,, 295.26 ,Small Cap,,
1301,PENNAR ENGINEERED BUILDING SYSTEMS LIMITED,INE455O01019,PENPEBS, 295.19 ,PENPEBS, 294.89 ,,, 295.04 ,Small Cap,,
1302,CHOICE INTERNATIONAL LTD,INE102B01014,CHOICEIN, 294.51 ,,,,, 294.51 ,Small Cap,,
1303,A.K.CAPITAL SERVICES LTD.,INE701G01012,AKCAPIT, 294.50 ,,,,, 294.50 ,Small Cap,,
1304,ADVANI HOTELS & RESORTS (INDIA) LTD.,INE199C01026,ADVANIHOTR, 294.14 ,ADVANIHOTR, 293.55 ,,, 293.84 ,Small Cap,,
1305,ORIENTAL VENEER PRODUCTS LTD.,INE457G01011,ORVENPR, 293.55 ,,,,, 293.55 ,Small Cap,,
1306,URJA GLOBAL LIMITED,INE550C01020,URJAGLOBA, 298.76 ,URJA, 288.08 ,,, 293.42 ,Small Cap,,
1307,LOVABLE LINGERIE LIMITED,INE597L01014,LOVABLE, 289.23 ,LOVABLE, 296.57 ,,, 292.90 ,Small Cap,,
1308,HEXA TRADEX LIMITED,INE750M01017,HEXATRADEX, 292.24 ,HEXATRADEX, 291.73 ,,, 291.98 ,Small Cap,,
1309,GOKUL AGRO RESOURCES LTD,INE314T01025,GOKULAGRO, 291.38 ,GOKULAGRO, 291.16 ,,, 291.27 ,Small Cap,,
1310,SINGER INDIA LIMITED,INE638A01035,SINGER, 291.15 ,,,,, 291.15 ,Small Cap,,
1311,K C P SUGAR AND INDUSTRIES CORPORATION LTD.,INE790B01024,KCPSUGIND, 290.15 ,KCPSUGIND, 290.16 ,,, 290.15 ,Small Cap,,
1312,"SVARAJ TRADING & AGENCIES LTD.,",INE406N01014,ZSVARAJT, 288.82 ,,,,, 288.82 ,Small Cap,,
1313,PANASONIC CARBON INDIA CO.LTD,INE013E01017,PANCARBON, 288.22 ,,,,, 288.22 ,Small Cap,,
1314,IVRCL LTD,INE875A01025,IVRCLINFRA, 287.59 ,IVRCLINFRA, 287.87 ,,, 287.73 ,Small Cap,,
1315,GITANJALI GEMS LTD.,INE346H01014,GITANJALI, 288.10 ,GITANJALI, 287.00 ,,, 287.55 ,Small Cap,,
1316,"UNITED DRILLING TOOLS LTD.,",INE961D01019,UNIDT, 286.68 ,,,,, 286.68 ,Small Cap,,
1317,INDOSOLAR LIMITED,INE866K01015,INDOSOLAR, 287.49 ,INDOSOLAR, 285.42 ,,, 286.46 ,Small Cap,,
1318,SINDHU TRADE LINKS LIMITED,INE325D01017,SINDHUTRAD, 285.49 ,,,,, 285.49 ,Small Cap,,
1319,OPTO CIRCUITS (INDIA) LTD.,INE808B01016,OPTOCIRCUI, 285.73 ,OPTOCIRCUI, 283.28 ,,, 284.50 ,Small Cap,,
1320,PONDY OXIDES & CHEMICALS LIMITED,INE063E01046,PONDYOXIDE, 284.01 ,,,,, 284.01 ,Small Cap,,
1321,ACRYSIL LTD.,INE482D01016,ACRYSIL, 283.90 ,,,,, 283.90 ,Small Cap,,
1322,SAMKRG PISTONS AND RINGS LTD.,INE706B01012,SAMKRG, 283.87 ,,,,, 283.87 ,Small Cap,,
1323,MONEYTECH FINLEASE LIMITED,INE632R01016,,,,,MONEYTECH, 283.40 , 283.40 ,Small Cap,,
1324,"KOPRAN LTD.,",INE082A01010,KOPRAN$, 283.06 ,KOPRAN, 283.19 ,,, 283.13 ,Small Cap,,
1325,PTC INDUSTRIES LTD.,INE596F01018,PTCIL, 280.77 ,,,,, 280.77 ,Small Cap,,
1326,RAJ TELEVISION NETWORK LTD,INE952H01027,RAJTV, 281.45 ,RAJTV, 279.75 ,,, 280.60 ,Small Cap,,
1327,DR.AGARWALS EYE HOSPITAL LTD.,INE934C01018,DRAGARW, 280.46 ,,,,, 280.46 ,Small Cap,,
1328,PRITIKA AUTO INDUSTRIES LIMITED,INE583R01011,PRITIKAUTO, 278.98 ,,,,, 278.98 ,Small Cap,,
1329,GCM SECURITIES LIMITED,INE168O01026,GCMSECU, 278.29 ,,,,, 278.29 ,Small Cap,,
1330,"SADHANA NITROCHEM LTD.,",INE888C01016,SADHNANI, 278.08 ,,,,, 278.08 ,Small Cap,,
1331,"JAY SHREE TEA & INDUSTRIES LTD.,",INE364A01020,JAYSHREETEA, 277.06 ,JAYSREETEA, 277.06 ,,, 277.06 ,Small Cap,,
1332,VIKAS WSP LTD.,INE706A01022,VIKASWSP, 276.15 ,,,,, 276.15 ,Small Cap,,
1333,QUASAR INDIA LIMITED,INE855P01033,QUASAR, 274.32 ,,,,, 274.32 ,Small Cap,,
1334,PS IT INFRASTRUCTURE & SERVICES LIMITED,INE953M01033,PSITINFRA, 272.87 ,,,,, 272.87 ,Small Cap,,
1335,YAMINI INVESTMENTS COMPANY LIMITED,INE457N01025,YAMNINV, 272.30 ,,,,, 272.30 ,Small Cap,,
1336,INDSIL HYDRO POWER AND MANGANESE LIMITED,INE867D01018,INDSILHYD, 272.21 ,,,,, 272.21 ,Small Cap,,
1337,"GUJARAT SIDHEE CEMENT LIMITED.,",INE542A01039,GSCLCEMENT, 271.54 ,GSCLCEMENT, 271.60 ,,, 271.57 ,Small Cap,,
1338,ASI INDUSTRIES LIMITED,INE443A01030,ASIIL, 271.51 ,,,,, 271.51 ,Small Cap,,
1339,BAJAJ HEALTHCARE LIMITED,INE411U01019,BAJAJHCARE, 271.14 ,,,,, 271.14 ,Small Cap,,
1340,HITECH CORPORATION LIMITED,INE120D01012,HITECHCORP, 270.74 ,HITECHCORP, 271.54 ,,, 271.14 ,Small Cap,,
1341,NEW DELHI TELEVISION LIMITED,INE155G01029,NDTV, 269.08 ,NDTV, 269.05 ,,, 269.06 ,Small Cap,,
1342,"KAPPAC PHARMA LTD.,",INE601D01011,KAPPH, 268.14 ,,,,, 268.14 ,Small Cap,,
1343,NGL FINE CHEM LTD.,INE887E01022,NGLFINE, 266.71 ,,,,, 266.71 ,Small Cap,,
1344,R.K. MANUFACTURING COMPANY LIMITED,INE423E01018,,,,,RKMAN, 266.35 , 266.35 ,Small Cap,,
1345,CHEMFAB ALKALIS LTD ,INE783X01023,CHEMFABALKA, 269.11 ,CHEMFAB, 263.39 ,,, 266.25 ,Small Cap,,
1346,ORIENT PRESS LTD.,INE609C01024,ORIENTLTD, 269.55 ,ORIENTLTD, 262.02 ,,, 265.79 ,Small Cap,,
1347,PARTANI APPLIANCES LIMITED,INE217P01010,PARTANI, 265.78 ,,,,, 265.78 ,Small Cap,,
1348,"BLUE CIRCLE SERVICES LTD.,",INE526K01031,BLCISER, 264.34 ,,,,, 264.34 ,Small Cap,,
1349,JHS SVENDGAARD LABORATORIES LTD.,INE544H01014,JHS, 264.32 ,JHS, 264.13 ,,, 264.23 ,Small Cap,,
1350,PUDUMJEE PAPER PRODUCTS LIMITED,INE865T01018,PDMJEPAPER, 263.23 ,PDMJEPAPER, 263.29 ,,, 263.26 ,Small Cap,,
1351,FOODS & INNS LTD.,INE976E01023,FOODSIN, 262.79 ,,,,, 262.79 ,Small Cap,,
1352,"DHARAMSI MORARJI CHEMICAL CO. LTD.,",INE505A01010,DHARAMSI, 262.27 ,,,,, 262.27 ,Small Cap,,
1353,PEARL GLOBAL INDUSTRIES LIMITED,INE940H01014,HOPFL, 262.04 ,PGIL, 262.01 ,,, 262.02 ,Small Cap,,
1354,ADITYA CONSUMER MARKETING LIMITED,INE427V01013,ACML, 261.90 ,,,,, 261.90 ,Small Cap,,
1355,"EIMCO ELECON INDIA LTD.,",INE158B01016,EIMCOELECO, 261.53 ,EIMCOELECO, 260.70 ,,, 261.12 ,Small Cap,,
1356,ZENOTECH LABORATORIES LIMITED,INE486F01012,ZENOTECH, 261.08 ,,,,, 261.08 ,Small Cap,,
1357,DUCON INFRATECHNOLOGIES LIMITED,INE741L01018,DUCON, 261.10 ,DUCON, 260.82 ,,, 260.96 ,Small Cap,,
1358,MORYO INDUSTRIS LIMITED,INE346M01022,MORYOIND, 260.62 ,,,,, 260.62 ,Small Cap,,
1359,DIAMOND POWER INFRASTRUCTURE LIMITED,INE989C01012,DIACABLE, 261.08 ,DIAPOWER, 259.79 ,,, 260.44 ,Small Cap,,
1360,SAHYADRI INDUSTRIES LTD.,INE280H01015,SAHYADRI, 260.04 ,,,,, 260.04 ,Small Cap,,
1361,YASH PAPERS LTD,INE551D01018,YASHPPR, 259.81 ,,,,, 259.81 ,Small Cap,,
1362,S V GLOBAL MILL LIMITED,INE159L01013,SVGLOBAL, 258.36 ,,,,, 258.36 ,Small Cap,,
1363,PANASONIC ENERGY INDIA CO. LTD.,INE795A01017,PANAENERG, 257.98 ,,,,, 257.98 ,Small Cap,,
1364,SREE RAYALASEEMA HI-STRENGTH HYPO LIMITED,INE917H01012,SRHHYPOLTD, 258.35 ,SRHHYPOLTD, 257.27 ,,, 257.81 ,Small Cap,,
