"Company","Sector","Industry","ROE (%)","Operating Margin (%)","Free Cash Flow (Cr)","Debt Equity Ratio","Long-term Debt (Cr)","Networth (Cr)"
"Jindal Steel & Power Ltd.","Metals","Sponge Iron","-7.69","21.65","2101.06","1.22","39559.02","32427.64"
"JK Cement Ltd","Construction","Cement","11.29","17.4","-195.42","1.1","2973.09","2694.97"
"JK Lakshmi Cement Ltd.","Construction","Cement","2.78","11.85","342.6","1.44","2134.78","1484.58"
"JK Tyre & Industries Ltd.","Automobile","Tyres & Tubes","8.3","11.53","-300.1","2.52","5757.51","2284.4"
"JM Financial Ltd.","Financial","Misc. Fin.services","17.4","77.81","861.12","2.75","13991.11","5131.69"
"Johnson Controls - Hitachi Air Conditioning India Ltd.","Cons Durable","ACs & Refrigerators","14.97","8","-178.59","0.31","189.62","612.99"
"JSW Energy Ltd.","Engineering","Power Projects","5.7","35.25","1256.31","0.89","10554.88","11822.24"
"JSW Holdings Ltd.","Financial","Invest.Services","1.06","95.01","88.36","0","0","8287.57"
"JSW Steel Ltd.","Metals","Finished Steel","24.16","22.6","-193.38","1.39","48126","34795"
"Jubilant FoodWorks Ltd.","Services","Hotels & Restaurants","28.66","18.16","306.9","0","0","1259.64"
"Jubilant Life Sciences Ltd.","Healthcare","Drugs & Pharma","12.97","19.48","-8.55","1.01","4840.43","4808.92"
"Just Dial Ltd.","Services","E-Commerce","21.89","36.11","299.96","0","4.2","998.81"
"Jyothy Labs Ltd.","FMCG","Cosmetics & Toiletries","16.2","17.03","229.11","0.21","280.95","1326.53"
"Kajaria Ceramics Ltd.","Construction","Ceramic tiles","15.72","15.81","182.54","0.08","120.33","1574.9"
"Kalpataru Power Transmission Ltd.","Construction","Infrastructure","17.44","13.62","-44.12","0.84","2609.67","3119.47"
"Kansai Nerolac Paints Ltd.","Chemicals","Paints & Varnishes","13.67","14.99","-333.39","0.03","107.95","3416.33"
"Karnataka Bank Ltd.","Financial","Banking","9.21","2.55","-3126.93","0.62","3325.51","5785.18"
"KEC International Ltd.","Engineering","Power Projects","22.37","11.52","-79.24","0.76","1839.44","2435.1"
"Kei Industries Ltd.","Engineering","Wires & cables","26.33","10.58","351.6","0.77","599.44","778.05"
"KNR Constructions Ltd.","Construction","Construction","22.2","26.7","9.75","0.58","758.21","1310.83"
"Kotak Mahindra Bank Ltd.","Financial","Banking","13.15","3.9","1182.61","1.14","66438.94","58281.8"
"KPR Mills Ltd.","Textiles","Cotton & Blended Yarn","19.93","19.17","-71.67","0.48","856.33","1790.17"
"KRBL Ltd.","FMCG","Other Agri.prod.","20.06","20.99","-210.87","0.52","1428.19","2726.7"
"L&T Finance Holdings Ltd.","Financial","Misc. Fin.services","18.1","76.98","2153.46","6.87","91506.98","13448.6"
"L&T Technology Services Ltd.","Engineering","Other Projects","35.51","22.4","708.69","0.03","70.2","2479.1"
"La Opala RG Ltd.","Construction","Glass & Glassware","14.34","46.66","46.95","0","0.89","529.14"
"Lakshmi Machine Works Ltd.","Engineering","Textile Machinery","10.72","13.88","-28.86","0","2.94","1710.31"
"Lakshmi Vilas Bank Ltd.","Financial","Banking","-46.35","1.82","-1161.36","0.54","921.26","1892.58"
"Larsen & Toubro Infotech Ltd.","Technology","Computer Software","35.2","23.14","1196.62","0","0","4893.8"
"Larsen & Toubro Ltd.","Construction","Infrastructure","17.56","18.39","-8208.19","2.02","125555.17","62374.8"
"Laurus Labs Ltd.","Healthcare","Drugs & Pharma","6.19","16.24","-48.34","0.67","1035.93","1558.41"
"Lemon Tree Hotels Ltd.","Services","Hotels & Restaurants","8.45","33.35","-146.42","1.72","1195.57","875.02"
"LIC Housing Finance Ltd.","Financial","Housing Finance","15.89","93.69","4514.69","10.33","168657.14","16330.84"
"Linde India Ltd.","Chemicals","Indl.Gases","1.32","15.27","179.51","0.81","1189.69","1461.88"
"Lupin Ltd.","Healthcare","Drugs & Pharma","4.55","19.42","1196.53","0.63","8496.15","13742.23"
"Lux Industries Ltd.","Textiles","Readymade Garments","27.08","15.49","150.8","0.44","180.94","411.41"
"Magma Fincorp Ltd.","Financial","Equipt.Leasing","12.91","65.7","-1327.34","4.81","13133.11","2743.89"
"Mahanagar Gas Ltd.","Energy","Crude Oil & Natural Gas","24.32","34.51","351.68","0","0","2398.87"
"Maharashtra Scooters Ltd.","Automobile","Two & Three Wheelers","0.74","522.35","73.99","0","0","11323.22"
"Maharashtra Seamless Ltd.","Metals","Steel Tubes & Pipes","5.91","24","-462.86","0.34","1058.71","3070.12"
"Mahindra & Mahindra Financial Services Ltd.","Financial","Misc. Fin.services","17.28","70.4","-12985.72","4.89","54979.54","11269.02"
"Mahindra & Mahindra Ltd.","Automobile","Cars & Multi Utility Vehicles","12.19","15.56","-12822.67","1.78","70848.3","39983.41"
"Mahindra CIE Automotive Ltd.","Metals","Castings & Forgings","12.47","12.89","200.89","0.38","1613.4","4289.1"
"Mahindra Holidays & Resorts India Ltd","Services","Hotels & Restaurants","65.31","10.69","174.44","-1.6","830.37","281.57"
"Mahindra Lifespace Developers Ltd.","Construction","Real Estate","2.31","14.66","207.87","0.12","228.25","1929.54"
"Mahindra Logistics Ltd.","Services","Transport Support Services","18.88","4.13","47.61","0.08","37.7","498.22"
"Manappuram Finance Ltd.","Financial","Hire Purchase","22.43","68.56","-1696.48","3.4","15295.32","4524.65"
"Mangalore Refinery & Petrochemicals Ltd.","Energy","Crude Oil & Natural Gas","3.48","4.39","-737.63","1.57","15617.68","9945.78"
"Marico Ltd.","FMCG","Vegetable oils","41.22","18.87","1091.73","0.12","352","2999"
"Maruti Suzuki India Ltd.","Automobile","Cars & Multi Utility Vehicles","16.72","15.76","4329.65","0","159.6","47092.1"
"Mas Financial Services Ltd.","Financial","Banking","18.15","77.11","-523.24","2.46","2273.09","924.14"
"Max Financial Services Ltd.","Financial","Misc. Fin.services","21.59","3.06","3752.29","0","0","2059.03"
"Max India Ltd.","Financial","Misc. Fin.services","-10.95","-8.26","2.54","0.17","193.75","1170.21"
"Meghmani Organics Ltd.","Chemicals","Pesticides","31.52","27.87","-89.32","0.71","716.24","1003.6"
"Minda Corporation Ltd.","Automobile","Auto Ancillaries","14.63","10.66","67.41","0.57","680.6","1195.1"
"Minda Industries Ltd.","Automobile","Auto Ancillaries","20.74","12.73","-338.5","0.64","1082.6","1704.16"
"MindTree Ltd.","Technology","Computer Software","25.09","16.43","507.54","0","1","3306.1"
"MMTC Ltd.","Services","Trading","6.78","0.69","-451.9","0.76","961.49","1268.73"
"Moil Ltd.","Metals","Minerals","16.31","54.97","404.55","0","0","3082.71"
"Motherson Sumi Systems Ltd.","Automobile","Auto Ancillaries","20.05","8.77","1184.68","1.12","11534.2","10962.7"
"Motilal Oswal Financial Services Ltd","Financial","Misc. Fin.services","9.9","37.57","-51.87","1.7","5114.93","3053.44"
"Mphasis Ltd.","Technology","Computer Software","20.16","19.19","922.21","0.1","542.59","5249.82"
"MRF Ltd.","Automobile","Tyres & Tubes","10.99","17.02","-810.18","0.23","2506.31","10837.35"
"Multi Commodity Exchange India","Financial","Misc. Fin.services","9.28","64.17","346.67","0","0","1580.7"
"Muthoot Finance Ltd.","Financial","Misc. Fin.services","23.69","77.08","-4542.92","3.04","30127.51","9931.2"
"Narayana Hrudayalaya Ltd.","Healthcare","Health Services","5.87","10.97","57.28","0.75","813.47","1081.14"
"Natco Pharma Ltd.","Healthcare","Drugs & Pharma","19.75","44.16","271.07","0.11","386.3","3489"
"National Aluminium Co. Ltd.","Metals","Aluminium","16.51","27.99","1676.85","0.01","66.79","10484.94"
"National Thermal Power Corp. Ltd.","Energy","Electricity Generation","11.35","22.89","-7463.13","1.49","161717.85","110036.99"
"Nava Bharat Ventures Ltd.","Diversified","Diversified","12.92","45.75","109.56","0.96","3672.98","3809.98"
"Navin Fluorine International Ltd.","Chemicals","Organic Chemicals","14.37","25.38","51.9","0","4.14","1072.45"
"NBCC India Ltd.","Construction","Real Estate","21.89","7.99","717.04","0","0","1508.41"
"NCC Ltd.","Construction","Construction","13.28","13.36","-604.84","0.59","2691.4","4595.37"
"Nesco Ltd.","Diversified","Diversified","16.54","73.55","54.17","0","0","1170.48"
"Nestle India Ltd.","FMCG","Dairy products","45.3","25.47","2189.32","0.01","35.14","3673.74"
"Network 18 Media & Investments Ltd.","Services","Media & Entertainment","-12.68","3.21","-407.52","3.76","3045.35","810.81"
"NHPC Ltd.","Energy","Electricity Generation","12.14","73.82","2198.79","0.82","19065.79","30797.81"
"NIIT Technologies Ltd.","Technology","Computer Software","22.16","19.1","405.19","0.01","13.6","2072.3"
"Nilkamal Ltd.","Chemicals","Other Plastic Prod.","12.36","9.69","44.14","0.06","58.88","941.18"
"NLC India Ltd.","Energy","Electricity Generation","11.77","44.75","-5660.78","1.61","20598.4","12769.45"
"NMDC Ltd.","Metals","Minerals","18.38","61.82","2102.37","0.01","364.15","26044"
"NOCIL Ltd.","Chemicals","Thermoplastics","16.79","29.02","-403.36","0","0","1163.01"
"Oberoi Realty Ltd.","Construction","Real Estate","11.47","47.79","-16.3","0.2","1585.84","8029.17"
"Oil & Natural Gas Corpn. Ltd.","Energy","Crude Oil & Natural Gas","14.43","18.39","18853.82","0.49","107640.74","218140.76"
"Oil India Ltd.","Energy","Crude Oil & Natural Gas","7.2","48.75","2052.31","0.52","15113.71","28974.47"
"Omaxe Ltd.","Construction","Real Estate","2.47","13.88","-151.87","1.07","1859.17","1740.43"
"Oracle Financial Services Software Ltd.","Technology","Computer Software","29.84","46.8","1453.16","0","0","4936.54"
"Orient Cement Ltd.","Construction","Cement & Asbestos prod.","4.64","12.93","37.54","1.24","1289.78","1053.51"
"Orient Electric Ltd.","Engineering","Electronic Equipts.","24.33","8.09","29.89","0.44","134.94","306.58"
"Oriental Bank of Commerce","Financial","Banking","0.4","2.16","-6802.9","0.81","14119.37","18901.24"
"Page Industries Ltd.","Textiles","Cloth","48.57","22.94","221.65","0.11","84.78","774.99"
"Parag Milk Foods Ltd.","FMCG","Dairy products","15.7","9.76","-27.9","0.29","240.27","827.14"
"PC Jeweller Ltd.","Cons Durable","Gems & Jewellery","0.02","4.32","-2175.71","0.55","2120.54","3920.66"
"Persistent Systems Ltd.","Technology","Computer Software","15.79","19.13","444.88","0","1.67","2344.68"
"Petronet LNG Ltd.","Energy","Crude Oil & Natural Gas","21.46","9.74","1947.13","0.07","733.4","10230.58"
"Pfizer Ltd.","Healthcare","Drugs & Pharma","15.07","35.22","250.87","0","2.5","3011.34"
"Phillips Carbon Black Ltd.","Chemicals","Carbon Black","25.28","18.03","-4.53","0.48","793.43","1649.89"
"Phoenix Mills Ltd.","Construction","Real Estate","14.65","54.44","-1516.11","1.23","4243.72","3474.12"
"PI Industries Ltd.","Chemicals","Pesticides","19.57","22.46","-15.6","0.02","49.2","2285.4"
"Pidilite Industries Ltd.","Chemicals","Thermoplastics","24.01","21.4","615.88","0.03","112.74","4148.09"
"Piramal Enterprises Ltd.","Healthcare","Drugs & Pharma","4.28","56.05","-13582.67","2.06","56023.26","27253.03"
"PNB Housing Finance Ltd.","Financial","Housing Finance","16.99","90.28","-17167.13","9.6","71858.85","7543.9"
"PNC Infratech Ltd.","Services","Road Transport","18.89","27.91","-319.88","1.37","2775.2","2024.38"
"Polycab India Ltd.","Engineering","Wires & cables","19.41","12.78","0","0.1","272.42","2846.96"
"Power Finance Corpn. Ltd.","Financial","SIDCs/SFCs","28.97","96.93","-80790.96","11.15","525359.07","47121.25"
"Power Grid Corporation of India Ltd.","Energy","Electricity Distribn.","22.61","88.24","-7466.87","3.1","146376.36","59088.39"
"Prestige Estates Projects Ltd.","Construction","Real Estate","9.18","30.28","-511.5","2.01","8486.9","4226.6"
"Prism Johnson Ltd.","Construction","Cement","9.72","10.23","72.02","1.74","1954.37","1126.11"
"Procter & Gamble Health Ltd.","Healthcare","Drugs & Pharma","73.79","135.71","786.7","0","0","1540.11"
"Procter & Gamble Hygiene & Health Care Ltd.","FMCG","Cosmetics & Toiletries","57.17","26.04","435.47","0","0","805.5"
"PTC India Ltd.","Energy","Electricity Distribn.","12.75","8.67","-1249.1","3.36","13320.33","3961.93"
"Punjab National Bank","Financial","Banking","-25.24","2.33","-57409.4","1.13","46827.97","45197.51"
"PVR Ltd.","Services","Media & Entertainment","16.53","20.08","244.03","1.04","1282.39","1239.49"
"Quess Corp Ltd.","Financial","Business Consultancy","10.27","6.32","168","0.29","800.45","2725.59"
"Radico Khaitan Ltd.","FMCG","Liquors","15.09","17.36","184.31","0.25","337.02","1335.74"
"Rail Vikas Nigam Ltd.","Construction","Construction","14.58","8.76","-90.23","0.69","3024.2","4395.57"
"Rain Industries Ltd.","Construction","Cement & Asbestos prod.","14.72","14.28","101.03","1.68","7779.49","4622.74"
"Rajesh Exports Ltd.","Cons Durable","Gems & Jewellery","16.14","1.06","2807.18","0.7","6198.43","8840.05"
"Rallis India Ltd.","Chemicals","Pesticides","12.5","13.83","31.12","0.06","72.61","1285.93"
"Rashtriya Chemicals & Fertilizers Ltd.","Chemicals","Nitrogenous Fertilizer.","4.67","5.9","-2090.94","1.14","3461.7","3029.65"
"Ratnamani Metals & Tubes Ltd.","Metals","Steel Tubes & Pipes","17.86","16.25","408.61","0.04","65.4","1522.75"
"Raymond Ltd.","Textiles","Cloth","9.71","10.67","-154.37","1.26","2467.8","1953.79"
"RBL Bank Ltd.","Financial","Banking","12.12","3.27","-589.23","1.57","11832.07","7534.79"
"REC Ltd.","Financial","SIDCs/SFCs","17.07","93.49","-36788.19","7.07","244248.81","34546.34"
"Redington India Ltd.","Technology","Computer Hardware","13.03","2.21","717.48","0.33","1307.4","3905.98"
"Relaxo Footwears Ltd.","FMCG","Footwear","18.93","14.72","13.6","0.1","112","1105.07"
"Reliance Capital Ltd.","Financial","Equipt.Leasing","-9541.18","15.47","-12377.72","-47.98","46156","-949"
"Reliance Communications Ltd.","Communication","Telecom.Services","0","-144.41","-6756.86","-11.39","47606","-4180"
"Reliance Industries Ltd.","Energy","Crude Oil & Natural Gas","11.68","16.32","-62153.64","0.74","287505","387112"
"Reliance Infrastructure Ltd.","Energy","Electricity Distribn.","-60.03","56.7","-6287.71","-7.63","17771.57","14175.74"
"Reliance Nippon Life Asset Management Limited.","Financial","Misc. Fin.services","19.79","48.04","524.08","0","0","2570.02"
"Reliance Power Ltd.","Energy","Electricity Generation","-15.28","52.02","-2171.27","1.75","30456.2","17377.47"
"Repco Home Finance Ltd.","Financial","Housing Finance","16.28","91.22","-1126.09","5.96","9277.41","1557.06"
"Rites Ltd.","Construction","Infrastructure","20.78","37.55","138.63","0.02","47.6","2422.1"
"S H Kelkar and Company Ltd","FMCG","Personal Care","10.21","15.48","-60.54","0.4","341.59","863.35"
"Sadbhav Engineering Ltd.","Construction","Construction","-6.27","33.31","-994.84","13.34","11142.98","835"
"Sanofi India Ltd.","Healthcare","Drugs & Pharma","18.18","25.74","397.03","0","0","2219.2"
"SBI Life Insurance Company Ltd.","Financial","Life Insurance","19.18","-","1184.41","0","0","7460.14"
"Schaeffler India Ltd.","Engineering","Ball Bearings","16.74","18.22","77.17","0.02","57.74","2706.12"
"Schneider Electric Infrastructure Ltd.","Engineering","Electronic Components","-64.18","5.33","-74.13","19.38","453.25","23.39"
"Security and Intelligence Services (India) Ltd.","Services","Trading","20.37","5.4","133.59","0.79","974.92","1249.89"
"Shankara Building Products Ltd.","Metals","Stainless Steel","7.01","4.67","71.07","0.41","197.41","479.04"
"Sheela Foam Ltd.","Textiles","Misc.Textiles","20.15","11.14","98.59","0.04","30.55","730.1"
"Shilpa Medicare Ltd.","Healthcare","Drugs & Pharma","10.3","23.12","-121.68","0.16","194.04","1197.58"
"Shipping Corpn. Of India Ltd.","Services","Shipping","-1.69","21.2","82.29","0.73","5277.45","7183.22"
"Shopper's Stop Ltd.","Services","Retailing","7.15","7.25","93.57","0.08","74.46","914.7"
"Shree Cement Ltd.","Construction","Cement","10.93","24.24","-100.03","0.29","2802.67","9670.75"
"Shriram City Union Finance Ltd.","Financial","Equipt.Leasing","16.34","60.91","-1080.79","3.21","21140.15","6584.3"
"Shriram Transport Finance Co. Ltd.","Financial","Equipt.Leasing","17.29","73.34","-8155.7","4.86","77572.93","15962.76"
"Siemens Ltd.","Engineering","Switching Equipment","11.27","12.78","119.84","0","0","8298.9"
"SJVN Ltd.","Energy","Electricity Generation","12.42","93.77","260.38","0.19","2155.11","11246.24"
"SKF India Ltd.","Engineering","Ball Bearings","19","19.06","229.26","0.05","90","1696.94"
"Sobha Ltd.","Construction","Real Estate","11.88","21.7","-143.2","1.17","2603.89","2229.11"
"Solar Industries India Ltd.","Chemicals","Explosives","23.84","20.99","-20.12","0.49","603.4","1238.33"
"Somany Ceramics Ltd.","Construction","Ceramic tiles","8.93","10.64","-101.04","0.93","573.13","613.01"
"Sonata Software Ltd.","Technology","Computer Software","35.01","12.26","18.8","0.02","15.62","768.26"
"South Indian Bank Ltd.","Financial","Banking","4.9","2.33","560.64","0.96","4903.2","5337.07"
"Spicejet Ltd.","Services","Air Transport","0","1.98","-604.49","-3.12","1109.76","-349.96"
"SREI Infrastructure Finance Ltd.","Financial","Equipt.Leasing","12.31","77.52","-342.99","8.08","33224.3","4111.17"
"SRF Ltd.","Diversified","Diversified","16.68","18.14","-364.41","0.9","3730.19","4129.27"
"Star Cement Ltd","Construction","Cement","19.06","24.83","554.69","0.04","73.82","1723.66"
"State Bank of India","Financial","Banking","1.48","2.73","-27074.35","1.97","413747.66","234495.66"
"Steel Authority Of India Ltd.","Metals","Finished Steel","5.55","15.31","-1134.65","1.14","45170.04","39646.15"
"Sterlite Technologies Ltd.","Communication","Communication Equipt.","40.64","21.97","-428.35","1.22","2067.12","1719.3"
"Strides Pharma Science Ltd.","Healthcare","Drugs & Pharma","14.84","25.65","-102.18","1.22","3221.47","2648.7"
"Sudarshan Chemical Inds. Ltd.","Chemicals","Dyes & Pigments","26.81","13.11","-2.91","0.65","367.09","567.71"
"Sun Pharma Advanced Research Company Ltd.","Healthcare","Drugs & Pharma","-74.72","-75.35","-151","0.01","1.64","296.24"
"Sun Pharmaceutical Inds. Ltd.","Healthcare","Drugs & Pharma","8.05","25.23","-946.26","0.25","10514.36","41409.06"
"Sun TV Network Ltd.","Services","Media & Entertainment","27.77","74.92","1459.58","0","0","5526.49"
"Sundram Fasteners Ltd.","Engineering","Fasteners","26.99","18.15","-214.52","0.53","995.13","1869.97"
"Sunteck Realty Ltd.","Construction","Real Estate","8.82","50.15","-49.42","0.22","634.62","2833.73"
"Suprajit Engineering Ltd.","Automobile","Auto Ancillaries","18.78","17.03","63.21","0.47","362.06","775.07"
"Supreme Industries Ltd.","Chemicals","Other Plastic Prod.","21.45","14.25","302.22","0.08","162.41","2153.97"
"Suven Life Sciences Ltd.","Healthcare","Drugs & Pharma","10.88","28.37","-69.52","0.05","38.02","830.99"
"Suzlon Energy Ltd.","Engineering","Electrical Machinery","0","0.82","-577.8","-1.36","11552.03","-8497.61"
"Swan Energy Ltd.","Construction","Real Estate","-0.64","10.9","-15.68","1.17","1077.16","923.66"
"Symphony Ltd.","Cons Durable","ACs & Refrigerators","14.33","20.37","-145.78","0.28","187.85","666.06"
"Syndicate Bank","Financial","Banking","-16.38","2.22","-12796.61","1.54","25604.45","18775.84"
"Syngene International Ltd.","Healthcare","Drugs & Pharma","18.26","33.52","94.6","0.42","813.3","1968.4"
"Take Solutions Ltd.","Services","Misc.Other Services","12.61","19.33","-77.13","0.31","473.92","1518.23"
"Tamil Nadu Newsprint & Papers Ltd.","FMCG","Paper","5.8","16.86","432.15","1.19","1958.64","1651.68"
"Tata Chemicals Ltd.","Chemicals","Soda Ash","10.99","21.08","562.35","0.5","6143.43","12341.27"
"Tata Coffee Ltd.","FMCG","Tea & Coffee","9.28","14.5","-78.59","0.98","1154.82","1180.28"
"Tata Consultancy Services Ltd.","Technology","Computer Software","36.18","29.92","29236.58","0","62","89446"
"Tata Elxsi Ltd.","Technology","Computer Software","34.5","28.78","206.34","0","0","942.75"
"Tata Global Beverages Ltd.","FMCG","Tea & Coffee","6.62","13","-74.13","0.16","1141.1","7331.69"
"Tata Investment Corpn. Ltd.","Financial","Invest.Services","1.76","87.49","141.02","0","0","7924.19"
"Tata Metaliks Ltd.","Metals","Pig Iron","34.01","14.58","243.46","0.06","42.19","767.08"
"Tata Motors DVR","Automobile","Commercial Vehicles","-","-","-","-","-","-"
"Tata Motors Ltd.","Automobile","Commercial Vehicles","-37.19","9.15","-40692.36","1.76","106175.34","60179.56"
"Tata Power Co. Ltd.","Energy","Electricity Generation","7.45","22.21","-1353.26","2.96","48506.04","18221.16"
"Tata Steel Ltd.","Metals","Finished Steel","14.2","18.55","10471.33","1.46","100816.22","68925.08"
"TCNS Clothing Co Ltd.","Textiles","Textile Processing","30.38","16.06","49.52","0","0.22","618.56"
"TeamLease Services Ltd.","Services","BPO Services","20.28","2.53","69.12","0.02","10.63","539.12"
"Tech Mahindra Ltd.","Technology","Computer Software","22.74","19.78","4013.13","0.1","1995.5","21514.8"
"Tejas Networks Ltd.","Technology","Computer Hardware","12.15","25.87","-151.14","0","1.19","1320.24"
"The New India Assurance Co. Ltd.","Financial","General Insurance","3.75","-","483.94","0","0","-"
"The Ramco Cements Ltd.","Construction","Cement","11.73","20.74","-496.99","0.36","1649.99","4537"
"Thermax Ltd.","Engineering","Industrial Machinery","11.4","10.17","-195.39","0.08","240.26","3014.29"
"Thomas Cook (India) Ltd.","Services","Tourism","0.42","2.99","126.43","0.04","361.05","8893.42"
"Thyrocare Technologies Ltd.","Healthcare","Health Services","19.41","40.78","69.94","0.01","2.5","435.12"
"Time Technoplast Ltd","Chemicals","Other Forms-Primary Plastic","13.31","14.78","-74.99","0.51","839.91","1669.18"
"Timken India Ltd.","Engineering","Industrial Machinery","14.55","18.32","136.25","0.02","23.08","1340.74"
"Titan Company Ltd.","Cons Durable","Clocks & Watches","24.94","10.99","985.34","0.01","40.08","6070.15"
"Torrent Pharmaceuticals Ltd.","Healthcare","Drugs & Pharma","9.34","26.59","490.51","1.28","6038.1","4724.35"
"Torrent Power Ltd.","Energy","Electricity Distribn.","10.83","25.73","0.91","1.08","9715.15","8970.23"
"Trent Ltd.","Services","Retailing","6.57","10.74","-179.64","0.3","494.14","1646.51"
"Trident Ltd.","Textiles","Cotton & Blended Yarn","13.04","19.67","434.62","0.82","2435.75","2973.02"
"Triveni Turbine Ltd.","Engineering","Industrial Machinery","21.92","20.17","135.66","0","0.05","433.39"
"TTK Prestige Ltd.","Cons Durable","Domestic Electrical Applns.","17.63","15.25","51.51","0.08","90.48","1166.29"
"Tube Investments Of India Ltd.","Automobile","Auto Ancillaries","18.99","10.41","446.26","0.41","607.88","1475.4"
"TV Today Network Ltd.","Services","Media & Entertainment","18.27","31.83","26.55","0","3.15","777.38"
"TV18 Broadcast Ltd.","Services","Media & Entertainment","5.11","7.06","-108.56","0.46","1619.83","3498.2"
"TVS Motor Co. Ltd.","Automobile","Two & Three Wheelers","24.75","10.84","-1917.54","2.93","9298.05","3170.17"
"TVS Srichakra Ltd.","Automobile","Tyres & Tubes","15.11","11.33","-88.79","0.59","426.26","728.26"
"UCO Bank","Financial","Banking","-45.68","2.09","-1059.92","0.73","8323.68","17391.05"
"UFLEX Ltd.","Chemicals","Plastic Packaging goods","7.62","12.66","-69.42","0.49","2105.08","4298.05"
"Ujjivan Financial Services Ltd.","Financial","Misc. Fin.services","8.46","50.78","148.48","6.39","11792.19","1877.68"
"Ultratech Cement Ltd.","Construction","Cement","8.88","19.37","1972.77","0.8","22818.35","28388.95"
"Union Bank of India","Financial","Banking","-12.38","2.21","-18667.49","1.76","43275.6","26835.65"
"United Bank Of India","Financial","Banking","-25.32","1.44","-16885.56","0.21","2203.72","11498.88"
"United Breweries Ltd.","FMCG","Beer","19.18","18.07","274.95","0.07","211.49","3183.77"
"UPL Ltd.","Chemicals","Inorganic Chem.","12.64","18.72","334.57","1.99","29140","14645"
"VA Tech Wabag Ltd","Engineering","Other Machinery","7.82","7.14","-165.76","0.57","613.32","1068.91"
"Vardhman Textiles Ltd.","Textiles","Cotton & Blended Yarn","13.78","20.59","-436.23","0.41","2277.66","5591.48"
"Varroc Engineering Pvt Ltd.","Automobile","Auto Ancillaries","14.15","9.8","-978.21","0.79","2439.3","3087.1"
"Varun Beverages Ltd.","FMCG","Food Processing","15.76","20.34","-226.78","1.41","2807.87","1998.5"
"Vedanta Ltd.","Metals","Minerals","15.49","29.46","11095.63","1.07","66226","62297"
"Venky's (India) Ltd.","FMCG","Food Processing","21.73","11.09","166.37","0.3","267.62","881.49"
"V-Guard Industries Ltd.","Cons Durable","Domestic Electrical Applns.","21.36","9.42","94.94","0.02","14.12","899.41"
"Vinati Organics Ltd.","Chemicals","Organic Chemicals","30.57","41.04","151","0","3.68","1051.28"
"VIP Industries Ltd.","Chemicals","Plastic Packaging goods","27.17","13.18","-108.8","0.15","86.15","581.38"
"V-Mart Retail Ltd.","Services","Retailing","16.4","9.96","20.72","0","0.32","409.27"
"Vodafone Idea Ltd.","Communication","Telecom.Services","-34.12","13.09","-5113.98","2.11","125939.9","59634.8"
"Voltas Ltd.","Cons Durable","ACs & Refrigerators","14.12","11.2","-137.72","0.08","314.65","4109.99"
"VST Industries Ltd.","FMCG","Tobacco Prod.","36.41","35.67","305.36","0","0","664.03"
"Wabco India Ltd.","Automobile","Auto Ancillaries","17.11","16.9","-414.8","0","0","1779.98"
"Welspun Corp Ltd.","Metals","Steel Tubes & Pipes","2.37","4.64","22.72","0.47","1304.7","2797.64"
"Welspun India Ltd.","Textiles","Synthetic Yarn","8.4","17.57","175.8","1.19","3310.4","2779.32"
"Westlife Development Ltd.","Services","Hotels & Restaurants","7.23","9.75","-33.72","0.4","233.92","583.01"
"Whirlpool Of India Ltd.","Cons Durable","ACs & Refrigerators","21.1","13.84","328.8","0","0","2145.38"
"Wipro Ltd.","Technology","Computer Software","17.37","24.11","11407.18","0.18","9946.7","56422.6"
"Wockhardt Ltd.","Healthcare","Drugs & Pharma","-7.94","3.14","-245.21","1.28","3374.6","2674.8"
"Yes Bank Ltd.","Financial","Banking","6.49","2.74","-28890.51","4.03","108424.11","26887.41"
"Zee Entertainment Enterprises Ltd.","Services","Media & Entertainment","18.98","35.53","-198","0.12","1114.5","8923.9"
"Zensar Technologies Ltd.","Technology","Computer Hardware","17.86","14.42","93.44","0.16","300.36","1942.36"
"Zydus Wellness Ltd.","FMCG","Food Processing","8.4","25.3","193.03","0.46","1569.25","3386.28"
