Name,BSE Code,NSE Code,Industry,Current Price,Filter,Filter52wLow,Up from 52w low,Low price,High price,Sales,Net profit,Market Capitalization,Debt to equity,Average return on equity 3Years,ROCE3yr avg,Average dividend payout 3years,Price to Earning,Historical PE 5Years,PEG Ratio,OPM,Interest Coverage Ratio,Enterprise Value,Net worth,Reserves,Return on assets 3years,Price to book value,Price to Cash Flow,Price to Sales,EVEBITDA,Dividend Payout Ratio,Dividend yield,Current ratio,Sales growth 5Years,Profit growth 5Years,Pledged percentage,Promoter holding,Piotroski score
Emami,531162,EMAMILTD,Personal Care - Indian,315.50,0,0,28.30,245.90,515.00,2727.20,315.83,14321.66,0.05,18.69,21.41,52.76,44.28,57.37,-7.71,27.26,21.51,14228.12,2076.06,2030.67,15.11,6.90,25.86,5.25,18.22,59.88,1.27,1.43,9.64,-5.74,46.81,52.74,7.00
Endurance Tech.,540153,ENDURANCE,Auto Ancillaries,977.65,1,0,31.73,742.15,1384.95,7559.23,536.01,13751.90,0.28,20.90,23.02,13.56,25.03,37.08,1.25,15.86,32.87,13944.50,2564.68,2424.02,14.74,5.36,15.31,1.82,11.35,15.63,0.56,1.52,12.26,19.96,0.00,75.00,8.00
Engineers India,532178,ENGINERSIN,Engineering - Turnkey Services,114.45,0,0,23.73,92.50,129.90,2605.92,407.54,7232.23,0.00,14.21,21.79,65.80,17.75,22.99,-4.46,16.08,464.99,4571.17,2275.85,1959.89,14.25,3.18,13.28,2.78,7.03,68.30,3.50,1.66,6.03,-3.98,0.00,52.00,7.00
Ent.Network,532700,ENIL,Entertainment / Electronic Media Software,334.20,0,0,1.27,330.00,678.95,631.61,48.42,1593.13,0.00,4.85,7.43,10.29,32.90,51.90,-4.52,22.77,10.49,1569.27,935.31,887.64,4.24,1.70,13.37,2.52,9.82,8.85,0.30,1.19,10.06,-7.28,0.00,71.15,8.00
Essel Propack,500135,ESSELPACK,Packaging,115.55,0,0,46.73,78.75,138.40,2701.40,190.44,3644.51,0.46,15.42,17.15,20.76,20.19,16.62,1.69,18.35,5.34,4142.61,1387.98,1324.90,9.26,2.63,10.23,1.35,7.88,20.47,1.08,2.34,4.96,11.92,0.00,57.00,6.00
Eveready Inds.,531508,EVEREADY,Dry Cells,43.10,0,0,0.35,42.95,234.20,1395.43,35.76,313.25,1.02,22.15,21.66,6.64,5.31,31.50,0.11,8.07,2.13,692.09,376.69,340.35,12.97,0.83,4.17,0.22,4.56,0.00,0.00,1.70,4.79,46.67,88.51,42.16,7.00
Exide Inds.,500086,EXIDEIND,Auto Ancillaries,193.10,0,0,16.33,166.00,274.00,10595.10,858.42,16413.50,0.00,13.85,20.07,28.03,21.02,25.11,2.19,13.46,171.25,16339.95,5986.99,5901.99,13.55,2.74,16.35,1.55,11.05,24.17,1.24,1.50,12.37,9.60,0.00,45.99,6.00
Fortis Health.,532843,FORTIS,Healthcare,135.65,0,0,21.88,111.30,153.70,4565.63,-160.38,10241.01,0.30,-1.22,7.13,0.00,190.53,230.47,-8.18,7.87,1.78,11395.43,6600.81,5845.85,-0.58,1.55,-57.37,2.24,14.22,0.00,0.00,0.75,5.06,-23.29,0.00,31.17,2.00
Future Consumer,533400,FCONSUMER,Trading,25.80,0,0,7.05,24.10,52.65,4088.49,-15.42,4956.32,0.82,-4.19,1.20,0.00,,0.00,,2.07,0.67,5701.62,990.30,-154.07,-2.29,5.01,-89.50,1.21,50.77,0.00,0.00,2.77,36.38,,61.10,46.30,4.00
Future Lifestyle,536507,FLFL,Textiles - Products,422.45,0,0,18.23,357.30,504.35,5605.69,142.68,8503.18,0.52,10.27,13.47,16.39,59.60,56.45,2.83,10.86,2.32,9264.19,1647.69,1608.74,6.51,5.16,17.92,1.52,14.27,18.74,0.32,1.33,16.57,21.03,13.84,45.89,5.00
Future Retail,540064,FRETAIL,Trading,379.20,0,0,1.94,372.00,575.00,20775.55,742.20,19058.53,0.69,20.29,18.26,0.00,25.68,820.07,0.75,6.97,2.80,21462.76,3851.95,3751.43,12.81,4.95,-63.10,0.92,14.55,0.00,0.00,2.12,56.59,34.23,51.51,47.02,3.00
Future Supply,540798,FSC,Miscellaneous,511.10,0,0,4.31,490.00,710.80,1209.39,58.85,2048.90,0.36,11.11,12.48,6.93,34.82,61.72,,12.83,2.90,2149.02,600.36,560.27,9.37,3.41,32.14,1.69,13.35,7.69,0.24,1.46,,,0.00,52.43,6.00
GAIL (India),532155,GAIL,Miscellaneous,132.90,0,0,11.21,119.50,192.86,76138.31,6053.95,59939.79,0.02,12.32,17.69,41.72,9.39,16.02,1.11,12.54,80.86,59726.22,44092.94,41837.87,10.58,1.36,7.61,0.79,5.36,26.70,2.68,0.72,5.55,8.49,0.00,52.19,6.00
General Insuranc,540755,GICRE,Miscellaneous,227.50,0,0,47.73,154.00,332.00,39831.94,1561.48,39912.60,0.00,5.31,6.10,40.63,25.56,19.49,,-10.56,,27064.69,53095.02,52217.82,2.69,0.75,5.69,1.00,10.64,53.24,2.97,0.64,,,0.00,85.78,5.00
Gillette India,507815,GILLETTE,Personal Care - Multinational,7038.15,1,0,14.09,6169.00,7919.85,1861.65,252.92,22937.33,0.00,32.60,49.58,101.35,90.69,95.95,4.21,20.47,44.19,22700.70,778.36,745.77,32.30,29.47,96.76,12.32,57.53,32.73,0.33,1.69,3.27,21.52,0.00,75.00,8.00
Glaxosmi. Pharma,500660,GLAXO,Pharmaceuticals - Multinational,1380.45,0,0,22.16,1130.00,1544.95,3180.90,450.23,23385.66,0.00,17.04,26.25,79.78,52.79,75.12,-19.62,19.23,538.70,22230.91,2142.42,1973.01,14.96,10.92,58.31,7.35,29.81,79.65,1.45,1.41,4.21,-2.69,0.00,75.00,5.00
GlaxoSmith C H L,500676,GSKCONS,Food - Processing - MNC,8551.45,0,0,35.52,6310.00,8975.00,4869.19,1030.44,35967.40,0.00,23.26,35.77,44.94,34.90,37.03,4.47,24.46,690.60,31870.06,4094.72,4052.66,21.72,8.78,53.65,7.39,19.27,44.94,1.23,2.94,-0.36,7.80,0.00,72.46,8.00
Glenmark Pharma.,532296,GLENMARK,Pharmaceuticals - Indian - Bulk Drugs & Formln,319.70,0,0,0.92,316.80,706.90,10022.74,801.32,9021.72,0.79,19.47,16.81,6.07,12.96,37.65,1.51,15.77,3.77,12532.62,5605.19,5576.97,10.10,1.61,6.81,0.90,7.58,6.10,0.63,2.40,10.44,8.59,0.00,46.58,5.00
Godfrey Phillips,500163,GODFRYPHLP,Cigarettes,954.35,0,0,49.06,640.25,1209.90,2699.66,299.11,4962.04,0.02,9.03,12.97,24.55,16.59,27.28,9.37,17.80,57.42,4975.13,1896.28,1885.88,8.43,2.62,14.12,1.84,8.78,17.26,0.84,1.09,0.00,1.77,0.00,72.19,8.00
Godrej Agrovet,540743,GODREJAGRO,Food - Processing - Indian,478.40,1,0,13.45,421.70,564.55,6088.96,324.80,9187.28,0.24,18.79,21.80,32.48,36.96,41.55,3.83,7.51,11.64,9555.38,1648.98,1456.95,10.43,5.57,20.51,1.51,18.07,26.26,0.94,1.06,13.60,9.64,0.00,68.95,5.00
Godrej Consumer,532424,GODREJCP,Personal Care - Indian,680.00,1,0,18.26,575.00,849.90,10184.49,2344.09,69517.11,0.47,28.29,21.10,44.42,33.34,42.80,1.43,20.90,8.87,72004.44,7266.92,7164.70,16.19,9.57,40.21,6.83,32.31,52.39,1.76,1.45,6.30,23.34,0.00,63.25,6.00
Godrej Inds.,500164,GODREJIND,Chemicals,406.95,0,0,2.77,396.00,561.05,10862.46,614.07,13692.48,1.66,8.49,10.11,15.64,25.23,48.52,1.85,6.34,3.08,19939.61,4346.44,4312.80,2.35,3.15,10.99,1.26,11.33,6.56,0.28,1.80,7.39,13.67,0.00,61.33,8.00
Godrej Propert.,533150,GODREJPROP,Construction,983.25,0,0,113.56,460.40,1119.60,2453.03,308.73,24780.20,1.42,7.26,5.80,0.00,80.26,64.95,6.59,8.76,2.86,27953.44,2480.36,2354.35,2.37,10.04,51.83,10.10,41.76,0.00,0.00,2.37,19.03,12.18,0.00,64.45,8.00
Goodyear India,500168,,Tyres,937.20,0,0,17.09,800.40,995.00,1867.56,103.54,2162.12,0.00,15.97,24.98,25.03,20.88,15.40,12.81,9.00,50.06,1603.31,867.12,844.05,15.78,2.49,38.27,1.16,7.76,29.38,1.39,2.22,4.34,1.63,0.00,74.00,6.00
Grasim Inds,500300,GRASIM,Textiles - Manmade,693.15,0,0,1.93,680.05,1003.90,75072.55,1886.42,45586.59,1.47,6.93,11.69,16.43,11.72,20.04,1.09,22.61,2.37,125610.53,55770.23,55638.70,3.41,0.82,-18.57,0.61,6.91,25.98,1.01,1.40,20.83,10.77,0.00,40.15,4.00
Greenlam Industr,538979,GREENLAM,Miscellaneous,856.20,0,0,35.86,630.20,1077.40,1282.13,70.17,2066.56,0.63,19.33,18.41,8.67,29.45,38.85,0.06,12.06,6.86,2325.65,428.41,416.34,9.99,4.82,34.01,1.61,14.91,9.39,0.35,2.55,,499.06,0.00,54.74,7.00
Greenply Inds.,526797,GREENPLY,Miscellaneous,155.80,0,0,69.37,91.99,195.25,1560.51,84.04,1910.53,0.43,15.56,15.19,6.29,22.73,21.30,-1.93,10.67,4.14,2036.08,331.34,319.08,9.37,1.90,14.68,1.22,11.76,7.99,0.26,1.66,-9.88,-11.78,0.00,51.03,7.00
Grindwell Norton,506076,GRINDWELL,Abrasives And Grinding Wheels,599.75,0,0,27.48,470.45,672.00,1628.30,166.70,6640.43,0.00,14.70,22.53,37.93,39.83,34.72,2.98,16.74,114.89,6406.31,1097.92,1042.56,14.10,6.05,78.53,4.08,20.63,39.72,1.00,2.61,10.60,13.36,0.00,58.32,6.00
H D F C,500010,HDFC,Finance - Housing,1995.65,0,0,21.35,1644.50,2357.85,95693.52,16231.76,344587.91,3.46,16.84,10.76,25.38,21.23,21.69,1.38,45.85,1.75,726806.47,111733.14,111388.85,2.98,3.08,-7.78,3.60,14.04,22.27,1.05,0.13,18.62,15.35,0.00,0.00,6.00
H P C L,500104,HINDPETRO,Refineries,309.45,1,0,89.85,163.00,333.50,278557.07,5120.40,47154.69,0.97,27.64,21.99,43.35,9.21,7.70,0.33,3.55,11.76,74298.78,28174.43,26650.61,13.47,1.67,5.58,0.17,6.27,40.20,5.14,0.79,4.26,27.53,0.00,51.11,6.00
H U D C O,540530,HUDCO,Finance - Housing,33.55,0,0,16.90,28.70,47.80,5816.78,1182.45,6716.37,5.46,10.41,8.64,12.66,5.68,10.37,0.57,91.77,1.54,66224.29,10955.77,8953.87,2.22,0.61,-0.29,1.15,12.30,13.99,2.46,0.64,13.39,9.97,0.00,89.81,5.00
Hatsun AgroProd.,531531,HATSUN,Food - Processing - Indian,621.25,0,0,9.96,565.00,785.00,4947.84,128.17,10044.30,1.28,27.93,16.27,60.52,78.37,82.49,8.64,9.73,3.24,11035.80,804.68,788.70,8.45,12.48,26.79,2.03,22.28,69.57,0.80,1.28,13.81,9.07,2.30,73.54,6.00
Havells India,517354,HAVELLS,Electric Equipment,709.55,1,0,29.08,549.70,806.90,10173.25,755.03,44403.84,0.02,19.49,27.54,37.08,58.81,43.35,5.64,11.36,62.68,43213.51,4242.56,4179.98,18.61,10.47,86.64,4.36,33.41,35.56,0.63,1.36,16.63,10.43,0.00,59.52,5.00
HCL Technologies,532281,HCLTECH,Computers - Software - Large,1059.55,1,0,15.17,920.00,1190.00,62976.00,9919.00,143717.49,0.10,26.21,31.79,23.19,14.49,15.45,0.72,22.64,52.81,140040.49,41366.26,41095.00,24.56,3.47,16.02,2.28,9.30,10.71,0.75,2.56,18.76,20.01,0.00,60.00,5.00
HDFC AMC,541729,HDFCAMC,Finance & Investments,2744.65,,0,119.57,1250.00,2975.00,1948.34,1017.13,58353.96,0.00,37.88,55.86,48.09,57.37,35.04,,68.49,660.38,58321.97,3070.73,2964.43,38.45,19.00,65.26,29.95,38.01,54.82,0.87,1.62,,,0.00,82.71,5.00
HDFC Bank,500180,HDFCBANK,Banks - Private Sector,1248.80,0,0,32.54,942.20,1285.00,103814.66,22044.86,683189.00,6.97,17.32,7.51,19.35,30.99,25.72,1.55,65.53,1.64,1642067.41,149208.25,148661.69,1.92,4.58,-12.19,6.58,18.92,19.38,0.60,2.37,19.20,19.98,0.00,21.31,4.00
HDFC Life Insur.,540777,HDFCLIFE,Finance & Investments,598.20,1,0,73.69,344.40,609.00,40084.36,1321.24,120697.14,0.00,25.33,30.28,25.02,91.35,71.14,7.63,2.05,,119457.32,5658.37,3640.88,1.10,21.34,12.23,3.01,89.73,25.75,0.27,0.79,17.45,11.98,0.00,74.49,6.00
Heidelberg Cem.,500292,HEIDELBERG,Cement - North India,185.55,0,0,52.72,121.50,217.60,2182.37,248.57,4204.81,0.44,14.09,17.49,47.70,16.92,33.47,0.34,23.90,6.29,4383.96,1171.19,944.57,8.09,3.59,10.70,1.93,7.81,41.08,2.16,0.97,12.03,49.40,0.00,69.39,9.00
Hero Motocorp,500182,HEROMOTOCO,Automobiles - Motorcycles / Mopeds,2688.35,1,0,20.79,2225.60,3382.70,32870.99,3733.04,53693.58,0.00,30.94,44.18,50.97,16.57,20.36,1.43,14.33,443.39,53557.12,12857.12,12817.17,31.02,4.18,54.84,1.63,9.73,51.34,3.24,1.06,5.89,11.55,0.00,34.63,5.00
Hind. Unilever,500696,HINDUNILVR,Personal Care - Multinational,1990.30,1,0,34.73,1477.20,2101.50,38851.00,6262.00,430862.54,0.00,77.26,108.70,81.00,67.59,47.93,5.64,23.25,202.18,427174.54,7659.00,7443.00,64.58,56.26,75.22,11.09,44.00,78.73,1.10,1.08,6.41,11.98,0.00,67.18,8.00
Hind.Aeronautics,541154,HAL,Engineering,694.70,,0,15.16,603.25,948.00,20371.80,2488.04,23229.90,0.39,20.89,28.84,37.91,9.73,14.71,,23.37,16.85,27316.16,10848.52,10514.13,9.60,2.14,-3.11,1.14,5.39,29.01,2.85,1.55,,,0.00,89.97,6.00
Hind.Zinc,500188,HINDZINC,Mining / Minerals / Metals,213.95,1,0,10.85,193.00,299.00,20795.00,7803.00,90400.70,0.08,23.96,29.04,97.34,11.59,11.58,2.38,50.19,78.78,92915.70,33605.00,32760.00,21.47,2.69,10.29,4.35,7.52,106.21,9.35,0.84,9.14,4.86,0.00,64.92,4.00
Hindalco Inds.,500440,HINDALCO,Aluminium and Aluminium Products,189.75,0,0,10.90,171.10,259.75,130542.25,5495.67,42616.41,0.91,8.20,9.64,7.46,7.69,17.20,0.38,11.93,3.16,85244.86,57497.84,57275.45,3.50,0.74,3.56,0.33,5.10,5.10,0.63,1.41,8.28,20.27,0.00,34.66,9.00
Honeywell Auto,517174,HONAUT,Electronics - Components,28130.40,0,0,56.45,17980.00,29499.00,3261.40,381.23,24867.27,0.00,19.61,31.66,9.21,65.23,55.96,1.97,16.67,105.64,23642.75,1747.46,1738.62,18.92,14.23,80.17,7.62,38.35,11.09,0.16,2.34,13.21,33.04,0.00,75.00,8.00
HSIL,500187,HSIL,Ceramics - Tiles / Sanitaryware,41.25,0,0,1.98,40.45,91.34,2606.24,82.70,298.22,0.78,5.75,7.32,32.51,3.61,25.45,0.92,13.28,2.34,1415.42,1514.52,1500.06,3.40,0.20,0.90,0.11,3.74,30.78,7.27,1.64,9.67,3.93,0.00,48.93,6.00
Huhtamaki PPL,509820,PAPERPROD,Packaging,228.75,0,0,47.58,155.00,289.80,2483.74,72.80,1727.56,0.08,10.88,16.33,42.45,23.73,29.26,-2.60,11.06,5.37,1730.63,598.92,583.81,6.03,2.88,17.07,0.70,5.88,64.97,1.31,1.07,18.67,-9.12,0.00,66.94,6.00
I O C L,530965,IOC,Refineries,148.55,1,0,41.14,105.25,170.75,530738.53,14033.77,139847.33,0.86,18.75,19.27,61.31,9.97,10.67,0.42,5.79,4.83,235547.69,112702.36,103288.20,10.90,1.24,9.90,0.26,6.74,48.87,6.07,1.01,1.58,23.89,0.00,52.18,5.00
ICICI Bank,532174,ICICIBANK,Banks - Private Sector,424.60,0,0,44.03,294.80,458.65,84352.60,6763.05,274273.97,7.80,6.94,5.37,13.98,40.55,23.91,-2.35,0.36,1.52,1078524.13,114250.00,112959.27,0.76,2.40,5.64,3.25,33.28,15.15,0.24,2.41,7.79,-17.22,0.00,0.00,6.00
ICICI Lombard,540716,ICICIGI,Miscellaneous,1203.20,0,0,88.35,638.80,1285.35,9629.86,1069.78,54676.84,0.09,16.08,21.19,23.18,51.11,43.28,5.83,6.24,,54760.19,5439.67,4985.26,13.15,10.05,18.37,5.68,33.59,25.98,0.50,0.36,13.99,8.77,0.00,55.86,6.00
ICICI Pru Life,540133,ICICIPRULI,Finance & Investments,466.85,0,0,68.33,277.35,471.70,41878.89,1143.95,67032.17,0.00,23.43,25.87,53.91,58.60,37.84,-9.61,1.27,,66371.15,7301.57,5865.73,1.17,9.18,5.89,1.60,51.94,39.65,0.67,0.89,13.63,-6.10,0.00,74.98,5.00
ICICI Sec,541179,ISEC,Finance & Investments,277.80,,0,47.77,188.00,310.00,1658.17,470.69,8949.09,0.43,,,51.42,19.01,15.89,,46.42,16.52,6252.29,1047.27,886.20,353.68,8.55,3.91,5.40,7.77,61.71,3.38,1.55,,,0.00,79.22,4.00
ICRA,532835,ICRA,Miscellaneous,2810.35,0,0,9.35,2570.00,3790.00,326.43,98.98,2712.33,0.00,16.40,24.70,29.17,27.40,43.13,2.30,33.08,129.39,2304.84,637.90,628.25,16.21,4.25,33.72,8.31,14.95,27.83,1.07,3.91,3.00,11.89,0.00,51.87,7.00
IFB Inds.,505726,IFBIND,Domestic Appliances,662.20,0,0,18.38,559.40,1044.70,2618.76,70.11,2683.23,0.02,12.48,17.04,0.00,47.30,44.21,2.00,4.56,12.13,2602.42,620.65,579.37,11.10,4.32,53.86,1.02,19.40,0.00,0.00,1.45,20.00,23.69,0.00,74.96,6.00
IIFL Finance,532636,IIFL,Finance & Investments,127.30,0,0,28.85,98.80,248.06,5659.35,826.66,4063.85,7.19,16.58,11.48,21.34,5.45,17.28,0.32,68.53,1.44,28121.67,3694.84,3631.03,2.22,1.10,12.39,0.72,7.02,23.11,3.93,2.40,12.07,17.12,0.00,29.03,5.00
Indiabulls Hous.,535789,IBULHSGFIN,Finance - Housing,267.60,0,0,18.59,225.65,1003.90,16557.97,3837.34,11441.88,6.42,27.19,12.01,42.02,2.98,11.54,0.14,89.63,1.54,102576.83,16482.15,16396.64,3.39,0.69,0.54,0.69,6.78,41.79,14.94,2.40,23.64,21.19,0.00,21.52,6.00
Indian Hotels,500850,INDHOTEL,Hotels,153.35,0,0,40.30,109.30,164.30,4552.30,277.22,18237.28,0.53,2.72,7.06,4.37,64.20,58.07,1.97,19.61,2.84,20322.32,4348.00,4229.07,1.21,4.19,25.64,4.01,20.36,20.73,0.33,0.58,2.10,32.51,0.00,39.09,8.00
Indraprastha Gas,532514,IGL,Miscellaneous,350.15,1,0,62.71,215.20,372.35,6050.55,829.13,24510.53,0.00,20.02,30.58,21.02,29.56,21.05,1.91,21.77,404.30,23903.44,4129.85,3989.85,20.01,5.93,21.18,4.05,16.20,21.36,0.69,0.54,8.05,15.48,0.00,45.00,6.00
IndusInd Bank,532187,INDUSINDBK,Banks - Private Sector,1298.05,0,0,9.26,1188.05,1835.00,24154.37,3697.88,89950.48,9.08,14.66,7.91,12.90,24.32,27.21,1.31,58.61,1.38,317356.11,26675.24,26072.10,1.71,3.37,-14.08,3.72,15.74,13.69,0.50,3.31,21.95,18.59,26.33,13.05,3.00
Info Edg.(India),532777,NAUKRI,Miscellaneous,2064.00,0,0,57.48,1310.65,2443.90,1150.93,603.65,25246.06,0.00,4.67,7.31,-68.37,308.67,165.10,-467.68,0.76,12.91,24986.55,2542.59,2420.58,4.35,9.93,91.57,21.94,221.81,12.13,0.29,2.52,15.20,-0.66,0.00,40.61,5.00
Infosys,500209,INFY,Computers - Software - Large,793.55,1,0,32.29,599.85,847.40,85351.00,15591.00,338787.96,0.00,22.95,30.71,53.56,21.80,19.41,2.93,24.16,530.08,319219.96,56480.00,54343.00,22.86,6.00,22.83,3.97,13.61,60.58,2.76,2.08,10.52,7.45,0.00,13.15,4.00
Inox Leisure,532706,INOXLEISUR,Entertainment / Electronic Media Software,328.95,0,0,75.07,187.90,383.40,1770.25,123.49,3383.51,0.11,15.02,16.12,0.00,26.64,42.69,0.89,21.18,3.79,3480.38,963.88,861.25,9.44,3.51,12.09,1.91,8.92,0.00,0.00,0.65,14.48,30.05,0.00,51.89,7.00
Interglobe Aviat,539448,INDIGO,Transport - Airlines,1869.90,,0,170.61,691.00,1911.00,31404.86,1328.82,71926.98,0.35,20.83,23.61,69.15,54.13,103.16,,7.42,2.50,65749.79,6939.14,6554.50,9.92,10.36,22.76,2.29,17.70,123.10,0.27,1.42,20.72,,0.00,74.89,7.00
ITC,500875,ITC,Cigarettes,255.90,1,1,9.34,234.05,310.00,46005.36,12819.58,314411.28,0.00,22.90,34.44,56.37,24.53,31.26,3.11,38.41,451.58,310653.68,57949.79,56723.93,22.82,5.43,26.76,6.83,15.25,56.55,2.24,1.45,6.24,7.89,0.00,0.00,6.00
Jain Irrigation,500219,JISLJALEQS,Plastics Products,18.75,0,0,15.03,16.30,76.80,8407.19,179.41,959.34,1.19,4.88,9.12,22.10,5.35,35.89,0.40,10.55,1.57,6061.27,4413.09,4309.96,2.28,0.22,6.14,0.11,5.36,21.57,5.38,2.17,7.96,13.32,50.85,28.65,5.00
JK Tyre & Indust,530007,JKTYRE,Tyres,67.85,0,0,26.70,53.55,114.80,10505.81,129.12,1670.68,2.52,9.13,10.05,22.21,10.19,15.18,-1.33,9.77,1.45,7258.52,2284.40,2235.16,2.48,0.73,2.10,0.16,6.54,0.00,2.21,1.56,6.46,-7.67,35.39,56.23,7.00
Johnson Con. Hit,523398,JCHAC,Air-conditioners,1918.10,0,0,30.48,1470.00,2151.00,2399.14,98.81,5215.31,0.31,18.32,24.09,4.61,52.78,62.79,0.87,7.93,37.34,5375.08,612.99,585.80,14.73,8.51,-64.40,2.17,26.60,4.75,0.08,1.71,15.30,60.66,0.00,74.25,4.00
JSW Steel,500228,JSWSTEEL,Steel - Large,222.65,0,0,10.36,201.75,387.50,84050.00,6241.00,53819.41,1.36,22.81,17.47,16.98,8.62,28.30,0.11,20.81,3.34,95009.41,34734.00,34494.00,8.38,1.55,3.68,0.64,5.34,16.16,2.29,1.12,10.60,80.38,49.13,42.27,8.00
Jubilant Food.,533155,JUBLFOOD,Food - Processing - MNC,1334.65,1,0,36.61,977.00,1529.95,3615.70,322.91,17613.25,0.00,20.78,31.57,20.31,53.70,76.09,2.53,18.94,13.75,17124.19,1323.72,1191.75,19.70,13.31,40.60,4.87,23.15,20.44,0.37,1.06,15.42,21.21,2.36,41.94,8.00
Kajaria Ceramics,500233,KAJARIACER,Ceramics - Tiles / Sanitaryware,556.15,1,0,79.40,310.00,649.65,2999.17,233.10,8840.02,0.08,19.05,27.29,20.07,37.44,35.10,2.82,15.29,24.30,8707.97,1574.90,1559.00,15.75,5.61,27.86,2.95,18.16,21.05,0.54,1.92,9.99,13.30,0.00,47.58,7.00
Kansai Nerolac,500165,KANSAINER,Paints / Varnishes,509.75,0,0,48.62,343.00,535.40,5261.17,475.41,27471.43,0.00,15.81,23.79,29.69,57.78,39.74,3.37,14.65,577.39,27399.77,3424.47,3370.58,15.79,8.02,248.80,5.22,33.20,29.98,0.51,2.26,10.85,17.15,0.00,74.99,5.00
Kaveri Seed Co.,532899,KSCL,Miscellaneous,490.05,0,0,32.88,368.80,623.90,842.56,233.08,3093.64,0.00,18.26,19.36,6.08,13.27,22.95,11.54,27.93,2033.42,3089.07,1012.96,1000.33,18.01,3.05,23.50,3.67,11.63,8.83,0.61,1.35,-5.18,1.15,0.00,55.09,5.00
Kotak Mah. Bank,500247,KOTAKBANK,Banks - Private Sector,1648.20,0,0,58.48,1040.00,1683.95,31345.58,7561.86,314801.86,5.00,13.57,8.01,2.17,43.92,32.39,1.84,34.14,1.68,574800.60,57780.02,56825.35,2.06,5.40,172.74,10.04,21.22,2.12,0.05,2.50,20.09,23.89,0.00,29.98,5.00
KRBL,530813,KRBL,Food - Processing - Indian,218.80,1,0,11.18,196.80,391.20,4594.73,539.09,5150.33,0.52,21.15,21.25,12.18,9.55,16.50,0.65,19.70,11.66,6572.75,2726.70,2703.16,13.45,1.89,-45.04,1.12,7.13,11.70,1.14,7.47,7.41,14.79,0.00,58.81,4.00
KSB,500249,KSB,Pumps,660.80,0,0,23.36,535.65,825.00,1218.10,86.10,2300.24,0.06,10.28,15.76,28.86,29.55,33.00,23.64,11.81,27.26,2209.65,775.00,740.20,9.60,2.97,29.68,1.89,13.30,29.17,0.91,1.94,8.38,1.25,0.00,66.41,7.00
L & T Infotech,540005,LTI,Computers - Software - Medium / Small,1505.55,1,1,4.86,1435.80,1956.00,9775.00,1510.30,26186.12,0.00,34.09,44.73,31.52,17.34,17.75,1.98,19.67,76.14,25771.12,4893.80,4876.40,33.42,5.35,18.77,2.68,11.62,32.14,1.86,2.08,13.93,8.76,0.00,74.79,5.00
L&T Fin.Holdings,533519,L&TFH,Finance & Investments,83.15,0,0,3.68,80.20,159.25,13414.89,2242.28,16634.00,6.80,14.52,9.49,12.79,7.42,20.52,0.25,74.09,1.42,106266.83,13449.32,11449.79,1.84,1.24,-1.43,1.24,10.23,8.98,1.20,5.78,20.00,29.64,0.00,63.89,5.00
L&T Technology,540115,LTTS,Computers - Software - Medium / Small,1507.60,1,0,10.33,1366.45,1820.00,4883.60,753.80,15682.37,0.02,31.17,41.70,30.57,20.80,22.28,0.13,19.14,108.05,15533.37,2435.90,2415.10,30.78,6.44,21.28,3.21,13.92,31.20,1.39,2.14,106.28,157.29,0.00,74.97,7.00
La Opala RG,526947,LAOPALA,Glass & Glass Products,171.30,0,0,19.62,143.20,258.00,281.05,79.90,1901.43,0.00,15.83,23.03,17.49,23.80,43.40,1.25,40.07,180.70,1898.54,529.14,506.94,16.03,3.59,37.51,6.77,14.39,17.99,0.70,1.48,9.59,18.99,0.00,65.33,6.00
Larsen & Toubro,500510,LT,Engineering - Turnkey Services,1464.05,0,0,23.81,1182.50,1607.00,140729.05,9162.93,205445.10,1.97,14.64,12.97,26.80,22.81,26.40,1.60,17.19,2.51,318297.74,62221.67,61941.05,4.81,3.29,-43.56,1.46,12.00,28.35,1.23,1.85,10.64,14.29,0.00,0.00,3.00
Lemon Tree Hotel,541233,LEMONTREE,Hotels,57.10,0,0,21.49,47.00,90.90,563.50,48.93,4523.73,1.37,2.46,5.85,0.00,92.45,120.37,,31.58,1.41,5687.90,875.70,85.73,0.84,5.17,24.23,8.03,29.37,0.00,0.00,0.87,,,34.14,30.90,7.00
LIC Housing Fin.,500253,LICHSGFIN,Finance - Housing,377.40,0,0,2.55,368.00,587.00,18105.74,2473.74,19045.49,10.85,16.74,9.45,16.38,7.70,13.68,0.59,93.42,1.25,192388.22,16259.21,16158.28,1.38,1.17,-0.88,1.05,11.37,15.79,2.01,0.56,13.30,13.04,0.00,40.31,4.00
Lupin,500257,LUPIN,Pharmaceuticals - Indian - Bulk Drugs,703.10,0,0,0.85,697.20,914.90,17280.63,706.84,31825.65,0.62,9.05,12.80,46.84,39.77,50.87,-2.37,17.56,7.17,39334.60,13742.25,13651.73,5.64,2.32,19.10,1.84,11.33,37.30,0.71,2.73,8.18,-16.81,0.00,46.96,5.00
M & M,500520,M&M,Automobiles - Passenger Cars,556.70,0,0,10.78,502.55,847.00,53016.81,5888.90,69208.53,0.08,14.15,17.65,21.26,14.52,19.82,2.73,12.05,56.79,68048.21,34209.40,33613.43,12.25,2.02,14.06,1.31,8.37,21.12,1.46,1.04,5.77,5.32,3.07,18.90,6.00
