ticker	industry	bat	cmp	low_52w	high_52w	up_52w_low	mos	txn_gap	plan_oku	cur_oku	tbd_oku
HEXAWARE	IT	396	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A70),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A70),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A70),"high52"))	=IFERROR(ROUND((D70-E70)*100/E70),"-")	=IFERROR(ROUND((C70-D70)*100/D70),"-")	-	-	0	-
HINDUNILVR	CONSUMER GOODS	2041	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A71),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A71),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A71),"high52"))	=IFERROR(ROUND((D71-E71)*100/E71),"-")	=IFERROR(ROUND((C71-D71)*100/D71),"-")	12	50	8	42
HINDZINC	METALS	240	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A72),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A72),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A72),"high52"))	=IFERROR(ROUND((D72-E72)*100/E72),"-")	=IFERROR(ROUND((C72-D72)*100/D72),"-")	6	10	10	0
IBULHSGFIN	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A73),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A73),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A73),"high52"))	=IFERROR(ROUND((D73-E73)*100/E73),"-")	=IFERROR(ROUND((C73-D73)*100/D73),"-")	12	10	2	8
IBVENTURES	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A74),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A74),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A74),"high52"))	=IFERROR(ROUND((D74-E74)*100/E74),"-")	=IFERROR(ROUND((C74-D74)*100/D74),"-")	-	-	0	-
ICICIGI	FINANCIAL SERVICES	1145	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A75),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A75),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A75),"high52"))	=IFERROR(ROUND((D75-E75)*100/E75),"-")	=IFERROR(ROUND((C75-D75)*100/D75),"-")	18	20	3	17
ICICIPRULI	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A76),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A76),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A76),"high52"))	=IFERROR(ROUND((D76-E76)*100/E76),"-")	=IFERROR(ROUND((C76-D76)*100/D76),"-")	12	10	3	7
IEX	-	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A77),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A77),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A77),"high52"))	=IFERROR(ROUND((D77-E77)*100/E77),"-")	=IFERROR(ROUND((C77-D77)*100/D77),"-")	-	-	0	-
IGL	ENERGY	401	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A78),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A78),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A78),"high52"))	=IFERROR(ROUND((D78-E78)*100/E78),"-")	=IFERROR(ROUND((C78-D78)*100/D78),"-")	15	5	1	4
INDIGO	SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A79),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A79),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A79),"high52"))	=IFERROR(ROUND((D79-E79)*100/E79),"-")	=IFERROR(ROUND((C79-D79)*100/D79),"-")	13	10	3	7
INFRATEL	TELECOM	274	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A80),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A80),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A80),"high52"))	=IFERROR(ROUND((D80-E80)*100/E80),"-")	=IFERROR(ROUND((C80-D80)*100/D80),"-")	13	10	2	8
INFY	IT	782	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A81),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A81),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A81),"high52"))	=IFERROR(ROUND((D81-E81)*100/E81),"-")	=IFERROR(ROUND((C81-D81)*100/D81),"-")	2	50	22	28
ITC	CONSUMER GOODS	318	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A82),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A82),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A82),"high52"))	=IFERROR(ROUND((D82-E82)*100/E82),"-")	=IFERROR(ROUND((C82-D82)*100/D82),"-")	6	50	21	29
JMFINANCIL	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A83),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A83),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A83),"high52"))	=IFERROR(ROUND((D83-E83)*100/E83),"-")	=IFERROR(ROUND((C83-D83)*100/D83),"-")	-	-	0	-
JUBLFOOD	CONSUMER GOODS	1590	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A84),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A84),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A84),"high52"))	=IFERROR(ROUND((D84-E84)*100/E84),"-")	=IFERROR(ROUND((C84-D84)*100/D84),"-")	18	10	3	7
KAJARIACER	CONSTRUCTION	613	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A85),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A85),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A85),"high52"))	=IFERROR(ROUND((D85-E85)*100/E85),"-")	=IFERROR(ROUND((C85-D85)*100/D85),"-")	13	20	3	17
KANSAINER	CONSUMER GOODS	520	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A86),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A86),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A86),"high52"))	=IFERROR(ROUND((D86-E86)*100/E86),"-")	=IFERROR(ROUND((C86-D86)*100/D86),"-")	11	20	3	17
L&TFH	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A87),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A87),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A87),"high52"))	=IFERROR(ROUND((D87-E87)*100/E87),"-")	=IFERROR(ROUND((C87-D87)*100/D87),"-")	19	10	1	9
LALPATHLAB	HEALTHCARE SERVICES	1120	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A88),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A88),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A88),"high52"))	=IFERROR(ROUND((D88-E88)*100/E88),"-")	=IFERROR(ROUND((C88-D88)*100/D88),"-")	18	10	2	8
LAXMIMACH	INDUSTRIAL MANUFACTURING	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A89),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A89),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A89),"high52"))	=IFERROR(ROUND((D89-E89)*100/E89),"-")	=IFERROR(ROUND((C89-D89)*100/D89),"-")	-	-	0	-
LICHSGFIN	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A90),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A90),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A90),"high52"))	=IFERROR(ROUND((D90-E90)*100/E90),"-")	=IFERROR(ROUND((C90-D90)*100/D90),"-")	12	10	3	7
LTI	IT	1867	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A91),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A91),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A91),"high52"))	=IFERROR(ROUND((D91-E91)*100/E91),"-")	=IFERROR(ROUND((C91-D91)*100/D91),"-")	0	5	7	-2
LTTS	IT	1801	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A92),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A92),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A92),"high52"))	=IFERROR(ROUND((D92-E92)*100/E92),"-")	=IFERROR(ROUND((C92-D92)*100/D92),"-")	0	5	6	-1
M&M	AUTOMOBILE	658	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A93),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A93),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A93),"high52"))	=IFERROR(ROUND((D93-E93)*100/E93),"-")	=IFERROR(ROUND((C93-D93)*100/D93),"-")	0	20	16	4
M&MFIN	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A94),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A94),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A94),"high52"))	=IFERROR(ROUND((D94-E94)*100/E94),"-")	=IFERROR(ROUND((C94-D94)*100/D94),"-")	12	10	2	8
MANAPPURAM	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A95),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A95),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A95),"high52"))	=IFERROR(ROUND((D95-E95)*100/E95),"-")	=IFERROR(ROUND((C95-D95)*100/D95),"-")	8	5	2	3
MARICO	CONSUMER GOODS	401	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A96),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A96),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A96),"high52"))	=IFERROR(ROUND((D96-E96)*100/E96),"-")	=IFERROR(ROUND((C96-D96)*100/D96),"-")	0	10	11	-1
MARUTI	AUTOMOBILE	7025	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A97),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A97),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A97),"high52"))	=IFERROR(ROUND((D97-E97)*100/E97),"-")	=IFERROR(ROUND((C97-D97)*100/D97),"-")	6	20	22	-2
MCX	-	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A98),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A98),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A98),"high52"))	=IFERROR(ROUND((D98-E98)*100/E98),"-")	=IFERROR(ROUND((C98-D98)*100/D98),"-")	-	5	0	5
MGL	ENERGY	1039	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A99),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A99),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A99),"high52"))	=IFERROR(ROUND((D99-E99)*100/E99),"-")	=IFERROR(ROUND((C99-D99)*100/D99),"-")	-	-	0	-
MINDTREE	IT	799	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A100),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A100),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A100),"high52"))	=IFERROR(ROUND((D100-E100)*100/E100),"-")	=IFERROR(ROUND((C100-D100)*100/D100),"-")	0	-	7	-7
MOIL	METALS	219	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A101),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A101),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A101),"high52"))	=IFERROR(ROUND((D101-E101)*100/E101),"-")	=IFERROR(ROUND((C101-D101)*100/D101),"-")	-	-	0	-
MONSANTO	-	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A102),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A102),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A102),"high52"))	=IFERROR(ROUND((D102-E102)*100/E102),"-")	=IFERROR(ROUND((C102-D102)*100/D102),"-")	-	-	0	-
MOTILALOFS	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A103),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A103),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A103),"high52"))	=IFERROR(ROUND((D103-E103)*100/E103),"-")	=IFERROR(ROUND((C103-D103)*100/D103),"-")	-	-	0	-
MPHASIS	IT	1096	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A104),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A104),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A104),"high52"))	=IFERROR(ROUND((D104-E104)*100/E104),"-")	=IFERROR(ROUND((C104-D104)*100/D104),"-")	-	-	0	-
MUTHOOTFIN	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A105),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A105),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A105),"high52"))	=IFERROR(ROUND((D105-E105)*100/E105),"-")	=IFERROR(ROUND((C105-D105)*100/D105),"-")	12	10	3	7
NATCOPHARM	PHARMA	644	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A106),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A106),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A106),"high52"))	=IFERROR(ROUND((D106-E106)*100/E106),"-")	=IFERROR(ROUND((C106-D106)*100/D106),"-")	-	-	0	-
NATIONALUM	METALS	44	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A107),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A107),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A107),"high52"))	=IFERROR(ROUND((D107-E107)*100/E107),"-")	=IFERROR(ROUND((C107-D107)*100/D107),"-")	0	10	10	0
NBCC	CONSTRUCTION	46	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A108),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A108),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A108),"high52"))	=IFERROR(ROUND((D108-E108)*100/E108),"-")	=IFERROR(ROUND((C108-D108)*100/D108),"-")	11	10	3	7
NESTLEIND	-	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A109),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A109),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A109),"high52"))	=IFERROR(ROUND((D109-E109)*100/E109),"-")	=IFERROR(ROUND((C109-D109)*100/D109),"-")	-	5	0	5
NIITTECH	IT	1448	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A110),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A110),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A110),"high52"))	=IFERROR(ROUND((D110-E110)*100/E110),"-")	=IFERROR(ROUND((C110-D110)*100/D110),"-")	-	-	0	-
NMDC	METALS	110	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A111),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A111),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A111),"high52"))	=IFERROR(ROUND((D111-E111)*100/E111),"-")	=IFERROR(ROUND((C111-D111)*100/D111),"-")	11	10	3	7
OFSS	IT	4220	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A112),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A112),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A112),"high52"))	=IFERROR(ROUND((D112-E112)*100/E112),"-")	=IFERROR(ROUND((C112-D112)*100/D112),"-")	-	-	0	-
ONGC	ENERGY	191	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A113),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A113),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A113),"high52"))	=IFERROR(ROUND((D113-E113)*100/E113),"-")	=IFERROR(ROUND((C113-D113)*100/D113),"-")	1	50	10	40
PAGEIND	TEXTILES	20947	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A114),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A114),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A114),"high52"))	=IFERROR(ROUND((D114-E114)*100/E114),"-")	=IFERROR(ROUND((C114-D114)*100/D114),"-")	9	0	24	-24
PEL	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A115),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A115),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A115),"high52"))	=IFERROR(ROUND((D115-E115)*100/E115),"-")	=IFERROR(ROUND((C115-D115)*100/D115),"-")	21	20	5	15
PERSISTENT	IT	658	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A116),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A116),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A116),"high52"))	=IFERROR(ROUND((D116-E116)*100/E116),"-")	=IFERROR(ROUND((C116-D116)*100/D116),"-")	-	-	0	-
PETRONET	ENERGY	328	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A117),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A117),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A117),"high52"))	=IFERROR(ROUND((D117-E117)*100/E117),"-")	=IFERROR(ROUND((C117-D117)*100/D117),"-")	11	10	3	7
PFIZER	PHARMA	3978	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A118),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A118),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A118),"high52"))	=IFERROR(ROUND((D118-E118)*100/E118),"-")	=IFERROR(ROUND((C118-D118)*100/D118),"-")	7	10	5	5
PGHH	CONSUMER GOODS	11441	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A119),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A119),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A119),"high52"))	=IFERROR(ROUND((D119-E119)*100/E119),"-")	=IFERROR(ROUND((C119-D119)*100/D119),"-")	31	20	8	12
PGHL	PHARMA	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A120),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A120),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A120),"high52"))	=IFERROR(ROUND((D120-E120)*100/E120),"-")	=IFERROR(ROUND((C120-D120)*100/D120),"-")	3	0	5	-5
PIDILITIND	CHEMICALS	1319	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A121),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A121),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A121),"high52"))	=IFERROR(ROUND((D121-E121)*100/E121),"-")	=IFERROR(ROUND((C121-D121)*100/D121),"-")	21	20	3	17
PIIND	FERTILISERS & PESTICIDES	1400	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A122),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A122),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A122),"high52"))	=IFERROR(ROUND((D122-E122)*100/E122),"-")	=IFERROR(ROUND((C122-D122)*100/D122),"-")	11	5	2	3
PNBHOUSING	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A123),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A123),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A123),"high52"))	=IFERROR(ROUND((D123-E123)*100/E123),"-")	=IFERROR(ROUND((C123-D123)*100/D123),"-")	-	-	0	-
RADICO	CONSUMER GOODS	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A124),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A124),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A124),"high52"))	=IFERROR(ROUND((D124-E124)*100/E124),"-")	=IFERROR(ROUND((C124-D124)*100/D124),"-")	-	-	0	-
RAMCOCEM	CEMENT & CEMENT PRODUCTS	828	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A125),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A125),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A125),"high52"))	=IFERROR(ROUND((D125-E125)*100/E125),"-")	=IFERROR(ROUND((C125-D125)*100/D125),"-")	-	-	0	-
RATNAMANI	-	1193	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A126),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A126),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A126),"high52"))	=IFERROR(ROUND((D126-E126)*100/E126),"-")	=IFERROR(ROUND((C126-D126)*100/D126),"-")	-	-	0	-
RECLTD	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A127),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A127),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A127),"high52"))	=IFERROR(ROUND((D127-E127)*100/E127),"-")	=IFERROR(ROUND((C127-D127)*100/D127),"-")	13	10	3	7
RELAXO	CONSUMER GOODS	642	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A128),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A128),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A128),"high52"))	=IFERROR(ROUND((D128-E128)*100/E128),"-")	=IFERROR(ROUND((C128-D128)*100/D128),"-")	5	10	3	7
RITES	-	304	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A129),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A129),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A129),"high52"))	=IFERROR(ROUND((D129-E129)*100/E129),"-")	=IFERROR(ROUND((C129-D129)*100/D129),"-")	-	-	0	-
RNAM	-	334	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A130),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A130),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A130),"high52"))	=IFERROR(ROUND((D130-E130)*100/E130),"-")	=IFERROR(ROUND((C130-D130)*100/D130),"-")	-	-	0	-
SANOFI	PHARMA	6929	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A131),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A131),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A131),"high52"))	=IFERROR(ROUND((D131-E131)*100/E131),"-")	=IFERROR(ROUND((C131-D131)*100/D131),"-")	27	10	4	6
SBILIFE	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A132),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A132),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A132),"high52"))	=IFERROR(ROUND((D132-E132)*100/E132),"-")	=IFERROR(ROUND((C132-D132)*100/D132),"-")	13	20	3	17
SCHAEFFLER	INDUSTRIAL MANUFACTURING	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A133),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A133),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A133),"high52"))	=IFERROR(ROUND((D133-E133)*100/E133),"-")	=IFERROR(ROUND((C133-D133)*100/D133),"-")	2	5	10	-5
SHREECEM	CEMENT & CEMENT PRODUCTS	19960	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A134),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A134),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A134),"high52"))	=IFERROR(ROUND((D134-E134)*100/E134),"-")	=IFERROR(ROUND((C134-D134)*100/D134),"-")	9	0	18	-18
SHRIRAMCIT	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A135),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A135),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A135),"high52"))	=IFERROR(ROUND((D135-E135)*100/E135),"-")	=IFERROR(ROUND((C135-D135)*100/D135),"-")	-	-	0	-
SIEMENS	INDUSTRIAL MANUFACTURING	1568	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A136),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A136),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A136),"high52"))	=IFERROR(ROUND((D136-E136)*100/E136),"-")	=IFERROR(ROUND((C136-D136)*100/D136),"-")	11	10	4	6
SJVN	ENERGY	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A137),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A137),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A137),"high52"))	=IFERROR(ROUND((D137-E137)*100/E137),"-")	=IFERROR(ROUND((C137-D137)*100/D137),"-")	-	-	0	-
SKFINDIA	INDUSTRIAL MANUFACTURING	1840	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A138),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A138),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A138),"high52"))	=IFERROR(ROUND((D138-E138)*100/E138),"-")	=IFERROR(ROUND((C138-D138)*100/D138),"-")	18	10	3	7
