bhav_ticker,bhav_last,bhav_isin
KIRLOSBROS,115.1,INE732A01036
KIRLOSENG,108.1,INE146L01010
KIRLOSIND,648.0,INE250A01039
KITEX,103.85,INE602G01020
KKCL,764.95,INE401H01017
KMSUGAR,10.7,INE157H01023
KNRCON,255.45,INE634I01029
KOKUYOCMLN,58.2,INE760A01029
KOLTEPATIL,159.6,INE094I01018
KOPRAN,90.2,INE082A01010
KOTAKBANK,1306.0,INE237A01028
KOTAKBKETF,224.35,INF174K01F59
KOTAKGOLD,442.75,INF373I01049
KOTAKNIFTY,119.0,INF174K014P6
KOTAKNV20,59.59,INF174K01Z71
KOTAKPSUBK,126.11,INF373I01023
KOTARISUG,15.15,INE419A01022
KOTHARIPET,16.45,INE720A01015
KOTHARIPRO,60.5,INE823A01017
KPITTECH,124.6,INE04I401011
KPRMILL,658.5,INE930H01023
KRBL,287.4,INE001B01026
KREBSBIO,92.5,INE268B01013
KRIDHANINF,2.95,INE524L01026
KSB,474.5,INE999A01015
KSCL,547.25,INE455I01029
KSK,0.4,INE143H01015
KSL,220.0,INE907A01026
KTKBANK,41.4,INE614B01018
KUANTUM,42.2,INE529I01021
KWALITY,2.3,INE775B01025
L&TFH,64.4,INE498L01015
LAKSHVILAS,19.05,INE694C01018
LALPATHLAB,1859.9,INE600L01024
LAMBODHARA,27.65,INE112F01022
LAOPALA,220.15,INE059D01020
LASA,66.45,INE670X01014
LAURUSLABS,280.85,INE947Q01028
LAXMIMACH,3534.0,INE269B01029
LEMONTREE,28.5,INE970X01018
LFIC,62.6,INE850E01012
LGBBROSLTD,239.0,INE337A01034
LGBFORGE,2.5,INE201J01017
LIBAS,33.45,INE908V01012
LIBERTSHOE,149.3,INE557B01019
LICHSGFIN,280.4,INE115A01026
LICNETFGSC,21.04,INF767K01MV5
LICNETFN50,116.2,INF767K01OS7
LICNETFSEN,400.01,INF767K01OT5
LICNFNHGP,117.3,INF767K01PC8
LINCOLN,255.0,INE405C01035
LINCPEN,174.0,INE802B01019
LINDEINDIA,805.85,INE473A01011
LIQUIDBEES,1000.0,INF732E01037
LIQUIDETF,1000.0,INF740KA1EU7
LOKESHMACH,20.0,INE397H01017
LOTUSEYE,30.5,INE947I01017
LOVABLE,56.5,INE597L01014
LSIL,0.7,INE093R01011
LT,901.5,INE018A01030
LTI,2527.0,INE214T01019
LTTS,1584.0,INE010V01017
LUMAXIND,1335.0,INE162B01018
LUMAXTECH,99.0,INE872H01027
LUPIN,1028.15,INE326A01037
LUXIND,1430.25,INE150G01020
LYKALABS,18.8,INE933A01014
LYPSAGEMS,2.85,INE142K01011
M&M,609.1,INE101A01026
M&MFIN,129.65,INE774D01024
M100,17.9,INF247L01023
M50,111.89,INF247L01536
MAANALU,72.8,INE215I01019
MACPOWER,74.6,INE155Z01011
MADHAV,26.0,INE925C01016
MADHUCON,3.1,INE378D01032
MADRASFERT,18.1,INE414A01015
MAGADSUGAR,116.0,INE347W01011
MAGMA,32.6,INE511C01022
MAGNUM,5.3,INE387I01016
MAHABANK,11.2,INE457A01014
MAHASTEEL,107.85,INE451L01014
MAHEPC,149.9,INE215D01010
MAHESHWARI,180.0,INE263W01010
MAHINDCIE,137.85,INE536H01010
MAHLIFE,233.0,INE813A01018
MAHLOG,352.0,INE766P01016
MAHSCOOTER,3080.0,INE288A01013
MAHSEAMLES,222.5,INE271B01025
MAITHANALL,506.0,INE683C01011
MAJESCO,817.0,INE898S01029
MALUPAPER,26.3,INE383H01017
MAN50ETF,116.5,INF769K01EG9
MANAKALUCO,7.7,INE859Q01017
MANAKCOAT,4.0,INE830Q01018
MANAKSIA,39.8,INE015D01022
MANAKSTEEL,10.2,INE824Q01011
MANALIPETC,33.4,INE201A01024
MANAPPURAM,166.3,INE522D01027
MANGALAM,138.8,INE584F01014
MANGCHEFER,30.3,INE558B01017
MANGLMCEM,181.25,INE347A01017
MANGTIMBER,6.9,INE805B01012
MANINFRA,26.25,INE949H01023
MANUGRAPH,9.5,INE867A01022
MANXT50,270.8,INF769K01FN2
MARALOVER,11.75,INE882A01013
MARATHON,52.45,INE182D01020
MARICO,365.0,INE196A01026
MARKSANS,51.7,INE750C01026
MARUTI,6795.0,INE585B01010
MASFIN,820.25,INE348L01012
MASTEK,855.0,INE759A01021
MATRIMONY,648.0,INE866R01028
MAWANASUG,23.9,INE636A01039
MAXHEALTH,115.55,INE027H01010
MAXIND,59.85,INE0CG601016
MAXVIL,36.9,INE154U01015
MAYURUNIQ,259.7,INE040D01038
MAZDA,559.0,INE885E01034
MBLINFRA,8.45,INE912H01013
MCDHOLDING,24.85,INE836H01014
MCDOWELL-N,521.5,INE854D01024
MCL,69.3,INE813V01022
MCX,1725.0,INE745G01035
MEGH,80.05,INE974H01013
MENONBE,40.0,INE071D01033
MEP,13.25,INE776I01010
MERCATOR,0.85,INE934B01028
METROPOLIS,1770.0,INE112L01020
MFSL,617.5,INE180A01020
MGL,862.0,INE002S01010
MHRIL,171.6,INE998I01010
MIDHANI,197.65,INE099Z01011
MINDACORP,71.95,INE842C01021
MINDAIND,331.7,INE405E01023
MINDTREE,1339.8,INE018I01017
MIRCELECTR,8.25,INE831A01028
MIRZAINT,50.75,INE771A01026
MITTAL,20.55,INE997Y01019
MMFL,327.0,INE227C01017
MMP,77.9,INE511Y01018
MMTC,16.35,INE123F01029
MOHITIND,3.55,INE954E01012
MOHOTAIND,8.2,INE313D01013
MOIL,143.55,INE490G01020
MOLDTECH,41.0,INE835B01035
MOLDTKPAC,283.1,INE893J01029
MONTECARLO,176.3,INE950M01013
MORARJEE,8.95,INE161G01027
MOREPENLAB,23.9,INE083A01026
MOTHERSUMI,116.0,INE775A01035
MOTILALOFS,629.5,INE338I01027
MOTOGENFIN,15.6,INE861B01023
MPHASIS,1345.0,INE356A01018
MPSLTD,400.15,INE943D01017
MRF,60510.0,INE883A01011
MRO-TEK,22.8,INE398B01018
MRPL,26.4,INE103A01014
MSPL,6.6,INE752G01015
MSTCLTD,161.9,INE255X01014
MTEDUCARE,10.5,INE472M01018
MTNL,8.35,INE153A01019
MUKANDENGG,9.85,INE022B01014
MUKANDLTD,51.35,INE304A01026
MUKTAARTS,27.4,INE374B01019
MUNJALAU,57.55,INE672B01032
MUNJALSHOW,127.4,INE577A01027
MURUDCERA,15.05,INE692B01014
MUTHOOTCAP,396.55,INE296G01013
MUTHOOTFIN,1154.15,INE414G01012
N100,826.6,INF247L01031
NACLIND,38.25,INE295D01020
NAGAFERT,4.3,INE454M01024
NAGREEKCAP,5.1,INE245I01016
NAGREEKEXP,13.25,INE123B01028
NAHARCAP,64.9,INE049I01012
NAHARINDUS,26.2,INE289A01011
NAHARPOLY,64.8,INE308A01027
NAHARSPING,41.1,INE290A01027
NAM-INDIA,266.0,INE298J01013
NATCOPHARM,932.05,INE987B01026
NATHBIOGEN,289.55,INE448G01010
NATIONALUM,32.2,INE139A01034
NAUKRI,3596.05,INE663F01024
NAVINFLUOR,2132.0,INE048G01026
NAVKARCORP,25.4,INE278M01019
NAVNETEDUL,77.05,INE060A01024
NBCC,23.75,INE095N01031
NBIFIN,1596.0,INE365I01020
NBVENTURES,58.5,INE725A01022
NCC,35.2,INE868B01028
NCLIND,105.5,INE732C01016
NDGL,615.85,INE756C01015
NDRAUTO,132.0,INE07OG01012
NDTV,31.5,INE155G01029
NECCLTD,8.5,INE553C01016
NECLIFE,22.0,INE023H01027
NELCAST,58.35,INE189I01024
NELCO,197.5,INE045B01015
NEOGEN,665.0,INE136S01016
NESCO,533.7,INE317F01035
NESTLEIND,16000.0,INE239A01016
NETF,131.07,INF277K015R5
NETFCONSUM,53.3,INF204KA1LD7
NETFDIVOPP,27.89,INF204KA1MS3
NETFIT,20.24,INF204KB15V2
NETFLTGILT,21.9,INF204KB1882
NETFMID150,65.35,INF204KB1V68
NETFNIF100,120.0,INF204K014N5
NETFNV20,60.08,INF204KB18I3
NETWORK18,33.6,INE870H01013
NEULANDLAB,1176.3,INE794A01010
NEWGEN,219.1,INE619B01017
NFL,33.05,INE870D01012
NH,347.9,INE410P01011
NHPC,20.3,INE848E01016
NIACL,105.9,INE470Y01017
NIBL,6.15,INE047O01014
NIFTYBEES,121.6,INF204KB14I2
NIFTYEES,14583.0,INF754K01EK3
NIITLTD,131.4,INE161A01038
NILAINFRA,4.5,INE937C01029
NILASPACES,1.2,INE00S901012
NILKAMAL,1310.0,INE310A01015
NIPPOBATRY,560.0,INE567A01010
NIRAJ,38.3,INE368I01016
NITCO,16.6,INE858F01012
NITINSPIN,38.8,INE229H01012
NKIND,23.0,INE542C01019
NLCINDIA,50.45,INE589A01014
NMDC,82.65,INE584A01023
NOCIL,140.9,INE163A01018
NOIDATOLL,3.45,INE781B01015
NPBET,119.0,INF277K010X4
NRAIL,193.0,INE740D01017
NRBBEARING,72.9,INE349A01021
NSIL,744.0,INE023A01030
NTPC,84.75,INE733E01010
NUCLEUS,678.0,INE096B01018
NXTDIGITAL,656.45,INE353A01023
OAL,350.0,INE959C01023
OBEROIRLTY,409.0,INE093I01010
OCCL,765.9,INE321D01016
OFSS,3046.95,INE881D01027
OIL,88.4,INE274J01014
OILCOUNTUB,4.15,INE591A01010
OISL,3.0,INE196J01019
OLECTRA,63.8,INE260D01016
OMAXAUTO,40.0,INE090B01011
OMAXE,67.1,INE800H01010
OMKARCHEM,7.0,INE474L01016
OMMETALS,17.55,INE239D01028
ONELIFECAP,6.1,INE912L01015
ONEPOINT,11.3,INE840Y01011
ONGC,68.9,INE213A01029
ONMOBILE,43.5,INE809I01019
ONWARDTEC,62.75,INE229A01017
OPTIEMUS,59.2,INE350C01017
OPTOCIRCUI,5.2,INE808B01016
ORBTEXP,56.0,INE231G01010
ORICONENT,17.95,INE730A01022
ORIENTABRA,20.2,INE569C01020
ORIENTALTL,9.0,INE998H01012
ORIENTBELL,106.0,INE607D01018
ORIENTCEM,60.8,INE876N01018
ORIENTELEC,178.0,INE142Z01019
ORIENTHOT,21.0,INE750A01020
ORIENTPPR,16.2,INE592A01026
ORIENTREF,197.95,INE743M01012
ORISSAMINE,2329.0,INE725E01024
ORTINLABSS,19.85,INE749B01012
OSWALAGRO,9.25,INE142A01012
PAEL,1.75,INE766A01018
PAGEIND,21425.0,INE761H01022
PAISALO,418.2,INE420C01042
PALASHSECU,33.4,INE471W01019
PANACHE,49.5,INE895W01019
PANAMAPET,56.0,INE305C01029
PAPERPROD,312.65,INE275B01026
PARACABLES,6.9,INE074B01023
PARAGMILK,105.3,INE883N01014
PARSVNATH,2.55,INE561H01026
PATELENG,12.45,INE244B01030
PATINTLOG,24.0,INE529D01014
PATSPINLTD,4.35,INE790C01014
PCJEWELLER,14.2,INE785M01013
PDMJEPAPER,14.65,INE865T01018
PDSMFL,310.9,INE111Q01013
PEARLPOLY,17.75,INE844A01013
PEL,1293.5,INE140A01024
PENIND,16.2,INE932A01024
PENINLAND,4.7,INE138A01028
PERSISTENT,1305.0,INE262H01013
PETRONET,220.75,INE347G01014
PFC,88.65,INE134E01011
PFIZER,4919.25,INE182A01018
PFOCUS,40.3,INE367G01038
PFS,18.7,INE560K01014
PGHH,9865.0,INE179A01014
PGHL,5238.1,INE199A01012
PGIL,155.95,INE940H01014
PHILIPCARB,132.85,INE602A01023
PHOENIXLTD,599.6,INE211B01039
PIDILITIND,1464.0,INE318A01026
PIIND,1956.0,INE603J01030
PILANIINVS,1604.0,INE417C01014
PILITA,6.55,INE600A01035
PIONDIST,101.25,INE889E01010
PIONEEREMB,20.8,INE156C01018
PITTIENG,30.65,INE450D01021
PLASTIBLEN,193.4,INE083C01022
PNB,28.0,INE160A01022
PNBGILTS,39.65,INE859A01011
PNBHOUSING,334.0,INE572E01012
PNC,14.0,INE392B01011
PNCINFRA,157.6,INE195J01029
PODDARHOUS,159.1,INE888B01018
PODDARMENT,193.75,INE371C01013
POKARNA,137.95,INE637C01025
POLYCAB,821.5,INE455K01017
POLYMED,468.0,INE205C01021
POLYPLEX,715.0,INE633B01018
PONNIERODE,154.75,INE838E01017
POWERGRID,164.25,INE752E01010
POWERINDIA,990.0,INE07Y701011
POWERMECH,406.15,INE211R01019
PPAP,240.5,INE095I01015
PPL,69.25,INE050001010
PRABHAT,62.6,INE302M01033
PRAENG,6.7,INE505C01016
PRAJIND,70.9,INE074A01025
PRAKASH,39.65,INE603A01013
PRAKASHSTL,0.65,INE696K01024
PRECAM,35.5,INE484I01029
PRECWIRE,151.75,INE372C01029
PREMEXPLN,122.3,INE863B01011
PREMIERPOL,24.2,INE309M01012
PRESSMN,17.2,INE980A01023
PRESTIGE,253.1,INE811K01011
PRICOLLTD,44.65,INE726V01018
PRIMESECU,43.55,INE032B01021
PRINCEPIPE,247.0,INE689W01016
PROZONINTU,16.0,INE195N01013
PRSMJOHNSN,57.05,INE010A01011
PSB,11.1,INE608A01012
PSPPROJECT,414.3,INE488V01015
PSUBNKBEES,14.2,INF204KB16I7
PTC,46.9,INE877F01012
PTL,38.65,INE034D01031
PUNJABCHEM,654.9,INE277B01014
PURVA,43.0,INE323I01011
PVR,1308.0,INE191H01014
QGOLDHALF,2192.5,INF082J01010
QNIFTY,1172.0,INF082J01028
QUESS,406.5,INE615P01015
QUICKHEAL,160.55,INE306L01010
RADICO,405.0,INE944F01028
RADIOCITY,18.55,INE919I01024
RAIN,103.25,INE855B01025
RAJESHEXPO,456.5,INE343B01030
RAJRATAN,317.7,INE451D01011
RAJSREESUG,12.6,INE562B01019
RAJTV,34.1,INE952H01027
RALLIS,287.2,INE613A01020
RAMANEWS,13.25,INE278B01020
RAMCOCEM,745.8,INE331A01037
RAMCOIND,178.45,INE614A01028
RAMCOSYS,445.7,INE246B01019
RAMKY,29.75,INE874I01013
RANEENGINE,191.25,INE222J01013
RANEHOLDIN,420.0,INE384A01010
RATNAMANI,1269.75,INE703B01027
RAYMOND,287.7,INE301A01014
RBL,552.25,INE244J01017
RBLBANK,177.25,INE976G01028
RCF,44.35,INE027A01015
RECLTD,102.25,INE020B01018
REDINGTON,118.5,INE891D01026
REFEX,45.75,INE056I01017
RELAXO,659.9,INE131B01039
RELCAPITAL,7.7,INE013A01015
RELIANCE,2229.05,INE002A01018
RELIGARE,45.8,INE621H01010
RELINFRA,21.5,INE036A01016
REMSONSIND,85.8,INE474C01015
RENUKA,9.1,INE087H01022
REPCOHOME,164.0,INE612J01015
REPRO,380.7,INE461B01014
RESPONIND,104.6,INE688D01026
REVATHI,456.0,INE617A01013
RGL,244.05,INE722H01016
RHFL,1.85,INE217K01011
RICOAUTO,29.15,INE209B01025
RIIL,373.95,INE046A01015
RITES,254.8,INE320J01015
RKDL,6.85,INE722J01012
RKFORGE,343.05,INE399G01015
RML,212.5,INE050H01012
RNAVAL,2.9,INE542F01012
ROLTA,5.2,INE293A01013
ROSSARI,799.8,INE02A801020
ROSSELLIND,147.25,INE847C01020
ROUTE,785.0,INE450U01017
RPGLIFE,400.5,INE105J01010
RPOWER,2.75,INE614G01033
RPPINFRA,50.95,INE324L01013
RSSOFTWARE,21.4,INE165B01029
RSYSTEMS,112.95,INE411H01032
RTNINFRA,5.75,INE834M01019
RTNPOWER,2.45,INE399K01017
RUBYMILLS,164.5,INE301D01026
RUCHIRA,52.55,INE803H01014
RUPA,192.15,INE895B01021
RUSHIL,73.65,INE573K01017
RVNL,19.35,INE415G01027
S&SPOWER,12.5,INE902B01017
SABEVENTS,1.25,INE860T01019
SABTN,1.45,INE416A01036
SADBHAV,50.6,INE226H01026
SADBHIN,17.1,INE764L01010
SAFARI,407.2,INE429E01023
SAGARDEEP,64.45,INE976T01013
SAGCEM,520.3,INE229C01013
SAIL,34.2,INE114A01011
SAKAR,79.5,INE732S01012
SAKHTISUG,8.0,INE623A01011
SAKSOFT,361.8,INE667G01015
SAKUMA,6.05,INE190H01024
SALASAR,204.3,INE170V01019
SALONA,51.6,INE498E01010
SALSTEEL,2.75,INE658G01014
SALZERELEC,90.4,INE457F01013
SAMBHAAV,2.0,INE699B01027
SANCO,13.25,INE782L01012
SANDESH,501.25,INE583B01015
SANDHAR,248.0,INE278H01035
SANGAMIND,48.85,INE495C01010
SANGHIIND,26.5,INE999B01013
SANGHVIMOV,80.0,INE989A01024
SANGINITA,71.0,INE753W01010
SANOFI,8679.95,INE058A01010
SARDAEN,228.55,INE385C01013
SAREGAMA,552.0,INE979A01017
SARLAPOLY,18.7,INE453D01025
SASKEN,712.0,INE231F01020
SASTASUNDR,91.85,INE019J01013
SATIA,109.0,INE170E01023
SATIN,55.0,INE836B01017
SBICARD,838.0,INE018E01016
SBIETFQLTY,106.29,INF200KA1WX6
SBILIFE,819.5,INE123W01016
SBIN,190.2,INE062A01020
SCHAEFFLER,3623.0,INE513A01014
SCHAND,68.3,INE807K01035
SCHNEIDER,81.45,INE839M01018
SCI,52.75,INE109A01011
SDBL,51.65,INE480C01012
SEAMECLTD,433.0,INE497B01018
SELAN,105.7,INE818A01017
SEPOWER,2.2,INE735M01018
SEQUENT,156.8,INE807F01027
SESHAPAPER,137.9,INE630A01024
SETF10GILT,199.89,INF200KA1JT1
SETFGOLD,4513.0,INF200K01099
SETFNIF50,117.64,INF200KA1FS1
SETFNIFBK,221.35,INF200KA1580
SETFNN50,281.1,INF200KA1598
SETUINFRA,0.75,INE023M01027
SEYAIND,64.5,INE573R01012
SFL,1335.0,INE916U01025
SGL,8.15,INE353H01010
SHAKTIPUMP,177.65,INE908D01010
SHALBY,87.0,INE597J01018
SHALPAINTS,69.5,INE849C01026
SHANKARA,346.65,INE274V01019
SHANTIGEAR,105.1,INE631A01022
SHARDACROP,262.2,INE221J01015
SHARDAMOTR,877.8,INE597I01010
SHAREINDIA,101.0,INE932X01018
SHARIABEES,299.6,INF732E01128
SHEMAROO,60.25,INE363M01019
SHIL,82.7,INE05AN01011
SHILPAMED,560.0,INE790G01031
SHIRPUR-G,7.5,INE196B01016
SHIVAMAUTO,16.05,INE637H01024
SHIVAMILLS,24.7,INE644Y01017
SHIVATEX,90.0,INE705C01020
SHK,82.35,INE500L01026
SHOPERSTOP,181.0,INE498B01024
SHREDIGCEM,51.55,INE232A01011
SHREECEM,20600.0,INE070A01015
SHREEPUSHK,117.05,INE712K01011
SHREERAMA,7.85,INE879A01019
SHRENIK,46.8,INE632X01022
SHREYANIND,75.0,INE231C01019
SHRIRAMCIT,936.9,INE722A01011
SHRIRAMEPC,3.8,INE964H01014
SHYAMCENT,3.95,INE979R01011
SHYAMTEL,5.7,INE635A01023
SICAGEN,11.0,INE176J01011
SICAL,10.85,INE075B01012
SIEMENS,1259.35,INE003A01024
SIGIND,18.5,INE529F01035
SILINV,143.75,INE923A01015
SILLYMONKS,24.45,INE203Y01012
SIMBHALS,6.65,INE748T01016
SIMPLEXINF,32.0,INE059B01024
SINTEX,2.0,INE429C01035
SIRCA,263.7,INE792Z01011
SIS,366.1,INE285J01028
SITINET,1.55,INE965H01011
SIYSIL,141.9,INE076B01028
SJVN,21.9,INE002L01015
SKFINDIA,1466.0,INE640A01023
SKIL,3.2,INE429F01012
SKIPPER,48.0,INE439E01022
SKMEGGPROD,36.55,INE411D01015
SMARTLINK,70.2,INE178C01020
SMLISUZU,397.6,INE294B01019
SMSLIFE,620.0,INE320X01016
SMSPHARMA,89.75,INE812G01025
SNOWMAN,38.3,INE734N01019
SOBHA,228.5,INE671H01015
SOLARA,1090.0,INE624Z01016
SOLARINDS,1045.0,INE343H01029
SOMANYCERA,200.6,INE355A01028
SOMATEX,2.75,INE314C01013
SOMICONVEY,21.4,INE323J01019
SONATSOFTW,313.5,INE269A01021
SORILINFRA,66.45,INE034H01016
SOTL,669.0,INE035D01012
SOUTHBANK,6.8,INE683A01023
SOUTHWEST,27.1,INE980Y01015
SPAL,139.0,INE212I01016
SPANDANA,510.0,INE572J01011
SPARC,172.3,INE232I01014
SPECIALITY,37.2,INE247M01014
SPENCERS,77.35,INE020801028
SPIC,19.6,INE147A01011
SPICEJET,50.3,INE285B01017
SPLIL,28.0,INE978G01016
SPMLINFRA,8.25,INE937A01023
SPTL,2.15,INE501W01021
SREEL,135.0,INE099F01013
SREINFRA,6.8,INE872A01014
SRF,4115.0,INE647A01010
SRHHYPOLTD,170.0,INE917H01012
SRIPIPES,162.0,INE943C01027
SRPL,31.1,INE008Z01012
SRTRANSFIN,658.5,INE721A01013
SSWL,448.65,INE802C01017
STAR,726.95,INE939A01011
STARCEMENT,84.0,INE460H01021
STARPAPER,90.9,INE733A01018
STCINDIA,53.95,INE655A01013
STEELCITY,31.5,INE395H01011
STEELXIND,36.4,INE503B01013
STEL,58.0,INE577L01016
STERTOOLS,179.85,INE334A01023
STRTECH,153.0,INE089C01029
SUBEX,11.95,INE754A01014
SUBROS,254.0,INE287B01021
SUDARSCHEM,478.9,INE659A01023
SUMEETINDS,2.0,INE235C01010
SUMICHEM,291.7,INE258G01013
SUMIT,9.8,INE748Z01013
SUMMITSEC,409.95,INE519C01017
SUNCLAYLTD,1660.0,INE105A01035
SUNDARAM,1.1,INE108E01023
SUNDARMFIN,1390.0,INE660A01013
SUNDARMHLD,61.9,INE202Z01029
SUNDRMBRAK,236.35,INE073D01013
SUNDRMFAST,410.6,INE387A01021
SUNFLAG,42.5,INE947A01014
SUNPHARMA,507.55,INE044A01036
SUNTECK,264.0,INE805D01034
SUNTV,466.9,INE424H01027
SUPERHOUSE,89.9,INE712B01010
SUPERSPIN,3.7,INE662A01027
SUPPETRO,254.6,INE663A01017
SUPRAJIT,188.65,INE399C01030
SUPREMEIND,1415.0,INE195A01028
SURANASOL,7.0,INE272L01022
SURANAT&P,3.85,INE130B01031
SURYALAXMI,16.35,INE713B01026
SURYAROSNI,201.3,INE335A01012
SUTLEJTEX,27.0,INE645H01027
SUVEN,50.8,INE495B01038
SUVENPHAR,396.7,INE03QK01018
SUZLON,2.95,INE040H01021
SWANENERGY,127.0,INE665A01038
SWARAJENG,1467.8,INE277A01016
SWSOLAR,221.4,INE00M201021
SYMPHONY,915.0,INE225D01027
SYNGENE,562.4,INE398R01022
TAINWALCHM,44.0,INE123C01018
TAJGVK,143.15,INE586B01026
TAKE,46.0,INE142I01023
TALBROAUTO,112.05,INE187D01011
TANLA,276.6,INE483C01032
TARMAT,42.6,INE924H01018
TASTYBITE,10699.9,INE488B01017
TATACHEM,301.35,INE092A01019
TATACOFFEE,105.0,INE493A01027
TATACOMM,838.6,INE151A01013
TATACONSUM,508.8,INE192A01025
TATAELXSI,1273.0,INE670A01012
TATAINVEST,844.2,INE672A01018
TATAMETALI,518.5,INE056C01010
TATAMOTORS,133.85,INE155A01022
TATAMTRDVR,62.4,IN9155A01020
TATAPOWER,54.25,INE245A01021
TATASTEEL,364.9,INE081A01012
TATASTLBSL,21.45,INE824B01021
TATASTLLP,320.75,INE674A01014
TBZ,36.95,INE760L01018
TCI,226.15,INE688A01022
TCIDEVELOP,299.1,INE662L01016
TCIEXP,805.0,INE586V01016
TCIFINANCE,4.4,INE911B01018
TCNSBRANDS,397.0,INE778U01029
TCPLPACK,364.95,INE822C01015
TCS,2540.0,INE467B01029
TDPOWERSYS,111.2,INE419M01019
TEAMLEASE,2265.0,INE985S01024
TECHIN,2.7,INE778A01021
TECHM,821.85,INE669C01036
TECHNOE,201.8,INE285K01026
TEJASNET,71.95,INE010J01012
TERASOFT,27.0,INE482B01010
TEXINFRA,36.05,INE435C01024
TEXMOPIPES,15.5,INE141K01013
TEXRAIL,25.65,INE621L01012
TFCILTD,36.7,INE305A01015
TFL,2.8,INE804H01012
TGBHOTELS,5.0,INE797H01018
THANGAMAYL,409.0,INE085J01014
THEINVEST,132.0,INE924D01017
THEMISMED,377.0,INE083B01016
THERMAX,718.0,INE152A01029
THOMASCOOK,28.4,INE332A01027
THYROCARE,758.0,INE594H01019
TI,15.85,INE133E01013
TIDEWATER,4255.0,INE484C01022
TIIL,355.5,INE545H01011
TIINDIA,630.0,INE974X01010
TIJARIA,5.8,INE440L01017
TIL,140.3,INE806C01018
TIMESGTY,21.8,INE289C01025
TIMETECHNO,37.25,INE508G01029
TIMKEN,1113.15,INE325A01013
TINPLATE,132.0,INE422C01014
TIPSINDLTD,319.0,INE716B01011
TIRUMALCHM,78.9,INE338A01024
TIRUPATIFL,24.0,INE319Y01016
TITAN,1196.55,INE280A01028
TMRVL,8.8,INE759V01019
TNPETRO,38.05,INE148A01019
TNPL,107.5,INE107A01015
TOKYOPLAST,60.0,INE932C01012
TORNTPHARM,2829.75,INE685A01028
TORNTPOWER,309.1,INE813H01021
TOTAL,42.0,INE336X01012
TOUCHWOOD,44.15,INE486Y01013
TPLPLASTEH,115.7,INE413G01014
TREEHOUSE,7.0,INE040M01013
TREJHARA,14.95,INE00CA01015
TRENT,676.0,INE849A01020
TRF,79.55,INE391D01019
TRIDENT,8.0,INE064C01022
TRIGYN,56.0,INE948A01012
TRIL,9.3,INE763I01026
TRITURBINE,69.0,INE152M01016
TRIVENI,73.8,INE256C01024
TTKHLTCARE,448.3,INE910C01018
TTKPRESTIG,6181.3,INE690A01010
TTL,33.95,INE592B01016
TTML,2.95,INE517B01013
TV18BRDCST,28.7,INE886H01027
TVSELECT,93.15,INE236G01019
TVSMOTOR,480.4,INE494B01023
TVSSRICHAK,1402.0,INE421C01016
TVTODAY,198.15,INE038F01029
TWL,45.75,INE615H01020
UBL,961.55,INE686F01025
UCALFUEL,117.6,INE139B01016
UCOBANK,12.2,INE691A01018
UFLEX,321.9,INE516A01017
UFO,80.4,INE527H01019
UGARSUGAR,14.3,INE071E01023
UJAAS,3.7,INE899L01022
UJJIVAN,217.75,INE334L01012
UJJIVANSFB,32.5,INE551W01018
ULTRACEMCO,4100.0,INE481G01011
UMANGDAIRY,43.0,INE864B01027
UMESLTD,1.1,INE240C01028
UNICHEMLAB,247.0,INE351A01035
UNIDT,279.7,INE961D01019
UNIENTER,62.7,INE037A01022
UNIONBANK,24.35,INE692A01016
UNITEDTEA,344.0,INE458F01011
UNIVASTU,31.2,INE562X01013
UNIVCABLES,132.0,INE279A01012
UPL,507.0,INE628A01036
URJA,3.35,INE550C01020
USHAMART,25.0,INE228A01035
UTIBANKETF,222.0,INF789F1AUN8
UTINEXT50,276.5,INF789FC1N82
UTINIFTETF,1219.55,INF789FB1X41
UTISENSETF,405.0,INF789FB1X58
UTTAMSTL,5.65,INE699A01011
UTTAMSUGAR,80.5,INE786F01031
UVSL,0.45,INE292A01023
V2RETAIL,51.0,INE945H01013
VADILALIND,792.5,INE694D01016
VAIBHAVGBL,1905.0,INE884A01019
VAISHALI,36.7,INE972X01014
VAKRANGEE,29.05,INE051B01021
VARDHACRLC,29.7,INE116G01013
VARDMNPOLY,7.95,INE835A01011
VARROC,309.0,INE665L01035
VASCONEQ,9.2,INE893I01013
VASWANI,5.15,INE590L01019
VBL,697.1,INE200M01013
VEDL,136.95,INE205A01025
VENKEYS,1462.05,INE398A01010
VERTOZ,154.5,INE188Y01015
VESUVIUS,882.0,INE386A01015
VETO,43.0,INE918N01018
VGUARD,168.5,INE951I01027
VHL,1265.55,INE701A01023
VIDHIING,136.3,INE632C01026
VIJIFIN,0.5,INE159N01027
VIKASMCORP,7.4,INE161L01027
VIKASPROP,2.85,INE767B01022
VIKASWSP,4.25,INE706A01022
VINATIORGA,1330.0,INE410B01037
VINDHYATEL,787.0,INE707A01012
VINYLINDIA,96.55,INE250B01029
VIPCLOTHNG,10.0,INE450G01024
VIPIND,289.45,INE054A01027
VIPULLTD,14.2,INE946H01037
VISAKAIND,327.55,INE392A01013
VISHAL,332.1,INE755Q01025
VISHWARAJ,104.0,INE430N01014
VIVIMEDLAB,19.1,INE526G01021
VLSFINANCE,56.0,INE709A01018
VMART,1972.0,INE665J01013
VOLTAMP,982.05,INE540H01012
VOLTAS,678.0,INE226A01021
