comp_name, plan_units_1k, demat_units_1k, tbd_units, tbd_pct, demat_last_txn_date, demat_last_txn_type, top_500, sc_score
Supreme industries,2,2,0,0.00,04-Apr-2018,Buy,yes,0
-,2,0,2,100.00,,,-,0
Tata chemicals,2,2,0,0.00,04-Apr-2018,Buy,yes,26
Tata coffee,5,2,3,60.00,01-Nov-2017,Buy,yes,26
Tata consultancy services,10,16,-6,-60.00,05-Jun-2018,Buy,yes,0
Tata global beverages,5,2,3,60.00,01-Nov-2017,Buy,yes,17
Tata investment corporation,2,0,2,100.00,,,yes,0
Tata motors dvr,5,0,5,100.00,,,yes,15
Tata power co,2,2,0,0.00,04-Apr-2018,Buy,yes,22
Tata steel,5,4,1,20.00,25-Jan-2017,Buy,yes,19
Tech mahindra,5,2,3,60.00,01-Feb-2018,Buy,yes,21
-,5,0,5,100.00,,,-,0
Thomas cook,2,2,0,0.00,01-Feb-2018,Buy,yes,16
Ti financial holdings,2,1,1,50.00,02-Jun-2017,Buy,yes,14
Titan company,5,3,2,40.00,04-Apr-2018,Buy,yes,17
Trent,2,2,0,0.00,04-Apr-2018,Buy,yes,16
Ttk prestige,5,6,-1,-20.00,18-Jul-2017,Buy,yes,18
-,2,0,2,100.00,,,-,0
Tvs motor company,5,2,3,60.00,01-Sep-2017,Buy,yes,17
Uflex,2,1,1,50.00,28-May-2018,Buy,yes,18
Ultratech cement,10,12,-2,-20.00,25-Jan-2017,Buy,yes,16
United breweries,5,1,4,80.00,01-Nov-2017,Buy,yes,15
United spirits,10,12,-2,-20.00,06-Dec-2017,Buy,yes,8
Upl,2,5,-3,-150.00,25-Jan-2017,Buy,yes,21
V guard industries,2,0,2,100.00,19-Apr-2018,Buy,yes,0
Varun beverages,5,2,3,60.00,02-Jan-2018,Buy,yes,15
Vedanta,5,5,0,0.00,25-Jan-2017,Buy,yes,26
Venkys,2,2,0,0.00,22-Sep-2017,Buy,yes,14
Vip industries,5,2,3,60.00,02-Jan-2018,Buy,yes,0
Voltas,2,2,0,0.00,01-Nov-2017,Buy,yes,18
Vrl logistics,2,2,0,0.00,01-Feb-2018,Buy,yes,18
-,2,0,2,100.00,,,-,0
-,2,0,2,100.00,,,-,0
Whirlpool of,2,2,0,0.00,04-Apr-2018,Buy,yes,11
Wipro,5,6,-1,-20.00,21-Jun-2017,Buy,yes,20
-,2,0,2,100.00,,,-,0
Yes bank,2,0,2,100.00,,,yes,0
Zee entertainment enterprises,5,6,-1,-20.00,06-Dec-2017,Buy,yes,16
Zee learn,2,2,0,0.00,01-Nov-2017,Buy,yes,13
