+-------------+-----------+--------------+
| bhav_ticker | bhav_last |  bhav_isin   |
|    CREST    |   87.35   | INE559D01011 |
|    CRISIL   |   1925.7  | INE007A01025 |
|   CROMPTON  |   296.0   | INE299U01018 |
|   CSBBANK   |   259.05  | INE679A01013 |
|     CTE     |   28.45   | INE627H01017 |
|     CUB     |   180.2   | INE491A01021 |
|   CUBEXTUB  |    11.0   | INE144D01012 |
|  CUMMINSIND |   457.95  | INE298A01020 |
|    CUPID    |   195.3   | INE509F01011 |
|  CYBERTECH  |   81.35   | INE214A01019 |
|    CYIENT   |   430.0   | INE136B01020 |
|    DAAWAT   |   49.95   | INE818H01020 |
|    DABUR    |   510.25  | INE016A01026 |
|  DALBHARAT  |   910.0   | INE00R701025 |
|  DALMIASUG  |   131.95  | INE495A01022 |
|  DAMODARIND |   23.15   | INE497D01022 |
|  DATAMATICS |   68.65   | INE365B01017 |
|    DBCORP   |    75.1   | INE950I01011 |
|     DBL     |   345.7   | INE917M01012 |
|   DBREALTY  |    6.65   | INE879I01012 |
|  DBSTOCKBRO |    8.9    | INE921B01025 |
|     DCAL    |   134.9   | INE385W01011 |
|   DCBBANK   |    89.4   | INE503A01015 |
|     DCM     |    18.5   | INE498A01018 |
|  DCMFINSERV |    1.0    | INE891B01012 |
|    DCMNVL   |   27.05   | INE08KP01019 |
|  DCMSHRIRAM |   320.0   | INE499A01024 |
|     DCW     |    13.9   | INE500A01029 |
|   DECCANCE  |   339.5   | INE583C01021 |
|  DEEPAKFERT |   138.85  | INE501A01019 |
|  DEEPAKNTR  |   792.1   | INE288B01029 |
|  DELTACORP  |   126.5   | INE124G01033 |
|  DELTAMAGNT |    18.4   | INE393A01011 |
|     DEN     |   69.35   | INE947J01015 |
|    DENORA   |   205.35  | INE244A01016 |
|   DFMFOODS  |   356.5   | INE456C01020 |
|  DGCONTENT  |    10.1   | INE03JI01017 |
|  DHAMPURSUG |   139.4   | INE041A01016 |
|   DHANBANK  |   12.15   | INE680A01011 |
|    DHANI    |   194.5   | INE274G01010 |
|   DHANUKA   |   711.0   | INE435G01025 |
|  DHARSUGAR  |    4.25   | INE988C01014 |
|     DHFL    |   17.15   | INE202B01012 |
|   DHUNINV   |   236.0   | INE320L01011 |
|  DIAMONDYD  |   615.0   | INE393P01035 |
