"Stock","ISIN","Broker Average Target Rs","Total Debt to Total Equity Annual","ROCE Annual 3Yr Avg %","ROE Annual 3Yr Avg %","Dividend payout ratio 2Yr %","Revenue Annual 2Yr Growth %","Net Profit 5Yr Growth %","Interest Coverage Ratio Annual","Promoter holding pledge percentage % Qtr","3Yr Low Rs","5Yr Low Rs","My Notes"
"Kansai Nerolac Paint..","INE531A01024","553.33","0.04600","20.47667","14.50667","41.68147847776858800418958404","12.19097523995610056269943476","87.42686870889203822813328973","32.89670","0.00000","293.70000","236.00000","Notes"
"YES Bank Ltd.","INE528G01035","12.00","5.24502","9.12105","-17.65333","-29.85186014403522519496996157","48.69139414328573867036686258","-922.6891784097577343043112507","1.61688","-","5.65000","5.65000","Notes"
"Coal India Ltd.","INE522F01014","171.80","0.19980","23.41667","51.11333","47.85520958293898861160406849","12.88652459391635686664583903","21.67250326191244597172936362","48.86540","0.00000","109.55000","109.55000","Notes"
"Manappuram Finance L..","INE522D01027","189.38","3.81820","25.14667","21.36333","11.80655647213959336379527124","59.55407998818115371139653523","445.2826574626948139253049061","2.09550","0.77000","66.25000","22.15000","Notes"
"Zensar Technologies ..","INE520A01027","175.00","0.13800","20.26667","14.40333","25.84588743469875002826893938","34.18999223790354259568276595","2.633633449797566872462972914","7.21030","0.00000","63.80000","63.80000","Notes"
"Gujarat Pipavav Port..","INE517F01014","90.00","0.00000","14.14333","11.65333","90.36617167189334011245126681","14.06687125061047168504763501","-","49.10940","0.00000","45.50000","45.50000","Notes"
"Uflex Ltd.","INE516A01017","249.00","0.48890","9.50000","4.50000","10.97166129603846225583939243","6.685446511664474305907010709","0.9037022846461467813661674036","2.05360","3.04000","118.25000","118.25000","Notes"
"Engineers India Ltd.","INE510A01028","95.00","0.00000","25.68333","16.57333","76.12920832279449939429438624","74.56063817088232877065666433","38.74299105169880853475165602","392.48220","0.00000","49.20000","49.20000","Notes"
"DCB Bank Ltd.","INE503A01015","107.89","1.07008","7.43238","10.51000","4.552144128166528357354239207","44.22874592106639217220767104","76.76035342017499445557977898","1.33149","0.00000","58.00000","58.00000","Notes"
"L&T Finance Holdings..","INE498L01015","70.67","6.39060","8.88667","13.03667","11.80860611213452364082943649","41.70817805120852189599717911","99.86253910976265015756751353","1.35660","0.00000","45.90000","45.90000","Notes"
"Shoppers Stop Ltd.","INE498B01024","298.75","2.33310","10.56667","-59.67000","-2.116105936213231248621004298","-5.793980823241536880052389611","-389.7888308259246940811824984","0.68580","12.60000","131.00000","131.00000","Notes"
"TVS Motor Company Ltd.","INE494B01023","394.73","2.74270","21.09667","21.87000","23.22415767402003533863665663","14.97141703153189869013483083","104.6686652926113297108238086","2.06990","0.00000","240.10000","240.10000","Notes"
"City Union Bank Ltd.","INE491A01021","172.44","0.38376","7.97543","12.43333","6.470213724099734462428762947","23.23095410319220479641491393","20.57997511014621017041145217","1.53798","-","110.00000","64.30000","Notes"
"PSP Projects Ltd.","INE488V01015","488.75","0.17000","39.12333","24.74000","18.71372344709780091293028464","97.78123664814083698459957373","-","12.49520","0.00000","232.00000","190.00000","Notes"
"CESC Ltd.","INE486A01013","740.75","1.43440","9.09000","12.51333","20.74667332625659695802870532","6.556744787386944077394325189","313.7040382749506507410753120","1.69000","0.00000","365.25000","365.25000","Notes"
"Ceat Ltd.","INE482A01020","1130.50","0.64550","11.68667","8.73000","21.57333428016300451826519830","7.705833153806186716680817630","-32.19971840138633163652117405","3.09970","0.00000","600.00000","600.00000","Notes"
"General Insurance Co..","INE481Y01014","165.00","0.00000","6.83333","8.61667","113.8671650955809418417128321","-74.90856618361808085367282215","-109.9354995792674720026332822","0.00000","0.00000","81.50000","81.50000","Notes"
"UltraTech Cement Ltd.","INE481G01011","4920.47","0.54580","10.33333","10.58333","7.691166212160600214844095195","35.49701446343497789952162356","176.4693569794159201944712693","3.64070","0.00000","2910.00000","2579.00000","Notes"
"Can Fin Homes Ltd.","INE477A01020","504.20","8.71990","19.64667","17.79333","7.149297894263671468313864902","33.40841968460841495393175079","336.1206126874065141518731955","1.38550","0.00000","216.50000","168.00000","Notes"
"Canara Bank","INE476A01014","95.00","1.22621","6.41940","-5.59000","-0","26.29045098401360836321206009","-170.7659212693992721393513187","1.27009","0.00000","73.65000","73.65000","Notes"
"Caplin Point Laborat..","INE475E01026","605.00","0.04170","36.71333","31.32333","8.304887620734512533135618108","63.71468100325208431672926615","422.9808031318006638055754805","843.86040","0.00000","176.20000","167.62000","Notes"
"Blue Star Ltd.","INE472A01039","670.50","0.57380","28.58333","19.40667","85.02562672389458182696264654","16.08690049184905174080199317","178.3119658119658119658119658","8.12650","0.00000","408.90000","305.60000","Notes"
"The New India Assura..","INE470Y01017","111.00","0.00000","4.87333","6.02333","12.88500391704119078052199728","2.770539539442465247672482953","4.235985313539380377732746785","75.13840","0.00000","74.10000","74.10000","Notes"
"Tata Consultancy Ser..","INE467B01029","2823.62","0.00000","43.18667","34.65000","66.37902422834384334550282111","27.45254288103766588294699635","61.75216977322691765081232521","46.72290","2.94000","1247.18000","1025.95000","Notes"
"Bharat Forge Ltd.","INE465A01025","447.75","0.74300","18.43667","14.09333","48.49978745681379219838124827","-3.011777240582284149121045345","-48.37155721733635262520406551","4.40580","0.00000","207.50000","207.50000","Notes"
"Berger Paints (India..","INE463A01038","500.00","0.20140","28.80333","21.94667","34.54397321409764822945286559","23.46189270089799677642182823","151.0011333585190782017378164","19.95110","0.00000","232.30000","152.89000","Notes"
"Bayer Cropscience Ltd.","INE462A01022","5717.50","0.00050","23.29333","16.81000","66.46299340527194458125715602","33.71411940189907956488521847","23.89033942558746736292428198","52.68840","0.00000","2925.00000","2925.00000","Notes"
"Star Cement Ltd.","INE460H01021","108.00","0.00590","18.76667","18.36333","7.257289039679227824446178130","15.66906714344704430036299014","136.8090746339517386674227763","35.43360","0.00000","60.00000","60.00000","Notes"
"Polycab India Ltd.","INE455K01017","1052.25","0.02980","27.13000","17.56000","10.53252221677573795590285728","30.39271917406541251679835050","384.3724737589194212640276001","21.94760","0.00000","525.15000","525.15000","Notes"
"Kaveri Seed Company ..","INE455I01029","703.25","0.00600","23.61000","23.15667","6.333697169048488674293845546","15.78232485345927230759885805","-13.58998823527612524400680975","570.80830","0.00000","273.75000","273.75000","Notes"
"Ashoka Buildcon Ltd.","INE442H01029","117.17","14.03900","13.14333","-2.31333","0","41.05604172547754432659864769","11115.82339432550559300688940","1.30170","0.00000","37.05000","37.05000","Notes"
"Apollo Tyres Ltd.","INE438A01022","154.83","0.66260","6.81333","6.32000","43.40609352103285667655168103","9.472516024371365470796702641","-51.26927022971351532156516562","2.93500","13.92000","73.40000","73.40000","Notes"
"Apollo Hospitals Ent..","INE437A01024","1575.00","1.00310","9.10667","8.10333","40.02781933443743401664156589","36.22785966489519818454689800","33.61523238233377994665224392","1.86650","33.65000","910.10000","910.10000","Notes"
"Dhanuka Agritech Ltd.","INE435G01025","821.67","0.01120","24.26000","19.13667","19.68268389328486186036354230","17.01231932667494664928926175","33.24368629380662445431724494","116.95180","3.39000","275.00000","275.00000","Notes"
"Chalet Hotels Ltd.","INE427F01016","240.50","1.02540","7.75333","-4.22333","0","18.53060927217665674433028928","178.8255214102604677659271450","1.71840","32.12000","99.60000","99.60000","Notes"
"Sun TV Network Ltd.","INE424H01027","526.25","0.00000","35.01000","24.77667","48.44335116495825599165999266","21.74386289203262819253596282","77.57190866226248738164300592","144.02900","0.16000","259.55000","259.55000","Notes"
"CCL Products India L..","INE421D01022","330.33","0.42240","20.57667","18.78000","43.63172167449405902166875960","0.1870320803381189601121456618","76.56748117660578768828714561","13.54300","0.00000","137.00000","137.00000","Notes"
"Muthoot Finance Ltd.","INE414G01012","1247.80","3.46050","25.77333","23.57667","18.00559613928008825142854399","43.13945575472762300224796640","371.8493990998279951429613078","2.34270","0.00000","356.00000","167.85000","Notes"
"Narayana Hrudayalaya..","INE410P01011","405.00","0.55400","8.56667","6.96000","82.05801501661674804086489148","37.03641218589212051272128487","1966.167564667896990205769925","3.05930","0.00000","182.80000","182.80000","Notes"
"Vinati Organics Ltd.","INE410B01037","1075.50","0.00020","30.69667","23.67333","14.88714551225344405840789588","41.22753420009521580056235188","188.2919667685717740124704216","389.82310","0.00000","378.00000","180.48000","Notes"
"Eris Lifesciences Ltd.","INE406M01024","459.00","0.00000","25.81000","27.42667","18.12239044073133913423040249","24.57990424275274069957450117","232.1872304193414669669165014","154.26080","0.00000","321.00000","321.00000","Notes"
"Aurobindo Pharma Ltd.","INE406A01037","951.82","0.32250","24.59667","18.20000","6.867303152061625448943584952","40.59985475408707872799352370","81.04514847956417142929877932","13.40230","9.34000","288.85000","288.85000","Notes"
"Minda Industries Ltd.","INE405E01023","376.20","0.55130","16.71000","15.88667","13.76449860519747467332256644","22.21358774931115408611628563","167.4703737605348795204697339","3.95210","0.00000","206.25000","48.00000","Notes"
"Adani Gas Ltd.","INE399L01023","230.00","0.24110","25.80667","22.11333","7.436912669821900815383105119","32.00203615551825661062653056","-","14.33490","0.00000","72.00000","72.00000","Notes"
"Suprajit Engineering..","INE399C01030","203.50","0.36460","23.07333","16.85667","23.73810397289540128185761454","9.153005464480874316939890710","106.7109839852422295240507678","8.07510","0.00000","99.25000","99.25000","Notes"
"Syngene Internationa..","INE398R01022","525.00","0.14190","17.36667","17.84333","2.697963037906380682584648590","40.98592497811300424270994680","-","13.87860","0.00000","212.55000","174.50000","Notes"
"Bharti Airtel Ltd.","INE397D01024","666.56","1.52460","4.72000","-13.18667","-2.421455549037804369395465461","6.596518566967726870367789060","-719.7502523203578001622766223","0.76660","0.00000","276.85000","276.85000","Notes"
"KEC International Ltd.","INE389H01022","358.38","0.73690","33.65000","21.20333","14.40733309636025890686131525","18.59730639011789690072125445","251.2967703581857949431205107","3.56590","0.00000","154.05000","97.50000","Notes"
"Dishman Carbogen Amc..","INE385W01011","142.50","0.16200","4.95667","3.35667","0.9501589378363265715272522211","19.97104230466483191321884319","-","4.58480","0.00000","46.05000","46.05000","Notes"
"India Cements Ltd.","INE383A01012","100.00","0.57530","4.63000","0.84667","25.04095985576407123079894971","-4.190326637574623549923565627","4594.199731002017484868863484","1.10890","27.03000","67.75000","63.90000","Notes"
"Garden Reach Shipbui..","INE382Z01011","233.00","0.00000","16.54000","11.77667","57.67402184408693918767634272","8.631347395160886303126828551","216.0471320586927523343708315","176.56000","0.00000","77.70000","77.70000","Notes"
"Biocon Ltd.","INE376G01013","425.40","0.28180","10.60000","11.05667","3.415106930413098164516629180","50.78991130820399113082039911","70.28766086298258894776684330","18.67950","0.00000","182.55000","71.83000","Notes"
"BASF India Ltd.","INE373A01013","1115.00","0.34780","6.95000","8.48333","7.726218361860141154146362004","35.18130399031095208451874934","127.6681614349775784753363229","1.44490","0.00000","809.15000","697.50000","Notes"
"Amber Enterprises In..","INE371P01015","2350.00","0.28400","14.45667","10.16333","5.040727502996870023266107881","85.83635408852704565111167863","470.4823966913425781114239044","5.55110","0.00000","622.00000","622.00000","Notes"
"Graphite India Ltd.","INE371A01025","200.00","0.09120","49.28000","34.07000","45.96774193548387096774193548","-2.579504668328106554738084733","-9.902870815058669917039105175","2.47070","0.00000","103.00000","64.55000","Notes"
"VRL Logistics Ltd.","INE366I01010","205.00","0.26850","17.93667","14.80667","107.1696495552459543457292895","9.930326120560644242363497119","-1.215148744729970599648774328","3.83980","0.00000","130.00000","130.00000","Notes"
"Divi's Laboratories ..","INE361B01024","3078.50","0.00460","23.31000","17.69000","27.67320333673108383052134672","39.42940326048145660473466453","61.65646023390123423733837466","299.27210","0.00000","978.35000","532.65000","Notes"
"Abbott India Ltd.","INE358A01014","17493.50","0.00000","33.31667","23.50000","56.52311667173370987179462564","23.18961664864143825658784549","158.9685590408426301093687830","95.07680","0.00000","4595.00000","3988.00000","Notes"
"MphasiS Ltd.","INE356A01018","1365.17","0.09790","23.79667","18.67667","50.23689939153391566002453829","34.48790178552793916217397553","75.62533443812172139470146256","19.66390","0.00000","630.00000","404.10000","Notes"
"Mas Financial Servic..","INE348L01012","757.00","2.46050","14.66667","15.55000","21.00806645605144570777939927","51.51196744838937605428120751","344.2463604725258565756580560","1.80570","0.00000","367.95000","367.95000","Notes"
"Century Plyboards (I..","INE348B01021","176.00","0.21650","21.36333","16.05333","17.81004165768743733091591701","14.66543899753216061007045021","-16.45178112483811896572189939","5.55610","0.00000","95.15000","95.15000","Notes"


"Petronet LNG Ltd.","INE347G01014","313.45","0.00570","24.26333","22.53667","65.86689617620712065058928916","15.84793256053010704482659799","197.1485411140583554376657825","8.87130","0.00000","170.40000","100.15000","Notes"
"Solar Industries Ind..","INE343H01029","1084.75","0.44210","25.69000","20.27667","21.82057445180002954170079628","18.15819771602825403740237110","78.25399739402596123277795937","7.10100","0.00000","773.05000","567.06000","Notes"
"WABCO India Ltd.","INE342J01019","6142.00","0.00000","19.66667","14.03333","13.13129749382967241974150972","-23.91036452671652200054499093","31.62039907044896254280609048","117.35770","0.00000","4756.90000","4756.90000","Notes"
"Birla Corporation Ltd.","INE340A01012","951.43","0.78070","7.86667","6.88000","12.93387212970431874924282957","20.50334617530515361017237568","188.2797542791436862122980264","2.75790","0.00000","372.20000","318.05000","Notes"
"Motilal Oswal Financ..","INE338I01027","732.50","1.49910","12.07333","12.37333","23.25397526707190594232083975","-14.05821955136356700116991360","47.97818111869856143773787115","1.57670","0.00000","426.00000","255.00000","Notes"
"Indian Railway Cater..","INE335Y01012","1200.00","0.00000","40.94667","30.61000","46.33575032963252784500580309","52.78943273394640736260122911","304.6382822685164983644407291","103.31730","0.00000","625.00000","625.00000","Notes"
"Ujjivan Financial Se..","INE334L01012","330.00","5.14450","9.27667","6.48000","4.604547231581756257634503758","92.22941000194794462710066795","-","1.37300","-","124.65000","124.65000","Notes"
"The Ramco Cements Ltd.","INE331A01037","802.00","0.52630","13.12667","12.35000","10.65180526795681332072159590","21.68348113309158797975083474","148.0057447681575707837505129","11.84750","11.47000","455.00000","352.65000","Notes"
"Lupin Ltd.","INE326A01037","1031.91","0.34180","10.55000","1.37333","264.0752086194148093376993768","-0.5542142987038233136220832889","-111.1977025318785974644395626","5.14720","0.00000","504.75000","504.75000","Notes"
"Timken India Ltd.","INE325A01013","820.00","0.01260","17.65667","13.25667","104.3815698988112781216229492","30.73112615502313034677589662","204.9784432280506952817994917","112.36200","0.00000","500.00000","397.05000","Notes"
"Bosch Ltd.","INE323A01026","13083.50","0.00000","20.80000","12.75667","51.11804536862841253421288178","-14.86407854514460862652537720","-","161.43130","0.00000","7850.00000","7850.00000","Notes"
"Gillette India Ltd.","INE322A01010","6172.50","0.00000","40.51000","30.24333","42.56061966229482287540562811","0.05208333333333333333333333333","45.56377663947385062922911528","58.71500","0.00000","4450.00000","3805.35000","Notes"
"Rites Ltd.","INE320J01015","347.67","0.01230","25.67667","19.51667","59.52813726915806310891377054","64.01713041548455203603625218","101.0379677683692980060092871","126.24420","0.00000","152.00000","152.00000","Notes"
"Pidilite Industries ..","INE318A01026","1619.50","0.03790","31.94333","24.75333","35.29034411745253906183626378","19.54577135680812999251624425","120.0521114989430214837028661","46.29550","0.00000","811.00000","520.30000","Notes"
"Nesco Ltd.","INE317F01035","764.25","0.00000","20.98667","16.76667","9.404201113115440843300361634","32.76196191970717716582050325","109.7586283590602702673616467","49.51930","0.00000","380.00000","288.00000","Notes"
"Inox Leisure Ltd.","INE312H01016","309.29","0.19720","14.79667","10.86000","-24.48843656025624700016652137","40.51338941698696505667615550","-25.11465657921659239149420354","1.58110","0.00000","158.40000","158.40000","Notes"
"Nilkamal Ltd.","INE310A01015","1321.00","0.04640","17.53333","13.59000","16.71339569611954646250882415","6.762154019238246501448045366","165.5999500586225934011053431","7.71500","0.00000","889.85000","885.00000","Notes"
"Exide Industries Ltd.","INE302A01020","180.25","0.01040","6.27333","12.85667","38.09479156288277939599242793","12.87041589098249186648058013","23.74377362776434702188762514","11.28850","0.00000","124.70000","116.00000","Notes"
"Raymond Ltd.","INE301A01014","275.00","0.91500","13.97333","8.09000","-10.66257602860982399996587976","9.310248203727485121769362762","-56.71645140270399730722259862","0.89820","0.00000","210.00000","210.00000","Notes"
"Crompton Greaves Con..","INE299U01018","313.29","0.12230","39.30333","37.12667","33.61715173975483683579231593","11.40762113755075527745407392","-","15.52390","65.58000","177.30000","125.00000","Notes"
"Nippon Life India As..","INE298J01013","298.38","0.00000","24.47333","18.06000","68.85134056689690137671385070","-31.76276149191934210977799636","17.28563973087718803334414714","99.73190","0.00000","127.20000","127.20000","Notes"
"Cummins India Ltd.","INE298A01020","447.67","0.11110","18.79667","16.87667","80.04098098226291861433053724","3.332701206098763559129181522","-22.98298192572250901073366516","34.54280","0.00000","280.00000","280.00000","Notes"
"Bajaj Finance Ltd.","INE296A01024","3806.90","4.01530","14.79333","17.57333","10.19501275268657701682202592","95.94390575906121457814585126","486.2420367977903506036441395","1.77290","0.00000","1511.20000","517.52000","Notes"
"Deepak Nitrite Ltd.","INE288B01029","600.50","0.65380","21.58000","21.21000","8.765806772489284138367046177","156.3271161226607328141212356","1053.063015291016174170014663","8.02010","0.00000","196.50000","56.00000","Notes"
"Security and Intelli..","INE285J01028","450.00","0.84420","14.64000","16.41667","10.34991831844463083497345039","45.45880290981967888131978697","383.3781965006729475100942127","2.93420","0.20000","322.10000","322.10000","Notes"
"Spicejet Ltd.","INE285B01017","92.67","-2.78470","10.66333","-332.14333","-0","68.44139255160815811722255018","-","-0.71680","43.90000","30.65000","30.65000","Notes"
"Elgi Equipments Ltd.","INE285A01027","140.00","0.50690","15.09333","10.90333","37.72465350864853666708440859","13.97299691223625351332092950","-14.07929478783342689037194120","5.39440","0.00000","50.60000","50.60000","Notes"
"Titan Company Ltd.","INE280A01028","1145.73","0.34600","30.52667","22.61333","37.48122815156742331548949235","30.82394995752262837759884703","83.36171516079632465543644717","13.67180","0.00000","720.90000","296.15000","Notes"
"Swaraj Engines Ltd.","INE277A01016","1693.00","0.00000","47.06667","33.26333","77.98414114505674126109714328","-0.5115190505914818712970683337","37.03705132557637109965741798","6555.40140","0.00000","802.75000","763.15000","Notes"
"Oil India Ltd.","INE274J01014","105.86","0.43910","8.67000","11.26667","75.64538026225183054564083066","13.74800240181554022485844919","0.5300054731013167637873861112","4.38660","0.00000","63.50000","63.50000","Notes"
"Westlife Development..","INE274F01020","410.00","0.31830","9.52333","1.58000","-0","35.40908085316814804211183842","74.75781518378564067330814153","1.09720","0.00000","261.45000","261.45000","Notes"
"DLF Ltd.","INE271C01023","202.50","0.18370","5.53667","4.95667","-79.84908522891734621565241693","-10.12001536018315513919386336","-389.8351133742506311196662453","1.21940","0.00000","114.55000","72.35000","Notes"
"Maharashtra Seamless..","INE271B01025","265.00","0.35740","11.86000","5.80667","19.96704263433415198208134103","21.64904745191553520664216220","59.18392351737267655780128608","7.86280","0.00000","184.65000","130.55000","Notes"
"Sonata Software Ltd.","INE269A01021","285.00","0.12840","44.17333","34.42000","66.79199273303119064620645769","52.10351325723476528272898587","107.7784296983675141467601631","25.99930","0.00000","147.25000","125.65000","Notes"
"Hindustan Zinc Ltd.","INE267A01025","233.33","0.01510","28.28000","22.12000","111.4713779543232758430022958","-14.01300608349066498846234529","-16.78894595255563707507948154","75.91070","22.83000","116.05000","116.05000","Notes"
"Bharat Electronics L..","INE263A01024","113.17","0.00000","22.89333","18.81000","45.30014634869860716662928187","23.31461336871598532727222968","49.75427877721821588381280744","689.44440","0.00000","56.00000","56.00000","Notes"
"Persistent Systems L..","INE262H01013","1249.83","0.00190","19.68000","14.81000","24.81075595892331243440656393","17.29828432087754265726635719","17.08627090709525136685350152","72.43740","0.00000","420.05000","420.05000","Notes"
"Colgate-Palmolive (I..","INE259A01022","1596.60","0.00000","64.79333","49.65667","98.84839993608883781181403667","8.222007938680018427185928716","46.06252523552109461471072780","109.50790","0.00000","1018.30000","787.20000","Notes"
"Sumitomo Chemical In..","INE258G01013","315.00","0.00000","23.89000","17.36000","6.206084896984632605415993871","25.32267750157074205405205138","-","54.94700","0.00000","151.05000","151.05000","Notes"
"FDC Ltd.","INE258B01022","220.00","0.00020","18.65000","13.61000","2.718461513890828624448279741","25.49255173467231007234239819","62.60457631489064122139465687","94.95430","0.00000","148.30000","148.30000","Notes"
"Bharat Heavy Electri..","INE257A01026","33.67","0.17520","3.23000","-0.16667","-33.33877866718230644338575301","-25.53855825578870993499655451","-203.0080527288271145307630788","-0.34680","0.00000","18.40000","18.40000","Notes"
"Zee Entertainment En..","INE256A01028","248.57","0.00560","22.08000","14.25000","24.26149292458251078359514464","18.06763962952568060623070446","-45.97642234751409533572526909","9.57830","6.09000","114.00000","114.00000","Notes"
"EPL Ltd.","INE255A01020","276.00","0.34250","17.60667","13.70333","33.73181354832730979519970346","13.19089888786858483828180798","46.31364222856754386823732913","6.12830","0.00000","78.75000","66.00000","Notes"
"Gujarat State Petron..","INE246F01010","286.00","0.48690","23.27000","32.07333","5.901785437639521896361696822","67.87364298871169612591756698","454.1606888919018625432370478","7.62200","0.00000","146.15000","120.10000","Notes"
"Tata Power Company L..","INE245A01021","62.50","2.46530","9.28000","11.93667","195.2335609916494838298659396","8.896209181769048507777363037","-10.99016682158407122939190842","1.30660","2.59000","27.00000","27.00000","Notes"
"Indian Oil Corporati..","INE242A01010","128.22","1.32040","15.46333","11.33333","115.8918651636779442328344832","14.64794920921217278789922706","-166.5549347466429108046750880","1.41970","0.00000","71.15000","71.15000","Notes"
"Nestle India Ltd.","INE239A01016","17580.36","0.02750","43.52333","60.49000","136.1073826099098552421548827","23.84779100222647184710774632","66.25024267951953675645105471","23.32320","0.00000","6887.25000","4981.00000","Notes"
"Axis Bank Ltd.","INE238A01034","560.85","1.79731","6.78050","3.42333","3.694695488739861293741961728","36.90531249873774457072153689","-74.77667360790249663639494842","1.63154","0.00000","286.00000","286.00000","Notes"
"Kotak Mahindra Bank ..","INE237A01028","1632.62","0.98409","7.05538","12.54333","1.377474503807856081463842155","29.76408785268028437884760904","180.8112019563346313858347986","1.87920","0.00000","982.55000","585.75000","Notes"
"Finolex Cables Ltd.","INE235A01022","343.50","0.00010","16.73333","13.82667","26.00350111138963750079310678","2.503193729931291647964644546","-","281.29670","0.00000","162.40000","162.40000","Notes"
"Blue Dart Express Ltd.","INE233B01017","2250.00","0.83530","18.51000","11.40667","-36.57069832772436342848248863","13.14722810302456461376426907","-132.9139801855637678880327095","1.21280","0.00000","1822.35000","1822.35000","Notes"
"Godrej Industries Ltd.","INE233A01035","500.00","1.14910","11.55667","11.07667","4.529732970271953350840423022","23.09323858630740830288609707","43.11950606948514022603599833","2.33120","5.81000","233.40000","233.40000","Notes"
"EIH Ltd.","INE230A01023","105.00","0.13420","7.83000","5.11333","149.6657464994844846509462201","-1.744457228147641406760160453","146.6013188911765583504908543","3.99670","0.00000","54.75000","54.75000","Notes"
"Voltas Ltd.","INE226A01021","702.89","0.05080","19.45667","13.02667","25.44982566869416944493930217","19.91590800956447584635426563","52.77108221506282718851213271","41.95730","0.00000","427.45000","211.00000","Notes"
"Symphony Ltd.","INE225D01027","936.75","0.27090","31.69333","24.57000","74.68618621872918671722286885","35.77785721433663818877763208","56.81764653611326552884652714","22.95410","0.00000","690.70000","690.70000","Notes"
"Greaves Cotton Ltd.","INE224A01026","94.80","0.01190","23.47000","18.03667","62.81752294802635195087669705","5.082956505651054845432630829","52.18223125672605524333373191","33.40230","0.00000","66.00000","66.00000","Notes"
"Kalpataru Power Tran..","INE220B01022","340.00","0.87200","16.47000","12.35000","10.98975416765292665607141649","45.70773106282501249381122911","257.8106290473228102218240484","2.28050","57.50000","169.50000","160.00000","Notes"
"Kajaria Ceramics Ltd.","INE217B01036","629.29","0.06830","20.73333","15.55333","21.53595894959078088669285918","4.068434358280910106414251279","37.11736073553272038939967550","17.01480","0.00000","295.55000","295.55000","Notes"
"Britannia Industries..","INE216A01030","3801.73","0.34380","40.10333","29.52667","105.7917061529569895466658352","17.84251752913586419532635739","102.3530095282361143388333721","25.19850","0.00000","2100.00000","1252.52000","Notes"
"Larsen & Toubro Info..","INE214T01019","2786.14","0.00590","36.35333","29.29667","32.52581465489777053054440875","44.94219279414427230168378036","97.79736599732541016448207140","25.24810","0.00000","921.25000","598.00000","Notes"
"Oil And Natural Gas ..","INE213A01029","109.86","0.50080","12.28000","10.02000","44.44324283084198093903387057","22.76393015922821276908925872","-40.55476291316307883995630612","4.86320","0.00000","50.00000","50.00000","Notes"
"AIA Engineering Ltd.","INE212H01026","1847.00","0.02610","19.15333","15.07000","29.57229831384505183572095415","21.65362563771212043180587326","36.98851800085722235359285001","129.63070","0.00000","1102.20000","701.90000","Notes"
"Phoenix Mills Ltd.","INE211B01039","765.00","1.10760","9.80000","9.87333","6.459440633972566755627518509","19.34741183745780229777049070","311.9083976180519522457588521","2.35180","0.00000","465.05000","239.05000","Notes"
"Aegis Logistics Ltd.","INE208C01025","170.50","0.13020","15.97000","12.76667","28.90609993304974273571059586","50.35684393774114529650496283","19.29248281916987072749841058","7.26720","0.00000","107.25000","71.70000","Notes"
"Ashok Leyland Ltd.","INE208A01029","75.66","2.07360","16.36333","17.26667","91.69381397872194105615991401","-26.02446686657799591695406602","313.5351895392947090325417889","1.43820","10.88000","33.70000","33.70000","Notes"
"Indraprastha Gas Ltd.","INE203G01027","477.14","0.00000","25.38000","20.86667","21.32782965954631604808441227","43.28592767448546593947726236","152.3019493985897967648278723","173.71550","0.00000","215.20000","90.68000","Notes"
"Varun Beverages Ltd.","INE200M01013","808.67","0.84800","14.93333","13.53667","18.97086113671123427837310448","78.58598444442452438364841889","-","3.23450","0.00000","323.74000","226.67000","Notes"
"Jagran Prakashan Ltd.","INE199G01027","55.00","0.10640","17.14000","14.32333","25.43198035197860807138393571","-9.406428086463344286173726456","-8.833169314340020461261223833","9.57110","100.00000","32.10000","32.10000","Notes"
"Procter & Gamble Hea..","INE199A01012","6110.00","0.00000","0.00000","0.00000","71.00354719198318313259097511","26.31546283900596668232957719","487.8759833410458121240166590","0.00000","0.00000","1081.05000","620.00000","Notes"
"Marico Ltd.","INE196A01026","389.36","0.11080","43.03333","34.41333","68.21930158716298300629909743","16.11082582439622838823064833","78.32717822459307892217206948","29.06000","0.00000","234.00000","195.00000","Notes"
"PNC Infratech Ltd.","INE195J01029","236.22","1.27720","12.72667","17.75333","2.863146466261684142835505650","137.2254610923459046235212572","495.2850186506871449933449090","2.62250","0.00000","80.00000","80.00000","Notes"
"Supreme Industries L..","INE195A01028","1492.38","0.18170","27.71667","21.42333","42.96636730873253052722034457","10.90174289484695355499050500","39.93473412432597520256033180","31.21840","0.00000","773.30000","520.00000","Notes"
"Bajaj Electricals Ltd.","INE193E01025","509.50","0.55060","22.74333","7.68667","34.92944252609728348735554181","5.729114502847010252732235846","-","1.05860","0.00000","260.00000","155.00000","Notes"
"Avenue Supermarts Ltd.","INE192R01011","2191.50","0.00030","22.28333","15.05000","0","65.07304959798827742639344197","514.4930000566797029983562886","26.24260","0.00000","1060.10000","558.30000","Notes"
"Welspun India Ltd.","INE192B01031","45.00","1.06950","15.35667","13.12667","17.70634704440207028057749932","11.49814571554111866409316536","-3.661861594823309804036848275","4.66330","0.00000","18.45000","18.45000","Notes"
"Tata Consumer Produc..","INE192A01025","532.50","0.08570","8.25667","5.31667","37.73719094510617576386968767","41.09573775236992546493957595","88.21178582280190409741056256","14.92460","2.71000","177.05000","100.00000","Notes"
"PVR Ltd.","INE191H01014","1443.00","0.74360","13.75000","9.40333","-11.91919974492912545851671519","45.94390073770318544040246042","135.3092783505154639175257732","1.18700","0.00000","718.30000","645.25000","Notes"
