name, bse_code, nse_code, industry, cmp, mcap, sales, np, pe, pe5, peg, p2bv, p2sales, ev2ebitda, ev, opm, d2e, dp, dp3, dy, roe3, roce3, cr, sales5, profit5, pledge, piotski, 
Coal India, 533278, COALINDIA, Mining / Minerals / Metals, 194.10, 9.23, 1, 1, 119618.56, 0.08, 44.83, 6.53, 18.91, 2.21, 108.29, 65.50, 177.70, 25.82, 18305.34, 155.72, 289.20, 100415.08, 90704.27, 26453.92, 20291.19, 13.98, 4.52, 
Cochin Shipyard, 540678, COCHINSHIP, Miscellaneous, 335.65, 2.24, 0, 0, 4415.15, 0.04, 15.14, 8.92, 13.96, 0.80, 36.08, 22.78, 328.30, 19.69, 495.12, 35.97, 409.25, 3038.87, 2015.30, 3332.08, 3200.54, 14.47, 1.33, 
Coffee Day Enter, 539436, COFFEEDAY, Hotels, 45.65, 0.00, 0, 0, 964.36, 2.59, 1.30, 13.31, 81.27, 0.31, 0.00, 7.41, 45.65, 13.31, 143.17, 1.25, 318.00, 4264.48, 5844.72, 2529.08, 2317.83, 0.29, 0.38, 
Colgate-Palm., 500830, COLPAL, Personal Care - Multinational, 1495.85, 46.90, 1, 0, 40684.97, 0.06, 49.89, 53.70, 45.15, 5.99, 74.90, 72.59, 1018.30, 27.84, 755.17, 234.58, 1589.55, 4505.99, 40368.76, 1446.75, 1419.55, 48.60, 28.12, 
Container Corpn., 531344, CONCOR, Miscellaneous, 640.20, 47.80, 0, 0, 39007.02, 0.07, 11.29, 32.76, 26.42, 7.65, 40.54, 15.23, 433.16, 25.79, 1190.87, 140.23, 666.00, 6952.57, 39537.25, 10367.87, 10063.22, 11.00, 3.76, 
Coromandel Inter, 506395, COROMANDEL, Fertilizers, 413.70, 22.94, 1, 0, 12103.04, 0.88, 21.74, 17.15, 19.53, 1.14, 28.15, 21.31, 336.50, 11.07, 692.70, 5.04, 519.90, 12826.85, 14898.19, 3358.39, 3329.14, 11.42, 3.60, 
Corporation Bank, 532179, CORPBANK, Banks - Public Sector, 14.65, 2.45, 0, 0, 8781.48, 11.65, -26.18, , 9.04, , 0.00, 3.52, 14.30, 5.29, -6314.67, 0.23, 32.40, 15417.60, 189174.55, 16564.86, 15366.02, -1.50, 0.53, 
CreditAcc. Gram., 541770, CREDITACC, Finance & Investments, 670.15, 176.86, 0, 0, 9636.49, 2.06, 17.36, 27.90, 22.49, 0.35, 0.00, 15.23, 242.05, 71.68, 345.34, 2.20, 689.90, 1370.16, 13887.51, 2365.15, 2221.51, 4.29, 4.07, 
CRISIL, 500092, CRISIL, Miscellaneous, 1348.85, 18.79, 1, 0, 9752.21, 0.00, 30.73, 28.08, 51.71, 3.77, 63.64, 43.81, 1135.45, 25.71, 347.25, 436.40, 1706.00, 1724.04, 9548.27, 1148.64, 1141.41, 30.07, 8.49, 
Crompton Gr. Con, 539876, CROMPTON, Electric Equipment, 246.50, 29.74, , 0, 15456.36, 0.59, , 36.84, 40.65, , , , 190.00, 13.18, 419.56, 10.94, 276.45, 4621.86, 15962.57, 1097.34, 971.94, , 14.09, 
City Union Bank, 532210, CUB, Banks - Private Sector, 211.30, 34.59, 0, 0, 15536.43, 8.04, 15.20, 21.98, 16.01, 1.52, 4.11, 7.71, 157.00, 67.66, 706.86, 1.42, 227.05, 3906.90, 51502.01, 4840.76, 4767.31, 1.61, 3.21, 
Cummins India, 500480, CUMMINSIND, Engines, 563.25, 1.59, 1, 1, 15613.29, 0.07, 18.27, 22.92, 31.74, 5.94, 58.91, 23.11, 554.45, 14.11, 681.08, 55.45, 885.00, 5674.09, 15184.52, 4130.45, 4075.01, 17.00, 3.78, 
Cyient, 532175, CYIENT, Computers - Software - Medium / Small, 463.40, 11.93, 1, 0, 5096.07, 0.14, 18.83, 10.41, 16.05, 0.83, 35.03, 22.97, 414.00, 13.95, 486.50, 17.85, 779.95, 4626.50, 4493.97, 2563.86, 2508.90, 15.95, 1.99, 
Dabur India, 500096, DABUR, Personal Care - Indian, 439.65, 23.12, 1, 0, 77688.96, 0.12, 26.79, 50.46, 41.04, 4.72, 48.67, 29.15, 357.10, 20.76, 1476.23, 32.04, 469.20, 8725.66, 78060.17, 5631.76, 5455.05, 22.56, 13.79, 
D B Corp, 533151, DBCORP, Entertainment / Electronic Media Software, 140.30, 7.10, 0, 0, 2454.45, 0.03, 19.00, 9.09, 19.07, -4.11, 34.98, 27.92, 131.00, 20.99, 270.01, 34.88, 208.90, 2437.35, 2372.39, 1826.95, 1652.02, 17.93, 1.34, 
Dilip Buildcon, 540047, DBL, Construction, 405.85, 30.27, 0, 0, 5550.80, 1.12, 27.25, 8.79, 15.62, 0.28, 2.59, 21.67, 311.55, 17.66, 635.30, 2.26, 734.80, 8969.90, 8938.35, 3204.42, 3067.65, 10.22, 1.73, 
Dishman Carbogen, 540701, DCAL, Pharmaceuticals - Indian - Bulk Drugs & Formln, 163.80, 2.70, 0, 0, 2643.64, 0.19, , 12.87, 24.71, , 0.51, , 159.50, 26.22, 205.48, 6.35, 258.15, 2098.27, 3590.14, 5379.09, 5346.81, 334.88, 0.49, 
DCB Bank, 532772, DCBBANK, Banks - Private Sector, 187.75, 34.11, 0, 0, 5821.52, 10.00, 10.33, 17.28, 17.03, 1.05, 8.69, 7.46, 140.00, 68.39, 336.93, 1.26, 244.65, 3197.76, 34186.45, 3114.70, 2804.90, 0.99, 1.87, 
DCM Shriram, 523367, DCMSHRIRAM, Diversified - Mega, 396.15, 44.05, 1, 0, 6294.63, 0.46, 24.98, 6.93, 8.16, 0.23, 18.04, 25.20, 275.00, 18.16, 908.23, 10.91, 638.50, 7605.69, 7488.77, 3532.99, 3501.80, 17.07, 1.79, 
Deepak Fert., 500645, DEEPAKFERT, Fertilizers, 99.20, 30.18, 0, 0, 874.94, 1.45, 6.33, 19.69, 13.77, -0.79, 34.76, 7.69, 76.20, 7.58, 44.44, 1.30, 247.05, 5638.07, 3790.82, 2097.85, 2009.65, 2.80, 0.42, 
Deepak Nitrite, 506401, DEEPAKNTR, Chemicals, 290.55, 42.01, 0, 0, 3962.90, 0.31, 11.44, 17.73, 20.33, 0.61, 18.39, 13.69, 204.60, 22.30, 223.53, 9.95, 337.95, 1921.25, 4284.93, 1057.85, 1030.57, 6.98, 3.75, 
Delta Corp, 532848, DELTACORP, Miscellaneous, 164.65, 41.88, 0, 0, 4461.00, 0.00, 9.79, 22.86, 48.10, 0.63, 12.38, 14.55, 116.05, 39.51, 197.83, 119.08, 277.75, 797.96, 4387.41, 1942.27, 1915.18, 8.59, 2.30, 
Dhanuka Agritech, 507717, DHANUKA, Pesticides / Agrochemicals - Indian, 316.15, 3.96, 0, 0, 1504.19, 0.03, 20.81, 13.54, 20.38, 3.58, 8.79, 28.13, 304.10, 14.82, 111.07, 171.62, 486.00, 1011.85, 1525.05, 642.22, 632.70, 19.81, 2.34, 
Dewan Hsg. Fin., 511072, DHFL, Finance - Housing, 31.00, 0.00, 0, 0, 972.85, 11.57, 7.19, , 8.41, , 6.08, 9.40, 31.00, 64.52, -1036.05, 0.88, 333.70, 12883.88, 91679.75, 8102.06, 7788.24, 0.73, 0.12, 
Dish TV, 532839, DISHTV, Entertainment / Electronic Media Software, 16.30, 13.99, 0, 0, 3001.30, 0.50, 4.09, 8.39, 956.67, 0.14, -2.68, 7.91, 14.30, 36.96, -1204.74, 1.04, 59.50, 5436.79, 5588.86, 5481.73, 5297.60, 2.83, 0.55, 
Divi's Lab., 532488, DIVISLAB, Pharmaceuticals - Indian - Bulk Drugs, 1622.55, 33.82, 1, 0, 43073.60, 0.02, 19.02, 32.29, 26.78, 3.04, 29.20, 25.75, 1212.50, 36.37, 1333.84, 579.91, 1774.95, 5024.27, 43074.00, 6973.31, 6920.22, 18.85, 6.18, 
DLF, 532868, DLF, Construction, 144.20, 8.79, 0, 0, 35693.99, 0.52, 2.35, 30.55, 44.67, 1.54, 30.46, 5.75, 132.55, 25.31, 1561.17, 1.23, 209.65, 8189.93, 48061.08, 32880.06, 32385.00, 1.28, 1.18, 
Avenue Super., 540376, DMART, Trading, 1896.00, 68.42, 0, 0, 118326.42, 0.12, 18.11, 115.89, 95.33, 2.74, 0.00, 24.06, 1125.75, 8.59, 1021.05, 30.27, 1945.05, 21137.36, 118808.02, 5594.48, 4970.40, 14.37, 21.15, 
Dr Reddy's Labs, 500124, DRREDDY, Pharmaceuticals - Indian - Bulk Drugs & Formln, 2689.35, 43.59, 0, 0, 44682.41, 0.27, 10.37, 20.78, 27.88, -14.84, 25.92, 9.90, 1872.95, 20.07, 2150.50, 27.62, 2965.20, 15569.90, 48297.71, 14077.20, 13994.10, 7.48, 3.19, 
eClerx Services, 532927, ECLERX, Computers - Software - Medium / Small, 425.90, 2.21, 0, 0, 1575.12, 0.00, 22.61, 7.58, 17.14, -3.25, 1.36, 29.20, 416.70, 20.61, 207.91, 64.66, 1230.50, 1433.37, 1125.24, 1491.07, 1454.97, 22.89, 1.14, 
Edelweiss.Fin., 532922, EDELWEISS, Finance & Investments, 96.85, 5.27, 0, 0, 9043.78, 6.06, 14.62, 10.10, 17.28, 0.29, 14.62, 11.32, 92.00, 58.86, 895.03, 1.32, 210.50, 10874.88, 49125.99, 7676.98, 7588.20, 1.70, 1.18, 
Eicher Motors, 505200, EICHERMOT, Automobiles - Motorcycles / Mopeds, 17826.85, 17.31, 1, 0, 48648.98, 0.02, 31.25, 23.41, 43.36, 0.55, 15.70, 46.59, 15196.95, 27.93, 2078.32, 295.31, 25350.00, 9631.23, 45870.45, 8918.73, 8891.44, 31.18, 5.45, 
EID Parry, 500125, EIDPARRY, Sugar, 162.45, 20.29, 0, 0, 2875.28, 1.64, 11.65, 8.58, 38.36, 0.43, 22.95, 17.77, 135.05, 9.64, 320.89, 3.12, 248.00, 16329.21, 7718.60, 3127.90, 3110.20, 3.92, 0.92, 
EIH, 500840, EIHOTEL, Hotels, 177.85, 29.30, 0, 0, 10165.02, 0.17, 4.70, 72.51, 73.08, 6.35, 48.16, 6.99, 137.55, 19.72, 96.04, 5.34, 214.95, 1497.91, 10635.77, 2855.09, 2740.78, 4.10, 3.56, 
Emami, 531162, EMAMILTD, Personal Care - Indian, 315.50, 28.30, 0, 0, 14321.66, 0.05, 18.69, 44.28, 57.37, -7.71, 52.76, 21.41, 245.90, 27.26, 315.83, 21.51, 515.00, 2727.20, 14228.12, 2076.06, 2030.67, 15.11, 6.90, 
Endurance Tech., 540153, ENDURANCE, Auto Ancillaries, 977.65, 31.73, 1, 0, 13751.90, 0.28, 20.90, 25.03, 37.08, 1.25, 13.56, 23.02, 742.15, 15.86, 536.01, 32.87, 1384.95, 7559.23, 13944.50, 2564.68, 2424.02, 14.74, 5.36, 
Engineers India, 532178, ENGINERSIN, Engineering - Turnkey Services, 114.45, 23.73, 0, 0, 7232.23, 0.00, 14.21, 17.75, 22.99, -4.46, 65.80, 21.79, 92.50, 16.08, 407.54, 464.99, 129.90, 2605.92, 4571.17, 2275.85, 1959.89, 14.25, 3.18, 
Equitas Holdings, 539844, EQUITAS, Finance & Investments, 102.75, 31.98, 0, 0, 3511.41, 5.24, 5.59, 15.65, 140.88, 0.83, 0.00, 8.51, 77.85, 55.07, 224.44, 1.34, 143.65, 2348.53, 15050.86, 2443.85, 2102.24, 1.20, 1.44, 
ERIS Lifescience, 540596, ERIS, Pharmaceuticals - Indian - Formulations, 442.05, 23.55, 0, 0, 6079.06, 0.15, 38.32, 20.02, 33.94, 0.59, 0.00, 35.37, 357.80, 35.88, 303.66, 21.04, 746.00, 1005.71, 6247.97, 1150.52, 1136.77, 34.71, 5.28, 
Escorts, 500495, ESCORTS, Automobiles - Tractors, 609.50, 43.99, 0, 0, 7471.25, 0.09, 13.77, 16.81, 23.39, 1.19, 8.30, 19.75, 423.30, 11.30, 451.69, 31.76, 833.90, 6108.05, 7518.07, 3048.85, 2926.27, 12.15, 2.47, 
Essel Propack, 500135, ESSELPACK, Packaging, 115.55, 46.73, 0, 0, 3644.51, 0.46, 15.42, 20.19, 16.62, 1.69, 20.76, 17.15, 78.75, 18.35, 190.44, 5.34, 138.40, 2701.40, 4142.61, 1387.98, 1324.90, 9.26, 2.63, 
Eveready Inds., 531508, EVEREADY, Dry Cells, 43.10, 0.35, 0, 0, 313.25, 1.02, 22.15, 5.31, 31.50, 0.11, 6.64, 21.66, 42.95, 8.07, 35.76, 2.13, 234.20, 1395.43, 692.09, 376.69, 340.35, 12.97, 0.83, 
Exide Inds., 500086, EXIDEIND, Auto Ancillaries, 193.10, 16.33, 0, 0, 16413.50, 0.00, 13.85, 21.02, 25.11, 2.19, 28.03, 20.07, 166.00, 13.46, 858.42, 171.25, 274.00, 10595.10, 16339.95, 5986.99, 5901.99, 13.55, 2.74, 
Future Consumer, 533400, FCONSUMER, Trading, 25.80, 7.05, 0, 0, 4956.32, 0.82, -4.19, , 0.00, , 0.00, 1.20, 24.10, 2.07, -15.42, 0.67, 52.65, 4088.49, 5701.62, 990.30, -154.07, -2.29, 5.01, 
FDC, 531599, FDC, Pharmaceuticals - Indian - Bulk Drugs & Formln, 170.00, 14.71, 0, 0, 2906.54, 0.00, 14.04, 16.54, 19.89, 2.28, 7.16, 19.29, 148.20, 19.79, 172.74, 133.24, 219.95, 1127.14, 2891.44, 1433.04, 1415.52, 14.09, 2.03, 
Federal Bank, 500469, FEDERALBNK, Banks - Private Sector, 87.75, 30.87, 0, 0, 17445.74, 10.75, 9.28, 12.78, 15.65, 1.55, 21.15, 6.34, 67.05, 68.88, 1365.39, 1.27, 110.40, 11980.95, 150114.60, 13273.23, 12876.03, 0.79, 1.31, 
Finolex Cables, 500144, FINCABLES, Cables - Power, 382.25, 9.11, 0, 0, 5846.11, 0.00, 16.77, 17.43, 20.59, 1.36, 17.20, 23.97, 350.35, 13.82, 335.32, 607.99, 544.80, 3094.35, 5797.86, 2439.67, 2409.08, 16.77, 2.40, 
Fine Organic, 541557, FINEORG, Chemicals, 1745.10, 76.02, , 0, 5350.47, 0.26, , 39.90, 27.90, , 15.86, , 991.40, 21.88, 134.11, 171.64, 1820.00, 1063.46, 5369.53, 500.24, 484.91, 349.16, 10.70, 
Finolex Inds., 500940, FINPIPE, Plastics Products, 589.00, 34.78, 0, 0, 7309.49, 0.04, 14.14, 22.91, 30.07, 1.77, 39.19, 20.60, 437.00, 16.21, 318.99, 63.53, 625.00, 3207.28, 7370.95, 2528.42, 2404.33, 13.29, 2.89, 
Future Lifestyle, 536507, FLFL, Textiles - Products, 422.45, 18.23, 0, 0, 8503.18, 0.52, 10.27, 59.60, 56.45, 2.83, 16.39, 13.47, 357.30, 10.86, 142.68, 2.32, 504.35, 5605.69, 9264.19, 1647.69, 1608.74, 6.51, 5.16, 
Force Motors, 500033, FORCEMOT, Automobiles - LCVs / HCVs, 1093.85, 9.33, 0, 0, 1441.69, 0.15, 9.11, 10.82, 19.66, 0.74, 8.42, 11.82, 1000.50, 7.62, 133.22, 9.38, 1980.00, 3567.99, 1724.39, 1934.87, 1921.69, 8.48, 0.75, 
Fortis Health., 532843, FORTIS, Healthcare, 135.65, 21.88, 0, 0, 10241.01, 0.30, -1.22, 190.53, 230.47, -8.18, 0.00, 7.13, 111.30, 7.87, -160.38, 1.78, 153.70, 4565.63, 11395.43, 6600.81, 5845.85, -0.58, 1.55, 
Future Retail, 540064, FRETAIL, Trading, 379.20, 1.94, 0, 0, 19058.53, 0.69, 20.29, 25.68, 820.07, 0.75, 0.00, 18.26, 372.00, 6.97, 742.20, 2.80, 575.00, 20775.55, 21462.76, 3851.95, 3751.43, 12.81, 4.95, 
Firstsour.Solu., 532809, FSL, Computers - Software - Medium / Small, 46.15, 17.73, 0, 0, 3199.12, 0.20, 14.66, 8.41, 9.32, 0.57, 12.19, 14.13, 39.20, 14.74, 380.36, 13.09, 64.65, 3886.95, 3708.51, 2722.67, 2029.66, 10.72, 1.18, 
GAIL (India), 532155, GAIL, Miscellaneous, 132.90, 11.21, 0, 0, 59939.79, 0.02, 12.32, 9.39, 16.02, 1.11, 41.72, 17.69, 119.50, 12.54, 6053.95, 80.86, 192.86, 76138.31, 59726.22, 44092.94, 41837.87, 10.58, 1.36, 
Galaxy Surfact., 540935, GALAXYSURF, Detergents / Intermediates, 1469.60, 68.57, , 0, 5210.43, 0.34, 25.44, 26.34, 26.63, , 14.99, 25.96, 871.80, 13.30, 197.82, 11.15, 1520.85, 2711.82, 5482.54, 876.73, 841.28, 16.13, 5.94, 
Gayatri Projects, 532767, GAYAPROJ, Construction, 110.95, 15.51, 0, 0, 2076.97, 1.41, 16.20, 9.65, 21.28, 0.28, 0.00, 13.97, 96.05, 15.34, 215.17, 1.96, 198.00, 3624.42, 3621.30, 1329.63, 1292.19, 3.94, 1.56, 
Gateway Distr., 532622, GDL, Miscellaneous, 102.65, 15.34, 0, 0, 1116.09, 0.61, 7.72, 8.64, 21.50, -1.44, 69.26, 8.02, 89.00, 24.97, 392.91, 4.92, 175.00, 696.41, 1903.53, 1321.81, 1213.08, 6.32, 0.84, 
GE Power, 532309, GEPIL, Electric Equipment, 798.75, 19.93, 0, 0, 5370.00, 0.00, 4.02, 36.20, 3009.32, -6.07, 2361.27, 25.92, 666.00, 7.61, 64.92, 5.89, 938.00, 1888.26, 4542.02, 885.07, 817.84, 3.54, 6.07, 
GE Shipping Co, 500620, GESHIP, Shipping, 281.05, 32.79, 0, 0, 4237.59, 0.88, 2.84, 68.98, 7.41, -1.28, -137.00, 5.24, 211.65, 42.11, 169.67, 1.31, 354.00, 3508.42, 7314.66, 6809.15, 6658.89, 1.49, 0.62, 
GE T&D India, 522275, GET&D, Electric Equipment, 189.00, 52.42, 0, 0, 4839.35, 0.06, 9.54, 36.12, 120.20, 2.72, -3.14, 21.58, 124.00, 8.55, 133.99, 4.19, 332.70, 3790.05, 4859.60, 1427.99, 1376.78, 7.51, 3.39, 
GHCL, 500171, GHCL, Chemicals, 204.80, 14.80, 1, 0, 2011.41, 0.66, 24.93, 4.99, 5.24, 0.24, 13.27, 21.65, 178.40, 23.98, 402.89, 6.01, 277.45, 3492.46, 3275.44, 1951.95, 1853.92, 13.15, 1.03, 
GIC Housing Fin, 511676, GICHSGFIN, Finance - Housing, 133.20, 0.91, 0, 0, 717.28, 9.30, 17.80, 4.81, 10.23, 0.40, 16.63, 9.82, 132.00, 88.77, 149.16, 1.22, 283.65, 1242.31, 12323.69, 1253.97, 1200.12, 1.72, 0.57, 
General Insuranc, 540755, GICRE, Miscellaneous, 227.50, 47.73, 0, 0, 39912.60, 0.00, 5.31, 25.56, 19.49, , 40.63, 6.10, 154.00, -10.56, 1561.48, , 332.00, 39831.94, 27064.69, 53095.02, 52217.82, 2.69, 0.75, 
Gillette India, 507815, GILLETTE, Personal Care - Multinational, 7038.15, 14.09, 1, 0, 22937.33, 0.00, 32.60, 90.69, 95.95, 4.21, 101.35, 49.58, 6169.00, 20.47, 252.92, 44.19, 7919.85, 1861.65, 22700.70, 778.36, 745.77, 32.30, 29.47, 
Glaxosmi. Pharma, 500660, GLAXO, Pharmaceuticals - Multinational, 1380.45, 22.16, 0, 0, 23385.66, 0.00, 17.04, 52.79, 75.12, -19.62, 79.78, 26.25, 1130.00, 19.23, 450.23, 538.70, 1544.95, 3180.90, 22230.91, 2142.42, 1973.01, 14.96, 10.92, 
Glenmark Pharma., 532296, GLENMARK, Pharmaceuticals - Indian - Bulk Drugs & Formln, 319.70, 0.92, 0, 0, 9021.72, 0.79, 19.47, 12.96, 37.65, 1.51, 6.07, 16.81, 316.80, 15.77, 801.32, 3.77, 706.90, 10022.74, 12532.62, 5605.19, 5576.97, 10.10, 1.61, 
G M D C, 532181, GMDCLTD, Mining / Minerals / Metals, 60.35, 1.77, 0, 0, 1919.13, 0.00, 8.10, 5.83, 10.46, -1.07, 30.12, 12.32, 59.30, 29.57, 219.94, 330.23, 100.35, 1879.68, 1870.96, 4317.11, 4253.51, 7.29, 0.44, 
GMR Infra., 532754, GMRINFRA, Engineering - Turnkey Services, 16.35, 26.25, 0, 0, 9868.77, , -33.60, , 2185.00, , 0.00, 6.13, 12.95, 19.99, -3650.94, 0.59, 21.35, 7827.74, 35813.78, -718.52, -1322.11, -3.74, , 
G N F C, 500670, GNFC, Fertilizers, 200.15, 18.78, 0, 0, 3110.73, 0.04, 14.66, 5.00, 6.76, 0.24, 14.78, 16.45, 168.50, 11.86, 622.08, 159.08, 395.50, 5501.20, 3083.75, 4997.10, 4841.68, 9.58, 0.62, 
Godfrey Phillips, 500163, GODFRYPHLP, Cigarettes, 954.35, 49.06, 0, 0, 4962.04, 0.02, 9.03, 16.59, 27.28, 9.37, 24.55, 12.97, 640.25, 17.80, 299.11, 57.42, 1209.90, 2699.66, 4975.13, 1896.28, 1885.88, 8.43, 2.62, 
Godrej Agrovet, 540743, GODREJAGRO, Food - Processing - Indian, 478.40, 13.45, 1, 0, 9187.28, 0.24, 18.79, 36.96, 41.55, 3.83, 32.48, 21.80, 421.70, 7.51, 324.80, 11.64, 564.55, 6088.96, 9555.38, 1648.98, 1456.95, 10.43, 5.57, 
Godrej Consumer, 532424, GODREJCP, Personal Care - Indian, 680.00, 18.26, 1, 0, 69517.11, 0.47, 28.29, 33.34, 42.80, 1.43, 44.42, 21.10, 575.00, 20.90, 2344.09, 8.87, 849.90, 10184.49, 72004.44, 7266.92, 7164.70, 16.19, 9.57, 
Godrej Inds., 500164, GODREJIND, Chemicals, 406.95, 2.77, 0, 0, 13692.48, 1.66, 8.49, 25.23, 48.52, 1.85, 15.64, 10.11, 396.00, 6.34, 614.07, 3.08, 561.05, 10862.46, 19939.61, 4346.44, 4312.80, 2.35, 3.15, 
Godrej Propert., 533150, GODREJPROP, Construction, 983.25, 113.56, 0, 0, 24780.20, 1.42, 7.26, 80.26, 64.95, 6.59, 0.00, 5.80, 460.40, 8.76, 308.73, 2.86, 1119.60, 2453.03, 27953.44, 2480.36, 2354.35, 2.37, 10.04, 
Guj Pipavav Port, 533248, GPPL, Miscellaneous, 84.25, 13.85, 0, 0, 4072.98, 0.00, 10.85, 18.95, 31.97, 5.90, 79.54, 16.19, 74.00, 56.59, 214.96, 171.76, 110.00, 703.58, 3539.27, 2021.01, 1537.57, 10.45, 2.02, 
Granules India, 532482, GRANULES, Pharmaceuticals - Indian - Bulk Drugs, 104.85, 32.72, 0, 0, 2665.79, 0.65, 16.14, 9.95, 16.57, 0.39, 14.14, 14.68, 79.00, 17.76, 267.86, 13.68, 120.40, 2421.24, 3567.93, 1529.47, 1504.05, 9.36, 1.74, 
Graphite India, 509488, GRAPHITE, Electrodes - Graphites, 283.70, 11.19, 1, 0, 5543.50, 0.07, 55.56, 2.04, 18.92, 0.02, 39.77, 74.55, 255.15, 56.53, 2659.00, 270.20, 1062.00, 6860.00, 5495.24, 5350.50, 5311.50, 40.75, 1.04, 
Grasim Inds, 500300, GRASIM, Textiles - Manmade, 693.15, 1.93, 0, 0, 45586.59, 1.47, 6.93, 11.72, 20.04, 1.09, 16.43, 11.69, 680.05, 22.61, 1886.42, 2.37, 1003.90, 75072.55, 125610.53, 55770.23, 55638.70, 3.41, 0.82, 
Greaves Cotton, 501455, GREAVESCOT, Engines, 141.80, 27.69, 0, 0, 3462.85, 0.00, 17.67, 19.52, 23.98, 2.78, 66.11, 25.38, 111.05, 13.58, 167.63, 76.66, 157.25, 2006.50, 3420.49, 969.16, 920.32, 17.56, 3.57, 
Grindwell Norton, 506076, GRINDWELL, Abrasives And Grinding Wheels, 599.75, 27.48, 0, 0, 6640.43, 0.00, 14.70, 39.83, 34.72, 2.98, 37.93, 22.53, 470.45, 16.74, 166.70, 114.89, 672.00, 1628.30, 6406.31, 1097.92, 1042.56, 14.10, 6.05, 
GRUH Finance, 511288, GRUH, Finance - Housing, 260.35, 27.25, 0, 0, 19111.37, 8.73, 28.44, 42.69, 43.86, 2.09, 27.40, 11.12, 204.60, 94.99, 447.73, 1.44, 335.40, 2109.67, 34480.40, 1891.44, 1744.70, 2.61, 10.10, 
G S F C, 500690, GSFC, Fertilizers, 76.40, 11.53, 0, 0, 3044.37, 0.15, 6.87, 6.26, 8.71, 0.84, 19.03, 7.34, 68.50, 9.18, 486.28, 9.84, 118.95, 8511.92, 4064.06, 7267.85, 7188.15, 5.62, 0.42, 
GlaxoSmith C H L, 500676, GSKCONS, Food - Processing - MNC, 8551.45, 35.52, 0, 0, 35967.40, 0.00, 23.26, 34.90, 37.03, 4.47, 44.94, 35.77, 6310.00, 24.46, 1030.44, 690.60, 8975.00, 4869.19, 31870.06, 4094.72, 4052.66, 21.72, 8.78, 
Guj.St.Petronet, 532702, GSPL, Miscellaneous, 210.15, 41.37, 0, 0, 11853.53, 0.41, 13.55, 13.84, 15.48, 1.01, 15.33, 16.44, 148.65, 80.10, 856.35, 7.07, 230.00, 1998.41, 14061.22, 5743.91, 5179.90, 9.79, 2.06, 
Guj Alkalies, 530001, GUJALKALI, Chlor Alkali / Soda Ash, 445.85, 20.50, 0, 0, 3274.32, 0.06, 13.88, 4.92, 7.14, 0.16, 9.79, 18.34, 370.00, 34.20, 665.37, 47.84, 629.65, 3157.10, 3250.77, 4296.66, 4223.22, 12.27, 0.76, 
Gujarat Gas, 539336, GUJGASLTD, Miscellaneous, 171.65, 49.26, 0, 0, 11816.22, 1.01, 17.82, 21.81, 38.11, 0.31, 18.08, 16.47, 115.00, 13.98, 529.33, 4.95, 195.00, 8603.89, 13720.17, 2183.99, 2046.31, 7.58, 5.41, 
Gulf Oil Lubric., 538567, GULFOILLUB, Chemicals, 850.35, 37.60, , 0, 4258.92, 0.48, 36.64, 22.85, 29.03, 0.04, 33.67, 38.47, 618.00, 16.88, 186.38, 21.37, 917.90, 1756.12, 4249.43, 586.74, 576.78, 23.82, 7.26, 
Hind.Aeronautics, 541154, HAL, Engineering, 694.70, 15.16, , 0, 23229.90, 0.39, 20.89, 9.73, 14.71, , 37.91, 28.84, 603.25, 23.37, 2488.04, 16.85, 948.00, 20371.80, 27316.16, 10848.52, 10514.13, 9.60, 2.14, 
Hathway Cable, 533162, HATHWAY, Entertainment / Electronic Media Software, 20.95, 19.37, 0, 0, 3708.37, 0.54, -2.17, 18.19, 0.00, 0.58, 0.00, -0.51, 17.55, 17.61, -187.57, -0.05, 38.60, 1558.29, 5528.43, 3639.51, 3285.49, -1.94, 1.02, 
Havells India, 517354, HAVELLS, Electric Equipment, 709.55, 29.08, 1, 0, 44403.84, 0.02, 19.49, 58.81, 43.35, 5.64, 37.08, 27.54, 549.70, 11.36, 755.03, 62.68, 806.90, 10173.25, 43213.51, 4242.56, 4179.98, 18.61, 10.47, 
HCL Technologies, 532281, HCLTECH, Computers - Software - Large, 1059.55, 15.17, 1, 0, 143717.49, 0.10, 26.21, 14.49, 15.45, 0.72, 23.19, 31.79, 920.00, 22.64, 9919.00, 52.81, 1190.00, 62976.00, 140040.49, 41366.26, 41095.00, 24.56, 3.47, 
H D F C, 500010, HDFC, Finance - Housing, 1995.65, 21.35, 0, 0, 344587.91, 3.46, 16.84, 21.23, 21.69, 1.38, 25.38, 10.76, 1644.50, 45.85, 16231.76, 1.75, 2357.85, 95693.52, 726806.47, 111733.14, 111388.85, 2.98, 3.08, 
HDFC AMC, 541729, HDFCAMC, Finance & Investments, 2744.65, 119.57, , 0, 58353.96, 0.00, 37.88, 57.37, 35.04, , 48.09, 55.86, 1250.00, 68.49, 1017.13, 660.38, 2975.00, 1948.34, 58321.97, 3070.73, 2964.43, 38.45, 19.00, 
HDFC Bank, 500180, HDFCBANK, Banks - Private Sector, 1248.80, 32.54, 0, 0, 683189.00, 6.97, 17.32, 30.99, 25.72, 1.55, 19.35, 7.51, 942.20, 65.53, 22044.86, 1.64, 1285.00, 103814.66, 1642067.41, 149208.25, 148661.69, 1.92, 4.58, 
