name, bse_code, nse_code, industry, captype, cmp, mcap, sales, np, d2e, roe3, roce3, dp3, dp, dy, pe, pe5, peg, p2bv, p2sales, ev2ebitda, ev, opm, cr, sales5, profit5, pledge, piotski, 
Sun Pharma.Inds., 524715, SUNPHARMA, Pharmaceuticals - Indian - Bulk Drugs & Formln, Large Cap, 386.55, 92746.29, 30216.10, 3105.59, 0.25, 11.94, 14.09, 19.90, 24.75, 0.71, 22.90, 42.29, -3.84, 2.24, 3.07, 12.41, 95985.05, 22.16, 3.27, 12.57, -5.96, 10.97, 6.00, 
Sun TV Network, 532733, SUNTV, Entertainment / Electronic Media Software, Mid Cap, 477.90, 18833.30, 3644.24, 1367.59, 0.00, 25.77, 39.31, 32.49, 21.19, 1.57, 13.77, 25.65, 1.01, 3.46, 5.17, 6.68, 18362.40, 68.94, 2.73, 11.81, 13.59, 3.75, 9.00, 
Suprajit Engg., 532509, SUPRAJIT, Auto Ancillaries, Small Cap, 174.55, 2441.47, 1591.52, 129.84, 0.47, 21.56, 22.69, 15.86, 16.20, 0.89, 18.80, 26.24, 0.86, 3.15, 1.53, 10.26, 2757.00, 14.37, 2.10, 24.09, 21.79, 0.00, 7.00, 
Supreme Inds., 509930, SUPREMEIND, Plastics Products, Mid Cap, 1220.60, 15504.90, 5698.46, 399.43, 0.08, 23.66, 30.77, 38.80, 36.81, 1.07, 39.62, 29.09, 5.93, 7.20, 2.72, 19.68, 15630.01, 13.27, 1.49, 10.52, 6.68, 0.00, 6.00, 
Suven Life Scie., 530239, SUVEN, Pharmaceuticals - Indian - Bulk Drugs, Small Cap, 272.80, 3472.27, 670.83, 168.40, 0.04, 16.20, 22.02, 11.70, 12.72, 0.55, 20.62, 19.43, -17.47, 3.49, 5.18, 12.74, 3496.92, 38.06, 2.75, 5.39, -1.18, 0.00, 6.00, 
Symphony, 517385, SYMPHONY, Domestic Appliances, Mid Cap, 1283.55, 8979.33, 990.00, 105.00, 0.28, 29.29, 38.26, 23.13, 34.12, 0.35, 76.86, 61.98, 6.00, 13.48, 9.07, 46.03, 9113.43, 15.45, 1.74, 19.45, 12.80, 0.00, 4.00, 
Take Solutions, 532890, TAKE, Computers - Software - Medium / Small, Micro Cap, 103.10, 1525.20, 2154.20, 168.99, 0.31, 14.34, 14.74, 10.65, 8.24, 0.97, 9.03, 13.93, 0.36, 1.00, 0.71, 4.79, 1929.48, 17.84, 3.53, 20.11, 24.95, 0.00, 2.00, 
Tata Chemicals, 500770, TATACHEM, Chemicals, Mid Cap, 582.30, 14834.67, 11448.86, 1189.64, 0.50, 15.05, 13.60, 26.27, 27.56, 2.15, 13.08, 13.88, 0.52, 1.20, 1.30, 7.06, 19025.91, 19.16, 1.51, -6.59, 25.16, 0.00, 6.00, 
Tata Elxsi, 500408, TATAELXSI, Computers - Software - Medium / Small, Small Cap, 675.05, 4203.97, 1576.60, 268.25, 0.00, 35.84, 54.11, 28.68, 29.00, 2.00, 15.67, 29.22, 0.51, 4.46, 2.67, 8.66, 3688.16, 24.00, 5.40, 15.64, 30.80, 0.00, 7.00, 
TCS, 532540, TCS, Computers - Software - Large, Large Cap, 2059.95, 772972.49, 150374.00, 32263.00, 0.00, 33.13, 43.65, 35.98, 35.75, 1.46, 23.96, 23.02, 2.27, 8.64, 5.14, 16.81, 760186.49, 26.91, 2.83, 12.35, 10.55, 2.94, 8.00, 
Tech Mahindra, 532755, TECHM, Computers - Software - Large, Large Cap, 704.95, 68015.01, 35118.85, 4348.64, 0.10, 20.23, 24.77, 29.85, 28.91, 2.02, 15.64, 16.23, 2.07, 3.35, 1.94, 9.67, 67651.81, 17.75, 1.81, 13.07, 7.55, 0.00, 7.00, 
Thermax, 500411, THERMAX, Engineering, Mid Cap, 1140.10, 13585.01, 6330.36, 339.22, 0.08, 10.55, 16.27, 27.87, 24.22, 0.61, 35.59, 45.44, 3.67, 4.51, 2.15, 21.48, 13456.21, 7.68, 1.20, 3.29, 9.71, 0.00, 5.00, 
Thyrocare Tech., 539871, THYROCARE, Healthcare, Small Cap, 506.15, 2672.40, 381.59, 99.95, 0.00, 19.15, 31.14, 93.98, 110.89, 3.95, 26.74, 48.53, 1.81, 5.86, 7.00, 15.95, 2663.35, 40.08, 2.08, 19.81, 14.79, 0.00, 7.00, 
Tube Investments, 540762, TIINDIA, Miscellaneous, Small Cap, 380.90, 7153.36, 5679.64, 257.10, 0.41, 16.90, 19.22, 12.02, 19.52, 0.66, 27.82, 29.10, , 4.85, 1.26, 12.44, 7705.23, 9.95, 1.37, , , 0.08, 7.00, 
Time Technoplast, 532856, TIMETECHNO, Plastics Products, Micro Cap, 58.35, 1319.57, 3650.40, 203.23, 0.50, 12.52, 15.47, 10.02, 10.04, 1.54, 6.49, 12.73, 0.39, 0.79, 0.36, 3.93, 2092.84, 14.50, 2.79, 10.58, 16.46, 16.72, 8.00, 
Titan Company, 500114, TITAN, Diamond Cutting / Jewellery, Large Cap, 1280.60, 113689.90, 20478.58, 1431.14, 0.39, 23.66, 25.02, 31.17, 31.61, 0.39, 79.44, 54.90, 5.75, 18.73, 5.55, 50.37, 115016.40, 10.15, 3.06, 12.60, 13.81, 0.00, 6.00, 
Triveni Turbine, 533655, TRITURBINE, Electric Equipment, Small Cap, 104.50, 3378.54, 881.86, 111.92, 0.00, 25.80, 39.11, 22.15, 0.00, 0.00, 30.19, 36.40, 3.86, 7.80, 3.83, 17.89, 3351.43, 18.64, 1.51, 10.15, 7.82, 2.74, 6.00, 
TTK Prestige, 517506, TTKPRESTIG, Domestic Appliances, Mid Cap, 6128.90, 8495.52, 1982.75, 190.88, 0.00, 17.66, 24.84, 17.91, 18.22, 0.41, 44.51, 41.90, 3.63, 7.36, 4.28, 26.86, 8432.94, 14.46, 2.13, 10.00, 12.26, 0.00, 8.00, 
TVS Motor Co., 532343, TVSMOTOR, Automobiles - Motorcycles / Mopeds, Mid Cap, 419.60, 19935.20, 18510.09, 665.83, 0.42, 23.64, 23.70, 23.25, 24.81, 0.83, 29.94, 34.32, 1.45, 5.96, 1.08, 14.44, 21291.34, 7.93, 0.89, 17.98, 20.71, 0.00, 7.00, 
TVS Srichakra, 509243, TVSSRICHAK, Tyres, Micro Cap, 1779.70, 1363.25, 2386.40, 95.46, 0.56, 20.78, 23.13, 26.92, 29.70, 2.25, 14.28, 13.54, 0.85, 1.83, 0.57, 6.55, 1759.48, 10.77, 1.65, 7.35, 16.80, 0.00, 4.00, 
T.V. Today Netw., 532515, TVTODAY, Entertainment / Electronic Media Software, Micro Cap, 306.65, 1829.51, 782.78, 143.42, 0.00, 18.40, 28.27, 10.71, 10.33, 0.73, 12.76, 18.44, 0.76, 2.19, 2.34, 5.98, 1539.45, 27.24, 4.03, 12.77, 16.76, 0.00, 6.00, 
United Breweries, 532478, UBL, Breweries & Distilleries, Large Cap, 1324.80, 35027.71, 6655.05, 505.40, 0.07, 15.44, 21.65, 12.81, 11.75, 0.19, 69.31, 82.69, 3.46, 11.01, 5.26, 32.41, 35194.08, 16.02, 1.51, 8.85, 20.06, 18.20, 8.00, 
V-Guard Inds., 532953, VGUARD, Electric Equipment, Mid Cap, 220.75, 9435.97, 2630.93, 183.57, 0.01, 21.45, 28.82, 21.19, 20.63, 0.36, 51.40, 44.10, 2.74, 10.49, 3.59, 35.25, 9361.34, 9.28, 2.25, 11.26, 18.77, 0.00, 7.00, 
Vinati Organics, 524200, VINATIORGA, Pharmaceuticals - Indian - Bulk Drugs, Mid Cap, 2192.55, 11267.74, 1139.14, 300.60, 0.00, 24.95, 36.41, 14.51, 12.74, 0.32, 37.48, 24.41, 1.37, 10.72, 9.89, 23.41, 11267.62, 38.37, 2.54, 9.74, 27.41, 0.00, 8.00, 
V I P Inds., 507880, VIPIND, Moulded Luggage, Small Cap, 454.25, 6419.34, 1831.03, 117.00, 0.15, 26.33, 38.29, 34.79, 31.13, 0.70, 44.04, 33.51, 1.72, 11.04, 3.51, 24.69, 6491.26, 13.85, 2.34, 13.63, 25.64, 0.00, 3.00, 
Voltas, 500575, VOLTAS, Diversified - Mega, Mid Cap, 674.65, 22323.14, 7629.98, 489.17, 0.08, 15.05, 20.18, 23.85, 26.05, 0.59, 42.52, 29.28, 2.43, 5.43, 2.93, 28.34, 22316.68, 7.68, 1.50, 6.23, 17.51, 0.00, 4.00, 
Vardhman Textile, 502986, VTL, Textiles - Cotton/Blended, Small Cap, 936.00, 5381.83, 6828.31, 687.65, 0.41, 12.70, 13.41, 12.16, 13.53, 1.87, 7.83, 7.90, -7.18, 0.96, 0.79, 5.48, 7615.64, 16.87, 4.04, 2.34, -1.09, 0.00, 5.00, 
Va Tech Wabag, 533269, WABAG, Engineering, Micro Cap, 269.90, 1476.09, 2549.64, 94.64, 0.57, 10.88, 15.83, 19.59, 20.83, 1.48, 15.60, 27.79, -16.08, 1.38, 0.58, 9.64, 1910.39, 7.47, 1.66, 4.43, -0.97, 12.43, 2.00, 
Whirlpool India, 500238, WHIRLPOOL, Domestic Appliances, Mid Cap, 1955.40, 24808.16, 5722.39, 434.11, 0.00, 21.65, 33.55, 14.10, 15.59, 0.26, 57.15, 42.85, 2.11, 11.58, 4.34, 29.74, 23747.16, 11.87, 1.72, 14.02, 27.09, 0.00, 6.00, 
Zee Entertainmen, 505537, ZEEL, Entertainment / Electronic Media Software, Large Cap, 233.15, 22393.63, 8170.02, 1771.30, 0.04, 18.97, 25.83, 17.02, 21.44, 1.50, 12.54, 34.20, 1.01, 2.51, 2.74, 7.04, 21545.43, 33.67, 3.45, 12.40, 12.44, 63.98, 7.00, 
Zensar Tech., 504067, ZENSARTECH, Computers - Software - Medium / Small, Small Cap, 215.00, 4842.70, 4132.69, 305.93, 0.15, 16.36, 23.36, 21.80, 20.11, 1.30, 15.83, 13.98, 3.21, 2.49, 1.17, 8.13, 4817.18, 12.31, 2.51, 11.18, 4.93, 0.00, 5.00, 
