rank, name, bse_code, nse_code, isin, industry, captype, reco_type, reco_cause, cmp, mcap, sales, np, d2e, icr, roe3, roce3, dp3, dp, dy, pe, pe5, peg, p2bv, p2sales, ev2ebitda, ev, opm, cr, sales5, profit5, pledge, piotski, filter, nw, reserves, roa3, 
4, Hind. Unilever, 500696, HINDUNILVR, INE030A01027, CONSUMER GOODS, Large Cap, BUY, tp, ?, 1990.3, 430862.54, 38851.00, 6262.00, 0.00, 202.18, 77.26, 108.7, 81.00, 78.73, 1.1, 67.59, 47.93, 5.64, 56.26, 11.09, 44.00, 427174.54, 23.25, 1.08, 6.41, 11.98, 0.00, 8.00, 1, 7659.00, 7443.00, 64.58, 
25, Hind.Zinc, 500188, HINDZINC, INE267A01025, METALS, Large Cap, BUY, tp, ?, 213.95, 90400.7, 20795.00, 7803.00, 0.08, 78.78, 23.96, 29.04, 97.34, 106.21, 9.35, 11.59, 11.58, 2.38, 2.69, 4.35, 7.52, 92915.7, 50.19, 0.84, 9.14, 4.86, 0.00, 4.00, 1, 33605.00, 32760.00, 21.47, 
91, Indiabulls Hous., 535789, IBULHSGFIN, INE148I01020, FINANCIAL SERVICES, Large Cap, BUY, tp, ?, 267.6, 11441.88, 16557.97, 3837.34, 6.42, 1.54, 27.19, 12.01, 42.02, 41.79, 14.94, 2.98, 11.54, 0.14, 0.69, 0.69, 6.78, 102576.83, 89.63, 2.4, 23.64, 21.19, 0.00, 6.00, 0, 16482.15, 16396.64, 3.39, 
151, Indiabulls Vent., 532960, IBVENTURES, INE274G01010, FINANCIAL SERVICES, Mid Cap, BUY, tp, ?, 111.5, 6820.85, 2352.19, 481.16, 1.28, 1.94, 13.33, 11.48, 21.93, 12.36, 0.83, 14.18, 21.67, 0.41, 1.06, 2.9, 8.81, 12716.5, 60.96, 3.25, 47.7, 34.78, 0.00, 5.00, 0, 6425.97, 6312.48, 4.37, 
342, Indian Energy Ex, 540750, IEX, INE022Q01020, -, Small Cap, BUY, tp, ?, 120.85, 3620.14, 247.66, 162.73, 0.00, 187.39, 46.49, 68.78, 55.33, 2.24, 0.1, 22.25, 34.05, 1.71, 9.78, 14.62, 14.82, 3552.52, 79.85, 0.35, 11.02, 13.01, 0.00, 6.00, 1, 369.9, 340.08, 44.84, 
129, Indraprastha Gas, 532514, IGL, INE203G01027, ENERGY, Mid Cap, BUY, tp, ?, 350.15, 24510.53, 6050.55, 829.13, 0.00, 404.3, 20.02, 30.58, 21.02, 21.36, 0.69, 29.56, 21.05, 1.91, 5.93, 4.05, 16.2, 23903.44, 21.77, 0.54, 8.05, 15.48, 0.00, 6.00, 1, 4129.85, 3989.85, 20.01, 
7, Infosys, 500209, INFY, INE009A01021, IT, Large Cap, BUY, tp, ?, 793.55, 338787.96, 85351.00, 15591.00, 0.00, 530.08, 22.95, 30.71, 53.56, 60.58, 2.76, 21.8, 19.41, 2.93, 6.00, 3.97, 13.61, 319219.96, 24.16, 2.08, 10.52, 7.45, 0.00, 4.00, 1, 56480.00, 54343.00, 22.86, 
5, ITC, 500875, ITC, INE154A01025, CONSUMER GOODS, Large Cap, BUY, tp, ?, 255.9, 314411.28, 46005.36, 12819.58, 0.00, 451.58, 22.9, 34.44, 56.37, 56.55, 2.24, 24.53, 31.26, 3.11, 5.43, 6.83, 15.25, 310653.68, 38.41, 1.45, 6.24, 7.89, 0.00, 6.00, 1, 57949.79, 56723.93, 22.82, 
429, Jagran Prakashan, 532705, JAGRAN, INE199G01027, MEDIA & ENTERTAINMENT, Small Cap, BUY, tp, ?, 63.2, 1873.32, 2344.36, 239.51, 0.22, 13.11, 14.24, 20.29, 33.06, 39.82, 5.54, 7.82, 16.1, 2.08, 1.00, 0.8, 3.91, 2157.78, 21.81, 1.71, 6.77, 3.76, 0.00, 6.00, 0, 1875.71, 1816.43, 11.17, 
467, J B Chem & Pharm, 506943, JBCHEPHARM, INE572A01028, PHARMA, Small Cap, BUY, tp, ?, 362.3, 2906.97, 1546.15, 199.14, 0.02, 82.63, 9.65, 13.00, 13.33, 22.04, 1.38, 14.6, 16.81, 1.24, 1.96, 1.88, 8.14, 2912.00, 19.81, 2.26, 9.43, 11.82, 0.00, 9.00, 0, 1484.57, 1468.52, 9.17, 
276, JM Financial, 523405, JMFINANCIL, INE780C01023, FINANCIAL SERVICES, Small Cap, BUY, tp, ?, 76.25, 6413.14, 3493.13, 556.75, 2.73, 1.87, 13.82, 14.55, 21.71, 14.68, 1.31, 11.52, 12.71, 0.52, 1.25, 1.84, 6.93, 19122.01, 78.11, 5.38, 28.71, 22.15, 0.00, 6.00, 0, 5131.79, 5047.7, 3.3, 
152, Jubilant Food., 533155, JUBLFOOD, INE797F01012, CONSUMER GOODS, Mid Cap, BUY, tp, ?, 1334.65, 17613.25, 3615.7, 322.91, 0.00, 13.75, 20.78, 31.57, 20.31, 20.44, 0.37, 53.7, 76.09, 2.53, 13.31, 4.87, 23.15, 17124.19, 18.94, 1.06, 15.42, 21.21, 2.36, 8.00, 1, 1323.72, 1191.75, 19.7, 
242, Kajaria Ceramics, 500233, KAJARIACER, INE217B01036, CONSTRUCTION, Mid Cap, BUY, tp, ?, 556.15, 8840.02, 2999.17, 233.1, 0.08, 24.3, 19.05, 27.29, 20.07, 21.05, 0.54, 37.44, 35.1, 2.82, 5.61, 2.95, 18.16, 8707.97, 15.29, 1.92, 9.99, 13.3, 0.00, 7.00, 1, 1574.9, 1559.00, 15.75, 
112, Kansai Nerolac, 500165, KANSAINER, INE531A01024, CONSUMER GOODS, Mid Cap, BUY, tp, ?, 509.75, 27471.43, 5261.17, 475.41, 0.00, 577.39, 15.81, 23.79, 29.69, 29.98, 0.51, 57.78, 39.74, 3.37, 8.02, 5.22, 33.2, 27399.77, 14.65, 2.26, 10.85, 17.15, 0.00, 5.00, 0, 3424.47, 3370.58, 15.79, 
103, L&T Fin.Holdings, 533519, L&TFH, INE498L01015, FINANCIAL SERVICES, Mid Cap, BUY, tp, ?, 83.15, 16634.00, 13414.89, 2242.28, 6.8, 1.42, 14.52, 9.49, 12.79, 8.98, 1.2, 7.42, 20.52, 0.25, 1.24, 1.24, 10.23, 106266.83, 74.09, 5.78, 20.00, 29.64, 0.00, 5.00, 0, 13449.32, 11449.79, 1.84, 
255, Dr Lal Pathlabs, 539524, LALPATHLAB, INE600L01024, HEALTHCARE SERVICES, Small Cap, BUY, tp, ?, 1335.6, 11131.11, 1246.3, 209.00, 0.00, 72.5, 24.23, 37.00, 21.06, 25.1, 0.45, 53.26, 49.05, 2.71, 12.73, 8.93, 29.18, 10640.87, 25.17, 4.61, 16.62, 19.68, 0.00, 6.00, 1, 973.22, 889.92, 24.61, 
303, Lak. Mach. Works, 500252, LAXMIMACH, INE269B01029, INDUSTRIAL MANUFACTURING, Small Cap, BUY, tp, ?, 3591.5, 3836.8, 2452.21, 153.66, 0.00, 293.12, 12.3, 17.78, 20.2, 19.75, 0.97, 22.26, 25.53, 7.00, 2.27, 1.56, 10.42, 3313.36, 9.12, 1.7, 3.29, 3.18, 0.00, 4.00, 0, 1690.36, 1679.68, 11.64, 
108, LIC Housing Fin., 500253, LICHSGFIN, INE115A01026, FINANCIAL SERVICES, Mid Cap, BUY, tp, ?, 377.4, 19045.49, 18105.74, 2473.74, 10.85, 1.25, 16.74, 9.45, 16.38, 15.79, 2.01, 7.7, 13.68, 0.59, 1.17, 1.05, 11.37, 192388.22, 93.42, 0.56, 13.3, 13.04, 0.00, 4.00, 0, 16259.21, 16158.28, 1.38, 
96, L & T Infotech, 540005, LTI, INE214T01019, IT, Large Cap, BUY, tp, ?, 1505.55, 26186.12, 9775.00, 1510.3, 0.00, 76.14, 34.09, 44.73, 31.52, 32.14, 1.86, 17.34, 17.75, 1.98, 5.35, 2.68, 11.62, 25771.12, 19.67, 2.08, 13.93, 8.76, 0.00, 5.00, 1, 4893.8, 4876.4, 33.42, 
155, L&T Technology, 540115, LTTS, INE010V01017, IT, Mid Cap, BUY, tp, ?, 1507.6, 15682.37, 4883.6, 753.8, 0.02, 108.05, 31.17, 41.7, 30.57, 31.2, 1.39, 20.8, 22.28, 0.13, 6.44, 3.21, 13.92, 15533.37, 19.14, 2.14, 106.28, 157.29, 0.00, 7.00, 1, 2435.9, 2415.1, 30.78, 
33, M & M, 500520, M&M, INE101A01026, AUTOMOBILE, Large Cap, BUY, tp, ?, 556.7, 69208.53, 53016.81, 5888.9, 0.08, 56.79, 14.15, 17.65, 21.26, 21.12, 1.46, 14.52, 19.82, 2.73, 2.02, 1.31, 8.37, 68048.21, 12.05, 1.04, 5.77, 5.32, 3.07, 6.00, 0, 34209.4, 33613.43, 12.25, 
106, M & M Fin. Serv., 532720, M&MFIN, INE774D01024, FINANCIAL SERVICES, Mid Cap, BUY, tp, ?, 322.05, 19895.12, 9182.85, 1356.44, 4.84, 1.49, 12.16, 10.32, 27.46, 25.67, 2.01, 14.67, 23.55, 1.23, 1.82, 2.17, 11.24, 71783.56, 68.41, 0.58, 12.22, 11.9, 0.00, 4.00, 0, 10908.03, 10785.05, 2.00, 
430, Mah. Seamless, 500265, MAHSEAMLES, INE271B01025, -, Small Cap, BUY, tp, ?, 368.45, 2468.6, 3138.73, 253.44, 0.15, 22.95, 7.84, 13.23, 19.53, 15.32, 1.63, 7.63, 17.95, 0.19, 0.77, 0.79, 3.99, 2897.38, 21.49, 3.71, 20.48, 39.66, 0.00, 6.00, 0, 3186.2, 3152.7, 7.39, 
227, Manappuram Fin., 531213, MANAPPURAM, INE522D01027, FINANCIAL SERVICES, Mid Cap, BUY, tp, ?, 134.3, 11325.01, 4354.69, 1001.73, 3.38, 2.09, 21.77, 15.25, 20.41, 19.64, 1.6, 11.31, 10.94, 0.35, 2.5, 2.6, 8.39, 25458.05, 68.25, 4.09, 14.4, 32.51, 3.38, 5.00, 0, 4524.74, 4356.09, 5.00, 
57, Marico, 531642, MARICO, INE196A01026, CONSUMER GOODS, Large Cap, BUY, tp, ?, 387.8, 50062.82, 7472.82, 1175.22, 0.12, 45.14, 35.86, 42.03, 59.57, 54.81, 1.22, 42.09, 44.00, 2.28, 16.69, 6.7, 33.38, 49862.82, 18.55, 2.17, 9.37, 18.44, 0.00, 7.00, 1, 3026.00, 2897.00, 31.92, 
11, Maruti Suzuki, 532500, MARUTI, INE585B01010, AUTOMOBILE, Large Cap, BUY, tp, ?, 6782.00, 204870.66, 83280.7, 6960.8, 0.00, 87.47, 15.48, 21.8, 31.44, 32.21, 1.18, 29.43, 26.66, 1.56, 4.44, 2.46, 15.98, 204841.36, 11.62, 0.51, 14.46, 18.92, 0.00, 5.00, 0, 46141.5, 45990.5, 15.03, 
442, MAS FINANC SER, 540749, MASFIN, INE348L01012, FINANCIAL SERVICES, Small Cap, BUY, tp, ?, 718.95, 3929.93, 645.46, 164.59, 2.46, 1.89, 19.87, 17.66, 18.88, 18.03, 0.71, 23.88, 25.4, 0.65, 4.25, 6.09, 10.7, 5793.21, 83.87, 0.59, 26.74, 36.74, 0.00, 6.00, 0, 924.14, 869.48, 4.85, 
384, Multi Comm. Exc., 534091, MCX, INE745G01035, -, Small Cap, BUY, tp, ?, 947.75, 4833.53, 306.62, 182.62, 0.00, 1988.7, 9.96, 12.52, 70.06, 69.75, 2.11, 26.47, 35.38, 4.22, 3.86, 15.76, 20.02, 4298.94, 31.55, 1.41, 3.25, 6.27, 0.00, 9.00, 0, 1250.9, 1199.9, 8.51, 
244, Mahanagar Gas, 539957, MGL, INE002S01010, ENERGY, Mid Cap, BUY, tp, ?, 902.5, 8914.69, 2929.22, 588.31, 0.00, 552.42, 23.63, 36.06, 41.05, 36.16, 2.22, 15.15, 20.45, 1.17, 3.72, 3.04, 8.33, 8615.85, 32.48, 0.51, 8.16, 12.94, 0.00, 8.00, 1, 2398.87, 2300.09, 23.35, 
451, Minda Corp, 538962, MINDACORP, INE842C01021, AUTOMOBILE, Small Cap, BUY, tp, ?, 91.6, 2081.36, 1434.8, 116.94, 0.35, 6.54, 17.01, 19.15, 13.77, 9.89, 0.76, 18.31, 38.02, 0.4, 2.4, 1.45, 9.21, 2153.26, 12.93, 2.56, 30.91, 45.97, 0.00, 7.00, 0, 1132.54, 1087.1, 11.49, 
171, Mindtree, 532819, MINDTREE, INE018I01017, IT, Mid Cap, BUY, tp, ?, 720.9, 11863.96, 7216.2, 688.6, 0.00, 69.47, 21.31, 27.00, 47.87, 71.86, 4.57, 17.23, 19.5, 1.52, 3.54, 1.64, 10.54, 11607.76, 14.1, 3.05, 18.29, 11.34, 0.00, 6.00, 1, 3353.3, 3188.8, 19.8, 
357, Monsanto India, 524084, MONSANTO, INE274B01011, -, Small Cap, BUY, tp, ?, 2232.65, 3854.17, 695.78, 161.65, 0.00, 155.75, 27.17, 29.39, 40.85, 56.9, 2.24, 23.84, 33.3, 7.2, 5.45, 5.54, 19.6, 3835.97, 23.86, 1.61, 3.45, 3.31, 0.00, 5.00, 1, 706.9, 689.64, 27.24, 
231, Motil.Oswal.Fin., 532892, MOTILALOFS, INE338I01027, FINANCIAL SERVICES, Mid Cap, BUY, tp, ?, 639.4, 9415.42, 2535.77, 326.01, 1.68, 1.82, 18.72, 15.29, 28.01, 42.13, 1.32, 28.88, 28.83, 0.9, 3.08, 3.71, 14.46, 13841.29, 37.35, 1.1, 39.48, 32.17, 0.00, 4.00, 0, 3053.47, 3038.87, 6.22, 
146, Mphasis, 526299, MPHASIS, INE356A01018, IT, Mid Cap, BUY, tp, ?, 937.45, 17470.02, 7973.32, 1079.75, 0.1, 44.3, 15.81, 20.17, 46.06, 46.85, 2.88, 16.18, 15.74, 0.57, 3.33, 2.19, 11.11, 17371.00, 17.28, 2.09, 24.41, 28.26, 0.00, 6.00, 0, 5249.91, 5063.59, 14.69, 
117, Muthoot Finance, 533398, MUTHOOTFIN, INE414G01012, FINANCIAL SERVICES, Mid Cap, BUY, tp, ?, 672.8, 26961.31, 7102.69, 2010.61, 1.99, 2.32, 22.37, 16.48, 22.4, 24.38, 1.78, 13.41, 10.97, 0.66, 2.77, 3.8, 8.03, 44618.06, 78.2, 1.33, 6.81, 20.38, 0.00, 4.00, 0, 9743.16, 9342.46, 5.55, 
204, Natco Pharma, 524816, NATCOPHARM, INE987B01026, PHARMA, Mid Cap, BUY, tp, ?, 573.65, 10426.78, 2048.2, 606.00, 0.11, 34.75, 25.42, 30.49, 21.27, 17.7, 1.09, 17.21, 32.04, 0.39, 2.99, 5.09, 11.92, 10533.58, 37.52, 6.2, 23.17, 44.11, 0.00, 5.00, 1, 3488.9, 3452.5, 24.45, 
218, Natl. Aluminium, 532234, NATIONALUM, INE139A01034, METALS, Mid Cap, BUY, tp, ?, 45.75, 8535.2, 10610.09, 1143.13, 0.01, 564.00, 9.67, 15.16, 74.98, 61.92, 12.57, 7.2, 13.94, 0.3, 0.81, 0.8, 2.11, 5105.64, 19.75, 1.35, 11.14, 23.79, 0.00, 9.00, 0, 10484.51, 9551.7, 9.32, 
420, Navin Fluo.Intl., 532504, NAVINFLUOR, INE048G01026, CHEMICALS, Small Cap, BUY, tp, ?, 724.55, 3583.92, 953.81, 148.36, 0.00, 269.88, 16.62, 23.98, 25.6, 25.98, 1.08, 24.16, 18.69, 0.86, 3.38, 3.76, 14.07, 3561.52, 22.62, 1.72, 16.29, 28.19, 5.08, 5.00, 0, 1059.21, 1049.32, 16.17, 
211, NBCC, 534309, NBCC, INE095N01031, CONSTRUCTION, Mid Cap, BUY, tp, ?, 34.7, 6246.00, 9572.38, 346.68, 0.00, 227.16, 21.75, 32.79, 27.79, 15.59, 1.87, 18.02, 32.5, 2.31, 4.14, 0.65, 2.18, 1153.18, 3.29, 1.13, 19.58, 7.79, 0.00, 6.00, 1, 1508.41, 1328.41, 18.78, 
26, Nestle India, 500790, NESTLEIND, INE239A01016, -, Large Cap, BUY, tp, ?, 13681.55, 131917.51, 11840.43, 1688.99, 0.01, 23.38, 38.6, 60.93, 65.78, 69.00, 0.84, 78.1, 68.84, 10.12, 33.02, 11.14, 43.47, 130358.97, 22.89, 2.68, 4.41, 7.72, 0.00, 8.00, 1, 3994.84, 3898.42, 23.3, 
266, NIIT Tech., 532541, NIITTECH, INE591G01017, IT, Small Cap, BUY, tp, ?, 1349.65, 8424.23, 3814.00, 410.00, 0.01, 55.72, 18.05, 25.6, 21.2, 0.00, 0.00, 20.54, 15.61, 1.65, 4.07, 2.21, 11.14, 7880.23, 17.19, 2.47, 9.79, 12.46, 0.00, 8.00, 1, 2072.3, 2010.5, 15.61, 
12, O N G C, 500312, ONGC, INE213A01029, ENERGY, Large Cap, BUY, tp, ?, 128.2, 161279.18, 108996.46, 26476.16, 0.11, 17.49, 11.46, 16.55, 43.19, 32.96, 5.46, 6.09, 12.17, 1.51, 0.79, 1.48, 3.17, 182368.69, 45.78, 0.59, 5.58, 4.03, 0.00, 9.00, 0, 202992.55, 196702.4, 9.66, 
109, Page Industries, 532827, PAGEIND, INE761H01022, TEXTILES, Mid Cap, BUY, tp, ?, 22022.75, 24555.37, 2871.9, 380.17, 0.11, 29.87, 46.08, 64.61, 60.03, 97.37, 1.56, 64.59, 67.99, 3.17, 31.68, 8.55, 37.9, 24596.1, 21.39, 2.06, 19.15, 20.36, 0.00, 6.00, 1, 774.99, 763.84, 40.61, 
67, Piramal Enterp., 500302, PEL, INE140A01024, FINANCIAL SERVICES, Large Cap, BUY, tp, ?, 1668.75, 33190.41, 13819.1, 1992.92, 2.34, 1.54, 14.63, 9.13, 24.26, 35.06, 1.56, 16.6, 18.91, 0.41, 1.22, 2.4, 10.9, 88296.16, 55.82, 5.59, 24.03, 40.6, 0.00, 4.00, 0, 23896.2, 23856.43, 4.8, 
337, Persistent Sys, 533179, PERSISTENT, INE262H01013, IT, Small Cap, BUY, tp, ?, 561.00, 4318.29, 3363.77, 346.8, 0.00, 225.16, 15.55, 20.92, 24.46, 24.75, 2.02, 12.45, 19.76, 2.17, 1.84, 1.28, 5.74, 3647.58, 15.78, 3.13, 15.06, 5.75, 0.00, 8.00, 0, 2341.99, 2265.56, 15.49, 
177, Pfizer, 500680, PFIZER, INE182A01018, PHARMA, Mid Cap, BUY, tp, ?, 3259.15, 14909.87, 2113.59, 450.02, 0.00, 212.81, 13.56, 20.76, 25.52, 23.99, 0.69, 33.13, 65.12, 2.31, 4.95, 7.05, 16.79, 12998.03, 28.45, 2.89, 13.37, 14.32, 0.00, 8.00, 0, 3011.34, 2965.59, 13.2, 
83, P & G Hygiene, 500459, PGHH, INE179A01014, CONSUMER GOODS, Large Cap, BUY, tp, ?, 11989.4, 38918.47, 2946.5, 419.13, 0.00, 111.83, 38.86, 60.4, 118.04, 34.66, 0.33, 92.86, 59.69, 7.25, 42.81, 13.21, 58.13, 38518.88, 20.68, 1.63, 7.93, 12.8, 0.00, 8.00, 1, 909.06, 876.6, 40.52, 
465, Phillips Carbon, 506590, PHILIPCARB, INE602A01023, -, Small Cap, BUY, tp, ?, 115.15, 1984.47, 3658.66, 355.64, 0.48, 12.74, 17.98, 18.39, 21.09, 15.53, 3.04, 5.58, 19.59, 0.12, 1.2, 0.54, 4.5, 2702.08, 15.83, 1.35, 9.15, 45.55, 0.00, 8.00, 0, 1648.07, 1613.6, 10.79, 
47, Pidilite Inds., 500331, PIDILITIND, INE318A01026, CHEMICALS, Large Cap, BUY, tp, ?, 1439.25, 73111.01, 7261.48, 979.13, 0.03, 55.28, 26.42, 37.37, 31.89, 35.7, 0.45, 73.76, 50.06, 4.58, 17.63, 10.07, 46.06, 73033.32, 19.66, 1.85, 10.57, 16.09, 0.00, 5.00, 1, 4148.09, 4097.29, 24.27, 
181, P I Inds., 523642, PIIND, INE603J01030, FERTILISERS & PESTICIDES, Mid Cap, BUY, tp, ?, 1258.75, 17374.61, 2989.4, 426.9, 0.02, 83.62, 23.27, 27.29, 13.54, 13.54, 0.32, 40.7, 29.33, 2.47, 7.64, 5.81, 25.94, 17340.91, 20.29, 1.92, 12.24, 16.47, 0.00, 5.00, 1, 2274.7, 2260.9, 22.19, 
174, PNB Housing, 540173, PNBHOUSING, INE572E01012, FINANCIAL SERVICES, Mid Cap, BUY, tp, ?, 588.55, 9894.98, 8166.6, 1214.58, 9.66, 1.31, 14.45, 9.65, 16.91, 13.94, 1.52, 8.15, 25.54, 0.15, 1.33, 1.21, 10.59, 77727.75, 89.8, 1.93, 46.19, 52.79, 0.00, 3.00, 0, 7435.6, 7267.54, 1.55, 
336, Radico Khaitan, 532497, RADICO, INE944F01028, CONSUMER GOODS, Small Cap, BUY, tp, ?, 302.8, 4039.63, 2204.14, 195.46, 0.26, 10.25, 11.88, 14.38, 10.87, 8.51, 0.4, 20.67, 25.03, 0.99, 3.07, 1.83, 11.71, 4358.98, 16.26, 2.12, 8.41, 20.98, 4.55, 7.00, 0, 1314.94, 1288.26, 7.42, 
158, The Ramco Cement, 500260, RAMCOCEM, INE331A01037, CEMENT & CEMENT PRODUCTS, Mid Cap, BUY, tp, ?, 734.75, 17309.00, 5310.29, 572.88, 0.36, 16.55, 14.79, 16.06, 12.56, 13.97, 0.41, 30.21, 29.53, 0.93, 3.88, 3.26, 16.00, 18834.94, 21.57, 0.69, 6.92, 32.63, 1.96, 5.00, 0, 4460.11, 4436.55, 10.72, 
368, Ratnamani Metals, 520111, RATNAMANI, INE703B01027, -, Small Cap, BUY, tp, ?, 947.45, 4427.24, 2733.22, 257.99, 0.04, 28.47, 14.53, 21.39, 17.64, 16.64, 0.95, 17.16, 18.14, 1.45, 2.91, 1.62, 9.57, 4350.99, 15.33, 2.63, 15.28, 11.82, 0.00, 7.00, 0, 1521.88, 1512.53, 13.85, 
101, REC Ltd, 532955, RECLTD, INE020B01018, FINANCIAL SERVICES, Mid Cap, BUY, tp, ?, 123.6, 24409.99, 28197.93, 5796.36, 7.12, 1.49, 16.92, 9.66, 36.36, 37.69, 8.9, 4.21, 5.19, 0.99, 0.71, 0.87, 10.82, 267134.83, 87.45, 1.27, 8.15, 4.24, 0.00, 5.00, 0, 34302.94, 32328.02, 2.45, 
404, Redington India, 532805, REDINGTON, INE891D01026, SERVICES, Small Cap, BUY, tp, ?, 113.8, 4427.75, 47995.99, 520.13, 0.33, 4.19, 14.84, 17.59, 25.12, 18.39, 2.11, 7.64, 10.66, 0.74, 1.13, 0.09, 4.74, 4857.96, 1.98, 1.73, 10.74, 10.28, 0.00, 8.00, 0, 3905.98, 3828.16, 9.24, 
228, Relaxo Footwear, 530517, RELAXO, INE131B01039, CONSUMER GOODS, Mid Cap, BUY, tp, ?, 498.8, 12375.32, 2378.4, 179.24, 0.1, 29.59, 21.08, 26.95, 11.31, 12.72, 0.18, 69.04, 42.41, 3.22, 11.2, 5.2, 34.71, 12485.1, 14.63, 1.85, 14.21, 21.43, 0.00, 4.00, 1, 1117.48, 1092.67, 16.92, 
198, Reliance Nip.Lif, 540767, RNAM, INE298J01013, -, Mid Cap, BUY, tp, ?, 265.7, 16261.84, 1345.61, 488.86, 0.00, 411.98, 20.94, 30.09, 53.11, 77.28, 2.26, 33.26, 30.44, 3.67, 6.42, 12.09, 21.98, 15771.37, 40.16, 4.32, 15.26, 9.07, 0.00, 6.00, 1, 2532.25, 1920.25, 20.82, 
185, Sanofi India, 500674, SANOFI, INE058A01010, PHARMA, Mid Cap, BUY, tp, ?, 5844.55, 13460.00, 2935.4, 388.8, 0.00, 892.71, 17.36, 27.63, 50.76, 50.76, 1.44, 34.62, 33.17, 3.85, 6.03, 4.59, 17.32, 12628.1, 21.67, 2.64, 8.88, 9.00, 0.00, 8.00, 0, 2230.4, 2207.4, 16.92, 
251, Schaeffler India, 505790, SCHAEFFLER, INE513A01014, INDUSTRIAL MANUFACTURING, Small Cap, BUY, tp, ?, 4256.2, 13305.19, 4666.77, 386.47, 0.00, 105.68, 17.88, 27.04, 13.28, 22.34, 0.7, 31.25, 33.38, 1.05, 4.78, 2.85, 15.81, 12467.59, 15.33, 3.02, 26.83, 29.63, 0.00, 4.00, 0, 2782.72, 2751.46, 16.94, 
44, Shree Cement, 500387, SHREECEM, INE070A01015, CEMENT & CEMENT PRODUCTS, Large Cap, BUY, tp, ?, 18593.75, 64780.63, 11688.5, 1034.6, 0.29, 6.54, 15.24, 16.22, 23.66, 21.98, 0.32, 54.84, 39.06, 14.82, 6.75, 5.54, 21.14, 67270.8, 25.49, 3.05, 16.69, 3.7, 0.00, 6.00, 0, 9597.39, 9562.55, 11.35, 
207, Shri.City Union., 532498, SHRIRAMCIT, INE722A01011, FINANCIAL SERVICES, Mid Cap, BUY, tp, ?, 1321.9, 8724.01, 5884.28, 1012.47, 3.53, 1.76, 14.07, 11.88, 16.39, 14.68, 1.66, 8.62, 19.46, 0.63, 1.36, 1.48, 8.23, 30010.54, 61.95, 3.22, 12.32, 13.67, 0.00, 6.00, 0, 6391.32, 6325.33, 2.98, 
73, Siemens, 500550, SIEMENS, INE003A01024, INDUSTRIAL MANUFACTURING, Large Cap, BUY, tp, ?, 1543.25, 54958.26, 13494.3, 1035.6, 0.00, 203.32, 11.05, 16.7, 30.25, 27.88, 0.45, 53.07, 47.37, 1.38, 6.47, 4.07, 28.22, 51312.56, 11.03, 1.93, 2.31, 38.32, 0.00, 7.00, 0, 8494.9, 8423.7, 10.67, 
229, SJVN, 533206, SJVN, INE002L01015, ENERGY, Mid Cap, BUY, tp, ?, 24.3, 9549.4, 2766.04, 1491.23, 0.19, 17.47, 12.56, 14.35, 68.73, 61.93, 8.85, 6.23, 8.5, 1.3, 0.85, 3.45, 3.49, 8798.43, 75.43, 7.29, 7.24, 4.79, 0.00, 7.00, 0, 11238.78, 7308.98, 9.74, 
226, SKF India, 500472, SKFINDIA, INE640A01023, INDUSTRIAL MANUFACTURING, Mid Cap, BUY, tp, ?, 2167.9, 10717.66, 3058.96, 332.89, 0.05, 61.51, 16.38, 24.68, 20.04, 17.67, 0.55, 32.2, 31.07, 2.48, 6.32, 3.5, 17.69, 10204.24, 15.54, 3.5, 5.93, 13.01, 0.00, 7.00, 0, 1696.94, 1647.5, 15.53, 
232, Solar Inds., 532725, SOLARINDS, INE343H01029, CHEMICALS, Mid Cap, BUY, tp, ?, 1102.15, 9973.36, 2466.88, 263.17, 0.49, 8.8, 21.97, 24.59, 24.36, 24.22, 0.64, 37.9, 36.29, 2.35, 8.05, 4.04, 20.76, 10485.00, 19.84, 2.37, 18.06, 16.1, 0.00, 6.00, 1, 1238.33, 1220.23, 14.15, 
411, Sonata Software, 532221, SONATSOFTW, INE269A01021, IT, Small Cap, BUY, tp, ?, 312.95, 3292.23, 3147.21, 258.65, 0.02, 56.46, 31.02, 40.27, 56.49, 53.15, 4.02, 12.76, 12.57, 0.48, 4.29, 1.05, 8.01, 3108.64, 11.18, 1.6, 13.59, 26.8, 0.00, 5.00, 1, 768.26, 757.87, 27.24, 
201, Sundram Fasten., 500403, SUNDRMFAST, INE387A01021, AUTOMOBILE, Mid Cap, BUY, tp, ?, 470.3, 9881.00, 3972.67, 421.86, 0.42, 17.71, 25.66, 26.81, 26.93, 24.51, 1.08, 23.42, 23.68, 0.84, 5.18, 2.49, 14.19, 10671.53, 18.48, 2.13, 14.63, 27.88, 0.00, 6.00, 1, 1907.05, 1886.04, 17.86, 
124, Sun TV Network, 532733, SUNTV, INE424H01027, MEDIA & ENTERTAINMENT, Mid Cap, BUY, tp, ?, 477.9, 18833.3, 3644.24, 1367.59, 0.00, 602.83, 25.77, 39.31, 32.49, 21.19, 1.57, 13.77, 25.65, 1.01, 3.46, 5.17, 6.68, 18362.4, 68.94, 2.73, 11.81, 13.59, 3.75, 9.00, 1, 5440.52, 5243.48, 25.62, 
