stock_name, isin, bat, der, roce3, roe3, dpr2, sales2, profit5, icr, pledge, low_3y, low_5y, reco_type, reco_cause, 
ALL, ALL, 607, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 609, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der,  der, 2164,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
ALL, ALL, 2999, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 roce3,  roce3, 589,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3, 
 sales2,  sales2, 900,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2, 
ALL, ALL, 213, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 sales2,  sales2, 2634,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2, 
ALL, ALL, 355, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der dpr2,  der dpr2, 175,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2, 
 der roce3,  der roce3, 281,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3, 
ALL, ALL, 2216, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 sales2 profit5,  sales2 profit5, 228,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5, 
 roce3 dpr2,  roce3 dpr2, 80,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2, 
 der,  der, 45,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 der profit5,  der profit5, 492,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5, 
ALL, ALL, 1173, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 roce3 profit5,  roce3 profit5, 438,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5, 
 der roce3 dpr2 profit5,  der roce3 dpr2 profit5, 8,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5, 
 der dpr2,  der dpr2, 22,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2, 
 dpr2,  dpr2, 612,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
ALL, ALL, 492, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
, , 149, , , , , , , , , , , , , 
 roce3 sales2,  roce3 sales2, 100,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2, 
 dpr2 profit5,  dpr2 profit5, 172,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5, 
 dpr2,  dpr2, 855,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
 roce3 profit5,  roce3 profit5, 241,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5, 
 der dpr2 profit5,  der dpr2 profit5, 253,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5, 
 der,  der, 1089,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 profit5,  profit5, 186,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
ALL, ALL, 783, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 profit5,  profit5, 346,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 dpr2,  dpr2, 288,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
 profit5,  profit5, 130,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
ALL, ALL, 1722, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der,  der, 109,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 sales2,  sales2, 507,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2, 
ALL, ALL, 251, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 roce3 dpr2 profit5,  roce3 dpr2 profit5, 20,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5, 
 sales2 profit5 pledge,  sales2 profit5 pledge, 80,  sales2 profit5 pledge,  sales2 profit5 pledge,  sales2 profit5 pledge,  sales2 profit5 pledge,  sales2 profit5 pledge,  sales2 profit5 pledge,  sales2 profit5 pledge,  sales2 profit5 pledge,  sales2 profit5 pledge,  sales2 profit5 pledge,  sales2 profit5 pledge,  sales2 profit5 pledge, 
 sales2,  sales2, 35,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2, 
 der roce3 dpr2 pledge,  der roce3 dpr2 pledge, 177,  der roce3 dpr2 pledge,  der roce3 dpr2 pledge,  der roce3 dpr2 pledge,  der roce3 dpr2 pledge,  der roce3 dpr2 pledge,  der roce3 dpr2 pledge,  der roce3 dpr2 pledge,  der roce3 dpr2 pledge,  der roce3 dpr2 pledge,  der roce3 dpr2 pledge,  der roce3 dpr2 pledge,  der roce3 dpr2 pledge, 
 der roce3,  der roce3, 1413,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3, 
 der,  der, 308,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 der roce3,  der roce3, 155,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3, 
 der profit5,  der profit5, 79,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5, 
 der,  der, 65,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 profit5 pledge,  profit5 pledge, 64,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge, 
 der roce3 pledge,  der roce3 pledge, 209,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge, 
 der roce3,  der roce3, 606,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3, 
ALL, ALL, 1516, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 dpr2,  dpr2, 750,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
 sales2,  sales2, 124,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2, 
ALL, ALL, 515, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 pledge,  pledge, 410,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge, 
ALL, ALL, 450, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der roce3,  der roce3, 300,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3, 
 der roce3 dpr2,  der roce3 dpr2, 457,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2, 
 dpr2,  dpr2, 292,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
 dpr2,  dpr2, 1522,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
 roce3 sales2 profit5,  roce3 sales2 profit5, 58,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5, 
 roce3 dpr2,  roce3 dpr2, 836,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2, 
ALL, ALL, 290, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 roce3 profit5,  roce3 profit5, 795,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5, 
 profit5,  profit5, 41,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 der,  der, 62,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
ALL, ALL, 1314, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 233, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der roce3 pledge,  der roce3 pledge, 513,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge,  der roce3 pledge, 
 der roce3 dpr2,  der roce3 dpr2, 53,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2, 
 der,  der, 380,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 der,  der, 1361,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
ALL, ALL, 2049, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 1124, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 sales2 profit5,  sales2 profit5, 918,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5, 
 der profit5,  der profit5, 580,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5, 
 der,  der, 190,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 dpr2,  dpr2, 130,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
 roce3 dpr2 profit5,  roce3 dpr2 profit5, 380,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5, 
ALL, ALL, 308, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der,  der, 149,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
ALL, ALL, 329, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 sales2,  sales2, 5672,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2, 
 der,  der, 700,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 der roce3,  der roce3, 70,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3, 
 roce3 pledge,  roce3 pledge, 2200,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge, 
 roce3 dpr2 profit5 pledge,  roce3 dpr2 profit5 pledge, 556,  roce3 dpr2 profit5 pledge,  roce3 dpr2 profit5 pledge,  roce3 dpr2 profit5 pledge,  roce3 dpr2 profit5 pledge,  roce3 dpr2 profit5 pledge,  roce3 dpr2 profit5 pledge,  roce3 dpr2 profit5 pledge,  roce3 dpr2 profit5 pledge,  roce3 dpr2 profit5 pledge,  roce3 dpr2 profit5 pledge,  roce3 dpr2 profit5 pledge,  roce3 dpr2 profit5 pledge, 
ALL, ALL, 1104, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 256, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 dpr2 profit5,  dpr2 profit5, 88,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5, 
 der roce3 dpr2,  der roce3 dpr2, 316,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2, 
ALL, ALL, 883, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 sales2 profit5,  sales2 profit5, 153,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5, 
 profit5,  profit5, 119,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 der sales2,  der sales2, 742,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2, 
ALL, ALL, 945, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der dpr2 profit5,  der dpr2 profit5, 36,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5, 
 der,  der, 1107,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 sales2,  sales2, 683,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2, 
 sales2 profit5,  sales2 profit5, 38,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5, 
ALL, ALL, 2510, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 1730, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 125, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 sales2 profit5,  sales2 profit5, 37,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5, 
 roce3 pledge,  roce3 pledge, 47,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge,  roce3 pledge, 
ALL, ALL, 765, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der,  der, 340,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 der,  der, 25,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 roce3,  roce3, 111,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3, 
ALL, ALL, 1384, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 1321, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 profit5,  profit5, 104,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 sales2,  sales2, 107,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2, 
 der,  der, 128,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 roce3 dpr2,  roce3 dpr2, 517,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2, 
ALL, ALL, 3100, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 profit5,  profit5, 130,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 profit5,  profit5, 110,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 profit5,  profit5, 84,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 roce3 profit5,  roce3 profit5, 206,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5, 
 roce3,  roce3, 230,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3, 
ALL, ALL, 20597, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 roce3 dpr2,  roce3 dpr2, 255,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2, 
 der profit5,  der profit5, 1860,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5, 
ALL, ALL, 586, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 309, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 4961, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 9995, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 140, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der,  der, 728,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
ALL, ALL, 1413, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 1727, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 dpr2 profit5,  dpr2 profit5, 65,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5, 
 der,  der, 460,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 der dpr2,  der dpr2, 215,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2, 
ALL, ALL, 927, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der,  der, 219,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 der,  der, 311,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 der profit5,  der profit5, 100,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5, 
 der sales2,  der sales2, 65,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2, 
 der roce3,  der roce3, 1482,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3, 
 dpr2 profit5,  dpr2 profit5, 560,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5, 
 roce3,  roce3, 382,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3, 
ALL, ALL, 255, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 678, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 1364, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der profit5,  der profit5, 275,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5, 
 der,  der, 219,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
ALL, ALL, 749, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der,  der, 1657,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 der,  der, 395,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
ALL, ALL, 325, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 sales2,  sales2, 284,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2, 
 profit5,  profit5, 52,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
ALL, ALL, 7696, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 roce3,  roce3, 912,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3, 
 der dpr2,  der dpr2, 295,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2, 
 dpr2,  dpr2, 1643,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
ALL, ALL, 325, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 profit5,  profit5, 163,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
