comp_industry,comp_name,comp_ticker,comp_selected,comp_desc
Food Processing,Nestle,NESTLEIND,1,"Nestle (Fortune Global 500) : Maggi noodles and maggi sauce, Milk powder (Everyday dairy whitener), Baby Food leader (Cerelac, Nestum), Nestle Curd, Bru Coffee, NesCafe (Coffee) and NesTea (tea) and Chocolates like kitkat, milkybar, munch, barone, polo etc,  Share price: 5K"
Food Processing,Varun Beverages,VBL,1,"Varun Beverages (Ravi kant and Varun Jaipuria, Pepsi Franchise) : one of the largest franchisee for Pepsi. Brands include Pepsi, Diet Pepsi, Seven-Up, Mirinda Orange, Mirinda Lemon, Mountain Dew, Seven-Up Nimbooz Masala Soda, Seven-Up Revive, Evervess Soda. PepsiCo NCB brands produced and sold by us include Tropicana Slice, Tropicana Frutz (Lychee, Apple and Mango), Seven-Up Nimbooz as well as packaged drinking water under the brand Aquafina."
Food Processing,Venkys India,VENKEYS ,1,Venkys India (Listed here from Misc. Poultry feed leader in India. Only listed player. Bought English Premeier league team on company's money. Not good. Others like Suguna food is not listed. IFB Agro and Godjrej AgroVet are other similar feed companies but in different segment.) The NSE symbol name has VENKEYS.
Glass & Glass Products,Asahi Glass,ASAHIINDIA,1,"Asahi Glass (Japanese major, Worlds largest, Mitsubishi company) Glass for car(windshield) etc. It has 70% market share in auto market."
Glass & Glass Products,Borosil Glass Works,BOROSIL,1,Borosil Glass works makes chemistry laborarty equipments and kitchenware (microwave)
Glass & Glass Products,La Opala RG,LAOPALA,1,La Opala is a small player but leader in opalware. Kitchenware. Borosil is another palyer.
Glass & Glass Products,Piramal Glass,,0,Piramal Glass (medicine bottles) is small player.
Glass & Glass Products,Saint Gobain,,0,Saint Gobain (very small player : covered through its parent in abrasives : grindwel norton)
Hospitals & Medical Services,Apollo Hospitals,APOLLOHOSP,1,Apollo (India's largest chain of hospital). Includes pharmacy chain also. 10K beds in India.
Hospitals & Medical Services,Aster DM,ASTERDM,0,"Aster DM Healthcare (startup by Dr Azad Moopen, started as one clinic : TBB) : Big player in Gulf Corporation Council (GCC) and other countries. Diversified MNC footprint.  : 11 hospitals & 4K Beds in India... Outside : 7 hospitals, 668 beds, 96 clinics and 202 pharmacies"
Hospitals & Medical Services,Fortis Healthcare,FORTIS,1,IHH (parkway pantai - GleanEagles) acquired stake in it. Fortis Healthcare (India's second largest chain of hospitals). SRL Diagnostic also. 5K beds in India
Hospitals & Medical Services,Narayana Hrudayalaya,NH,1,"Narayana Hrudayalaya (Devi Shetty, 10% margin, lot of goodwill.)"
Hospitals & Medical Services,Columbia Asia,,0,small player. not listed.
Hospitals & Medical Services,HCG,,0,HCG domain is very narrow.
Hospitals & Medical Services,Manipal Hospital,,0,small player. not listed.
Hotels,EIH,EIHOTEL,1,EIH (East India Hotels : Oberoi group company). Oberoi Hotels and Trident hotels.
Hotels,Indian Hotels,INDHOTEL,1,"Indian Hotels (Taj group of hotels, struggling to make profit from 2009 onwards). The loss is small percentage of *reserves* (cash). Hotel Count : 137, Total Rooms : 16K."
Hotels,ITDC,ITDC,0,ITDC (India tourism development corporation) - Miniratna. The sale in ITDC has been stagnant for last 10 years - nearly same and it is loss making though it is giving reasonable dividend. Decided to drop it from Portfolio.  Sold everything on 27 Dec 2017.
Hotels,Lemon Tree Hotels,LEMONTREE,1,"Lemon Tree Hotels (medium segment leader in India, 3rd largest domestic player after Taj and Oberoi)"
Hotels,Mahindra Holidays,MHRIL,1,"Mahindra Holidays (Club mahindra for time share basis, resorts in India and other countries)"
Hotels,WestLife Development,WESTLIFE,1,WestLife Development (QSR - Quick Service Restaurant : McDonald Franchisor : South and West territory - Ajay Jatia. North and South is owned by Cannaught Place Restaurants - conflict with owner - Bakshi). Fight going on. No dividend for last 3 years. The parent company also looks confused with different business interest.
Hotels,Barbeque Nation,,0,"Barbeque Nation  (Buffet Dining Restaurant) : Upcoming IPO, Speciality Restaurant (Casual Dining Restaurant & Others)"
Hotels,Yum India,,0,"Pizza Hut, KFC and Taco Bell : yum brands (Yum India .It is not listed in India). It is franchise of Ravi Jaipuria group that is also bottler for Pepsi (Varun Beverages). The company is RJ Corp. Promoter RJ Corp is a franchisee for Yum Restaurants-owned KFC and Pizza Hut, UK coffee chain Costa Coffee and Singapore-based tea salon firm TWG. It also owns the South Indian restaurant chain Vaango and ice-cream brand Cream Bell. Devyani International handles the brands. Varun Beverages is a bottler of RJ corp."
Infrastructure - General,ABB India,ABB,1,ABB India (Swedish Swiss MNC)
Infrastructure - General,Adani Ports,ADANIPORTS,1,"Adani Ports & Special Economic Zone (India’s largest private multi-port operator.) Too many adani group listed companies. It is a cause of concern. Why 3 companies in power space? Adani enterprises, adani power, adani transmission, adani green energy. They are also planning to list adani gas etc."
Infrastructure - General,BEML,BEML,0,BEML (Bharat Earth movers limited) : rack and coach for metro. Tatra truck for defense. numbers not impressive.
Infrastructure - General,BHEL,BHEL,1,"BHEL (Bharat Heavy Electricals Limited, Leader in Power Plant Equipments) - Maharatna"
Infrastructure - General,Engineers India,ENGINERSIN,1,Engineers India - Navaratna
Infrastructure - General,Larsen & Toubro ,LT,1,L & T (Larsen & Toubro) - Includes govt stake also.
Infrastructure - General,NBCC,NBCC,1,NBCC - Navaratna - project management consultancy in real estate.
Infrastructure - General,Siemens India,SIEMENS,1,"Siemens India (German Major): Healthcare, Gas/Steam turbines, Wind Power, switchboards , Industrial Process Automation (Digital Factory), Rail business etc. Siemens competes with European rivals ABB (ABBN.S) and Schneider Electric (SCHN.PA) as well as Rockwell Automation (ROK.N) in the United States, which just rebuffed a takeover offer from Emerson Electric (EMR.N)."
Infrastructure - General,Schneider Electric Infrastructure,,0,Schneider Electric Infrastructure  (It is struggling in India with no dividend for last 5 years and same sale numbers and net profit is also not positive and trend is also not positive. Very irregular numbers.) Looks like it has not been run well.
Leather Products,Bata,BATAINDIA,1,Bata (MNC with a long history in shoes.)
Leather Products,Relaxo Footwear,RELAXO,1,"Relaxo Footwear (Brands : Relaxo, FLITE, SPARX, BAHAMAS) decent footwear portfolio and great brand recall. Each brand endorsed by a different celebrity."
Leather Products,Khadim,,0,"Khadim (TBB : review the performance, no dividend)"
Leather Products,Liberty shoes,,0,"Liberty shoes (TBB : poor margins, poor ICR)"
Lubricants,Castrol,CASTROLIND,1,"Castrol (Global brand for grease, oil, lubricant etc owned by BP - British Petroleum). BP & Reliance JVs should ideally benefit it depending on Fuel Retail etc. Other major leading players in this area are Chevron, ExxonMobil, Royal Dutch Shell and Valvoline (cummins)"
Lubricants,Gulf Oil,GULFOILLUB,0,Gulf Oil
Lubricants,Tide Water Oil,,0,Tide Water Oil ( Brand : Veedol )
Media & Entertainment,Dish TV,DISHTV,1,"Dish TV (#1 DTH player, acquired videocon, Competes with Tata Sky- unlisted, Bharati Airtel is other operator. BigTv- DTH is strulling due to debt servicing.) approx 20% market share each for Take Sky and Airtel DTH. No dividend in last 3 years."
Media & Entertainment,Entertainment Network,ENIL,1,Radio Mirchi. Pure Radio operator. ENIL (Entertainment Network India Ltd). FM Radio Mirchi + event management. Owned by Times of India. It can make money from Radio and events as RJ are used during events also.
Media & Entertainment,INOX Leisure,INOXLEISUR,1,Inox Leisure is 2nd largest theater chain in India.
Media & Entertainment,Network 18 Media & Investments,NETWORK18,0,Network18 is owned by Reliance. TV18 Broadcast is a subsidiary of Network18. Dumped due to high debt/equity.
Media & Entertainment,PVR,PVR,1,"PVR (Best movie experience in India, largest number of screens : 700 screens, 160 properties, 60 cities). PVR became 7th largest cinema exhibitor in the world by number of admissions (100 millon) in a year after acquring Satyam Cinemas of South. Future plan : 1000 screens by 2020. Go to forum anyday, to experience the scale and experience. INOX is 2nd. It has close to 500 screens. "
Media & Entertainment,Sun TV Network,SUNTV,0,"Sun TV Network (Weakness: only south channels). Had newspaper, FM, DTH etc.IPL team for hyderabad. Management Risk - Political and doesn't have good business ethics (used cables of govt) for data transfer. Maran Family (DMK)"
Media & Entertainment,ZEE Entertainment,ZEEL,1,"ZEE Entertainment (3 listed companies: zee entertainment, zee media, dish tv for different purpose) The content is watched in 150 countries."
Metals - Non Ferrous,Hindustan Zinc,HINDZINC,1,Hindustan Zinc
Mining & Minerals,Coal India ,COALINDIA,1,Coal India - Maharatna
Mining & Minerals,NMDC,NMDC,1,"NMDC (India's largest iron ore producer and exporter, Iron Ore : 30 mt : 3 fully machinsed mines : chattisgarh and karnataka, 1 fully machinised diamond mine : panna - MP) - CPSE NAVARATNA"
Mining & Minerals,Vedanta,VEDL,1,"Vedanta (Cairn India (got unlisted) - Oil & Gas, Iron - Iron Ore, Zinc - Hindustan Zinc, Aluminium - BALCO, Copper, Power) etc)"
MIsc : Ratings,CARE Ratings,CARERATING,1,"CARE (Indian : Credit Analysis, Research & Rating company) Ratings"
MIsc : Ratings,CRISIL,CRISIL,1,"CRISIL (Standard & Poor's : Credit Analysis, Research & Rating company) : Biggest in India. Other companies in the space are CARE Ratings (Independent), ICRA (Moody's), India Ratings aka Ind-Ra (Fitch), SMERA aka SME Rating (SIDBI), BrickWork Ratings aka BWR."
MIsc : Ratings,ICRA,ICRA,1,ICRA (Moody's Rating Agencies) : Share Price : 4K
MIsc : Ratings,IndiaRatings,,0,IndiaRatings (Not yet listed)
Misc: Defense,Bharat Dynamics,BDL,1,"BDL - Bharat Dynamics : Defense: Sole manufacture of SAM (surface to air missile) and ATGM (anti tank guided missile) :  Missle, Akash - Surface to Air missile (SAM). Anti tank guided missile (ATGM) : Milan etc"
Misc: Defense,HAL,HAL,1,"HAL - Hindustan Aeronautics Limited. Company into aerospace and defense. Mainly into aircraft, helicopter and jet engines."
Misc: Fitness,Talwalkars Better Value Fitness,TALWALKARS,1,"Talwalkars Better Value Fitness (leader in fitness in India. Owner of Talwalkars, Hi-Fi and several other such chains etc. Acquired 50% in force fitness : master franchisee of Snap fitness in India. South Asea master franchise of Snap fitness in 6 countries like Sri lanka, Bangladesh etc). Tough competition from Cult.Fit, mind.fit and eat.fit etc. Good domestic brand for fitness. Tough competition from international franchise. It is also backer of SARVA yoga (startup)."
Misc: Fitness,Talwalkar Health Club,TALWGYM,1,Talwalkar Health clubs (new name for earlier demerged Talwalkar Lifestyle). Pure Gym company.
Misc: Gaming,Delta Corp,DELTACORP,1,"Gaming Casinos in India, Entertainment, Hospitality. Delta Cop operates Casinos in Goa, Sikkim and Daman. Has some land based gaming infra in hotels and floating cruises with gaming infrastructure. Leading player in India. Sunrise sector. Damani and Jhunjhunwala also positive on this."
Misc: Hospitality : Travel Services,Cox & Kings,COX&KINGS,1,Cox & Kings : Travels
Misc: Hospitality,Jubilant Food ,JUBLFOOD,1,"Jubilant Food (The Company & its subsidiary operates Domino’s Pizza brand with the exclusive rights for India, Nepal, Bangladesh and Sri Lanka. Bought rights for Dunkin Donuts also.) Should be in Hospitality / Food."
Misc: Hospitality : Travel Services,Thomas Cook,THOMASCOOK,1,"Thomas Cook : Travels (Owned by Prem Watsa's Fairfax holding, Thomas Cook owns 66% of Quess Corp - Business Service Provider and Sterling Holiday Resorts - Time Share Holiday). Merged Sterling Holiday Resorts in 2008. SOTC Travel Services (formerly Kuoni) is also a subsidiary of Thomas Cook (Fairfax). Avon facility management is also owned by Quess Corp. Monster.com in India is also owned by Thomas Cook/Quess corp. "
Misc: Hospitality,Wonderla Holidays Limited,WONDERLA,1,"Wonderla Holidays Limited (India's biggest amusement park. 6th in Asia. Presence in Bangalore, Kochi and Hyderabad. Planning pan-india presence)"
Misc: Staffing,SIS,SIS,1,SIS (Security & Intelligence Services): India's biggest security staffing company. Focussed on the core area. Has subsidiary in Australia also. Trying to enter into facility management also. Low margin.
Misc: Staffing,TeamLease,TEAMLEASE,0,TeamLease Services : mainly for temporary staffing and training. owner of IIJT and Freshersworld.com. Competes with Quess and SIS. Margin Pressure. Low Margin business. Excluded: Not paying dividend.
Misc: Trading,BSE,BSE,1,BSE (Bombay Stock Exchange). Competitor NSE and SX40.
Misc: Trading,Central Depository,CDSL,1,Central Depository Services Limited. CDSL (Depository participant ... duopoly of BSE - CDSL and NSE - NSDL)
Misc: Trading,ICICI Securities,ISEC,1,ICICI Securities (ICICI Direct) :  Broker. 
Misc: Trading,MCX,MCX,1,Multi Commodity Exchange. It is a near monopoly but revenue seems to be coming down. Why ?
Misc: Unknown,Sheela foam,SFL,1,Sheela foam (Mattress player included here. Can also be considered with things like Paint or Nilkamal in home furnishing also)
Misc: Wood & Wood Products,Century Plyboard,CENTURYPLY,1,Century Ply. It also has lamintates business under brand CenturyLam. The star cement is also a subsidiary of Century Plyboard.
Misc: Wood & Wood Products,Greenply,GREENPLY,1,"Greenlam was demerged in 2014. So, don't just look at last 5 year revenue. In 2014 de-merger and revenue must have splited."
Misc: Wood & Wood Products,Greenlam,GREENLAM,1,Greenlam (Demerged from Greenply industries in 2014)
Oil Drilling And Exploration,Adani Gas,ADANIGAS,1,Adani Gas for CGD - city gas distribution.
Oil Drilling And Exploration,GAIL,GAIL,1,GAIL - CPSE Maharatna (natural gas processing & distribution company).
Oil Drilling And Exploration,Indraprasath Gas,IGL,1,"Indraprasath Gas Ltd. Jointly owned by GAIL (22.5%) and BPCL (22.5%). 45%. Very small player compared to GAIL. CGD in Delhi, NCR, Noida, Kanpur, Pune etc"
Oil Drilling And Exploration,Oil India,OIL,1,Oil India - CPSE NAVARATNA
Oil Drilling And Exploration,ONGC,ONGC,1,ONGC (65% stake in MRPL - mangalore refinery and petroleum limited :15mt capacity)  - CPSE Maharatna
Oil Drilling And Exploration,Petronet LNG,PETRONET,1,"Petronet LNG (Import of LNG : Liquid Natural Gas and LNG Terminals) . It is a JV of GAIL, ONGC, IOCL and BPCL.  Each has 12.5% totalling 50% in it. ENGIE (Gazde France : French : Electric Utility : MNC : strategic partner) owns 10% in it. Public holds 40%. - Stake owned by CPSE Maharatna & Navaratna."
Packaging,Essel Propack,ESSELPACK,1,"Essel Propack : Leader in tube packaging. oral (colgate, P&G, dabur, Vicco, Unilever - ?) and non-oral (emami, Shehnaz Hussain) : Concern : Looks good."
Packaging,Huhtamaki PPL,PAPERPROD,1,"Huhtamaki PPL (Impressive client list that includes Britannia, Coca Cola, Ferrero, Glaxo Smithkline, Marico, Mondelez, Nestle, Pepsico, P&G, Unilever, etc) : Concern : less than 100 cr net profit."
Packaging,Uflex,UFLEX,1,"Uflex (Flexible Packaging : global clients P&G, PepsiCo; Tata Global; Mondelez, L’ Oreal, Britannia, Haldiram, Amul, Kimberly Clark, Ferro Rocher, Perfetti, GSK, Nestle, Agrotech Foods, Coca Cola, Wrigley, Johnson & Johnson among other) : Concern: low dividend"
Paints & Varnishes,Akzo Nobel,AKZOINDIA,1,Akzo Nobel (Dulux) Dutch giant. PPG tried to acquire it.
Paints & Varnishes,Asian Paints,ASIANPAINT,1,Asian Paints (Market leader in India in Paints). It has collaboration with PPG (World leader in paints) in Automative and Industrial. PPG-Asian Paints & Asian Paint-PPG also operate for Industrial and Automative.
Paints & Varnishes,Berger Paints,BERGEPAINT,1,Berger Paints
Paints & Varnishes,Kansai Nerolac,KANSAINER,1,"Kansai Nerolac (Japanese Major Kansai paints, decent market share and net sales, automobile paints for all major auto companies)"
Paper,JK Paper,,0,"JK Paper (Singhania group company. Includes J K Tyres, J K Lakshmi Cement etc) : everyday paper, books, binding, packaging, a4 sheet, cup, plate, bindi cover, pharma packaging, fmcg product : packaging and labelling, cigaratte pack, playing cards. NOTE: dropped it from portfolio on 24-July-2018. Not sure about future of paper industry. Some of the stuff can be replaced by computer/mobile. Some of the stuff can be mostly replaced by plastic or any other more durable alternative technologies."
Personal Care,Colgate Palmolive India,COLPAL,1,"Colgate Palmolive India (Bought Cibaca and renamed Colgate Cibaca, Colgate Toothpaste, Colgate Toothbrush, Palmolive Soap, Palmolive Liquid shop, Palmolive Shaving cream)"
Personal Care,Dabur,DABUR,1,"Dabur (Honey, Chayvanprash, Odomos, Pudin Hara, Glucose D, Hajmola, Red paste, Meswak, Amla Hair Oil, Vatika Hair Oil, Odonil,  Real Active juice, HOMMADE ginger and garlic paste, )"
Personal Care,Emami,EMAMILTD,1,"Emami (Boro Plus, Navaratna Oil, Himani Fast Relief, Fair & Handsome, Sonai Chandi Chavyanprash, Zandu portfolio : Zandu Balm, Kesh King )"
Personal Care,Gillette India,GILLETTE,1,Gillette India (Share price: 4K)
Personal Care,Godrej Consumer Products,GODREJCP,1,"Godrej Consumer Products (Brands : Godrej, Hit, Cinthol etc) Godrej Properties, Godrej Consumer Products and Godrej AgroVat, Natures Basket is a subsidiary of Godrej Industries a holding company. All the other companies of Godrej like locks, fridge, Interio etc are owned by unlisted company Godrej & Boyce.)"
Personal Care,Hindustan Unilever,HINDUNILVR,1,"HUL - Hindustan Unilever Limited (Axe, Cif, Cornetto, Dove, Knor, Lifebuoy, Lipton, Lux, Magnum, Pepsodent, Ponds, Sunsilk, Tresamme, Vaseline, Wheel, Breeze, Bru, Close-up, Domex, Fair & Lovely, Lakme, Pears, Rin, Pure It, Surf Excel, Vim, Annapurna, Brooke bond, Brylcream, clinic plus, elle 18, Hamam, Indulekha, Kissan, Kwality Walls, Liril, Rexona)"
Personal Care,Marico,MARICO,1,"Marico (Saffola, Parachute, hair &care, livon, set wet, revive, mediker) etc)"
Personal Care,Procter & Gamble,PGHH,1,"P & G (Procter & Gamble Health & Hygiene. Global FMCG Giant. Big Family similar to HUL: Ambi pur, Gillete, Head & Shoulders, DuraCell, Ariel, Tide+, Olay, Oal-B, Pampers, Pantene, Whisper) : Share Price 7K"
Pesticides & Agro Chemicals,Bayer CropScience,BAYERCROP,1,Bayer Cropscience (International Chemical Conglomerate Bayer AG. Global leader in pesticides after acquiring Monsanto) : Monsanto is still listed though it has been acquired by Bayer. Share price: 5k
Pesticides & Agro Chemicals,Monsanto India,MONSANTO,0,Removed this entry. Monsanto India (Global company). Bayer to Acquire Monsanto to create global leader in agriculture. Share Price : 2700. Merger effective from 16-09-2019.
Pesticides & Agro Chemicals,PI Industries,PIIND,1,"P I Industries (PI Industries, earlier known as Mewar Oil and General Mills) : diversified into the contract research and manufacturing business:  Pesticides & Insectisides : Agrochemicals) : Agri Science : Udaipur based company. sells a wide range of insecticides, herbicides and weedicides through a network of over 9,000 distributors. New JV with Kumiai Chemicals (Japan)"
Pesticides & Agro Chemicals,Rallis India,RALLIS,1,Rallis India (Subsidiary of Tata chemicals)
Pharmaceuticals,Abbott India,ABBOTINDIA,1,"Abott India (International biggie : creating footprint: Thyronorm, pediasure and ensure etc)"
Pharmaceuticals,AstraZeneca,ASTRAZEN,1,AstraZeneca Pharma India. British-Swedish giant.
Pharmaceuticals,Procter & Gamble Health,PGHL,1,P&G Health. Earlier MERCK. Merged in 2019.
Pharmaceuticals,Novartis,NOVARTIND,1,NOVARTIS India. BOM:500672
Pharmaceuticals,Aurobindo Pharma,AUROPHARMA,1,Aurobindo Pharma
Pharmaceuticals,Biocon,BIOCON,1,Biocon - leader in Biosimilars In India.
Pharmaceuticals,Cadila Healthcare,CADILAHC,1,"Cadila Healthcare, Zydus Cadilla, Zydus wellness (Subsidiary) : Sugarfree etc"
Pharmaceuticals,Cipla,CIPLA,1,Cipla
Pharmaceuticals,Dr. Reddy's Laboratories,DRREDDY,1,Dr. Reddy's Laboratories
Pharmaceuticals,Glaxosmithkline Pharma,GLAXO,1,GSK Pharma - acquired consumer healthcare JV of Novartis. GSK is a global MNC.
Pharmaceuticals,Glenmark Pharma,GLENMARK,1,Glenmark Pharma
Pharmaceuticals,LALPATHLAB,LALPATHLAB,1,"Dr Lal Pathlabs (Only recognisable player in this segment). Used ticker symbol to avoid confusion with space, without space etc. Other Smaller players are Thyrocare Technologies, Metropolis and SRL Diagnostic."
Pharmaceuticals,Lupin,LUPIN,1,Lupin
Pharmaceuticals,Metropolis  Healthcare,METROPOLIS,0,Metropolis is also a poular pathlogoy chain with origin in Mumbai. Trying to make pan-india footprint. It has not been included due to high level of pledge of promoter shareholding. The pledge is high as it has pledged to buy remaining stake from another Investor. Had a bitter fight with co-promoter after that. The promoter not taken into confidence.
Pharmaceuticals,Piramal Enterprises,PEL,1,"Piramal Enterprises (Pharma like i-can, i-know etc, Toy brand - acquired company Little - MRF's funskool is a closest listed competitor, Real Estate through Piramal Capital, Finance like Shriram Capital, Shriram City Union Finance and Shriram Transport Finance etc) : Ajay Piramal : Growth Oriented. Finace to overtake Pharma this year. 3K."
Pharmaceuticals,Pfizer,PFIZER,1,Pfizer (International biggie: creating footprint)
Pharmaceuticals,Sanofi India,SANOFI,1,Sanofi India (International biggie : creating footprint)
Pharmaceuticals,Sun Pharma ,SUNPHARMA,1,Sun Pharma (Acquired Ranbaxy also) Dilip Singhvi
Pharmaceuticals,Thyrocare Technologies,THYROCARE,1,Thyrocare Technologies also operates in this segment in India and in other countires. It also operates under other name like Aarogyam etc
Plantations - Tea & Coffee,McLeod Russel,MCLEODRUSS,1,Largest tea plantation company with estates spread in Assam and WB. Acquired tea estates in other countries also. Both McLeod Russel (Williamson Magor Group) and Eveready group are owned by B M Khaitan group. Eveready has a tie up with McLeod Russel for Tej brand (packet tea).
Plantations - Tea & Coffee,Tata Coffee,TATACOFFEE,1,"Tata Coffee (subsidiary of Tata Global Beverages, Coffe Plantations and Resorts)"
Plantations - Tea & Coffee,Tata Global Beverages,TATAGLOBAL,1,"Tata Global Beverages (Tata Tea, Himalyan Mineral Water - JV with Pepsi, 50:50 JV with Starbucks, Largest Shareholder in Tata Coffee)"
Plastics,Astral,ASTRAL,0,"Astral pipes, Astral Poly technik"
Plastics,Finolex Industries,FINPIPE,0,Finolex Industries deals with pipes. Finolex pipes.
Plastics,Jain Irrigation,JISLJALEQS,1,"Jain Irrrigation Systems  (leader in agri input and pipes, diversified player)"
Plastics,Nilkamal,NILKAMAL,1,"Nilkamal (Home furniture of plastics, world's largest manufacturer of moulded furniture and Asia's largest processor of plastic moulded products) : Share Price 2K"
Plastics,Supreme Industries,SUPREMEIND,1,Supreme Industries (complete plastic portfolio)
Plastics,VIP Industries,VIPIND,1,"VIP Industries (world's second largest luggage maker, VIP, Alfa, Aristocrat, SkyBags, Caprese, Carlton) : High Brand Recall, Strong Distribution network."
Plastics,Prince Plastics,,0,Prince plastics : Small player right now.
Power - Generation & Distribution,Adani Transmission ,ADANITRANS,1,"Adani transmission is the largest private player in power transmission sector. After the sector was opened for private player, it competes with Power Grid. Other major players are KEC international (RPG group company), Kalpatru power transmission, Sterlite power, Essel Infra etc. Not easy business but long leases are available for using. Power theft is another concern."
Power - Generation & Distribution,NHPC ,NHPC,1,NHPC (National Hydro power corporation ) - CPSE
Power - Generation & Distribution,NLC India,NLCINDIA,1,NLC India (Neyveli Lignite corp) - CPSE Navaratna
Power - Generation & Distribution,NTPC ,NTPC,1,NTPC - CPSE Maharatna
Power - Generation & Distribution,Power Grid Corp ,POWERGRID,1,"Power Grid Corp - CPSE, India's biggest power grid and transmission company."
Power - Generation & Distribution,Tata Power,TATAPOWER,1,Tata Power - Integrated power player. In different types of power generation.
Power - Transmission & Equipment,GE Power India,GEPIL,0,"GE Power India (GE acquired energy assets of Alstom, French energy major, and renamed Alstom India to GE Power India)"
Power - Transmission & Equipment,GE T&D India,GET&D,0,"GE T&D India (GE acquired energy assets of Alstom, French energy major, and renamed Alstom T&D in India to GE T&D)"
Printing & Stationery,Navneet,NAVNETEDUL,0,CCan it compete with ITC's Classmate.
Pumps,KSB Ltd,KSB,1,"KSB Pumps (KSB Aktiengesellschaft, German MNC, operates in all continents. World leader in pumps and valves)"
Pumps,Kirloskar Brothers ,,0,"Kirloskar Brothers (Domestic leader in pumps and valves, Kirloskar group company) Has international presence also. Kirloskar group is confused with too many listed companies without much differentiation. Don't invest without clear differentiation between them."
Pumps,Shakti Pumps ,,0,Shakti Pumps 
Refineries,BPCL,BPCL,1,"BPCL (40 mt refinery capacity : Mumbai - 13mt, Kochi - 16mt, Bina - 6mt, Numaligarh - 3mt) - CPSE Navaratna"
Refineries,Hindustan Petroleum,HINDPETRO,1,"HPCL (45mt refineries capacity - mumbai - 6 mmt, visakhapatnam - 8mmt, mangalore - 10mmt, bhatinda - 9 mmt, barmer - 9mt. 15k petrol pumps. 15% stake in MRPL.) - CPSE NAVARATNA. ONGC owns HPCL now."
Refineries,IOC,IOC,1,"IOC (Indian Oil Corporation) : refining : 81 mmt (Dibhoi, Guwahati, Bongaigoan, Barauni, Gujrat, Haldia, Mathura, Panipat, Paradip) - CPSE Maharatna"
Refineries,Reliance Industries,RELIANCE,1,"Reliance Industries (Refineries : 60 mmtpa in Jamnagar), Reliance Jio (Telecom), Reliance Retail (Reliance Jewels, Reliance Brands - tie up with several international brands, Reliance Trends, Reliance Mart, Reliance Fresh etc)"
Retail,Aditya Birla Fashion & Retail,ABFRL,1,"Aditya Birla Fashion & Retail (Sale finished product, raw material may be from Grasim.) "
Retail,Avenue Supermarts,DMART,1,Avenue Supermarts (D-mart)
Retail,Future Lifestyle Fashion,FLFL,1,"Future Lifestyle Fashion (for central, brand factory etc). Future group is very shorted and has 3 listed companies : Future Retail (big bazaar, easy day, kb fair price shop etc), Future lifestyle fashion ( for central and brand factory). Future enterprises is for non-retail business like future generali etc"
Retail,Future Retail ,FRETAIL,1,"Future Retail (for big bazaar, kirana, easyday etc). Future group is very confused and has too many listed companies for the same purpose without much differentiaion : Future Retail (for big bazaar, easy day, kb fair price etc), Future lifestyle fashion for central and brand factory. future supply chain for logistics. Future enterprises is for non-retail business like future generali etc. Praxis Home solution as a spin-off from hometown and fabfurnish. Future Consumer is for branding of FMCG products. Too many tie-ups with many companies like celio and sketchers but head company is unkown. Future group is not listed as an umbrella group. Why did Niligiri retail and aadhaar retail go to Future consumer etc? Can such a group have so many listed companies without differntiation? How many listed companies walmart has?"
Retail,Shoppers Stop,SHOPERSTOP,0,Shoppers Stop. Retails stores by RPG Group. It was dumped in between. To be revieweed later.
Retail,Trent,TRENT,1,"Trent (JV of Tata and Tesco: operates star bazzar, star daily etc)"
Rubber,Apar Industries,,0,Apar Industries (How is it related to rubber ?)
Rubber,COSCO INDIA,,0,COSCO INDIA (very small player in rubber : Requires more analysis) : Volleyball (Sponsor of equipment for all Indian major tournament)
Shipping,Cochin Shipyard Ltd,COCHINSHIP,0,Cochin Shipyard Ltd (Largest ship building company in India : Cochin Shipyard Limited is the largest shipbuilding and maintenance facility in India) : TBB
Shipping,Great Eastern Shipping,GESHIP,0,Great Eastern Shipping
Shipping,Shipping Corporation,SCI,1,Shipping Corporation - CPSE Navaratna (Transporation on Vessel) : 80 ships & 5.9 Million Tons (Dead weight). NOTE: Bought by mistake. Doesn't pay any dividend and revenue is flat for last 10 years. Need to EXIT. Why revenues are not growing? why no dividend?
Steel - Large,JSW Steel,JSWSTEEL,1,"JSW Steel ( India's biggest steel maker. 15% stake is owned by JFE ... JFE is worlds 6th largest steel maker and Japanese biggest steel maker formed by merging NKK steel and Kawasaki steel). JSW group has two other listed companies as well JSW Energy (power) and JSW holdings (NBFC). JSW is trying to enter into other sectors as well using infrastructure, cements and paints using JSW Infrastructure, JSW cements and JSW paints but none of these are listed."
Steel - Large,SAIL,SAIL,0,SAIL (Steel Authority of India Limited) - CPSE MAHARATNA. It is making losses for last 2 years and no dividend payout also. Sold everything on 29-12-2017
Steel - Large,Tata Steel,TATASTEEL,1,"Tata Steel (merged with Thyssenkrupp in Germany, Europe)."
Sugar,Balrampur Chini Mills,BALRAMCHIN,1,Balrampur Chini Mills (Chini.com)
Sugar,EID Parry,EIDPARRY,1,"EID Parry (East India Distilleries, a Subsidiary of Murugappa group). It has branded a commodity (Parry's Sugar)"
