Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
CIPLA,CIPLA LIMITED,INE059A01026,6,566.81,448.80,+ 0.99,3400.86,2692.80,1347.93,-708.06,(20.82),
DRLAL,DR. LAL PATHLABS LIMITED,INE600L01024,2,888.61,1705.00,- 1.80,1777.22,3410.00,0.00,1632.78,91.87,
DRREDD,DR REDDYS LABORATORIES LTD,INE089A01023,2,2453.52,3245.00,+ 3.26,4907.04,6490.00,493.65,1582.96,32.26,
GLAPHA,GLAXOSMITHKLINE PHARMACEUTICAL,INE159A01016,2,1685.31,1450.75,- 11.95,3370.62,2901.50,0.00,-469.12,(13.92),
GLEPHA,GLENMARK PHARMACEUTICALS LTD,INE935A01035,4,613.85,314.05,+ 4.56,2455.40,1256.20,0.00,-1199.20,(48.84),
LUPIN,LUPIN LIMITED,INE326A01037,7,1419.15,721.40,+ 1.76,9934.05,5049.80,0.00,-4884.25,(49.17),
MERLIM,PROCTER AND GAMBLE HEALTH LTD,INE199A01012,1,4741.71,4430.00,+ 1.70,4741.71,4430.00,0.00,-311.71,(6.57),
NARHRU,NARAYANA HRUDAYALAYA LIMITED,INE410P01011,12,271.65,363.40,+ 0.64,3259.80,4360.80,0.00,1101.00,33.78,
NOVART,NOVARTIS INDIA LIMITED,INE234A01025,3,669.79,660.00,+ 0.46,2009.37,1980.00,0.00,-29.37,(1.46),
PFIZER,PFIZER LTD,INE182A01018,2,2495.02,4098.50,- 0.42,4990.04,8197.00,(786.52),3206.96,64.27,
PIRENT,PIRAMAL ENTERPRISES LIMITED,INE140A01024,6,1885.33,1428.00,+ 6.73,11311.98,8568.00,0.00,-2743.98,(24.26),
SANOFI,SANOFI INDIA LTD,INE058A01010,1,4094.35,6681.00,+ 0.53,4094.35,6681.00,0.00,2586.65,63.18,
SUNPHA,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,17,722.31,425.85,+ 1.99,12279.27,7239.45,0.00,-5039.82,(41.04),
THYTEC,THYROCARE TECHNOLOGIES LIMITED,INE594H01019,2,548.21,626.50,+ 3.62,1096.42,1253.00,0.00,156.58,14.28,
ESSPRO,ESSEL PROPACK LIMITED,INE255A01020,14,121.08,179.10,+ 1.50,1695.12,2507.40,0.00,812.28,47.92,
HUHPPL,HUHTAMAKI PPL LIMITED,INE275B01026,3,325.26,245.35,- 0.81,975.78,736.05,0.00,-239.73,(24.57),
JAIIRR,JAIN IRRIGATION SYSTEMS LTD,INE175A01038,24,94.01,6.96,- 2.52,2256.24,167.04,0.00,-2089.20,(92.60),
NILLIM,NILKAMAL LIMITED,INE310A01015,7,1216.85,1420.05,+ 0.39,8517.95,9940.35,0.00,1422.40,16.70,
SUPIND,SUPREME INDUSTRIES LTD,INE195A01028,2,1205.90,1348.00,+ 1.32,2411.80,2696.00,0.00,284.20,11.78,
UFLLIM,UFLEX LIMITED,INE516A01017,8,292.07,212.95,+ 3.88,2336.56,1703.60,0.00,-632.96,(27.09),
NHPC,NHPC LIMITED,INE848E01016,80,26.92,24.55,+ 2.29,2153.60,1964.00,0.00,-189.60,(8.80),
NTPC,NTPC LIMITED,INE733E01010,83,126.04,112.10,+ 1.63,10461.32,9304.30,(1038.88),-1157.02,(11.06),
POWGRI,POWER GRID CORPORATION OF INDI,INE752E01010,56,193.81,194.30,+ 3.52,10853.36,10880.80,238.70,27.44,0.25,
TATPOW,TATA POWER CO LTD,INE245A01021,25,84.92,56.35,+ 2.64,2123.00,1408.75,(122.15),-714.25,(33.64),
ADAGAS,ADANI GAS LIMITED,INE399L01023,17,72.00,167.35,+ 1.36,1224.00,2844.95,0.00,1620.95,132.43,
BHAPET,BHARAT PETROLEUM CORPN LTD,INE029A01011,8,429.69,478.00,+ 3.74,3437.52,3824.00,590.72,386.48,11.24,
CASIND,CASTROL INDIA LIMITED,INE172A01027,69,152.93,154.15,+ 4.76,10552.17,10636.35,0.00,84.18,0.80,
GAIL,GAIL (INDIA) LIMITED,INE129A01019,78,136.75,118.90,+ 3.89,10666.50,9274.20,(355.80),-1392.30,(13.05),
HINPET,HINDUSTAN PETROLEUM CORP,INE094A01015,12,285.64,231.85,+ 3.78,3427.68,2782.20,(1002.79),-645.48,(18.83),
INDGAS,INDRAPRASHTHA GAS LTD,INE203G01027,4,285.08,514.00,+ 0.97,1140.32,2056.00,0.00,915.68,80.30,
INDOIL,INDIAN OIL CORPORATION LIMITED,INE242A01010,76,138.62,113.85,+ 5.37,10535.12,8652.60,249.72,-1882.52,(17.87),
OILIND,OIL INDIA LIMITED,INE274J01014,10,226.03,128.85,+ 4.67,2260.30,1288.50,0.00,-971.80,(42.99),
ONGC,OIL AND NATURAL GAS CORPORATIO,INE213A01029,63,161.47,106.10,+ 2.61,10172.61,6684.30,1482.22,-3488.31,(34.29),
PETLNG,PETRONET LNG LIMITED,INE347G01014,14,233.96,269.95,+ 1.47,3275.44,3779.30,0.00,503.86,15.38,
RELIND,RELIANCE INDUSTRIES,INE002A01018,16,550.64,1423.75,+ 2.73,8810.24,22780.00,486.74,13969.76,158.56,
AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,2,1368.09,2157.60,+ 1.22,2736.18,4315.20,0.00,1579.02,57.71,
BATIND,BATA INDIA LIMITED,INE176A01028,5,734.88,1864.10,+ 0.75,3674.40,9320.50,0.00,5646.10,153.66,
FUTLIF,FUTURE LIFESTYLE FASHIONS LTD,INE452O01016,6,370.76,409.00,+ 1.10,2224.56,2454.00,0.00,229.44,10.31,
FUTRE,FUTURE RETAIL LIMITED,INE752P01024,5,470.57,326.75,- 1.00,2352.85,1633.75,0.00,-719.10,(30.56),
RELFOO,RELAXO FOOTWEARS LIMITED,INE131B01039,10,312.83,737.00,+ 2.12,3128.30,7370.00,0.00,4241.70,135.59,
TRENT,TRENT LTD LAKME LTD,INE849A01020,7,299.79,596.00,+ 0.15,2098.53,4172.00,0.00,2073.47,98.81,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,6,380.72,372.55,+ 1.26,2284.32,2235.30,0.00,-49.02,(2.15),
AEGLOG,AEGIS LOGISTICS LTD,INE208C01025,9,239.17,230.10,+ 11.92,2152.53,2070.90,0.00,-81.63,(3.79),
ALLLOG,ALLCARGO LOGISTICS LTD,INE418H01029,15,139.52,110.10,+ 0.23,2092.80,1651.50,0.00,-441.30,(21.09),
BLUDAR,BLUE DART EXPRESS LTD,INE233B01017,3,3363.08,2682.80,+ 0.06,10089.24,8048.40,0.00,-2040.84,(20.23),
COCSHI,COCHIN SHIPYARD LIMITED,INE704P01017,15,379.14,372.85,+ 0.93,5687.10,5592.75,0.00,-94.35,(1.66),
CONCOR,CONTAINER CORPORATION OF INDIA,INE111A01025,5,515.65,566.25,+ 3.86,2578.25,2831.25,(2098.58),253.00,9.81,
FUTSUP,FUTURE SUPPLY CHAIN SOL LTD,INE935Q01015,2,691.85,456.00,+ 1.31,1383.70,912.00,0.00,-471.70,(34.09),
MAHLO,MAHINDRA LOGISTICS LIMITED,INE766P01016,2,489.55,416.70,+ 2.56,979.10,833.40,0.00,-145.70,(14.88),
VRLLOG,VRL LOGISTICS LIMITED,INE366I01010,10,348.93,278.40,- 0.14,3489.30,2784.00,0.00,-705.30,(20.21),
BALCHI,BALRAMPUR CHINI MILLS LTD,INE119A01028,18,131.55,157.35,+ 0.29,2367.90,2832.30,0.00,464.40,19.61,
EIDPAR,EID PARRY (INDIA) LTD,INE126A01031,11,281.37,226.15,+ 1.19,3095.07,2487.65,0.00,-607.42,(19.63),
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,31,361.83,519.00,+ 1.70,11216.73,16089.00,215.19,4872.27,43.44,
BHAINF,BHARTI INFRATEL LIMITED,INE121J01017,7,338.08,240.65,+ 4.49,2366.56,1684.55,0.00,-682.01,(28.82),
STETEC,STERLITE TECHNOLOGIES LIMITED,INE089C01029,20,128.72,120.70,+ 1.90,2574.40,2414.00,0.00,-160.40,(6.23),
ARVFAS,ARVIND FASHIONS LIMITED,INE955V01021,1,590.00,366.20,+ 1.34,590.00,366.20,0.00,-223.80,(37.93),
PAGIND,PAGE INDUSTRIES LTD,INE761H01022,1,24465.35,24568.80,+ 0.54,24465.35,24568.80,3597.78,103.45,0.42,
