isin_code, industry_name, isin_name_nse, isin_symbol
INE786A01032, CEMENT & CEMENT PRODUCTS, Jk lakshmi cement, JKLAKSHMI
INE787D01026, AUTOMOBILE, Balkrishna industries, BALKRISIND
INE791I01019, CONSTRUCTION, Brigade enterprises, BRIGADE
INE797F01012, CONSUMER GOODS, Jubilant foodworks, JUBLFOOD
INE800H01010, CONSTRUCTION, Omaxe, OMAXE
INE802G01018, SERVICES, Jet airways, JETAIRWAYS
INE805D01034, CONSTRUCTION, Sunteck realty, SUNTECK
INE811K01011, CONSTRUCTION, Prestige estates projects, PRESTIGE
INE813H01021, ENERGY, Torrent power, TORNTPOWER
INE814H01011, ENERGY, Adani power, ADANIPOWER
INE821I01014, CONSTRUCTION, Irb infrastructure developers, IRB
INE823G01014, CEMENT & CEMENT PRODUCTS, Jk cement, JKCEMENT
INE824B01021, METALS, Bhushan steel, BHUSANSTL
INE825A01012, TEXTILES, Vardhman textiles, VTL
INE836A01035, IT, Kpit technologies, KPIT
INE836F01026, MEDIA & ENTERTAINMENT, Dish tv, DISHTV
INE837H01020, CONSUMER GOODS, Advanced enzyme tech, ADVENZYMES
INE842C01021, AUTOMOBILE, Minda corporation, MINDACORP
INE844O01022, ENERGY, Gujarat gas, GUJGASLTD
INE848E01016, ENERGY, Nhpc, NHPC
INE849A01020, CONSUMER GOODS, Trent, TRENT
INE850D01014, CONSUMER GOODS, Godrej agrovet, GODREJAGRO
INE852F01015, SERVICES, Gateway distriparks, GDL
INE854D01024, CONSUMER GOODS, United spirits, MCDOWELL-N
INE855B01025, CHEMICALS, Rain industries, RAIN
INE860A01027, IT, Hcl technologies, HCLTECH
INE868B01028, CONSTRUCTION, Ncc, NCC
INE870D01012, FERTILISERS & PESTICIDES, National fertilizers, NFL
INE870H01013, MEDIA & ENTERTAINMENT, Network18 media investments, NETWORK18
INE871C01038, CONSUMER GOODS, Avanti feeds, AVANTIFEED
INE872A01014, FINANCIAL SERVICES, Srei infrastructure finance, SREINFRA
INE873D01024, PHARMA, Indoco remedies, INDOCO
INE876N01018, CEMENT & CEMENT PRODUCTS, Orient cement, ORIENTCEM
INE877F01012, ENERGY, Ptc, PTC
INE878A01011, INDUSTRIAL MANUFACTURING, Ge power, GEPIL
INE879I01012, CONSTRUCTION, D b realty, DBREALTY
INE880L01014, METALS, Kiocl, KIOCL
INE881D01027, IT, Oracle financial services software, OFSS
INE883A01011, AUTOMOBILE, Mrf, MRF
INE883N01014, CONSUMER GOODS, Parag milk foods, PARAGMILK
INE885A01032, AUTOMOBILE, Amara raja batteries, AMARAJABAT
INE886H01027, MEDIA & ENTERTAINMENT, Tv18 broadcast, TV18BRDCST
INE891D01026, SERVICES, Redington, REDINGTON
INE895B01021, TEXTILES, Rupa company, RUPA
INE901L01018, PHARMA, Alembic pharmaceuticals, APLLTD
INE913H01037, AUTOMOBILE, Endurance technologies, ENDURANCE
INE914M01019, HEALTHCARE SERVICES, Aster dm healthcare, ASTERDM
INE916U01025, CONSUMER GOODS, Sheela foam, SFL
INE917I01010, AUTOMOBILE, Bajaj auto, BAJAJ-AUTO
INE917M01012, CONSTRUCTION, Dilip buildcon, DBL
INE918I01018, FINANCIAL SERVICES, Bajaj finserv, BAJAJFINSV
INE930H01023, TEXTILES, Kpr mill, KPRMILL
INE931S01010, ENERGY, Adani transmission, ADANITRANS
INE933K01021, CONSUMER GOODS, Bajaj corp, BAJAJCORP
INE935A01035, PHARMA, Glenmark pharmaceuticals, GLENMARK
INE935N01012, CONSUMER GOODS, Dixon technologies, DIXON
INE942G01012, CONSUMER GOODS, Mcleod russel, MCLEODRUSS
INE944F01028, CONSUMER GOODS, Radico khaitan, RADICO
INE947J01015, MEDIA & ENTERTAINMENT, Den networks, DEN
INE947Q01010, PHARMA, Laurus labs, LAURUSLABS
INE949L01017, FINANCIAL SERVICES, Au small finance bank, AUBANK
INE950I01011, MEDIA & ENTERTAINMENT, Dbcorp, DBCORP
INE951I01027, INDUSTRIAL MANUFACTURING, V guard industries, VGUARD
INE956G01038, SERVICES, Va tech wabag, WABAG
INE974X01010, AUTOMOBILE, Tube investments, TIINDIA
INE975G01012, CONSTRUCTION, Il&fs transportation networks, IL&FSTRANS
INE976G01028, FINANCIAL SERVICES, Rbl bank, RBLBANK
INE978A01027, CONSUMER GOODS, Heritage foods, HERITGFOOD
INE982F01036, MEDIA & ENTERTAINMENT, Hathway cable datacom, HATHWAY
INE987B01026, PHARMA, Natco pharma, NATCOPHARM
INE988K01017, FINANCIAL SERVICES, Equitas holdings, EQUITAS
INE998I01010, SERVICES, Mahindra holidays resorts, MHRIL
