ticker	industry	bat	cmp	low_52w	high_52w	mos
PFIZER	PHARMA	3978	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A90),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A90),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A90),"high52"))	=ROUND((B90-C90)*100/C90)
PGHH	CONSUMER GOODS	11441	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A91),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A91),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A91),"high52"))	=ROUND((B91-C91)*100/C91)
PGHL	PHARMA	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A92),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A92),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A92),"high52"))	=ROUND((B92-C92)*100/C92)
PIDILITIND	CHEMICALS	1319	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A93),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A93),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A93),"high52"))	=ROUND((B93-C93)*100/C93)
PIIND	FERTILISERS & PESTICIDES	1400	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A94),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A94),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A94),"high52"))	=ROUND((B94-C94)*100/C94)
PNBHOUSING	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A95),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A95),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A95),"high52"))	=ROUND((B95-C95)*100/C95)
RECLTD	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A96),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A96),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A96),"high52"))	=ROUND((B96-C96)*100/C96)
RELAXO	CONSUMER GOODS	642	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A97),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A97),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A97),"high52"))	=ROUND((B97-C97)*100/C97)
RNAM	-	334	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A98),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A98),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A98),"high52"))	=ROUND((B98-C98)*100/C98)
SANOFI	PHARMA	6929	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A99),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A99),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A99),"high52"))	=ROUND((B99-C99)*100/C99)
SBILIFE	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A100),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A100),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A100),"high52"))	=ROUND((B100-C100)*100/C100)
SCHAEFFLER	INDUSTRIAL MANUFACTURING	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A101),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A101),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A101),"high52"))	=ROUND((B101-C101)*100/C101)
SHRIRAMCIT	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A102),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A102),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A102),"high52"))	=ROUND((B102-C102)*100/C102)
SIEMENS	INDUSTRIAL MANUFACTURING	1568	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A103),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A103),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A103),"high52"))	=ROUND((B103-C103)*100/C103)
SJVN	ENERGY	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A104),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A104),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A104),"high52"))	=ROUND((B104-C104)*100/C104)
SKFINDIA	INDUSTRIAL MANUFACTURING	1840	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A105),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A105),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A105),"high52"))	=ROUND((B105-C105)*100/C105)
SUPREMEIND	INDUSTRIAL MANUFACTURING	1173	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A106),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A106),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A106),"high52"))	=ROUND((B106-C106)*100/C106)
TECHM	IT	756	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A107),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A107),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A107),"high52"))	=ROUND((B107-C107)*100/C107)
THERMAX	INDUSTRIAL MANUFACTURING	1156	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A108),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A108),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A108),"high52"))	=ROUND((B108-C108)*100/C108)
TTKPRESTIG	CONSUMER GOODS	6670	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A109),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A109),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A109),"high52"))	=ROUND((B109-C109)*100/C109)
VGUARD	INDUSTRIAL MANUFACTURING	246	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A110),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A110),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A110),"high52"))	=ROUND((B110-C110)*100/C110)
VINATIORGA	CHEMICALS	2066	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A111),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A111),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A111),"high52"))	=ROUND((B111-C111)*100/C111)
VIPIND	CONSUMER GOODS	537	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A112),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A112),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A112),"high52"))	=ROUND((B112-C112)*100/C112)
VOLTAS	CONSTRUCTION	692	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A113),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A113),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A113),"high52"))	=ROUND((B113-C113)*100/C113)
WHIRLPOOL	CONSUMER GOODS	2062	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A114),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A114),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A114),"high52"))	=ROUND((B114-C114)*100/C114)
