Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Days Gain,Days Gain %,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
NARHRU,NARAYANA HRUDAYALAYA LIMITED,INE410P01011,22,278.37,452.15,- 0.39,6124.14,9947.30,38.50,25837.14,0.00,3823.16,62.43,
NATALU,NATIONAL ALUMINIUM CO LTD,INE139A01034,518,39.10,46.90,- 2.09,20253.80,24294.20,518.00,4690.00,(514.62),4040.40,19.95,
NATMIN,NMDC LIMITED,INE584A01023,148,90.64,107.85,+ 0.89,13414.72,15961.80,-140.60,-11352.63,0.00,2547.08,18.99,
NBCC,NBCC (INDIA) LIMITED,INE095N01031,688,27.74,30.20,- 0.33,19085.12,20777.60,68.80,30200.00,0.00,1692.48,8.87,
NESIND,NESTLE INDIA LIMITED,INE239A01016,2,11250.00,17400.00,- 0.84,22500.00,34800.00,295.30,11784.63,0.00,12300.00,54.67,
NETW18,NETWORK 18 MEDIA & INVESTMENTS,INE870H01013,160,31.93,36.55,+ 0.69,5108.80,5848.00,-40.00,-14620.00,(503.66),739.20,14.47,
NEYLIG,NLC INDIA LIMITED,INE589A01014,234,52.01,51.45,+ 0.78,12170.34,12039.30,-93.60,-12862.50,0.00,-131.04,(1.08),
NHPC,NHPC LIMITED,INE848E01016,580,21.80,23.35,- 0.43,12644.00,13543.00,58.00,23350.00,0.00,899.00,7.11,
NILLIM,NILKAMAL LIMITED,INE310A01015,9,1186.18,1459.95,- 0.69,10675.62,13139.55,90.90,14454.95,0.00,2463.93,23.08,
NOVART,NOVARTIS INDIA LIMITED,INE234A01025,3,669.79,653.95,+ 0.38,2009.37,1961.85,-7.50,-26158.00,0.00,-47.52,(2.36),
NTPC,NTPC LIMITED,INE733E01010,213,109.71,90.90,- 0.44,23368.23,19361.70,85.20,22725.00,(1038.88),-4006.53,(17.15),
OILIND,OIL INDIA LIMITED,INE274J01014,130,100.04,110.90,- 0.94,13005.20,14417.00,136.50,10561.90,0.00,1411.80,10.86,
ONGC,OIL AND NATURAL GAS CORPORATIO,INE213A01029,273,92.44,90.40,+ 0.84,25236.12,24679.20,-204.75,-12053.33,1482.22,-556.92,(2.21),
PAGIND,PAGE INDUSTRIES LTD,INE761H01022,1,24465.35,28752.35,- 0.32,24465.35,28752.35,93.05,30899.89,3597.78,4287.00,17.52,
PETLNG,PETRONET LNG LIMITED,INE347G01014,64,221.43,241.30,+ 1.71,14171.52,15443.20,-259.20,-5958.02,0.00,1271.68,8.97,
PFIZER,PFIZER LTD,INE182A01018,2,2495.02,4663.45,- 0.90,4990.04,9326.90,84.30,11063.94,(786.52),4336.86,86.91,
PIDIND,PIDILITE INDUSTRIES LTD,INE318A01026,9,1317.58,1718.15,+ 0.46,11858.22,15463.35,-70.20,-22027.56,0.00,3605.13,30.40,
PIIND,P I INDUSTRIES LTD,INE603J01030,4,1232.23,2058.75,- 1.56,4928.92,8235.00,130.40,6315.18,0.00,3306.08,67.08,
PIRENT,PIRAMAL ENTERPRISES LIMITED,INE140A01024,10,1402.83,1395.60,- 1.80,14028.30,13956.00,256.00,5451.56,0.00,-72.30,(0.52),
POWFIN,POWER FINANCE CORPORATION LTD,INE134E01011,127,110.12,111.30,- 0.22,13985.24,14135.10,31.75,44520.00,0.00,149.86,1.07,
POWGRI,POWER GRID CORPORATION OF INDI,INE752E01010,116,189.14,188.15,- 2.26,21940.24,21825.40,504.60,4325.29,238.70,-114.84,(0.52),
PREEST,PRESTIGE ESTATES PROJECTS LIMI,INE811K01011,54,196.93,276.55,- 1.43,10634.22,14933.70,216.00,6913.75,0.00,4299.48,40.43,
PROGAM,PROCTER AND GAMBLE HYGIENE HEA,INE179A01014,2,9806.43,11295.45,+ 0.51,19612.86,22590.90,-115.60,-19542.30,0.00,2978.04,15.18,
PVRLIM,PVR LIMITED,INE191H01014,4,1397.13,1502.25,+ 1.50,5588.52,6009.00,-88.80,-6766.89,0.00,420.48,7.52,
QUECOR,QUESS CORP LIMITED,INE615P01015,30,432.67,553.55,+ 0.99,12980.10,16606.50,-162.00,-10250.93,0.00,3626.40,27.94,
RALIND,RALLIS INDIA LTD,INE613A01020,17,208.37,273.00,- 0.29,3542.29,4641.00,13.60,34125.00,0.00,1098.71,31.02,
REL150,NIPPON IND ETF NIF MIDCAP 150,INF204KB1V68,387,78.57,80.20, 0.00,30406.59,31037.40,0.00,0.00,0.00,630.81,2.07,
RELFOO,RELAXO FOOTWEARS LIMITED,INE131B01039,22,512.73,826.25, 0.00,11280.06,18177.50,0.00,0.00,0.00,6897.44,61.15,
RELIND,RELIANCE INDUSTRIES,INE002A01018,21,772.04,1910.60,+ 0.81,16212.84,40122.60,-322.35,-12446.91,486.74,23909.76,147.47,
RELNIP,NIPPON LIFE IND ASSET MANAGEME,INE298J01013,42,259.13,316.80,- 0.19,10883.46,13305.60,25.20,52800.00,0.00,2422.14,22.26,
RENSUG,SHREE RENUKA SUGARS LTD,INE087H01022,715,7.16,9.70,- 0.51,5119.40,6935.50,35.75,19400.00,(637.90),1816.10,35.47,
RURELE,REC LIMITED,INE020B01018,135,119.91,135.20,- 0.88,16187.85,18252.00,162.00,11266.67,(2497.62),2064.15,12.75,
SANOFI,SANOFI INDIA LTD,INE058A01010,2,6114.03,8045.30,+ 0.69,12228.06,16090.60,-109.70,-14667.82,0.00,3862.54,31.59,
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,10,586.17,974.20,+ 0.50,5861.70,9742.00,-48.50,-20086.60,0.00,3880.30,66.20,
SBIGOL,SBI-ETF GOLD,INF200K01099,70,2894.80,4365.00,- 0.05,202636.00,305550.00,151.90,201152.07,0.00,102914.00,50.79,
SBILIF,SBI LIFE INSURANCE COMPANY LTD,INE123W01016,14,747.77,877.75,- 0.45,10468.78,12288.50,56.00,21943.75,0.00,1819.72,17.38,
SBIN50,SBI-ETF NIFTY NEXT 50,INF200KA1598,90,332.43,337.87,- 0.14,29918.70,30408.30,41.40,73450.00,0.00,489.60,1.64,
SBINIF,SBI-ETF NIFTY 50,INF200KA1FS1,214,140.54,143.87,- 0.94,30075.56,30788.18,291.04,10578.68,0.00,712.62,2.37,
SECINT,SECURITY INTELLIGENCE SER LTD,INE285J01028,2,451.45,399.85,+ 1.25,902.90,799.70,-9.90,-8077.78,0.00,-103.20,(11.43),
SHEFOA,SHEELA FOAM LIMITED,INE916U01025,4,1543.83,1991.20,- 0.01,6175.32,7964.80,0.40,1991200.00,0.00,1789.48,28.98,
SHRCEM,SHREE CEMENTS LTD,INE070A01015,1,18299.46,22878.50,+ 0.28,18299.46,22878.50,-64.50,-35470.54,(321.67),4579.04,25.02,
SHRTRA,SHRIRAM TRANSPORT FINANCE CO,INE721A01013,4,934.73,1141.25,- 0.82,3738.92,4565.00,37.60,12140.96,0.00,826.08,22.09,
SIEMEN,SIEMENS LTD,INE003A01024,4,1221.49,1628.70,+ 0.51,4885.96,6514.80,-33.00,-19741.82,(187.10),1628.84,33.34,
SKFIND,SKF INDIA LIMITED,INE640A01023,5,1852.30,1747.25,- 0.92,9261.50,8736.25,81.50,10719.33,(284.35),-525.25,(5.67),
SOLIN,SOLAR INDUSTRIES INDIA LIMITED,INE343H01029,2,1065.83,1180.70,- 0.27,2131.66,2361.40,6.30,37482.54,0.00,229.74,10.78,
SOMHOM,SOMANY HOME INNOVATION LIMITED,INE05AN01011,6,153.00,167.80,+ 0.48,918.00,1006.80,-4.80,-20975.00,0.00,88.80,9.67,
STABAN,STATE BANK OF INDIA,INE062A01020,74,215.76,274.30,- 0.47,15966.24,20298.20,96.20,21100.00,2583.25,4331.96,27.13,
STETEC,STERLITE TECHNOLOGIES LIMITED,INE089C01029,70,85.80,175.55,- 1.13,6006.00,12288.50,140.00,8777.50,0.00,6282.50,104.60,
SUMCH,SUMITOMO CHEMICAL INDIA LTD,INE258G01013,25,235.08,310.55,+ 0.91,5877.00,7763.75,-70.00,-11091.07,0.00,1886.75,32.10,
SUNFAS,SUNDRAM FASTENERS LIMITED,INE387A01021,8,413.17,557.35,+ 0.75,3305.36,4458.80,-33.20,-13430.12,0.00,1153.44,34.90,
SUNFIN,SUNDARAM FINANCE LTD,INE660A01013,1,1612.76,1696.75,+ 0.27,1612.76,1696.75,-4.50,-37705.56,0.00,83.99,5.21,
SUNPHA,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,39,531.53,562.60,- 1.26,20729.67,21941.40,280.80,7813.89,0.00,1211.73,5.85,
SUNTV,SUN TV NETWORK LIMITED,INE424H01027,10,276.17,491.40,+ 0.77,2761.70,4914.00,-37.50,-13104.00,0.00,2152.30,77.93,
SUPIND,SUPREME INDUSTRIES LTD,INE195A01028,2,1205.90,1805.45,+ 1.36,2411.80,3610.90,-48.30,-7475.98,0.00,1199.10,49.72,
SYMLIM,SYMPHONY LIMITED,INE225D01027,5,1133.08,1014.90,- 1.77,5665.40,5074.50,91.25,5561.10,0.00,-590.90,(10.43),
TATCHE,TATA CHEMICALS LTD,INE092A01019,24,313.62,490.75,- 0.44,7526.88,11778.00,51.60,22825.58,(89.37),4251.12,56.48,
TATCO,TATA COFFEE LTD,INE493A01027,116,73.54,114.30,+ 2.47,8530.64,13258.80,-319.00,-4156.36,0.00,4728.16,55.43,
TATELX,TATA ELXSI LIMITED,INE670A01012,1,993.14,2573.90,- 3.18,993.14,2573.90,84.65,3040.64,(2464.63),1580.76,159.17,
TATGLO,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,31,229.55,575.00,+ 0.37,7116.05,17825.00,-65.10,-27380.95,(179.40),10708.95,150.49,
TATMOT,TATA MOTORS LIMITED,INE155A01022,52,155.25,264.65,- 1.03,8073.00,13761.80,143.00,9623.64,5165.54,5688.80,70.47,
TATPOW,TATA POWER CO LTD,INE245A01021,225,45.40,76.65,+ 0.92,10215.00,17246.25,-157.50,-10950.00,(122.15),7031.25,68.83,
TATSTE,TATA STEEL LIMITED,INE081A01012,49,369.32,627.70,+ 0.30,18096.68,30757.30,-93.10,-33036.84,619.92,12660.62,69.96,
TCS,TATA CONSULTANCY SERVICES LTD,INE467B01029,22,1421.44,3252.75,- 0.25,31271.68,71560.50,182.60,39189.76,1304.38,40288.82,128.83,
TECMAH,TECH MAHINDRA LIMITED,INE669C01036,20,529.84,975.90,- 2.13,10596.80,19518.00,425.00,4592.47,0.00,8921.20,84.19,
THOCOO,THOMAS COOK (INDIA) LTD,INE332A01027,178,54.55,43.05,+ 5.00,9709.90,7662.90,-364.90,-2100.00,0.00,-2047.00,(21.08),
THYTEC,THYROCARE TECHNOLOGIES LIMITED,INE594H01019,12,505.76,918.00,+ 1.06,6069.12,11016.00,-115.20,-9562.50,0.00,4946.88,81.51,
TITIND,TITAN COMPANY LIMITED,INE280A01028,10,777.04,1447.45,+ 0.43,7770.40,14474.50,-62.50,-23159.20,0.00,6704.10,86.28,
TRENT,TRENT LTD LAKME LTD,INE849A01020,13,411.92,657.25,- 0.30,5354.96,8544.25,25.35,33705.13,0.00,3189.29,59.56,
TTKPRE,TTK PRESTIGE LTD,INE690A01010,2,6111.00,5927.70,- 0.11,12222.00,11855.40,13.50,87817.78,0.00,-366.60,(3.00),
TUBIN,TUBE INVESTMENTS OF INDIA LTD,INE974X01010,10,232.51,785.95,- 0.37,2325.10,7859.50,29.00,27101.72,0.00,5534.40,238.03,
TUBINV,CHOLAMANDALAM FIN HOLDINGS LTD,INE149A01033,8,482.10,519.00,- 0.38,3856.80,4152.00,16.00,25950.00,0.00,295.20,7.65,
TVSSRI,TVS SRICHAKRA LIMITED,INE421C01016,3,1717.80,1933.25,+ 0.32,5153.40,5799.75,-18.45,-31434.96,(716.55),646.35,12.54,
UFLLIM,UFLEX LIMITED,INE516A01017,8,292.07,358.65,+ 2.15,2336.56,2869.20,-60.40,-4750.33,0.00,532.64,22.80,
ULTCEM,ULTRATECH CEMENT LIMITED,INE481G01011,5,3799.42,5385.30,- 0.38,18997.10,26926.50,103.50,26015.94,(1184.37),7929.40,41.74,
UNIBR,UNITED BREWERIES LTD,INE686F01025,9,1198.91,1284.35,- 1.34,10790.19,11559.15,157.50,7339.14,0.00,768.96,7.13,
UNIP,UPL LIMITED,INE628A01036,20,395.04,560.10,- 2.57,7900.80,11202.00,296.00,3784.46,0.00,3301.20,41.78,
UNISPI,UNITED SPIRITS LIMITED,INE854D01024,27,507.45,606.90,- 5.87,13701.15,16386.30,1021.95,1603.43,(395.31),2685.15,19.60,
UTGOLD,UTI GOLD ETF,INF789F01059,80,2985.45,4417.00,+ 0.13,238836.00,353360.00,-476.00,-74235.29,0.00,114524.00,47.95,
UTIAMC,UTI ASSET MANAGEMENT COM LTD,INE094J01016,27,554.00,555.15,- 0.09,14958.00,14989.05,13.50,111030.00,0.00,31.05,0.21,
VARBEV,VARUN BEVERAGES LIMITED,INE200M01013,7,480.31,885.70,- 1.64,3362.17,6199.90,103.25,6004.75,0.00,2837.73,84.40,
VEDLIM,VEDANTA LIMITED,INE205A01025,197,111.24,163.60,+ 0.46,21914.28,32229.20,-147.75,-21813.33,0.00,10314.92,47.07,
VENIND,VENKYS INDIA LIMITED,INE398A01010,5,1326.71,1537.75,- 0.19,6633.55,7688.75,14.50,53025.86,0.00,1055.20,15.91,
VGUARD,V-GUARD INDUSTRIES LIMITED,INE951I01027,49,216.94,225.15,- 0.44,10630.06,11032.35,49.00,22515.00,0.00,402.29,3.78,
VIPIND,VIP INDUSTRIES LTD,INE054A01027,41,277.15,345.25,+ 1.86,11363.15,14155.25,-258.30,-5480.16,0.00,2792.10,24.57,
VOLTAS,VOLTAS LTD,INE226A01021,10,517.79,922.45,+ 0.93,5177.90,9224.50,-85.00,-10852.35,0.00,4046.60,78.15,
VRLLOG,VRL LOGISTICS LIMITED,INE366I01010,50,207.24,189.15,+ 4.45,10362.00,9457.50,-402.50,-2349.69,0.00,-904.50,(8.73),
VSTIND,VST INDUSTRIES LTD,INE710A01016,4,2907.08,3540.00,+ 0.35,11628.32,14160.00,-49.60,-28548.39,0.00,2531.68,21.77,
VSTTIL,VSTTILLERS TRACTORS LTD,INE764D01017,5,1235.97,1810.15,- 0.06,6179.85,9050.75,5.25,172395.24,0.00,2870.90,46.46,
WESDEV,WESTLIFE DEVELOPMENT LTD,INE274F01020,7,284.76,463.50,+ 0.85,1993.32,3244.50,-27.30,-11884.62,0.00,1251.18,62.77,
WHIIND,WHIRLPOOL OF INDIA LTD,INE716A01013,2,1386.24,2591.15,+ 2.07,2772.48,5182.30,-105.20,-4926.14,0.00,2409.82,86.92,
WIPRO,WIPRO LTD,INE075A01022,33,200.58,437.50,- 1.96,6619.14,14437.50,288.75,5000.00,(1006.96),7818.36,118.12,
WONHOL,WONDERLA HOLIDAYS LTD,INE066O01014,51,202.89,196.55,+ 0.15,10347.39,10024.05,-15.30,-65516.67,0.00,-323.34,(3.12),
ZEEENT,ZEE ENTERTAINMENT ENTERPRISES,INE256A01028,36,317.73,222.95,+ 0.72,11438.28,8026.20,-57.60,-13934.38,(1136.35),-3412.08,(29.83),
ZEELEA,ZEE LEARN LIMITED,INE565L01011,542,22.17,12.00,- 1.23,12016.14,6504.00,81.30,8000.00,0.00,-5512.14,(45.87),
ZYDWEL,ZYDUS WELLNESS LIMITED,INE768C01010,1,1338.42,1950.00,+ 0.63,1338.42,1950.00,-12.15,-16049.38,0.00,611.58,45.69,
