sc_isin, sc_name, sc_cmp, sc_sales, sc_np, sc_pe, sc_opm, sc_eps, sc_dp3, sc_d2e, sc_ic, sc_dy, sc_peg, sc_cmp2bv, sc_dp3, sc_iv, sc_ev, sc_mcap, sc_altman, sc_cr, sc_roe3, sc_graham, sc_sales_var5, sc_profit_var5, sc_ev2ebit, sc_score
INE310A01015, Nilkamal, 1608, 2160, 123, 19, 12, 82, 15, 0, 13, 0, 0, 2, 12, 993, 2476, 2400, 7, 3, 17, 1027, 4, 25, 12, 16
INE791I01019, Brigade enterpr, 211, 1897, 134, 21, 31, 9, 18, 1, 1, 0, 0, 1, 19, 151, 5429, 2872, 1, 1, 8, 172, 26, 22, 11, 16
78, New assura, 318, 22115, 2200, 23, 12, 13, 37, 0, 0, 0, 0, 3, 27, 0, 44395, 52414, 1, 0, 0, 162, 0, 0, 16, 15
100, L&t finholdings, 148, 10021, 1459, 20, 71, 7, 13, 7, 1, 0, 1, 3, 15, 134, 88951, 29607, 1, 5, 13, 87, 23, 17, 12, 15
134, Hdfc stand life, 460, 32245, 1109, 83, 3, 5, 24, 0, 265, 0, 0, 18, 21, 0, 88047, 92726, 14, 0, 0, 55, 0, 0, 76, 15
INE047A01021, Grasim, 1003, 56176, 3702, 16, 19, 56, 8, 0, 3, 0, 5, 1, 8, 4699, 75113, 65994, 3, 0, 8, 822, 7, 3, 9, 15
INE038A01020, Hindalco, 221, 42787, 1436, 30, 14, 6, 15, 0, 2, 0, -2, 1, 21, -270, 72469, 49626, 1, 1, 2, 176, 6, -11, 17, 15
INE348B01021, Century ply, 252, 1967, 156, 35, 15, 7, 12, 0, 7, 0, 1, 6, 17, 189, 0, 5605, 6, 3, 35, 78, 9, 21, 0, 15
INE663F01024, Info edg, 1147, 887, -23, 0, 16, -1, -230, 0, 2, 0, 0, 8, 69, 0, 13940, 13994, 19, 2, 2, 0, 17, 0, 1540, 15
INE452O01016, Future lifestyle, 406, 4218, 110, 71, 9, 5, 33, 0, 2, 0, 0, 4, 32, 0, 0, 7896, 3, 1, 2, 108, 0, 0, 0, 15
INE109A01011, Sci, 56, 3469, 253, 10, 23, 5, 0, 0, 1, 0, 0, 0, 0, 0, 7555, 2634, 1, 1, 4, 136, -2, 0, 36, 15
INE481Y01014, General insuranc, 718, 38096, 3233, 19, 9, 36, 30, 0, 0, 1, 0, 1, 20, 0, 50875, 63066, 1, 0, 0, 699, 0, 0, 13, 15
INE439A01020, Asahi glas, 330, 2615, 175, 44, 18, 7, 18, 2, 3, 0, 0, 12, 14, 0, 9235, 8023, 4, 1, 26, 65, 7, 0, 23, 15
INE742F01042, Adani ports, 361, 11322, 3689, 19, 71, 17, 6, 1, 4, 0, 0, 3, 7, 198, 96190, 74927, 3, 4, 24, 201, 25, 28, 14, 15
INE531A01024, Kansai nerolac, 443, 4586, 516, 46, 18, 9, 27, 0, 0, 0, 2, 7, 24, 373, 23875, 23917, 17, 2, 18, 111, 10, 18, 30, 15
INE200M01013, Varun beverages, 763, 4218, 226, 61, 20, 12, 21, 1, 2, 0, 1, 7, 12, 230, 16535, 13946, 3, 1, 11, 165, 17, 53, 31, 15
INE040A01026, Hdfc bank, 2130, 85287, 18510, 29, 65, 71, 18, 8, 1, 0, 1, 5, 18, 1555, 1376662, 554906, 0, 3, 18, 820, 18, 21, 19, 15
IN9155A01020, Tata motors, 263, 294619, 9091, 11, 12, 28, 0, 1, 3, 0, 0, 1, 0, -358, 148659, 84042, 1, 1, 17, 367, 10, -14, 9, 15
INE765G01017, Icici lombard, 696, 8444, 861, 36, 14, 18, 24, 0, 0, 0, 0, 6, 22, 0, 31927, 31636, 1, 0, 18, 207, 11, 0, 26, 15
INE686F01025, United breweries, 1123, 5617, 393, 75, 16, 14, 13, 0, 13, 0, 7, 10, 11, 1701, 30274, 29693, 10, 1, 13, 185, 5, 10, 46, 15
INE044A01036, Sun pharma, 567, 26489, 2608, 40, 24, 10, 12, 0, 7, 0, 1, 3, 10, 302, 137303, 136113, 5, 3, 19, 200, 31, 23, 34, 15
INE149A01033, Ti financial, 609, 3344, 599, 19, 11, 31, 5, 0, 41, 0, 1, 3, 8, 761, 11383, 11438, 3, 0, 17, 358, -16, 12, 31, 14
INE461C01038, Greenply, 230, 1680, 135, 20, 14, 11, 5, 0, 20, 0, 1, 3, 13, 183, 3135, 2822, 4, 1, 21, 136, 1, 20, 15, 14
39, St bk of, 257, 228970, -4556, 0, 56, -5, 0, 15, 0, 0, 0, 1, 24, 0, 3125330, 229361, 0, 1, 1, 0, 6, 0, 23, 14
INE398A01010, Venkys, 2343, 2688, 199, 16, 15, 141, 6, 1, 7, 0, 0, 4, 11, 1301, 3818, 3301, 5, 2, 14, 1286, 20, 28, 9, 14
INE034A01011, Arvind, 386, 10801, 315, 30, 9, 12, 19, 0, 2, 0, 2, 2, 19, 442, 12949, 10004, 3, 2, 12, 203, 13, 13, 19, 14
INE191H01014, Pvr, 1392, 2334, 124, 51, 18, 26, 9, 0, 3, 0, 1, 5, 11, 663, 7317, 6507, 4, 0, 11, 374, 32, 33, 26, 14
INE951I01027, V guard, 195, 2307, 133, 62, 8, 3, 19, 0, 108, 0, 2, 10, 19, 129, 8334, 8343, 20, 2, 25, 35, 17, 24, 46, 14
INE739E01017, Cera sanitary, 2786, 1182, 100, 36, 15, 77, 15, 0, 30, 0, 1, 5, 14, 1732, 3603, 3624, 9, 1, 21, 911, 25, 25, 22, 14
INE868B01028, Ncc, 90, 9000, 31, 144, 6, 0, 70, 0, 1, 0, -20, 1, 37, -169, 7899, 5459, 1, 1, 2, 26, 6, -7, 14, 14
INE797F01012, Jubilant food, 1364, 2980, 206, 87, 15, 15, 24, 0, 0, 0, -12, 17, 16, -3214, 17972, 18004, 24, 0, 14, 168, 20, -6, 57, 14
INE885A01032, Amara raja batt, 728, 6059, 471, 26, 15, 27, 15, 0, 142, 0, 1, 4, 15, 688, 12408, 12436, 10, 1, 23, 333, 17, 16, 17, 14
22, Tube investments, 226, 4976, 168, 24, 8, 8, 22, 0, 4, 0, 0, 3, 0, 0, 5092, 4255, 3, 1, 0, 118, 0, 0, 19, 13
INE355A01028, Somany ceramics, 499, 1672, 65, 31, 9, 15, 13, 0, 6, 0, 1, 3, 15, 270, 2328, 2118, 4, 1, 18, 215, 16, 28, 19, 13
INE565L01011, Zee learn, 33, 270, 49, 22, 39, 1, 8, 0, 4, 0, 0, 3, 5, 0, 1311, 1090, 3, 1, 8, 18, 24, 0, 13, 13
123, Icici pru life, 369, 40156, 1492, 35, 4, 10, 62, 0, 0, 1, 9, 7, 62, 1498, 48414, 53101, 7, 1, 31, 106, 21, 3, 28, 13
INE935A01035, Glenmark pharma, 572, 9103, 803, 20, 18, 28, 5, 1, 4, 0, 1, 3, 8, 453, 19828, 16161, 3, 3, 24, 346, 17, 20, 14, 13
143, Greenlam industr, 1017, 1144, 64, 37, 13, 26, 7, 0, 6, 0, 0, 6, 6, 0, 2673, 2456, 5, 1, 17, 298, 0, 0, 23, 12
216, Asian granito, 306, 1155, 56, 16, 12, 18, 10, 0, 3, 0, 3, 2, 5, 997, 1252, 921, 2, 2, 7, 254, 34, 4, 10, 12
INE397D01024, Bharti airtel, 377, 83687, 2183, 58, 37, 5, 10, 1, 1, 0, 35, 2, 17, 3077, 260003, 151081, 1, 0, 8, 146, 5, 1, 22, 12
INE238A01034, Axis bank, 504, 46614, 455, 312, 36, 1, 0, 9, 1, 0, -7, 2, 18, -223, 697092, 129578, 0, 3, 7, 100, 11, -39, 24, 11
INE573A01042, Jk tyre indust, 121, 8272, 63, 40, 10, 2, 15, 2, 1, 2, 0, 1, 12, 0, 8138, 2744, 1, 1, 24, 74, 2, 0, 14, 11
INE716A01013, Whirlpool, 1498, 4831, 350, 54, 13, 27, 12, 0, 96, 0, 2, 10, 5, 1206, 17957, 19010, 11, 1, 24, 299, 8, 19, 32, 11
INE484J01027, Godrej propert, 711, 1889, 234, 69, 26, 10, 0, 1, 3, 0, 3, 7, 15, 533, 20471, 16313, 3, 5, 8, 150, 15, 21, 42, 11
INE373A01013, Basf, 1869, 5587, 246, 63, 6, 56, -30, 1, 3, 0, 0, 6, 23, 0, 9344, 8092, 3, 1, -9, 631, 7, 0, 24, 11
INE343B01030, Rajesh exports, 601, 187685, 1265, 14, 1, 42, 2, 0, 3, 0, 0, 2, 3, 0, 8471, 17759, 6, 1, 24, 474, 0, 0, 4, 11
INE883A01011, Mrf, 72933, 14821, 1092, 28, 17, 2576, 1, 0, 7, 0, 0, 3, 1, 35295, 32817, 30923, 4, 1, 27, 36295, 6, 33, 17, 11
INE669E01016, Idea cellular, 56, 28278, -4168, 0, 23, -9, 0, 2, 0, 0, 0, 1, 6, 0, 79731, 24720, 0, 0, 8, 0, 12, 0, -47, 11
INE131B01039, Relaxo footwear, 689, 1956, 161, 51, 15, 13, 9, 0, 29, 0, 2, 10, 7, 440, 8468, 8298, 13, 1, 26, 138, 15, 25, 33, 11
INE671A01010, Honeywell auto, 18240, 2689, 249, 64, 14, 282, 5, 0, 1362, 0, 6, 11, 6, 30181, 15633, 16124, 15, 2, 15, 3206, 8, 9, 40, 11
INE918I01018, Bajaj finserv, 5848, 30598, 2741, 33, 35, 172, 1, 3, 2, 0, 3, 5, 1, 8445, 136858, 93062, 1, 0, 15, 2125, 55, 11, 12, 10
INE470A01017, 3m, 19258, 2556, 310, 69, 20, 275, 0, 0, 248, 0, 2, 14, 0, 10282, 20970, 21704, 22, 2, 19, 2907, 10, 29, 43, 10
155, Future supply, 645, 775, 67, 38, 16, 16, 0, 0, 12, 0, 0, 7, 0, 0, 2618, 2584, 9, 2, 0, 184, 0, 0, 24, 10
INE536H01010, Mahindra cie, 245, 6520, 358, 25, 12, 9, 0, 0, 10, 0, 0, 2, 0, 0, 10412, 9287, 3, 1, 8, 144, 24, 0, 18, 10
228, Adani enterp, 109, 37823, 594, 16, 8, 5, 4, 1, 1, 0, -1, 0, 6, -122, 31875, 12026, 1, 2, 7, 127, -1, -11, 15, 10
INE128A01029, Eveready, 229, 1456, 54, 30, 8, 7, 0, 0, 3, 0, 0, 4, 6, 0, 1908, 1671, 3, 1, 17, 89, 6, 0, 18, 10
INE916U01025, Sheela foam, 1498, 1965, 133, 54, 12, 27, 0, 0, 23, 0, 1, 12, 0, 685, 7207, 7310, 14, 1, 29, 274, 11, 34, 35, 10
INE123W01016, Sbi life insuran, 666, 33849, 1150, 57, 3, 11, 15, 0, 0, 0, 0, 9, 14, 0, 63483, 66640, 13, 1, 19, 131, 0, 0, 47, 9
104, Kotak mah bank, 1339, 25131, 6200, 45, 85, 32, 2, 4, 1, 0, 1, 5, 2, 1019, 480677, 255238, 1, 2, 13, 440, 18, 23, 22, 9
110, Johnson con hit, 2385, 2185, 100, 64, 9, 36, 5, 0, 77, 0, 0, 12, 5, 422, 6524, 6487, 8, 1, 20, 405, 19, 90, 42, 9
INE615P01015, Quess corp, 1080, 6058, 317, 49, 6, 21, 0, 0, 4, 0, 0, 13, 0, 219, 16181, 15719, 10, 2, 24, 197, 44, 78, 47, 9
INE498B01024, Shoppers st, 533, 4910, -37, 0, -2, -4, -16, 1, 0, 0, 0, 9, 22, 0, 5571, 4692, 3, 1, 0, 0, 11, 0, 190, 9
INE559A01017, Ifb, 1217, 2148, 83, 59, 8, 20, 0, 0, 28, 0, 6, 8, 0, 1981, 4914, 4931, 9, 1, 9, 250, 16, 9, 39, 9
48, Shrenuka sugar, 12, 11844, -1039, 0, 3, -5, 0, -2, 0, 0, 0, 0, 0, 0, 12164, 2348, 0, 0, 0, 54, 0, 0, -99, 8
INE854D01016, United spirits, 657, 8170, 561, 85, 15, 7, 0, 2, 4, 0, -34, 19, 0, -4278, 0, 47787, 5, 2, 4, 77, 2, -2, 0, 8
INE192R01011, Avenue super, 1435, 15010, 784, 114, 9, 12, 0, 0, 21, 0, 2, 19, 0, 442, 91035, 89584, 31, 6, 19, 144, 40, 51, 72, 8
91, Mahindra logis, 551, 3286, 62, 62, 3, 8, 0, 0, 25, 0, 0, 9, 0, 0, 3907, 3923, 8, 1, 0, 105, 0, 0, 39, 7
INE053A01029, Indian hotels, 128, 4103, 103, 174, 17, 0, -54, 1, 1, 0, 0, 5, 9, 0, 18476, 15234, 2, 0, -7, 20, 3, 0, 40, 7
INE335K01011, Coffee day enter, 273, 3788, 149, 60, 20, 7, 0, 2, 1, 0, 3, 2, 0, 440, 8975, 5779, 1, 4, -2, 133, 13, 15, 15, 7
INE410P01011, Narayana hrudaya, 231, 2280, 51, 93, 9, 2, 0, 0, 2, 0, 3, 4, 0, 141, 4937, 4738, 7, 0, 3, 53, 23, 26, 38, 6
INE220J01025, Future consumer, 48, 3004, -27, 0, 2, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 9252, 10, 2, -11, 0, 19, 0, 0, 6
INE061F01013, Fortis health, 134, 4560, -934, 16, 10, -18, 0, 0, -2, 0, 0, 1, 0, -110, 8672, 6999, 2, 1, 3, 0, 11, 43, -13, 6
6, Westlife develop, 325, 1134, 12, 393, 8, 0, 0, 0, 1, 0, 0, 9, 0, 0, 5244, 5061, 10, 0, -5, 25, 11, 0, 188, 5
INE836F01026, Dish tv, 70, 4634, -81, 124, 29, 0, 0, 2, 0, 0, 0, 33, 0, 0, 0, 13649, 2, 0, 0, 0, 9, 0, 0, 5
226, Aditya bir fas, 137, 7172, 117, 90, 6, 1, 0, 2, 1, 0, 0, 9, 0, 19, 12642, 10642, 3, 1, -12, 21, 227, 113, 57, 5
INE752P01024, Future retail, 556, 18479, 20, 44, 4, 0, 0, 0, 1, 0, 0, 10, 0, 0, 0, 27981, 6, 2, 0, 21, 0, 0, 0, 4
