sc_isin, sc_name, sc_cmp, sc_sales, sc_np, sc_pe, sc_opm, sc_eps, sc_dp3, sc_d2e, sc_ic, sc_dy, sc_peg, sc_cmp2bv, sc_dp3, sc_iv, sc_ev, sc_mcap, sc_altmanz, sc_cr, sc_roe3, sc_graham, sc_sales_var5, sc_profit_var5, sc_ev2ebit, sc_pledge, sc_crank, sc_prank
INE335K01011, Coffee day enter, 311, 3953, 143, 73, 16, 7, 0, 2, 2, 0, 0, 3, 0, 0, 9960, 6577, 2, 4, 1, 132, 8, 0, 17, 60, 7, 1
INE342J01019, Wabco, 7005, 2792, 293, 45, 15, 155, 6, 0, 271, 0, 3, 8, 6, 7723, 12925, 13281, 15, 2, 18, 1714, 22, 15, 31, 0, 23, -3
INE343B01030, Rajesh exports, 702, 181204, 1368, 15, 1, 46, 3, 1, 4, 0, 0, 3, 3, 0, 11445, 20733, 6, 2, 25, 497, 0, 0, 6, 0, 18, 5
INE347G01014, Petronet lng, 238, 33333, 2227, 16, 11, 15, 32, 0, 23, 2, 1, 3, 26, 303, 36261, 35670, 7, 1, 21, 152, -1, 13, 11, 0, 28, 8
INE348B01021, Century ply, 204, 2066, 168, 27, 16, 8, 14, 1, 7, 0, 1, 5, 13, 132, 5062, 4536, 6, 3, 28, 82, 12, 25, 20, 0, 25, -3
INE355A01028, Somany ceramics, 427, 1713, 70, 24, 11, 17, 16, 1, 4, 1, 1, 3, 14, 358, 2337, 1809, 3, 2, 18, 228, 10, 18, 14, 0, 21, 2
INE358A01014, Abbott, 8449, 3446, 435, 41, 17, 205, 29, 0, 176, 1, 2, 10, 30, 5666, 16924, 17955, 19, 3, 24, 1962, 15, 24, 25, 0, 30, -6
INE366I01010, Vrl logistics, 295, 1959, 83, 32, 11, 9, 0, 0, 15, 0, 2, 4, 31, 315, 2726, 2664, 9, 1, 18, 119, 8, 15, 20, 0, 24, -3
INE373A01013, Basf, 1882, 5705, 270, 56, 6, 62, 5, 1, 4, 0, 47, 6, 7, 47056, 9005, 8146, 4, 2, -3, 666, 7, 1, 22, 0, 19, 0
INE376G01013, Biocon, 640, 4320, 411, 93, 20, 7, 16, 0, 12, 0, -106, 7, 14, -11639, 39332, 38391, 7, 2, 10, 117, 11, -1, 54, 0, 27, 0
INE397D01024, Bharti airtel, 377, 81810, 2045, 63, 34, 5, 194, 2, 1, 1, -8, 2, 28, -619, 255245, 150582, 1, 1, 6, 142, 2, -8, 27, 0, 17, 3
INE398A01010, Venkys, 2544, 2782, 219, 16, 14, 155, 7, 1, 9, 0, 1, 5, 11, 1413, 3951, 3584, 6, 3, 15, 1364, 20, 29, 10, 0, 23, 0
INE406A01037, Aurobindo pharma, 774, 17071, 2360, 19, 21, 40, 6, 0, 35, 0, 0, 4, 7, 238, 48849, 45340, 5, 3, 27, 433, 23, 52, 15, 2, 24, -1
INE410P01011, Narayana hrudaya, 256, 2412, 36, 148, 8, 2, 0, 1, 2, 0, 4, 5, 0, 124, 5996, 5230, 4, 1, 6, 45, 22, 34, 54, 0, 16, -8
INE414G01012, Muthoot finance, 451, 6392, 1861, 10, 76, 47, 23, 3, 3, 2, 1, 2, 24, 635, 38760, 18048, 2, 14, 20, 465, 3, 11, 8, 0, 21, 16
INE415A01038, Hsil, 302, 2315, 65, 30, 11, 9, 39, 1, 3, 1, -19, 1, 30, -2773, 3170, 2180, 2, 2, 7, 204, 8, -2, 21, 0, 19, 5
INE418H01029, Allcargo logist, 112, 6188, 165, 17, 6, 7, 29, 0, 8, 2, 22, 1, 23, 2344, 2992, 2763, 3, 1, 11, 111, 9, 1, 12, 0, 23, 10
INE437A01024, Apollo hospitals, 1105, 7481, 258, 60, 12, 19, 30, 1, 3, 0, -12, 4, 28, -3558, 18067, 15371, 4, 2, 8, 336, 17, -5, 29, 74, 23, 0
INE438A01022, Apollo tyres, 231, 15846, 887, 15, 12, 16, 24, 0, 8, 1, 4, 1, 14, 934, 17253, 13191, 2, 1, 14, 247, 3, 4, 12, 12, 16, 12
INE439A01020, Asahi glas, 334, 2751, 182, 44, 18, 7, 21, 1, 3, 0, 0, 7, 18, 0, 9464, 8109, 4, 2, 21, 88, 6, 0, 23, 4, 27, 0
INE452O01016, Future lifestyle, 413, 4455, 115, 70, 9, 6, 21, 1, 3, 0, 0, 6, 15, 0, 8729, 8038, 4, 2, 7, 99, 0, 0, 34, 11, 22, 0
INE455I01029, Kaveri seed co, 620, 764, 219, 19, 28, 33, 0, 0, 1203, 0, 1, 3, 12, 642, 4084, 4099, 7, 1, 25, 374, 12, 15, 18, 0, 24, 5
INE461C01038, Greenply, 187, 1687, 129, 18, 14, 11, 5, 1, 21, 0, 5, 2, 5, 780, 2913, 2291, 3, 2, 20, 135, -3, 4, 15, 0, 16, 5
INE462A01022, Bayer, 4355, 2844, 336, 45, 18, 98, 21, 0, 44, 0, 62, 8, 20, 96794, 14536, 14953, 16, 3, 16, 1111, 0, 1, 28, 0, 29, 0
INE463A01038, Berger paints, 303, 5402, 483, 61, 16, 5, 38, 0, 30, 1, 4, 13, 35, 311, 29606, 29388, 12, 2, 24, 52, 10, 16, 39, 0, 30, -2
INE467B01029, Tcs, 2044, 127781, 27292, 29, 27, 71, 37, 0, 859, 1, 2, 8, 36, 2504, 775628, 782542, 28, 3, 34, 623, 14, 13, 22, 3, 30, -1
INE470A01017, 3m, 25251, 2592, 344, 83, 20, 305, 0, 0, 272, 0, 2, 17, 0, 9462, 27678, 28458, 31, 3, 22, 3158, 10, 43, 52, 0, 22, -8
INE472A01039, Blue star, 656, 4669, 163, 43, 6, 17, 64, 0, 7, 2, 1, 7, 60, 367, 6615, 6320, 3, 1, 20, 191, 10, 32, 25, 0, 23, -1
INE481G01011, Ultratech cem, 4096, 33398, 1957, 52, 18, 71, 13, 1, 3, 0, -49, 4, 11, -55740, 131758, 112496, 3, 1, 11, 1256, 9, -1, 30, 0, 20, 0
INE481Y01014, General insuranc, 327, 39903, 3615, 16, -3, 21, 30, 0, 0, 2, 0, 1, 21, 0, 45196, 57386, 1, 1, 0, 371, 0, 0, 10, 0, 14, 13
INE482A01020, Ceat, 1362, 6477, 303, 17, 11, 75, 20, 0, 6, 1, 1, 2, 13, 1434, 6296, 5510, 3, 1, 17, 1056, 5, 14, 11, 0, 21, 8
INE484J01027, Godrej propert, 658, 2323, 147, 103, -3, 6, 0, 2, 2, 0, -12, 7, 0, -1241, 18481, 15093, 3, 4, 8, 120, 13, -8, 48, 0, 12, 0
INE493A01027, Tata coffee, 110, 1622, 173, 11, 14, 9, 26, 1, 5, 1, -3, 2, 25, -499, 2964, 2057, 2, 2, 11, 114, -2, -3, 15, 0, 20, 12
INE494B01023, Tvs motor co, 579, 15884, 680, 40, 8, 14, 24, 0, 15, 1, 1, 9, 23, 314, 28665, 27487, 6, 1, 25, 143, 16, 29, 29, 0, 27, -2
INE498B01024, Shoppers st, 609, 4122, 244, 83, 4, 28, 3, 0, 1, 0, 0, 6, 7, 0, 5482, 5363, 6, 1, 3, 253, 4, 0, 67, 13, 14, 0
INE498L01015, L&t finance, 156, 10803, 1690, 18, 67, 8, 14, 6, 1, 1, 1, 2, 14, 127, 101638, 31124, 1, 6, 14, 112, 21, 20, 13, 0, 15, 4
INE510A01028, Engineers, 125, 1986, 383, 21, 21, 6, 67, 0, 795, 3, -2, 3, 60, -225, 5412, 7893, 4, 2, 12, 71, -7, -9, 9, 0, 31, 6
INE513A01014, Schaeffler, 5480, 2034, 254, 36, 18, 153, 10, 0, 918, 0, 16, 5, 9, 40222, 8467, 9108, 17, 3, 15, 1877, 7, 2, 22, 0, 24, 0
INE516A01017, Uflex, 312, 6984, 312, 7, 13, 43, 5, 1, 3, 1, 1, 1, 6, 485, 4016, 2253, 2, 2, 9, 740, 6, 10, 7, 0, 13, 19
INE522D01027, Manappuram fin, 87, 3528, 716, 10, 62, 9, 25, 3, 2, 2, 0, 2, 27, 16, 19202, 7305, 2, 22, 19, 96, 83, 87, 9, 3, 19, 9
INE522F01014, Coal, 282, 90946, 8440, 21, 13, 14, 146, 0, 32, 6, -1, 7, 131, -272, 144832, 174770, 3, 1, 34, 108, 14, -17, 11, 0, 24, 6
INE530B01024, Iifl holdings, 646, 5363, 980, 21, 71, 31, 18, 7, 2, 1, 1, 4, 21, 378, 50637, 20617, 1, 5, 18, 340, 8, 27, 12, 0, 19, 0
INE531A01024, Kansai nerolac, 480, 4789, 515, 50, 17, 10, 27, 0, 0, 1, 3, 8, 24, 404, 25531, 25874, 19, 2, 19, 114, 10, 19, 32, 0, 27, -5
INE536A01023, Grindwell norton, 517, 1474, 164, 35, 18, 15, 37, 0, 192, 1, 4, 6, 36, 1034, 5452, 5724, 13, 2, 15, 176, 9, 8, 22, 0, 30, 1
INE536H01010, Mahindra cie, 281, 6520, 358, 29, 12, 9, 0, 0, 10, 0, 0, 3, 0, 0, 11747, 10622, 3, 1, 8, 145, 24, 0, 21, 0, 15, 2
INE548C01032, Emami, 547, 2615, 332, 75, 29, 7, 52, 0, 15, 1, 21, 12, 47, 2466, 25086, 24839, 22, 1, 23, 86, 8, 4, 55, 42, 27, 1
INE559A01017, Ifb, 1100, 2249, 90, 49, 7, 22, 0, 0, 31, 0, 2, 8, 0, 833, 4414, 4456, 7, 1, 12, 264, 19, 21, 33, 0, 19, -6
INE565L01011, Zee learn, 39, 315, 61, 21, 38, 2, 9, 1, 5, 0, 0, 4, 5, 0, 1486, 1265, 4, 1, 8, 21, 24, 0, 13, 85, 17, 2
INE573A01042, Jk tyre indust, 116, 8905, 245, 10, 12, 11, 52, 3, 2, 1, 0, 1, 16, -53, 8315, 2634, 1, 2, 16, 147, 4, -33, 10, 0, 16, 14
INE584A01023, Nmdc, 122, 11195, 3812, 10, 51, 12, 36, 0, 154, 4, -1, 2, 81, -195, 33646, 38584, 8, 3, 12, 147, 2, -10, 5, 0, 31, 16
INE585B01010, Maruti suzuki, 8494, 84676, 8141, 32, 15, 269, 31, 0, 36, 1, 1, 6, 28, 5458, 256625, 256585, 12, 0, 17, 2963, 13, 25, 22, 0, 27, -2
INE589A01014, Nlc, 70, 7939, 1091, 10, 26, 7, 37, 1, 10, 6, 1, 1, 52, 167, 19141, 10700, 1, 2, 18, 119, 9, 7, 9, 0, 22, 23
INE600L01024, Dr lal pathlabs, 986, 1100, 177, 46, 25, 21, 22, 0, 302, 0, 2, 10, 18, 625, 7903, 8216, 45, 4, 28, 220, 19, 25, 29, 0, 31, -7
INE603J01030, Pi industries, 774, 2330, 348, 31, 21, 25, 15, 0, 74, 1, 1, 5, 13, 405, 10639, 10676, 11, 2, 27, 287, 15, 31, 24, 0, 27, -2
INE613A01020, Rallis, 197, 1922, 176, 22, 14, 9, 29, 0, 60, 1, 3, 3, 28, 396, 3823, 3832, 5, 2, 16, 114, 5, 8, 16, 0, 29, 4
INE615P01015, Quess corp, 920, 6838, 339, 39, 6, 23, 0, 0, 4, 0, 0, 5, 0, 162, 13711, 13382, 6, 2, 17, 301, 44, 91, 37, 0, 20, -4
INE628A01036, Upl, 704, 17789, 2066, 17, 20, 41, 20, 1, 4, 1, 1, 4, 21, 502, 39517, 35773, 3, 2, 30, 417, 14, 22, 12, 2, 23, 1
INE640A01023, Skf, 1752, 2839, 313, 29, 16, 61, 21, 0, 73, 1, 3, 5, 24, 2890, 8337, 8995, 12, 4, 16, 715, 4, 10, 17, 0, 31, 0
INE646L01027, Interglobe aviat, 883, 23780, 1459, 23, 8, 38, 10, 0, 6, 1, 1, 5, 34, 658, 29808, 33935, 4, 1, 57, 397, 20, 21, 12, 0, 24, -1
INE647O01011, Abfrl, 191, 7326, 144, 102, 7, 2, 0, 2, 1, 0, 0, 13, 0, 0, 16498, 14709, 3, 1, 1, 24, 41, 0, 66, 0, 10, 0
INE663F01024, Info edg, 1597, 988, 512, 77, 19, 42, 13, 0, 53, 0, 4, 10, 23, 2515, 19315, 19474, 23, 1, -5, 398, 16, 21, 71, 0, 26, -1
INE669C01036, Tech mahindra, 740, 31713, 3894, 19, 16, 40, 36, 0, 33, 2, 1, 4, 36, 541, 71904, 72552, 7, 2, 20, 424, 35, 22, 14, 0, 30, 2
INE671A01010, Honeywell auto, 22370, 2805, 286, 69, 14, 324, 11, 0, 1565, 0, 3, 13, 8, 14773, 18933, 19775, 14, 2, 17, 3527, 10, 24, 43, 0, 24, -7
INE671H01015, Sobha, 430, 2706, 222, 18, 20, 23, 31, 1, 3, 2, -184, 1, 21, -68860, 6293, 4081, 1, 2, 7, 396, 8, 0, 12, 19, 18, 10
INE672A01018, Tata inv, 773, 281, 215, 20, 90, 39, 46, 0, 0, 3, 3, 2, 47, 1700, 4259, 4261, 304, 5, 9, 642, 8, 7, 17, 0, 29, 9
INE686F01025, United breweries, 1315, 5811, 454, 77, 17, 17, 13, 0, 18, 0, 4, 12, 12, 1172, 35072, 34781, 12, 2, 14, 206, 8, 18, 47, 23, 24, -6
INE690A01010, Ttk prestige, 6829, 1808, 159, 50, 13, 137, 14, 0, 148, 0, 12, 8, 19, 26914, 7790, 7888, 14, 2, 18, 1667, 6, 4, 33, 0, 26, 0
INE710A01016, Vst, 3386, 981, 203, 26, 33, 132, 66, 0, 0, 2, 3, 8, 71, 6156, 5190, 5228, 8, 1, 35, 1111, 7, 9, 17, 0, 27, 1
INE716A01013, Whirlpool, 1611, 5019, 382, 54, 12, 30, 14, 0, 104, 0, 2, 10, 10, 1149, 19457, 20439, 12, 2, 23, 323, 12, 22, 33, 0, 24, -7
INE721A01013, Shriram trans, 1177, 13048, 1692, 17, 64, 75, 16, 5, 1, 1, 10, 2, 14, 11717, 86393, 26712, 1, 5, 12, 986, 13, 2, 10, 0, 16, 7
INE725G01011, Icra, 3679, 318, 104, 35, 37, 105, 30, 0, 1328, 1, 3, 5, 31, 4369, 3412, 3643, 22, 3, 16, 1274, 4, 13, 21, 0, 31, -1
INE726G01019, Icici pru, 363, 38269, 1496, 35, 4, 10, 59, 0, 0, 2, 26, 7, 65, 4332, 51871, 52075, 9, 1, 28, 108, 14, 1, 31, 0, 23, 2
INE733E01010, Ntpc, 170, 86277, 10313, 14, 26, 13, 41, 1, 4, 3, -7, 1, 36, -1388, 257799, 140173, 1, 1, 11, 189, 5, -2, 15, 0, 21, 15
INE736A01011, Cdsl, 259, 196, 100, 27, 60, 10, 35, 0, 0, 1, 2, 4, 34, 269, 2665, 2706, 22, 1, 17, 113, 13, 15, 19, 0, 27, -2
INE739E01017, Cera sanitary, 2566, 1228, 101, 33, 14, 78, 16, 0, 33, 0, 2, 5, 15, 2620, 3338, 3337, 8, 2, 20, 919, 19, 16, 21, 0, 26, -3
INE742F01042, Adani ports, 376, 10989, 3620, 21, 59, 17, 11, 1, 5, 1, 1, 4, 9, 305, 97115, 77878, 3, 6, 23, 203, 26, 19, 15, 38, 19, 1
INE752E01010, Power grid, 194, 30698, 8427, 12, 87, 16, 33, 2, 2, 3, 1, 2, 29, 233, 230431, 101388, 1, 1, 15, 198, 19, 13, 12, 0, 19, 16
INE752H01013, Care ratings, 1279, 333, 162, 23, 63, 55, 100, 0, 0, 4, 3, 6, 76, 2291, 3738, 3767, 40, 1, 30, 507, 10, 9, 16, 0, 27, 4
INE752P01024, Future retail, 570, 18313, 26, 45, 1, 1, 0, 0, 1, 0, 0, 9, 0, 0, 29729, 28626, 6, 2, 15, 27, 66, 0, 152, 44, 14, 0
INE761H01022, Page industries, 33936, 2670, 386, 98, 22, 346, 42, 0, 37, 0, 4, 39, 41, 21513, 37840, 37838, 43, 2, 47, 2606, 24, 25, 64, 0, 31, -7
INE765G01017, Icici lombard, 897, 8808, 937, 43, 15, 21, 21, 0, 0, 0, 2, 8, 23, 611, 40600, 40706, 1, 0, 18, 222, 11, 23, 30, 0, 16, -7
INE774D01024, Mahindra mahindra financial, 426, 7481, 1114, 24, 64, 18, 28, 4, 2, 1, 38, 3, 31, 10967, 65307, 26301, 1, 6, 10, 251, 13, 1, 14, 0, 20, 4
INE775A01035, Motherson sumi, 291, 58002, 2531, 24, 9, 12, 30, 1, 10, 1, 1, 6, 24, 147, 68772, 61180, 3, 1, 24, 116, 17, 31, 17, 3, 21, -1
INE782A01015, Johnson controls, 1746, 2117, 89, 53, 8, 33, 4, 0, 95, 0, 1, 8, 5, 611, 4725, 4748, 6, 1, 19, 399, 19, 46, 34, 0, 19, -4
INE785M01013, Pc jeweller, 82, 9794, 574, 6, 10, 15, 3, 0, 3, 1, 0, 1, 7, 92, 2853, 3228, 2, 2, 17, 184, 19, 14, 3, 0, 13, 18
INE787D01026, Balkrishna, 1159, 4815, 816, 27, 26, 42, 21, 0, 112, 1, 2, 5, 15, 1276, 23220, 22409, 10, 2, 19, 461, 7, 15, 19, 0, 29, -2
INE791I01019, Brigade enterpr, 197, 2041, 166, 16, 29, 12, 20, 1, 2, 1, 1, 1, 19, 166, 5923, 2680, 1, 2, 8, 218, 18, 19, 12, 0, 18, 10
INE795G01014, Hdfc standard, 437, 32622, 1173, 75, 3, 6, 25, 0, 0, 0, 0, 17, 24, 0, 86819, 87927, 12, 1, 27, 58, 0, 0, 73, 0, 23, 0
INE797F01012, Jubilant food, 1345, 3157, 257, 69, 16, 19, 16, 0, 0, 0, 8, 16, 17, 2457, 17623, 17751, 22, 0, 16, 193, 16, 9, 45, 10, 21, -1
INE811K01011, Prestige estates, 218, 5080, 436, 22, 22, 12, 12, 2, 2, 1, 4, 2, 11, 798, 14854, 8177, 1, 1, 9, 184, 23, 5, 13, 0, 15, 6
INE836F01026, Dish tv, 67, 5551, -42, 0, 30, 0, 0, 0, 1, 0, 0, 2, 0, 0, 14854, 12263, 2, 0, 103, 0, 16, 0, 31, 76, 5, 10
INE848E01016, Nhpc, 25, 6736, 2634, 10, 53, 3, 52, 1, 5, 6, -1, 1, 67, -53, 42470, 25341, 2, 1, 6, 40, 6, -7, 10, 0, 20, 19
INE849A01020, Trent, 359, 2163, 117, 102, 10, 4, 33, 0, 7, 0, 4, 7, 33, 247, 12305, 11943, 12, 2, 7, 63, 18, 23, 60, 0, 27, -7
INE850D01014, Godrej agrovet, 576, 5326, 256, 45, 9, 13, 38, 0, 10, 1, 2, 7, 29, 526, 11444, 11066, 5, 1, 21, 153, 13, 18, 27, 0, 27, -4
INE854D01024, United spirits, 572, 8400, 580, 72, 11, 8, 0, 1, 5, 0, 11, 16, 0, 1351, 44673, 41542, 6, 2, 15, 80, 0, 7, 40, 3, 19, 0
INE860A01027, Hcl technologies, 1087, 52298, 8943, 17, 23, 64, 19, 0, 161, 1, 1, 4, 32, 1060, 147878, 151339, 11, 2, 25, 635, 15, 16, 13, 0, 30, 3
INE868B01028, Ncc, 88, 10113, 174, 28, 9, 3, 36, 1, 2, 1, 1, 1, 36, 44, 7202, 5259, 2, 2, 3, 67, 4, 30, 9, 32, 14, 2
INE871C01038, Avanti feeds, 413, 3435, 408, 14, 17, 30, 12, 0, 227, 1, 0, 5, 16, 93, 5623, 5630, 13, 2, 48, 235, 40, 72, 9, 0, 27, 1
INE883A01011, Mrf, 69143, 15111, 1246, 24, 17, 2940, 2, 0, 9, 0, 2, 3, 2, 80459, 30881, 29317, 4, 1, 23, 39230, 5, 14, 15, 0, 21, 1
INE885A01032, Amara raja batt, 825, 6340, 485, 29, 14, 28, 15, 0, 143, 1, 3, 5, 15, 1314, 14036, 14083, 10, 2, 20, 338, 15, 10, 19, 0, 25, 0
INE913H01037, Endurance tech, 1461, 6801, 419, 47, 14, 30, 14, 0, 27, 0, 2, 9, 10, 1170, 20859, 20548, 8, 2, 21, 331, 11, 19, 32, 0, 24, -6
INE916U01025, Sheela foam, 1738, 2048, 138, 61, 11, 28, 0, 0, 24, 0, 2, 13, 0, 795, 8369, 8480, 16, 2, 30, 287, 12, 35, 40, 0, 21, -8
INE917I01010, Bajaj auto, 2868, 27142, 4424, 19, 19, 153, 41, 0, 4548, 2, 3, 4, 40, 7081, 82317, 82989, 13, 1, 26, 1597, 5, 6, 13, 0, 29, 5
INE918I01018, Bajaj finserv, 6413, 33068, 3778, 27, 36, 237, 1, 3, 2, 0, 2, 5, 1, 8739, 163984, 102053, 1, 1, 15, 2720, 31, 12, 14, 0, 10, -1
INE931S01010, Adani transmissi, 182, 3958, 1228, 16, 73, 11, 0, 2, 3, 0, 0, 5, 0, 0, 29730, 19967, 2, 2, 23, 100, 0, 0, 12, 37, 10, 3
INE935A01035, Glenmark pharma, 673, 8906, 703, 27, 16, 25, 7, 1, 4, 0, 5, 4, 6, 2006, 22408, 19003, 3, 3, 24, 328, 13, 5, 17, 0, 19, 0
INE951I01027, V guard, 199, 2383, 144, 59, 8, 3, 22, 0, 132, 0, 4, 11, 21, 195, 8464, 8466, 15, 2, 23, 37, 11, 16, 44, 0, 28, -5
INE974X01010, Tube investments, 296, 5274, 180, 31, 8, 10, 22, 1, 5, 1, 0, 4, 10, 0, 6301, 5548, 4, 1, 0, 124, 0, 0, 20, 0, 22, 1
INE998I01010, Mahindra holiday, 245, 1035, 116, 28, 19, 9, 40, 0, 3585, 2, 6, 4, 37, 837, 3244, 3269, 4, 2, 19, 107, 9, 5, 18, 0, 30, 2
