comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_cmp, sc_myavgiv, upside, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
Amara raja batteries,INE885A01032,3,2,1,33,03-Jul-2018,304,Buy,Mid Cap,674,760,12 %,15,0,20,29,15,10,2,0,no comments
Balkrishna industries,INE787D01026,3,3,0,0,05-Dec-2018,149,Buy,Mid Cap,952,626,-34 %,15,0,19,19,7,15,2,0,no comments
Exide industries,INE302A01020,3,2,1,33,05-Dec-2018,149,Buy,Mid Cap,218,245,12 %,31,0,14,20,9,6,4,0,no comments
Tata consultancy services,INE467B01029,15,19,-4,-27,09-Nov-2018,175,Buy,Large Cap,2183,1932,-11 %,36,0,33,44,12,11,2,3,no comments
Zee entertainment enterprises,INE256A01028,3,8,-5,-167,28-Jan-2019,95,Buy,Large Cap,418,542,29 %,19,0,20,25,13,15,2,66,no comments
Nbcc,INE095N01031,3,3,0,0,02-Jan-2019,121,Buy,Mid Cap,60,67,11 %,38,0,20,29,13,10,3,0,no comments
Crisil,INE007A01025,3,4,-1,-33,04-Apr-2018,394,Buy,Mid Cap,1461,2567,75 %,64,0,31,44,10,7,4,0,no comments
Skf,INE640A01023,3,4,-1,-33,03-Jul-2018,304,Buy,Small Cap,1999,1840,-7 %,24,0,16,23,4,10,3,0,no comments
Bosch,INE323A01026,3,23,-20,-667,12-Mar-2019,52,Buy,Large Cap,18006,23982,33 %,23,0,17,24,6,9,3,0,no comments
Prestige estates projects,INE811K01011,3,2,1,33,03-Jul-2018,304,Buy,Mid Cap,263,243,-7 %,12,2,9,10,23,5,6,0,no comments
Vrl logistics,INE366I01010,3,2,1,33,01-Feb-2018,456,Buy,Small Cap,274,349,27 %,32,0,18,21,8,15,2,0,no comments
Tata global beverages,INE192A01025,3,3,0,0,09-Nov-2018,175,Buy,Mid Cap,209,181,-13 %,-834,0,5,8,-2,5,7,4,no comments
Itc,INE154A01025,15,7,8,53,09-Nov-2018,175,Buy,Large Cap,306,317,3 %,62,0,24,36,6,9,4,0,no comments
Container corporation,INE111A01025,3,4,-1,-33,18-Feb-2019,74,Buy,Large Cap,504,383,-24 %,35,0,11,15,7,2,12,0,no comments
Pfizer,INE182A01018,3,3,0,0,19-Sep-2017,591,Buy,Mid Cap,3149,5588,77 %,25,0,13,20,13,12,3,0,no comments
Glaxosmithkline consumer healthcare,INE264A01014,3,5,-2,-67,19-Sep-2017,591,Buy,Mid Cap,7271,8304,14 %,44,0,23,36,6,10,3,0,no comments
Sanofi,INE058A01010,3,4,-1,-33,19-Sep-2017,591,Buy,Mid Cap,5669,5416,-4 %,49,0,17,27,9,13,3,0,no comments
Housing development finance corporation,INE001A01036,15,13,2,13,04-Dec-2018,150,Buy,Large Cap,1980,1656,-16 %,35,5,20,11,11,14,3,0,no comments
-,INE999A01015,3,2,1,33,04-Apr-2018,394,Buy,Micro Cap,688,637,-7 %,29,0,12,18,6,3,10,0,no comments
Cera sanitaryware,INE739E01017,3,3,0,0,14-Jun-2017,688,Buy,Small Cap,2859,2692,-5 %,15,0,20,29,19,16,2,0,no comments
Endurance technologies,INE913H01037,3,1,2,67,07-Sep-2018,238,Buy,Mid Cap,1164,1287,10 %,10,0,21,22,11,19,2,0,no comments
Mahindra holidays resorts,INE998I01010,3,3,0,0,02-Jan-2019,121,Buy,Small Cap,240,182,-24 %,37,0,19,30,9,5,8,0,no comments
