+---------------+---------------+-------------+---------------+----------------+
| security_name | corpact_score | bonus_score | buyback_score | dividend_score |
|   LICHSGFIN   |       5       |      0      |       0       |       5        |
|    LINCOPH    |       5       |      0      |       0       |       5        |
|     LKPFIN    |       5       |      0      |       0       |       5        |
|    LOYALTEX   |       5       |      0      |       0       |       5        |
|    LUMAXIND   |       5       |      0      |       0       |       5        |
|   LUMAXTECH   |       5       |      0      |       0       |       5        |
|     M&MFIN    |       5       |      0      |       0       |       5        |
|     MADHAV    |       5       |      0      |       0       |       5        |
|     MAGMA     |       5       |      0      |       0       |       5        |
|    MAHLIFE    |       5       |      0      |       0       |       5        |
|   MAHSCOOTER  |       5       |      0      |       0       |       5        |
|   MAHSEAMLES  |       5       |      0      |       0       |       5        |
|    MAKERSL    |       5       |      0      |       0       |       5        |
|   MANAPPURAM  |       5       |      0      |       0       |       5        |
|   MANCREDIT   |       5       |      1      |       0       |       4        |
|   MANGLMCEM   |       5       |      0      |       0       |       5        |
|    MANINDS    |       5       |      0      |       0       |       5        |
|   MANPASAND   |       5       |      1      |       0       |       4        |
|    MARKSANS   |       5       |      0      |       0       |       5        |
|     MARUTI    |       5       |      0      |       0       |       5        |
|     MASTEK    |       5       |      0      |       0       |       5        |
|    MAZDALTD   |       5       |      0      |       0       |       5        |
|   MCCHRLS-B   |       5       |      0      |       0       |       5        |
|      MCX      |       5       |      0      |       0       |       5        |
|    MENNPIS    |       5       |      0      |       0       |       5        |
|      MEP      |       5       |      0      |       0       |       5        |
|    METALCO    |       5       |      0      |       0       |       5        |
|     MHRIL     |       5       |      1      |       0       |       4        |
|   MINDACORP   |       5       |      0      |       0       |       5        |
|    MINDTECK   |       5       |      0      |       0       |       5        |
|    MIRZAINT   |       5       |      0      |       0       |       5        |
|     MODERN    |       5       |      0      |       0       |       5        |
|    MODISNME   |       5       |      0      |       0       |       5        |
|    MOLDTEK    |       5       |      0      |       0       |       5        |
|   MOLDTKPAC   |       5       |      0      |       0       |       5        |
|    MONSANTO   |       5       |      0      |       0       |       5        |
|   MONTECARLO  |       5       |      0      |       1       |       4        |
|   MOTILALOFS  |       5       |      0      |       0       |       5        |
|      MRF      |       5       |      0      |       0       |       5        |
|    MULTIIN    |       5       |      0      |       0       |       5        |
|   MUNJALSHOW  |       5       |      0      |       0       |       5        |
|   MUTHOOTFIN  |       5       |      0      |       0       |       5        |
|   MYSORPETRO  |       5       |      0      |       0       |       5        |
|    NAHARCAP   |       5       |      0      |       0       |       5        |
|   NAHARSPING  |       5       |      0      |       0       |       5        |
|    NATPEROX   |       5       |      0      |       0       |       5        |
|    NATPLAS    |       5       |      0      |       0       |       5        |
|     NAUKRI    |       5       |      0      |       0       |       5        |
|    NAVBLDR    |       5       |      0      |       0       |       5        |
|   NAVINFLUOR  |       5       |      0      |       0       |       5        |
|     NEAGI     |       5       |      0      |       0       |       5        |
|    NECLIFE    |       5       |      0      |       0       |       5        |
|    NELCAST    |       5       |      0      |       0       |       5        |
|     NESCO     |       5       |      0      |       0       |       5        |
|   NESTLEIND   |       5       |      0      |       0       |       5        |
|     NGIND     |       5       |      0      |       0       |       5        |
|    NICCOPAR   |       5       |      0      |       0       |       5        |
|      NILE     |       5       |      0      |       0       |       5        |
|    NILKAMAL   |       5       |      0      |       0       |       5        |
|   NIPPOBATRY  |       5       |      0      |       0       |       5        |
|     NIRLON    |       5       |      0      |       0       |       5        |
|   NITINSPIN   |       5       |      0      |       0       |       5        |
|   NITTAGELA   |       5       |      0      |       0       |       5        |
|     NOCIL     |       5       |      0      |       0       |       5        |
|   NRBBEARING  |       5       |      0      |       0       |       5        |
|     OMAXE     |       5       |      0      |       0       |       5        |
|    OMMETALS   |       5       |      0      |       0       |       5        |
|    ONMOBILE   |       5       |      0      |       0       |       5        |
|    ORBTEXP    |       5       |      1      |       1       |       3        |
|    ORIBEVER   |       5       |      0      |       0       |       5        |
|     ORICON    |       5       |      0      |       0       |       5        |
|   ORIENTABRA  |       5       |      0      |       0       |       5        |
|   ORIENTBELL  |       5       |      0      |       0       |       5        |
|   ORIENTCEM   |       5       |      0      |       0       |       5        |
|   ORIENTLTD   |       5       |      0      |       0       |       5        |
|   ORIENTPPR   |       5       |      0      |       0       |       5        |
|   ORIENTREF   |       5       |      0      |       0       |       5        |
|    PAGEIND    |       5       |      0      |       0       |       5        |
|    PAISALO    |       5       |      0      |       0       |       5        |
|   PANAENERG   |       5       |      0      |       0       |       5        |
|   PANCARBON   |       5       |      0      |       0       |       5        |
|   PAPERPROD   |       5       |      0      |       0       |       5        |
|    PATELSAI   |       5       |      0      |       0       |       5        |
|   PCJEWELLER  |       5       |      1      |       0       |       4        |
|      PEL      |       5       |      0      |       0       |       5        |
|   PERSISTENT  |       5       |      0      |       0       |       5        |
|      PFC      |       5       |      1      |       0       |       4        |
|     PFIZER    |       5       |      0      |       0       |       5        |
|      PFS      |       5       |      0      |       0       |       5        |
|      PGHH     |       5       |      0      |       0       |       5        |
|   PHILIPCARB  |       5       |      0      |       0       |       5        |
|   PHOENIXLTD  |       5       |      0      |       0       |       5        |
|     PIIND     |       5       |      0      |       0       |       5        |
|    PIXTRANS   |       5       |      0      |       0       |       5        |
|    PNBGILTS   |       5       |      0      |       0       |       5        |
|    PNCINFRA   |       5       |      0      |       0       |       5        |
|     PODDAR    |       5       |      0      |       0       |       5        |
|    POKARNA    |       5       |      0      |       0       |       5        |
|    POLYPLEX   |       5       |      0      |       0       |       5        |
|   PONDYOXIDE  |       5       |      0      |       0       |       5        |
|   POWERGRID   |       5       |      0      |       0       |       5        |
|      PPAP     |       5       |      0      |       0       |       5        |
|    PRAJIND    |       5       |      0      |       0       |       5        |
|    PRECWIRE   |       5       |      0      |       0       |       5        |
|     PREMCO    |       5       |      0      |       0       |       5        |
|    PRESTIGE   |       5       |      0      |       0       |       5        |
|    PRIMAPLA   |       5       |      0      |       0       |       5        |
|      PTC      |       5       |      0      |       0       |       5        |
|      PTL      |       5       |      0      |       0       |       5        |
|     PURVA     |       5       |      0      |       0       |       5        |
|      PVR      |       5       |      0      |       0       |       5        |
|   QUICKHEAL   |       5       |      0      |       1       |       4        |
|     RADICO    |       5       |      0      |       0       |       5        |
|   RAJESHEXPO  |       5       |      0      |       0       |       5        |
|    RAJOOENG   |       5       |      0      |       0       |       5        |
|   RAJPALAYAM  |       5       |      0      |       0       |       5        |
|     RALLIS    |       5       |      0      |       0       |       5        |
|    RAMCOCEM   |       5       |      0      |       0       |       5        |
|    RAMCOIND   |       5       |      0      |       0       |       5        |
|     RAMRAT    |       5       |      0      |       0       |       5        |
|   RANEHOLDIN  |       5       |      0      |       0       |       5        |
|    RAPICUT    |       5       |      0      |       0       |       5        |
|   RATNAMANI   |       5       |      0      |       0       |       5        |
|    RAYMOND    |       5       |      0      |       0       |       5        |
|      RBL      |       5       |      0      |       0       |       5        |
|      RCF      |       5       |      0      |       0       |       5        |
|   REPCOHOME   |       5       |      0      |       0       |       5        |
|   RESPONIND   |       5       |      0      |       0       |       5        |
|    RICOAUTO   |       5       |      0      |       0       |       5        |
|    RISHDIGA   |       5       |      0      |       0       |       5        |
|   RISHIROOP   |       5       |      0      |       0       |       5        |
|     RJSHAH    |       5       |      0      |       0       |       5        |
|    RKFORGE    |       5       |      0      |       0       |       5        |
|      RML      |       5       |      0      |       0       |       5        |
|     RODIUM    |       5       |      0      |       0       |       5        |
|      ROTO     |       5       |      0      |       0       |       5        |
|    RPGLIFE    |       5       |      0      |       0       |       5        |
|    RUBFILA    |       5       |      0      |       0       |       5        |
|    RUCHIRA    |       5       |      0      |       0       |       5        |
|      RUPA     |       5       |      0      |       0       |       5        |
|    SADBHAV    |       5       |      0      |       0       |       5        |
|    SAFARIND   |       5       |      0      |       0       |       5        |
|     SAGCEM    |       5       |      0      |       0       |       5        |
|    SAKSOFT    |       5       |      0      |       0       |       5        |
|   SAKTHIFIN   |       5       |      0      |       0       |       5        |
|     SAKUMA    |       5       |      0      |       0       |       5        |
|     SALZER    |       5       |      0      |       0       |       5        |
|   SAMBANDAM   |       5       |      0      |       0       |       5        |
|     SAMKRG    |       5       |      0      |       0       |       5        |
|    SANCTRN    |       5       |      0      |       0       |       5        |
|    SANDESH    |       5       |      0      |       0       |       5        |
|    SANDUMA    |       5       |      0      |       0       |       5        |
|   SANGAMIND   |       5       |      0      |       0       |       5        |
|     SANOFI    |       5       |      0      |       0       |       5        |
|     SAPPL     |       5       |      0      |       0       |       5        |
|    SARDAEN    |       5       |      0      |       0       |       5        |
|    SAREGAMA   |       5       |      0      |       0       |       5        |
|   SARLAPOLY   |       5       |      0      |       0       |       5        |
|     SAVERA    |       5       |      0      |       0       |       5        |
|      SDBL     |       5       |      0      |       0       |       5        |
|   SESHAPAPER  |       5       |      0      |       0       |       5        |
|     SETCO     |       5       |      0      |       0       |       5        |
|   SHAKTIPUMP  |       5       |      0      |       0       |       5        |
|   SHANTIGEAR  |       5       |      0      |       1       |       4        |
|   SHARDACROP  |       5       |      0      |       0       |       5        |
|    SHARDUL    |       5       |      0      |       0       |       5        |
|   SHAWGELTIN  |       5       |      0      |       0       |       5        |
|    SHEMAROO   |       5       |      0      |       0       |       5        |
|   SHILCTECH   |       5       |      0      |       0       |       5        |
|   SHILPAMED   |       5       |      0      |       0       |       5        |
|    SHIVTEX    |       5       |      0      |       0       |       5        |
|   SHOPERSTOP  |       5       |      0      |       0       |       5        |
|    SHREECEM   |       5       |      0      |       0       |       5        |
|   SHREYANIND  |       5       |      0      |       0       |       5        |
|    SHREYAS    |       5       |      0      |       0       |       5        |
|    SHRIDINE   |       5       |      0      |       0       |       5        |
|   SHRIRAMCIT  |       5       |      0      |       0       |       5        |
|    SHRISTI    |       5       |      0      |       0       |       5        |
|    SHRJAGP    |       5       |      0      |       0       |       5        |
|    SICAGEN    |       5       |      0      |       0       |       5        |
|     SILINV    |       5       |      0      |       0       |       5        |
|    SIMMOND    |       5       |      0      |       0       |       5        |
|   SIMPLEXINF  |       5       |      0      |       0       |       5        |
|    SINCLAIR   |       5       |      0      |       0       |       5        |
|     SINGER    |       5       |      0      |       0       |       5        |
|     SIYSIL    |       5       |      0      |       0       |       5        |
|    SKIPPER    |       5       |      0      |       0       |       5        |
|   SMSPHARMA   |       5       |      0      |       0       |       5        |
|   SOLARINDS   |       5       |      0      |       0       |       5        |
|   SOMANYCERA  |       5       |      0      |       0       |       5        |
|   SONATSOFTW  |       5       |      0      |       0       |       5        |
|   SOUTHBANK   |       5       |      0      |       0       |       5        |
|    SREINFRA   |       5       |      0      |       0       |       5        |
|      SRF      |       5       |      0      |       0       |       5        |
|   SRHHYPOLTD  |       5       |      0      |       0       |       5        |
|    SRIPIPES   |       5       |      0      |       0       |       5        |
|   SRTRANSFIN  |       5       |      0      |       0       |       5        |
|      SSWL     |       5       |      0      |       0       |       5        |
|    STANROS    |       5       |      0      |       0       |       5        |
|      STAR     |       5       |      0      |       0       |       5        |
|   STERTOOLS   |       5       |      0      |       0       |       5        |
|    STRTECH    |       5       |      0      |       0       |       5        |
|     SUBROS    |       5       |      0      |       0       |       5        |
|   SUDARSCHEM  |       5       |      0      |       0       |       5        |
|    SUMEDHA    |       5       |      0      |       0       |       5        |
|   SUNCLAYLTD  |       5       |      0      |       0       |       5        |
|   SUNDARMFIN  |       5       |      0      |       0       |       5        |
|   SUNDRMFAST  |       5       |      0      |       0       |       5        |
|    SUNTECK    |       5       |      0      |       0       |       5        |
|     SUNTV     |       5       |      0      |       0       |       5        |
|     SUPER     |       5       |      0      |       0       |       5        |
|   SUPERHOUSE  |       5       |      0      |       0       |       5        |
|    SUPPETRO   |       5       |      0      |       0       |       5        |
|    SUPRAJIT   |       5       |      0      |       0       |       5        |
|   SUPREMEIND  |       5       |      0      |       0       |       5        |
|    SURYALA    |       5       |      0      |       0       |       5        |
|   SURYAROSNI  |       5       |      0      |       0       |       5        |
|   SUTLEJTEX   |       5       |      0      |       0       |       5        |
|     SUVEN     |       5       |      0      |       0       |       5        |
|   SVARTCORP   |       5       |      0      |       0       |       5        |
|   SWANENERGY  |       5       |      0      |       0       |       5        |
|    SWASTIKA   |       5       |      0      |       0       |       5        |
|    SWASTIVI   |       5       |      0      |       0       |       5        |
|    SYNGENE    |       5       |      1      |       0       |       4        |
|      TAKE     |       5       |      0      |       0       |       5        |
|   TALBROAUTO  |       5       |      0      |       0       |       5        |
|   TALBROSENG  |       5       |      1      |       0       |       4        |
|    TAMBOLI    |       5       |      0      |       0       |       5        |
|    TASTYBIT   |       5       |      0      |       0       |       5        |
|    TATACHEM   |       5       |      0      |       0       |       5        |
|   TATACOFFEE  |       5       |      0      |       0       |       5        |
|    TATACOMM   |       5       |      0      |       0       |       5        |
|   TATAPOWER   |       5       |      0      |       0       |       5        |
|   TATASTEEL   |       5       |      0      |       0       |       5        |
|      TCI      |       5       |      0      |       0       |       5        |
|    TCPLPACK   |       5       |      0      |       0       |       5        |
|   TDPOWERSYS  |       5       |      0      |       0       |       5        |
|    TEXRAIL    |       5       |      0      |       0       |       5        |
|    TFCILTD    |       5       |      0      |       0       |       5        |
|   THANGAMAYL  |       5       |      0      |       0       |       5        |
|    THERMAX    |       5       |      0      |       0       |       5        |
|   THOMASCOOK  |       5       |      0      |       0       |       5        |
|   TIMETECHNO  |       5       |      0      |       0       |       5        |
|    TINPLATE   |       5       |      0      |       0       |       5        |
|   TIPSINDLTD  |       5       |      0      |       0       |       5        |
|   TIRUMALCHM  |       5       |      0      |       0       |       5        |
|     TITAN     |       5       |      0      |       0       |       5        |
|      TNPL     |       5       |      0      |       0       |       5        |
|   TORNTPHARM  |       5       |      0      |       0       |       5        |
|   TORNTPOWER  |       5       |      0      |       0       |       5        |
|    TPLPLAST   |       5       |      0      |       0       |       5        |
|    TRANSCOR   |       5       |      1      |       0       |       4        |
|    TRANSPEK   |       5       |      0      |       0       |       5        |
|     TRENT     |       5       |      0      |       0       |       5        |
|    TRIDENT    |       5       |      0      |       0       |       5        |
|    TRITONV    |       5       |      0      |       0       |       5        |
|   TRITURBINE  |       5       |      0      |       1       |       4        |
|   TTKHEALTH   |       5       |      0      |       0       |       5        |
|    TVSMOTOR   |       5       |      0      |       0       |       5        |
|   TVSSRICHAK  |       5       |      0      |       0       |       5        |
|    TVTODAY    |       5       |      0      |       0       |       5        |
|      TWL      |       5       |      0      |       0       |       5        |
|     TYCHE     |       5       |      0      |       0       |       5        |
|      UBL      |       5       |      0      |       0       |       5        |
|    UCALFUEL   |       5       |      0      |       0       |       5        |
|     UFLEX     |       5       |      0      |       0       |       5        |
|   ULTRACEMCO  |       5       |      0      |       0       |       5        |
|    ULTRAMAR   |       5       |      0      |       0       |       5        |
|   VADILALIND  |       5       |      0      |       0       |       5        |
|    VADILENT   |       5       |      0      |       0       |       5        |
|      VAMA     |       5       |      0      |       0       |       5        |
|      VEDL     |       5       |      0      |       0       |       5        |
|    VERITAS    |       5       |      0      |       0       |       5        |
|    VESUVIUS   |       5       |      0      |       0       |       5        |
|      VFL      |       5       |      1      |       0       |       4        |
|      VHL      |       5       |      0      |       0       |       5        |
|    VICTMILL   |       5       |      0      |       0       |       5        |
|    VIDHIING   |       5       |      0      |       0       |       5        |
|    VIKASECO   |       5       |      0      |       0       |       5        |
|   VINDHYATEL  |       5       |      0      |       0       |       5        |
|   VINYLINDIA  |       5       |      0      |       0       |       5        |
|     VIPIND    |       5       |      0      |       0       |       5        |
|    VIPULORG   |       5       |      0      |       0       |       5        |
|   VISAKAIND   |       5       |      0      |       0       |       5        |
|     VMART     |       5       |      0      |       0       |       5        |
|    VOLTAMP    |       5       |      0      |       0       |       5        |
|     VOLTAS    |       5       |      0      |       0       |       5        |
|     VSTIND    |       5       |      0      |       0       |       5        |
|   VSTTILLERS  |       5       |      0      |       0       |       5        |
|     VTMLTD    |       5       |      0      |       0       |       5        |
|   WABCOINDIA  |       5       |      0      |       0       |       5        |
|   WEIZFOREX   |       5       |      0      |       1       |       4        |
|   WEIZMANIND  |       5       |      0      |       0       |       5        |
|   WELSPUNIND  |       5       |      0      |       0       |       5        |
|     WENDT     |       5       |      0      |       0       |       5        |
|    WIREFABR   |       5       |      0      |       0       |       5        |
|    WONDERLA   |       5       |      0      |       0       |       5        |
|      WPIL     |       5       |      0      |       0       |       5        |
|    YESBANK    |       5       |      0      |       0       |       5        |
|      ZEEL     |       5       |      0      |       0       |       5        |
|   ZENSARTECH  |       5       |      0      |       0       |       5        |
|     ZENTEC    |       5       |      0      |       0       |       5        |
|   ZODIACLOTH  |       5       |      0      |       0       |       5        |
|    ZSOUTGAS   |       5       |      0      |       0       |       5        |
|    ZSWASTSA   |       5       |      0      |       0       |       5        |
|   ZUARIGLOB   |       5       |      0      |       0       |       5        |
|   ZYDUSWELL   |       5       |      0      |       0       |       5        |
|    63MOONS    |       4       |      0      |       0       |       4        |
|     ACKNIT    |       4       |      0      |       0       |       4        |
|    AHMDSTE    |       4       |      0      |       0       |       4        |
|     AINFRA    |       4       |      1      |       0       |       3        |
|     ALKALI    |       4       |      0      |       0       |       4        |
|     ALKEM     |       4       |      0      |       0       |       4        |
|   AMARJOTHI   |       4       |      0      |       0       |       4        |
|      APCL     |       4       |      0      |       0       |       4        |
|    AREXMIS    |       4       |      0      |       0       |       4        |
|    ARMANFIN   |       4       |      0      |       0       |       4        |
|   AROGRANITE  |       4       |      0      |       0       |       4        |
|   ASAHIINDIA  |       4       |      0      |       0       |       4        |
|     ASHCAP    |       4       |      0      |       0       |       4        |
|    ASHOKALC   |       4       |      0      |       0       |       4        |
|   ASIANTILES  |       4       |      0      |       0       |       4        |
|     ASTEC     |       4       |      0      |       0       |       4        |
|    ATISHAY    |       4       |      1      |       0       |       3        |
|    AXISBANK   |       4       |      0      |       0       |       4        |
|     BALFC     |       4       |      0      |       0       |       4        |
|    BASANTGL   |       4       |      0      |       0       |       4        |
|    BGWTATO    |       4       |      0      |       0       |       4        |
|    BHANDHOS   |       4       |      0      |       0       |       4        |
|   BHARTIARTL  |       4       |      0      |       0       |       4        |
|   BIRLACABLE  |       4       |      0      |       0       |       4        |
|      BLS      |       4       |      0      |       0       |       4        |
|      BSL      |       4       |      0      |       0       |       4        |
|    CHAMANSE   |       4       |      1      |       0       |       3        |
|    CHOLAINV   |       4       |      0      |       0       |       4        |
|    CITADEL    |       4       |      1      |       0       |       3        |
|      CMI      |       4       |      0      |       0       |       4        |
|   COMFINCAP   |       4       |      0      |       0       |       4        |
|    COMFINTE   |       4       |      0      |       0       |       4        |
|   COX&KINGS   |       4       |      0      |       0       |       4        |
|    CREATIVE   |       4       |      0      |       0       |       4        |
|     DAICHI    |       4       |      0      |       0       |       4        |
|     DAMOTH    |       4       |      1      |       0       |       3        |
|     DENORA    |       4       |      0      |       0       |       4        |
|    DIANATEA   |       4       |      0      |       0       |       4        |
|    DISHMAN    |       4       |      1      |       0       |       3        |
|   DREDGECORP  |       4       |      0      |       0       |       4        |
|     DYNPRO    |       4       |      0      |       0       |       4        |
|   EICHERMOT   |       4       |      0      |       0       |       4        |
|    EIDPARRY   |       4       |      0      |       0       |       4        |
|   ELECTCAST   |       4       |      0      |       0       |       4        |
|     EMKAY     |       4       |      0      |       0       |       4        |
|   ESABINDIA   |       4       |      0      |       0       |       4        |
|   EXCELCROP   |       4       |      0      |       0       |       4        |
|    FAIRDSY    |       4       |      1      |       0       |       3        |
|     FILTRA    |       4       |      2      |       0       |       2        |
|     FLEXFO    |       4       |      0      |       0       |       4        |
|     FREDUN    |       4       |      0      |       0       |       4        |
|   GALLISPAT   |       4       |      0      |       0       |       4        |
|     GEECEE    |       4       |      0      |       1       |       3        |
|     GEPIL     |       4       |      0      |       0       |       4        |
|    GLOSTER    |       4       |      1      |       0       |       3        |
|      GNFC     |       4       |      0      |       0       |       4        |
|   GOLKUNDIA   |       4       |      0      |       0       |       4        |
|   GOODRICKE   |       4       |      0      |       0       |       4        |
|      GPPL     |       4       |      0      |       0       |       4        |
|    HARLETH    |       4       |      0      |       0       |       4        |
|      HEG      |       4       |      0      |       1       |       3        |
|   HINDCOPPER  |       4       |      0      |       0       |       4        |
|    HINDZINC   |       4       |      0      |       0       |       4        |
|      HSCL     |       4       |      0      |       0       |       4        |
|     HYDIND    |       4       |      0      |       0       |       4        |
|   ICICIPRULI  |       4       |      0      |       0       |       4        |
|      IDFC     |       4       |      0      |       0       |       4        |
|      IIFL     |       4       |      0      |       0       |       4        |
|      IMFA     |       4       |      0      |       0       |       4        |
|     INCAP     |       4       |      0      |       0       |       4        |
|    INDHOTEL   |       4       |      0      |       0       |       4        |
|    INDIACEM   |       4       |      0      |       0       |       4        |
|    INDIANB    |       4       |      0      |       0       |       4        |
|   INDIANVSH   |       4       |      0      |       0       |       4        |
|     INDIGO    |       4       |      0      |       0       |       4        |
|   INDLMETER   |       4       |      0      |       0       |       4        |
|   INDSILHYD   |       4       |      0      |       0       |       4        |
|    INNOVTEC   |       4       |      0      |       0       |       4        |
|    IPCALAB    |       4       |      0      |       0       |       4        |
|      IRB      |       4       |      0      |       0       |       4        |
|      ITL      |       4       |      0      |       0       |       4        |
|   JAGSNPHARM  |       4       |      0      |       0       |       4        |
|     JAYUSH    |       4       |      0      |       0       |       4        |
|    JKPAPER    |       4       |      0      |       0       |       4        |
|   JOONKTOLL   |       4       |      0      |       0       |       4        |
|   JSWENERGY   |       4       |      0      |       0       |       4        |
|   KABRAEXTRU  |       4       |      0      |       0       |       4        |
|   KALECONSUL  |       4       |      0      |       0       |       4        |
|   KALYANIFRG  |       4       |      0      |       0       |       4        |
|   KAMADGIRI   |       4       |      0      |       0       |       4        |
|    KAYCEEI    |       4       |      0      |       0       |       4        |
|    KELENRG    |       4       |      0      |       0       |       4        |
|      KEMP     |       4       |      0      |       0       |       4        |
|     KIOCL     |       4       |      0      |       1       |       3        |
|   KLBRENG-B   |       4       |      0      |       0       |       4        |
|      KPEL     |       4       |      2      |       0       |       2        |
|    KRIINFRA   |       4       |      0      |       0       |       4        |
|    KRITIIND   |       4       |      0      |       0       |       4        |
|     KUSHAL    |       4       |      1      |       0       |       3        |
|    KWALITY    |       4       |      0      |       0       |       4        |
|   LALPATHLAB  |       4       |      0      |       0       |       4        |
|    LOVABLE    |       4       |      0      |       1       |       3        |
|      LTI      |       4       |      0      |       0       |       4        |
|      LTTS     |       4       |      0      |       0       |       4        |
|   LUDLOWJUT   |       4       |      0      |       0       |       4        |
|     LUXIND    |       4       |      0      |       0       |       4        |
|    MAHSHRE    |       4       |      0      |       0       |       4        |
|    MALLCOM    |       4       |      0      |       0       |       4        |
|   MANGCHEFER  |       4       |      0      |       0       |       4        |
|    MANINFRA   |       4       |      0      |       0       |       4        |
|   MANUGRAPH   |       4       |      0      |       0       |       4        |
|   MCLEODRUSS  |       4       |      0      |       0       |       4        |
|      MEGH     |       4       |      0      |       0       |       4        |
|   MERCURYLAB  |       4       |      0      |       0       |       4        |
|      MGL      |       4       |      0      |       0       |       4        |
|     MODEX     |       4       |      2      |       0       |       2        |
|    MODRNSH    |       4       |      0      |       0       |       4        |
|   MOHOTAIND   |       4       |      0      |       0       |       4        |
|   MORGANITE   |       4       |      0      |       0       |       4        |
|     MPSLTD    |       4       |      0      |       0       |       4        |
|    MUKESHB    |       4       |      0      |       0       |       4        |
|    NACLIND    |       4       |      0      |       0       |       4        |
|   NATCOPHARM  |       4       |      0      |       0       |       4        |
|     NCLIND    |       4       |      0      |       0       |       4        |
|      NFL      |       4       |      0      |       0       |       4        |
|     NIACL     |       4       |      1      |       0       |       3        |
|    NIITTECH   |       4       |      0      |       0       |       4        |
|      NILA     |       4       |      0      |       0       |       4        |
|   NITINCAST   |       4       |      0      |       0       |       4        |
|      OBIL     |       4       |      1      |       0       |       3        |
|    OCEANIC    |       4       |      1      |       0       |       3        |
|      OFSS     |       4       |      0      |       0       |       4        |
|   OKANCOTEA   |       4       |      1      |       0       |       3        |
|   ONWARDTEC   |       4       |      0      |       0       |       4        |
|    PANACHE    |       4       |      0      |       0       |       4        |
|   PANCHSHEEL  |       4       |      0      |       0       |       4        |
|    PCCOSMA    |       4       |      0      |       0       |       4        |
|   PDMJEPAPER  |       4       |      0      |       0       |       4        |
|   PILANIINVS  |       4       |      0      |       0       |       4        |
|     PINCON    |       4       |      2      |       0       |       2        |
|    POLYCHEM   |       4       |      0      |       0       |       4        |
|   PONNIERODE  |       4       |      0      |       0       |       4        |
|   POWERMECH   |       4       |      0      |       0       |       4        |
|     PRECAM    |       4       |      0      |       0       |       4        |
|   PREMIERPOL  |       4       |      0      |       0       |       4        |
|    PRIMEPRO   |       4       |      0      |       0       |       4        |
|  PRITHVIEXCH  |       4       |      1      |       0       |       3        |
|    PRIYALT    |       4       |      0      |       0       |       4        |
|      RAIN     |       4       |      0      |       0       |       4        |
|    RAJPACK    |       4       |      0      |       0       |       4        |
|    RAMAPHO    |       4       |      0      |       0       |       4        |
|     RASOI     |       4       |      0      |       0       |       4        |
|   RELCAPITAL  |       4       |      0      |       0       |       4        |
|    RELINFRA   |       4       |      0      |       0       |       4        |
|    RPPINFRA   |       4       |      0      |       0       |       4        |
|      RSWM     |       4       |      0      |       0       |       4        |
|     RUSHIL    |       4       |      0      |       0       |       4        |
|    SACHEMT    |       4       |      0      |       0       |       4        |
|   SAHLIBHFI   |       4       |      0      |       0       |       4        |
|   SAHYOGMULT  |       4       |      0      |       0       |       4        |
|     SATIA     |       4       |      0      |       0       |       4        |
|   SCHAEFFLER  |       4       |      0      |       0       |       4        |
|     SELAN     |       4       |      0      |       0       |       4        |
|    SEYAIND    |       4       |      0      |       0       |       4        |
|     SHARDA    |       4       |      0      |       0       |       4        |
|   SHASHIJIT   |       4       |      1      |       0       |       3        |
|    SHIVALIK   |       4       |      1      |       0       |       3        |
|      SHK      |       4       |      0      |       1       |       3        |
|     SHYAM     |       4       |      0      |       0       |       4        |
|    SIEMENS    |       4       |      0      |       0       |       4        |
|   SIGNETIND   |       4       |      0      |       0       |       4        |
|      SIL      |       4       |      0      |       0       |       4        |
|     SINTEX    |       4       |      0      |       0       |       4        |
|   SKMEGGPROD  |       4       |      0      |       0       |       4        |
|     SKPSEC    |       4       |      0      |       2       |       2        |
|     SMIFS     |       4       |      0      |       0       |       4        |
|      SNL      |       4       |      0      |       0       |       4        |
|    SOLIMAC    |       4       |      0      |       0       |       4        |
|    SUCROSA    |       4       |      0      |       0       |       4        |
|   SUDTIND-B   |       4       |      0      |       0       |       4        |
|   SUNILHITEC  |       4       |      1      |       0       |       3        |
|    SWISSGLA   |       4       |      0      |       0       |       4        |
|     TAJGVK    |       4       |      0      |       0       |       4        |
|   TALWALKARS  |       4       |      0      |       0       |       4        |
|     TANLA     |       4       |      0      |       0       |       4        |
|   TATAMETALI  |       4       |      0      |       0       |       4        |
|     TECHNO    |       4       |      1      |       1       |       2        |
|    THEBYKE    |       4       |      0      |       0       |       4        |
|   THYROCARE   |       4       |      0      |       0       |       4        |
|     TIFHL     |       4       |      0      |       0       |       4        |
|     TIGLOB    |       4       |      0      |       0       |       4        |
|      TIIL     |       4       |      0      |       2       |       2        |
|    TIRSARJ    |       4       |      0      |       0       |       4        |
|    TITANBIO   |       4       |      0      |       0       |       4        |
|      UFO      |       4       |      0      |       0       |       4        |
|    UJJIVAN    |       4       |      0      |       0       |       4        |
|   UMANGDAIR   |       4       |      0      |       0       |       4        |
|   UNIABEXAL   |       4       |      0      |       0       |       4        |
|     UNIDT     |       4       |      1      |       0       |       3        |
|    VAKRANG    |       4       |      1      |       0       |       3        |
|      VBL      |       4       |      1      |       0       |       3        |
|   VIMTALABS   |       4       |      0      |       0       |       4        |
|     VIPUL     |       4       |      0      |       0       |       4        |
|     VIRAT     |       4       |      0      |       0       |       4        |
